n,principal_ideal_bitmasks,h_coefficients
5,1;2;5;9;23,1;10;28;28;10;1
5,1;2;5;9;25,1;9;23;23;9;1
5,1;2;5;9;27,1;10;28;28;10;1
5,1;2;5;9;29,1;10;27;27;10;1
5,1;2;5;9;31,1;11;32;32;11;1
5,1;2;5;10;16,1;7;17;17;7;1
5,1;2;5;10;17,1;8;21;21;8;1
5,1;2;5;10;18,1;8;21;21;8;1
5,1;2;5;10;19,1;9;25;25;9;1
5,1;2;5;10;21,1;9;25;25;9;1
5,1;2;5;10;23,1;10;29;29;10;1
5,1;2;5;10;26,1;9;25;25;9;1
5,1;2;5;10;27,1;10;29;29;10;1
5,1;2;5;10;31,1;11;33;33;11;1
5,1;2;5;11;16,1;8;20;20;8;1
5,1;2;5;11;17,1;9;24;24;9;1
5,1;2;5;11;18,1;9;25;25;9;1
5,1;2;5;11;19,1;10;28;28;10;1
5,1;2;5;11;21,1;10;29;29;10;1
5,1;2;5;11;23,1;11;33;33;11;1
5,1;2;5;11;27,1;11;32;32;11;1
5,1;2;5;11;31,1;12;37;37;12;1
5,1;2;5;13;16,1;8;19;19;8;1
5,1;2;5;13;17,1;9;23;23;9;1
5,1;2;5;13;18,1;9;25;25;9;1
5,1;2;5;13;19,1;10;29;29;10;1
5,1;2;5;13;21,1;10;26;26;10;1
5,1;2;5;13;23,1;11;32;32;11;1
5,1;2;5;13;29,1;11;30;30;11;1
5,1;2;5;13;31,1;12;36;36;12;1
5,1;2;5;15;16,1;9;23;23;9;1
5,1;2;5;15;17,1;10;28;28;10;1
5,1;2;5;15;18,1;10;29;29;10;1
5,1;2;5;15;19,1;11;33;33;11;1
5,1;2;5;15;21,1;11;32;32;11;1
5,1;2;5;15;23,1;12;36;36;12;1
5,1;2;5;15;31,1;13;40;40;13;1
5,1;2;5;24;16,1;7;17;17;7;1
5,1;2;5;24;24,1;8;21;21;8;1
5,1;2;5;25;16,1;8;20;20;8;1
5,1;2;5;25;17,1;9;23;23;9;1
5,1;2;5;25;25,1;10;27;27;10;1
5,1;2;5;26;16,1;8;21;21;8;1
5,1;2;5;26;18,1;9;25;25;9;1
5,1;2;5;26;26,1;10;29;29;10;1
5,1;2;5;27;16,1;9;24;24;9;1
5,1;2;5;27;17,1;10;28;28;10;1
5,1;2;5;27;18,1;10;29;29;10;1
5,1;2;5;27;19,1;11;32;32;11;1
5,1;2;5;27;27,1;12;36;36;12;1
5,1;2;5;29;16,1;9;23;23;9;1
5,1;2;5;29;17,1;10;27;27;10;1
5,1;2;5;29;21,1;11;30;30;11;1
5,1;2;5;29;29,1;12;34;34;12;1
5,1;2;5;31;16,1;10;27;27;10;1
5,1;2;5;31;17,1;11;32;32;11;1
5,1;2;5;31;18,1;11;33;33;11;1
5,1;2;5;31;19,1;12;37;37;12;1
5,1;2;5;31;21,1;12;36;36;12;1
5,1;2;5;31;23,1;13;40;40;13;1
5,1;2;5;31;31,1;14;44;44;14;1
5,1;2;6;8;16,1;6;13;13;6;1
5,1;2;6;8;17,1;7;17;17;7;1
5,1;2;6;8;18,1;7;16;16;7;1
5,1;2;6;8;19,1;8;20;20;8;1
5,1;2;6;8;22,1;8;19;19;8;1
5,1;2;6;8;23,1;9;23;23;9;1
5,1;2;6;8;24,1;7;17;17;7;1
5,1;2;6;8;25,1;8;21;21;8;1
5,1;2;6;8;26,1;8;20;20;8;1
5,1;2;6;8;27,1;9;24;24;9;1
5,1;2;6;8;30,1;9;23;23;9;1
5,1;2;6;8;31,1;10;27;27;10;1
5,1;2;6;9;16,1;7;17;17;7;1
5,1;2;6;9;17,1;8;21;21;8;1
5,1;2;6;9;18,1;8;21;21;8;1
5,1;2;6;9;19,1;9;25;25;9;1
5,1;2;6;9;22,1;9;25;25;9;1
