n,principal_ideal_bitmasks,h_coefficients
5,19;18;31;27;16,1;15;50;50;15;1
5,19;18;31;27;18,1;16;56;56;16;1
5,19;18;31;31;16,1;16;56;56;16;1
5,19;18;31;31;18,1;17;63;63;17;1
5,19;19;4;8;16,1;9;22;22;9;1
5,19;19;4;8;19,1;11;28;28;11;1
5,19;19;4;12;16,1;10;29;29;10;1
5,19;19;4;12;19,1;12;37;37;12;1
5,19;19;4;24;16,1;10;27;27;10;1
5,19;19;4;27;16,1;12;33;33;12;1
5,19;19;4;27;19,1;14;40;40;14;1
5,19;19;4;28;16,1;11;34;34;11;1
5,19;19;4;31;16,1;13;40;40;13;1
5,19;19;4;31;19,1;15;49;49;15;1
5,19;19;12;8;16,1;10;29;29;10;1
5,19;19;12;8;19,1;12;37;37;12;1
5,19;19;12;12;16,1;11;36;36;11;1
5,19;19;12;12;19,1;13;46;46;13;1
5,19;19;20;8;16,1;10;27;27;10;1
5,19;19;20;24;16,1;11;32;32;11;1
5,19;19;20;27;16,1;13;40;40;13;1
5,19;19;20;28;16,1;12;39;39;12;1
5,19;19;20;31;16,1;14;47;47;14;1
5,19;19;23;8;16,1;12;33;33;12;1
5,19;19;23;8;19,1;14;40;40;14;1
5,19;19;23;24;16,1;13;40;40;13;1
5,19;19;23;27;16,1;15;47;47;15;1
5,19;19;23;27;19,1;17;55;55;17;1
5,19;19;23;31;16,1;16;54;54;16;1
5,19;19;23;31;19,1;18;64;64;18;1
5,19;19;28;8;16,1;11;34;34;11;1
5,19;19;28;24;16,1;12;39;39;12;1
5,19;19;28;28;16,1;13;46;46;13;1
5,19;19;31;8;16,1;13;40;40;13;1
5,19;19;31;8;19,1;15;49;49;15;1
5,19;19;31;24;16,1;14;47;47;14;1
5,19;19;31;27;16,1;16;54;54;16;1
5,19;19;31;27;19,1;18;64;64;18;1
5,19;19;31;31;16,1;17;61;61;17;1
5,19;19;31;31;19,1;19;73;73;19;1
5,21;2;4;8;16,1;7;16;16;7;1
5,21;2;4;8;20,1;8;19;19;8;1
5,21;2;4;8;21,1;9;22;22;9;1
5,21;2;4;10;16,1;8;21;21;8;1
5,21;2;4;10;20,1;9;25;25;9;1
5,21;2;4;10;21,1;10;29;29;10;1
5,21;2;4;12;16,1;8;20;20;8;1
5,21;2;4;12;20,1;9;23;23;9;1
5,21;2;4;12;21,1;10;27;27;10;1
5,21;2;4;14;16,1;9;25;25;9;1
5,21;2;4;14;20,1;10;29;29;10;1
5,21;2;4;14;21,1;11;34;34;11;1
5,21;2;4;24;16,1;8;20;20;8;1
5,21;2;4;26;16,1;9;25;25;9;1
5,21;2;4;28;16,1;9;23;23;9;1
5,21;2;4;28;20,1;10;26;26;10;1
5,21;2;4;29;16,1;10;26;26;10;1
5,21;2;4;29;20,1;11;30;30;11;1
5,21;2;4;29;21,1;12;33;33;12;1
5,21;2;4;30;16,1;10;28;28;10;1
5,21;2;4;30;20,1;11;32;32;11;1
5,21;2;4;31;16,1;11;31;31;11;1
5,21;2;4;31;20,1;12;36;36;12;1
5,21;2;4;31;21,1;13;40;40;13;1
5,21;2;20;8;16,1;8;19;19;8;1
5,21;2;20;8;20,1;9;22;22;9;1
5,21;2;20;10;16,1;9;25;25;9;1
5,21;2;20;10;20,1;10;29;29;10;1
5,21;2;20;24;16,1;9;23;23;9;1
5,21;2;20;26;16,1;10;29;29;10;1
5,21;2;20;28;16,1;10;26;26;10;1
5,21;2;20;28;20,1;11;29;29;11;1
5,21;2;20;29;16,1;11;30;30;11;1
5,21;2;20;29;20,1;12;34;34;12;1
5,21;2;20;30;16,1;11;32;32;11;1
5,21;2;20;30;20,1;12;36;36;12;1
5,21;2;20;31;16,1;12;36;36;12;1
5,21;2;20;31;20,1;13;41;41;13;1
5,21;2;21;8;16,1;9;22;22;9;1
5,21;2;21;8;21,1;11;28;28;11;1
5,21;2;21;10;16,1;10;29;29;10;1
5,21;2;21;10;21,1;12;37;37;12;1
5,21;2;21;24;16,1;10;27;27;10;1
5,21;2;21;26;16,1;11;34;34;11;1
5,21;2;21;29;16,1;12;33;33;12;1
5,21;2;21;29;21,1;14;40;40;14;1
5,21;2;21;31;16,1;13;40;40;13;1
5,21;2;21;31;21,1;15;49;49;15;1
5,21;6;4;8;16,1;8;20;20;8;1
5,21;6;4;8;20,1;9;23;23;9;1
5,21;6;4;8;21,1;10;27;27;10;1
5,21;6;4;12;16,1;9;24;24;9;1
5,21;6;4;12;20,1;10;27;27;10;1
5,21;6;4;12;21,1;11;32;32;11;1
5,21;6;4;14;16,1;10;29;29;10;1
5,21;6;4;14;20,1;11;33;33;11;1
5,21;6;4;14;21,1;12;39;39;12;1
5,21;6;4;24;16,1;9;25;25;9;1
5,21;6;4;28;16,1;10;28;28;10;1
5,21;6;4;28;20,1;11;31;31;11;1
5,21;6;4;29;16,1;11;32;32;11;1
5,21;6;4;29;20,1;12;36;36;12;1
5,21;6;4;29;21,1;13;40;40;13;1
5,21;6;4;30;16,1;11;33;33;11;1
5,21;6;4;30;20,1;12;37;37;12;1
5,21;6;4;31;16,1;12;37;37;12;1
5,21;6;4;31;20,1;13;42;42;13;1
5,21;6;4;31;21,1;14;47;47;14;1
5,21;10;4;8;16,1;8;21;21;8;1
5,21;10;4;8;20,1;9;25;25;9;1
5,21;10;4;8;21,1;10;29;29;10;1
5,21;10;4;10;16,1;9;26;26;9;1
5,21;10;4;10;20,1;10;31;31;10;1
5,21;10;4;10;21,1;11;36;36;11;1
5,21;10;20;8;16,1;9;25;25;9;1
5,21;10;20;8;20,1;10;29;29;10;1
5,21;10;20;10;16,1;10;31;31;10;1
5,21;10;20;10;20,1;11;36;36;11;1
5,21;10;21;8;16,1;10;29;29;10;1
5,21;10;21;8;21,1;12;37;37;12;1
5,21;10;21;10;16,1;11;36;36;11;1
5,21;10;21;10;21,1;13;46;46;13;1
5,21;14;4;8;16,1;9;25;25;9;1
5,21;14;4;8;20,1;10;29;29;10;1
5,21;14;4;8;21,1;11;34;34;11;1
5,21;14;4;12;16,1;10;29;29;10;1
5,21;14;4;12;20,1;11;33;33;11;1
5,21;14;4;12;21,1;12;39;39;12;1
5,21;14;4;14;16,1;11;34;34;11;1
5,21;14;4;14;20,1;12;39;39;12;1
5,21;14;4;14;21,1;13;46;46;13;1
5,21;18;4;8;16,1;8;20;20;8;1
5,21;18;4;12;16,1;9;25;25;9;1
5,21;18;4;24;16,1;9;24;24;9;1
5,21;18;4;26;16,1;10;29;29;10;1
5,21;18;4;28;16,1;10;28;28;10;1
5,21;18;4;29;16,1;11;32;32;11;1
5,21;18;4;30;16,1;11;33;33;11;1
5,21;18;4;31;16,1;12;37;37;12;1
5,21;18;20;8;16,1;9;23;23;9;1
5,21;18;20;24;16,1;10;27;27;10;1
5,21;18;20;26;16,1;11;33;33;11;1
5,21;18;20;28;16,1;11;31;31;11;1
5,21;18;20;29;16,1;12;36;36;12;1
5,21;18;20;30;16,1;12;37;37;12;1
5,21;18;20;31;16,1;13;42;42;13;1
5,21;18;21;8;16,1;10;27;27;10;1
5,21;18;21;24;16,1;11;32;32;11;1
5,21;18;21;26;16,1;12;39;39;12;1
5,21;18;21;29;16,1;13;40;40;13;1
5,21;18;21;31;16,1;14;47;47;14;1
5,21;22;4;8;16,1;9;23;23;9;1
5,21;22;4;8;20,1;10;26;26;10;1
5,21;22;4;12;16,1;10;28;28;10;1
5,21;22;4;12;20,1;11;31;31;11;1
5,21;22;4;24;16,1;10;28;28;10;1
5,21;22;4;28;16,1;11;31;31;11;1
5,21;22;4;28;20,1;12;34;34;12;1
5,21;22;4;29;16,1;12;36;36;12;1
5,21;22;4;29;20,1;13;40;40;13;1
5,21;22;4;30;16,1;12;36;36;12;1
5,21;22;4;30;20,1;13;40;40;13;1
5,21;22;4;31;16,1;13;41;41;13;1
5,21;22;4;31;20,1;14;46;46;14;1
5,21;22;20;8;16,1;10;26;26;10;1
5,21;22;20;8;20,1;11;29;29;11;1
5,21;22;20;24;16,1;11;31;31;11;1
5,21;22;20;28;16,1;12;34;34;12;1
5,21;22;20;28;20,1;13;37;37;13;1
5,21;22;20;29;16,1;13;40;40;13;1
5,21;22;20;29;20,1;14;44;44;14;1
5,21;22;20;30;16,1;13;40;40;13;1
5,21;22;20;30;20,1;14;44;44;14;1
5,21;22;20;31;16,1;14;46;46;14;1
5,21;22;20;31;20,1;15;51;51;15;1
5,21;23;4;8;16,1;10;26;26;10;1
5,21;23;4;8;20,1;11;30;30;11;1
5,21;23;4;8;21,1;12;33;33;12;1
5,21;23;4;12;16,1;11;32;32;11;1
5,21;23;4;12;20,1;12;36;36;12;1
5,21;23;4;12;21,1;13;40;40;13;1
5,21;23;4;24;16,1;11;32;32;11;1
5,21;23;4;28;16,1;12;36;36;12;1
5,21;23;4;28;20,1;13;40;40;13;1
5,21;23;4;29;16,1;13;39;39;13;1
5,21;23;4;29;20,1;14;44;44;14;1
5,21;23;4;29;21,1;15;47;47;15;1
5,21;23;4;31;16,1;14;44;44;14;1
5,21;23;4;31;20,1;15;50;50;15;1
5,21;23;4;31;21,1;16;54;54;16;1
5,21;23;20;8;16,1;11;30;30;11;1
5,21;23;20;8;20,1;12;34;34;12;1
5,21;23;20;24;16,1;12;36;36;12;1
5,21;23;20;28;16,1;13;40;40;13;1
5,21;23;20;28;20,1;14;44;44;14;1
5,21;23;20;29;16,1;14;44;44;14;1
5,21;23;20;29;20,1;15;49;49;15;1
5,21;23;20;31;16,1;15;50;50;15;1
5,21;23;20;31;20,1;16;56;56;16;1
5,21;23;21;8;16,1;12;33;33;12;1
5,21;23;21;8;21,1;14;40;40;14;1
5,21;23;21;24;16,1;13;40;40;13;1
5,21;23;21;29;16,1;15;47;47;15;1
5,21;23;21;29;21,1;17;55;55;17;1
5,21;23;21;31;16,1;16;54;54;16;1
5,21;23;21;31;21,1;18;64;64;18;1
5,21;26;4;8;16,1;9;25;25;9;1
5,21;26;4;24;16,1;10;29;29;10;1
5,21;26;4;26;16,1;11;34;34;11;1
5,21;26;20;8;16,1;10;29;29;10;1
5,21;26;20;24;16,1;11;33;33;11;1
5,21;26;20;26;16,1;12;39;39;12;1
5,21;26;21;8;16,1;11;34;34;11;1
5,21;26;21;24;16,1;12;39;39;12;1
5,21;26;21;26;16,1;13;46;46;13;1
5,21;30;4;8;16,1;10;28;28;10;1
5,21;30;4;8;20,1;11;32;32;11;1
5,21;30;4;12;16,1;11;33;33;11;1
5,21;30;4;12;20,1;12;37;37;12;1
5,21;30;4;24;16,1;11;33;33;11;1
5,21;30;4;28;16,1;12;36;36;12;1
5,21;30;4;28;20,1;13;40;40;13;1
5,21;30;4;30;16,1;13;41;41;13;1
5,21;30;4;30;20,1;14;46;46;14;1
5,21;30;20;8;16,1;11;32;32;11;1
5,21;30;20;8;20,1;12;36;36;12;1
5,21;30;20;24;16,1;12;37;37;12;1
5,21;30;20;28;16,1;13;40;40;13;1
5,21;30;20;28;20,1;14;44;44;14;1
5,21;30;20;30;16,1;14;46;46;14;1
5,21;30;20;30;20,1;15;51;51;15;1
5,21;31;4;8;16,1;11;31;31;11;1
5,21;31;4;8;20,1;12;36;36;12;1
5,21;31;4;8;21,1;13;40;40;13;1
5,21;31;4;12;16,1;12;37;37;12;1
5,21;31;4;12;20,1;13;42;42;13;1
5,21;31;4;12;21,1;14;47;47;14;1
5,21;31;4;24;16,1;12;37;37;12;1
5,21;31;4;28;16,1;13;41;41;13;1
5,21;31;4;28;20,1;14;46;46;14;1
5,21;31;4;29;16,1;14;44;44;14;1
5,21;31;4;29;20,1;15;50;50;15;1
5,21;31;4;29;21,1;16;54;54;16;1
5,21;31;4;31;16,1;15;49;49;15;1
5,21;31;4;31;20,1;16;56;56;16;1
5,21;31;4;31;21,1;17;61;61;17;1
5,21;31;20;8;16,1;12;36;36;12;1
5,21;31;20;8;20,1;13;41;41;13;1
5,21;31;20;24;16,1;13;42;42;13;1
5,21;31;20;28;16,1;14;46;46;14;1
5,21;31;20;28;20,1;15;51;51;15;1
5,21;31;20;29;16,1;15;50;50;15;1
5,21;31;20;29;20,1;16;56;56;16;1
5,21;31;20;31;16,1;16;56;56;16;1
5,21;31;20;31;20,1;17;63;63;17;1
5,21;31;21;8;16,1;13;40;40;13;1
5,21;31;21;8;21,1;15;49;49;15;1
5,21;31;21;24;16,1;14;47;47;14;1
5,21;31;21;29;16,1;16;54;54;16;1
5,21;31;21;29;21,1;18;64;64;18;1
5,21;31;21;31;16,1;17;61;61;17;1
5,21;31;21;31;21,1;19;73;73;19;1
5,23;2;4;8;16,1;8;19;19;8;1
5,23;2;4;8;18,1;9;23;23;9;1
5,23;2;4;8;20,1;9;23;23;9;1
5,23;2;4;8;22,1;10;26;26;10;1
5,23;2;4;8;23,1;11;29;29;11;1
5,23;2;4;10;16,1;9;24;24;9;1
5,23;2;4;10;18,1;10;28;28;10;1
5,23;2;4;10;20,1;10;29;29;10;1
5,23;2;4;10;22,1;11;32;32;11;1
5,23;2;4;10;23,1;12;36;36;12;1
5,23;2;4;12;16,1;9;24;24;9;1
5,23;2;4;12;18,1;10;29;29;10;1
5,23;2;4;12;20,1;10;28;28;10;1
5,23;2;4;12;22,1;11;32;32;11;1
5,23;2;4;12;23,1;12;36;36;12;1
5,23;2;4;14;16,1;10;28;28;10;1
5,23;2;4;14;18,1;11;33;33;11;1
5,23;2;4;14;20,1;11;33;33;11;1
5,23;2;4;14;22,1;12;36;36;12;1
5,23;2;4;14;23,1;13;41;41;13;1
5,23;2;4;24;16,1;9;24;24;9;1
5,23;2;4;26;16,1;10;28;28;10;1
5,23;2;4;26;18,1;11;32;32;11;1
5,23;2;4;28;16,1;10;28;28;10;1
5,23;2;4;28;20,1;11;32;32;11;1
5,23;2;4;30;16,1;11;31;31;11;1
5,23;2;4;30;18,1;12;36;36;12;1
5,23;2;4;30;20,1;12;36;36;12;1
5,23;2;4;30;22,1;13;39;39;13;1
5,23;2;4;31;16,1;12;34;34;12;1
5,23;2;4;31;18,1;13;40;40;13;1
5,23;2;4;31;20,1;13;40;40;13;1
5,23;2;4;31;22,1;14;44;44;14;1
5,23;2;4;31;23,1;15;47;47;15;1
5,23;2;6;8;16,1;9;23;23;9;1
5,23;2;6;8;18,1;10;27;27;10;1
5,23;2;6;8;22,1;11;30;30;11;1
5,23;2;6;8;23,1;12;34;34;12;1
5,23;2;6;10;16,1;10;28;28;10;1
5,23;2;6;10;18,1;11;32;32;11;1
5,23;2;6;10;22,1;12;36;36;12;1
5,23;2;6;10;23,1;13;41;41;13;1
5,23;2;6;14;16,1;11;32;32;11;1
5,23;2;6;14;18,1;12;37;37;12;1
5,23;2;6;14;22,1;13;40;40;13;1
5,23;2;6;14;23,1;14;46;46;14;1
5,23;2;6;24;16,1;10;29;29;10;1
5,23;2;6;26;16,1;11;33;33;11;1
5,23;2;6;26;18,1;12;37;37;12;1
5,23;2;6;30;16,1;12;36;36;12;1
5,23;2;6;30;18,1;13;41;41;13;1
5,23;2;6;30;22,1;14;44;44;14;1
5,23;2;6;31;16,1;13;40;40;13;1
5,23;2;6;31;18,1;14;46;46;14;1
5,23;2;6;31;22,1;15;50;50;15;1
5,23;2;6;31;23,1;16;54;54;16;1
5,23;2;20;8;16,1;9;23;23;9;1
5,23;2;20;8;20,1;10;27;27;10;1
5,23;2;20;10;16,1;10;29;29;10;1
5,23;2;20;10;20,1;11;34;34;11;1
5,23;2;20;24;16,1;10;28;28;10;1
5,23;2;20;26;16,1;11;33;33;11;1
5,23;2;20;28;16,1;11;32;32;11;1
5,23;2;20;28;20,1;12;36;36;12;1
5,23;2;20;30;16,1;12;36;36;12;1
5,23;2;20;30;20,1;13;41;41;13;1
5,23;2;20;31;16,1;13;40;40;13;1
5,23;2;20;31;20,1;14;46;46;14;1
5,23;2;22;8;16,1;10;26;26;10;1
5,23;2;22;8;18,1;11;30;30;11;1
5,23;2;22;8;22,1;12;33;33;12;1
5,23;2;22;10;16,1;11;32;32;11;1
5,23;2;22;10;18,1;12;36;36;12;1
5,23;2;22;10;22,1;13;40;40;13;1
5,23;2;22;24;16,1;11;32;32;11;1
5,23;2;22;26;16,1;12;36;36;12;1
5,23;2;22;26;18,1;13;40;40;13;1
5,23;2;22;30;16,1;13;39;39;13;1
5,23;2;22;30;18,1;14;44;44;14;1
5,23;2;22;30;22,1;15;47;47;15;1
5,23;2;22;31;16,1;14;44;44;14;1
5,23;2;22;31;18,1;15;50;50;15;1
5,23;2;22;31;22,1;16;54;54;16;1
5,23;2;23;8;16,1;11;29;29;11;1
5,23;2;23;8;18,1;12;34;34;12;1
5,23;2;23;8;23,1;14;40;40;14;1
5,23;2;23;10;16,1;12;36;36;12;1
5,23;2;23;10;18,1;13;41;41;13;1
5,23;2;23;10;23,1;15;49;49;15;1
5,23;2;23;24;16,1;12;36;36;12;1
5,23;2;23;26;16,1;13;41;41;13;1
5,23;2;23;26;18,1;14;46;46;14;1
5,23;2;23;31;16,1;15;47;47;15;1
5,23;2;23;31;18,1;16;54;54;16;1
5,23;2;23;31;23,1;18;61;61;18;1
5,23;6;4;8;16,1;9;23;23;9;1
5,23;6;4;8;20,1;10;27;27;10;1
5,23;6;4;8;22,1;11;30;30;11;1
5,23;6;4;8;23,1;12;34;34;12;1
5,23;6;4;12;16,1;10;28;28;10;1
5,23;6;4;12;20,1;11;32;32;11;1
5,23;6;4;12;22,1;12;36;36;12;1
5,23;6;4;12;23,1;13;41;41;13;1
5,23;6;4;14;16,1;11;32;32;11;1
5,23;6;4;14;20,1;12;37;37;12;1
5,23;6;4;14;22,1;13;40;40;13;1
5,23;6;4;14;23,1;14;46;46;14;1
5,23;6;4;24;16,1;10;29;29;10;1
5,23;6;4;28;16,1;11;33;33;11;1
5,23;6;4;28;20,1;12;37;37;12;1
5,23;6;4;30;16,1;12;36;36;12;1
5,23;6;4;30;20,1;13;41;41;13;1
5,23;6;4;30;22,1;14;44;44;14;1
5,23;6;4;31;16,1;13;40;40;13;1
5,23;6;4;31;20,1;14;46;46;14;1
5,23;6;4;31;22,1;15;50;50;15;1
5,23;6;4;31;23,1;16;54;54;16;1
5,23;6;6;8;16,1;10;27;27;10;1
5,23;6;6;8;22,1;12;34;34;12;1
5,23;6;6;8;23,1;13;39;39;13;1
5,23;6;6;14;16,1;12;36;36;12;1
5,23;6;6;14;22,1;14;44;44;14;1
5,23;6;6;14;23,1;15;51;51;15;1
5,23;6;6;24;16,1;11;34;34;11;1
5,23;6;6;30;16,1;13;41;41;13;1
5,23;6;6;30;22,1;15;49;49;15;1
5,23;6;6;31;16,1;14;46;46;14;1
5,23;6;6;31;22,1;16;56;56;16;1
5,23;6;6;31;23,1;17;61;61;17;1
5,23;18;4;8;16,1;9;23;23;9;1
5,23;18;4;8;18,1;10;27;27;10;1
5,23;18;4;12;16,1;10;29;29;10;1
5,23;18;4;12;18,1;11;34;34;11;1
5,23;18;4;24;16,1;10;28;28;10;1
5,23;18;4;26;16,1;11;32;32;11;1
5,23;18;4;26;18,1;12;36;36;12;1
5,23;18;4;28;16,1;11;33;33;11;1
5,23;18;4;30;16,1;12;36;36;12;1
5,23;18;4;30;18,1;13;41;41;13;1
5,23;18;4;31;16,1;13;40;40;13;1
5,23;18;4;31;18,1;14;46;46;14;1
5,23;18;20;8;16,1;10;27;27;10;1
5,23;18;20;24;16,1;11;32;32;11;1
5,23;18;20;26;16,1;12;37;37;12;1
5,23;18;20;28;16,1;12;37;37;12;1
5,23;18;20;30;16,1;13;41;41;13;1
5,23;18;20;31;16,1;14;46;46;14;1
5,23;18;22;8;16,1;11;30;30;11;1
5,23;18;22;8;18,1;12;34;34;12;1
5,23;18;22;24;16,1;12;36;36;12;1
5,23;18;22;26;16,1;13;40;40;13;1
5,23;18;22;26;18,1;14;44;44;14;1
5,23;18;22;30;16,1;14;44;44;14;1
5,23;18;22;30;18,1;15;49;49;15;1
5,23;18;22;31;16,1;15;50;50;15;1
5,23;18;22;31;18,1;16;56;56;16;1
5,23;18;23;8;16,1;12;34;34;12;1
5,23;18;23;8;18,1;13;39;39;13;1
5,23;18;23;24;16,1;13;41;41;13;1
5,23;18;23;26;16,1;14;46;46;14;1
5,23;18;23;26;18,1;15;51;51;15;1
5,23;18;23;31;16,1;16;54;54;16;1
5,23;18;23;31;18,1;17;61;61;17;1
5,23;22;4;8;16,1;10;26;26;10;1
5,23;22;4;8;20,1;11;30;30;11;1
5,23;22;4;8;22,1;12;33;33;12;1
5,23;22;4;12;16,1;11;32;32;11;1
5,23;22;4;12;20,1;12;36;36;12;1
5,23;22;4;12;22,1;13;40;40;13;1
5,23;22;4;24;16,1;11;32;32;11;1
5,23;22;4;28;16,1;12;36;36;12;1
5,23;22;4;28;20,1;13;40;40;13;1
5,23;22;4;30;16,1;13;39;39;13;1
5,23;22;4;30;20,1;14;44;44;14;1
5,23;22;4;30;22,1;15;47;47;15;1
5,23;22;4;31;16,1;14;44;44;14;1
5,23;22;4;31;20,1;15;50;50;15;1
5,23;22;4;31;22,1;16;54;54;16;1
5,23;22;20;8;16,1;11;30;30;11;1
5,23;22;20;8;20,1;12;34;34;12;1
5,23;22;20;24;16,1;12;36;36;12;1
5,23;22;20;28;16,1;13;40;40;13;1
5,23;22;20;28;20,1;14;44;44;14;1
5,23;22;20;30;16,1;14;44;44;14;1
5,23;22;20;30;20,1;15;49;49;15;1
5,23;22;20;31;16,1;15;50;50;15;1
5,23;22;20;31;20,1;16;56;56;16;1
5,23;22;22;8;16,1;12;33;33;12;1
5,23;22;22;8;22,1;14;40;40;14;1
5,23;22;22;24;16,1;13;40;40;13;1
5,23;22;22;30;16,1;15;47;47;15;1
5,23;22;22;30;22,1;17;55;55;17;1
5,23;22;22;31;16,1;16;54;54;16;1
5,23;22;22;31;22,1;18;64;64;18;1
5,23;23;4;8;16,1;11;29;29;11;1
5,23;23;4;8;20,1;12;34;34;12;1
5,23;23;4;8;23,1;14;40;40;14;1
5,23;23;4;12;16,1;12;36;36;12;1
5,23;23;4;12;20,1;13;41;41;13;1
5,23;23;4;12;23,1;15;49;49;15;1
5,23;23;4;24;16,1;12;36;36;12;1
5,23;23;4;28;16,1;13;41;41;13;1
5,23;23;4;28;20,1;14;46;46;14;1
5,23;23;4;31;16,1;15;47;47;15;1
5,23;23;4;31;20,1;16;54;54;16;1
5,23;23;4;31;23,1;18;61;61;18;1
5,23;23;20;8;16,1;12;34;34;12;1
5,23;23;20;8;20,1;13;39;39;13;1
5,23;23;20;24;16,1;13;41;41;13;1
5,23;23;20;28;16,1;14;46;46;14;1
5,23;23;20;28;20,1;15;51;51;15;1
5,23;23;20;31;16,1;16;54;54;16;1
5,23;23;20;31;20,1;17;61;61;17;1
5,23;23;23;8;16,1;14;40;40;14;1
5,23;23;23;8;23,1;17;52;52;17;1
5,23;23;23;24;16,1;15;49;49;15;1
5,23;23;23;31;16,1;18;61;61;18;1
5,23;23;23;31;23,1;21;76;76;21;1
5,25;2;4;8;16,1;7;16;16;7;1
5,25;2;4;8;24,1;8;19;19;8;1
5,25;2;4;8;25,1;9;22;22;9;1
5,25;2;4;24;16,1;8;19;19;8;1
5,25;2;4;24;24,1;9;22;22;9;1
5,25;2;4;25;16,1;9;22;22;9;1
5,25;2;4;25;25,1;11;28;28;11;1
5,25;2;6;8;16,1;8;21;21;8;1
5,25;2;6;8;24,1;9;25;25;9;1
5,25;2;6;8;25,1;10;29;29;10;1
5,25;2;6;24;16,1;9;25;25;9;1
5,25;2;6;24;24,1;10;29;29;10;1
5,25;2;6;25;16,1;10;29;29;10;1
5,25;2;6;25;25,1;12;37;37;12;1
5,25;2;12;8;16,1;8;20;20;8;1
5,25;2;12;8;24,1;9;23;23;9;1
5,25;2;12;8;25,1;10;27;27;10;1
5,25;2;14;8;16,1;9;25;25;9;1
5,25;2;14;8;24,1;10;29;29;10;1
5,25;2;14;8;25,1;11;34;34;11;1
5,25;2;20;8;16,1;8;20;20;8;1
5,25;2;20;24;16,1;9;23;23;9;1
5,25;2;20;25;16,1;10;27;27;10;1
5,25;2;22;8;16,1;9;25;25;9;1
5,25;2;22;24;16,1;10;29;29;10;1
5,25;2;22;25;16,1;11;34;34;11;1
5,25;2;28;8;16,1;9;23;23;9;1
5,25;2;28;8;24,1;10;26;26;10;1
5,25;2;28;24;16,1;10;26;26;10;1
5,25;2;28;24;24,1;11;29;29;11;1
5,25;2;29;8;16,1;10;26;26;10;1
5,25;2;29;8;24,1;11;30;30;11;1
5,25;2;29;8;25,1;12;33;33;12;1
5,25;2;29;24;16,1;11;30;30;11;1
5,25;2;29;24;24,1;12;34;34;12;1
5,25;2;29;25;16,1;12;33;33;12;1
5,25;2;29;25;25,1;14;40;40;14;1
5,25;2;30;8;16,1;10;28;28;10;1
5,25;2;30;8;24,1;11;32;32;11;1
5,25;2;30;24;16,1;11;32;32;11;1
5,25;2;30;24;24,1;12;36;36;12;1
5,25;2;31;8;16,1;11;31;31;11;1
5,25;2;31;8;24,1;12;36;36;12;1
5,25;2;31;8;25,1;13;40;40;13;1
5,25;2;31;24;16,1;12;36;36;12;1
5,25;2;31;24;24,1;13;41;41;13;1
5,25;2;31;25;16,1;13;40;40;13;1
5,25;2;31;25;25,1;15;49;49;15;1
5,25;6;4;8;16,1;8;21;21;8;1
5,25;6;4;8;24,1;9;25;25;9;1
5,25;6;4;8;25,1;10;29;29;10;1
5,25;6;4;24;16,1;9;25;25;9;1
5,25;6;4;24;24,1;10;29;29;10;1
5,25;6;4;25;16,1;10;29;29;10;1
5,25;6;4;25;25,1;12;37;37;12;1
5,25;6;6;8;16,1;9;26;26;9;1
5,25;6;6;8;24,1;10;31;31;10;1
5,25;6;6;8;25,1;11;36;36;11;1
5,25;6;6;24;16,1;10;31;31;10;1
5,25;6;6;24;24,1;11;36;36;11;1
5,25;6;6;25;16,1;11;36;36;11;1
5,25;6;6;25;25,1;13;46;46;13;1
5,25;10;4;8;16,1;8;20;20;8;1
5,25;10;4;8;24,1;9;23;23;9;1
5,25;10;4;8;25,1;10;27;27;10;1
5,25;10;12;8;16,1;9;24;24;9;1
5,25;10;12;8;24,1;10;27;27;10;1
5,25;10;12;8;25,1;11;32;32;11;1
5,25;10;14;8;16,1;10;29;29;10;1
5,25;10;14;8;24,1;11;33;33;11;1
5,25;10;14;8;25,1;12;39;39;12;1
5,25;10;20;8;16,1;9;25;25;9;1
5,25;10;28;8;16,1;10;28;28;10;1
5,25;10;28;8;24,1;11;31;31;11;1
5,25;10;29;8;16,1;11;32;32;11;1
5,25;10;29;8;24,1;12;36;36;12;1
5,25;10;29;8;25,1;13;40;40;13;1
5,25;10;30;8;16,1;11;33;33;11;1
5,25;10;30;8;24,1;12;37;37;12;1
5,25;10;31;8;16,1;12;37;37;12;1
5,25;10;31;8;24,1;13;42;42;13;1
5,25;10;31;8;25,1;14;47;47;14;1
5,25;14;4;8;16,1;9;25;25;9;1
5,25;14;4;8;24,1;10;29;29;10;1
5,25;14;4;8;25,1;11;34;34;11;1
5,25;14;12;8;16,1;10;29;29;10;1
5,25;14;12;8;24,1;11;33;33;11;1
5,25;14;12;8;25,1;12;39;39;12;1
5,25;14;14;8;16,1;11;34;34;11;1
5,25;14;14;8;24,1;12;39;39;12;1
5,25;14;14;8;25,1;13;46;46;13;1
5,25;18;4;8;16,1;8;20;20;8;1
5,25;18;4;24;16,1;9;23;23;9;1
5,25;18;4;25;16,1;10;27;27;10;1
5,25;18;12;8;16,1;9;25;25;9;1
5,25;18;20;8;16,1;9;24;24;9;1
5,25;18;20;24;16,1;10;27;27;10;1
5,25;18;20;25;16,1;11;32;32;11;1
5,25;18;22;8;16,1;10;29;29;10;1
5,25;18;22;24;16,1;11;33;33;11;1
5,25;18;22;25;16,1;12;39;39;12;1
5,25;18;28;8;16,1;10;28;28;10;1
