n,numerator,denominator,exact_fraction,h_n,coefficient_B_squared,coefficient_H_squared
122,-185508095071040163021459827580641519666209883490623759575342769439475,883423532389192164791648750371459257913741948437809479060803100646309888,-185508095071040163021459827580641519666209883490623759575342769439475/883423532389192164791648750371459257913741948437809479060803100646309888,45078467102262759614214738102095889278889001688221573576808292973792425/883423532389192164791648750371459257913741948437809479060803100646309888,0,1
123,-366491602457420809871664537415413733974707330798549378673238154258475,1766847064778384329583297500742918515827483896875618958121606201292619776,-366491602457420809871664537415413733974707330798549378673238154258475/1766847064778384329583297500742918515827483896875618958121606201292619776,89790442602068098418557811666776364823803296045644597774943347793326375/1766847064778384329583297500742918515827483896875618958121606201292619776,0,1
124,-2896465890389293497372832634412140800767848259536922508869140251397625,14134776518227074636666380005943348126619871175004951664972849610340958208,-2896465890389293497372832634412140800767848259536922508869140251397625/14134776518227074636666380005943348126619871175004951664972849610340958208,715427074926155493851089660699798777789658520105619859690677642095213375/14134776518227074636666380005943348126619871175004951664972849610340958208,0,1
125,-5723416599409243950808717285598390222317268160844958877525421136761707,28269553036454149273332760011886696253239742350009903329945699220681916416,-5723416599409243950808717285598390222317268160844958877525421136761707/28269553036454149273332760011886696253239742350009903329945699220681916416,1425130733252901743751370604113999165356999772050394760503829863053665043/28269553036454149273332760011886696253239742350009903329945699220681916416,0,1
126,-22621122750046059424624930224031732783444440826196742230219521635772461,113078212145816597093331040047546785012958969400039613319782796882727665664,-22621122750046059424624930224031732783444440826196742230219521635772461/113078212145816597093331040047546785012958969400039613319782796882727665664,5677901810261560915580857486231964928644554647375382299785099930578887711/113078212145816597093331040047546785012958969400039613319782796882727665664,0,1
127,-44707888269776070201424074694739881327909879113191986612481101815581793,226156424291633194186662080095093570025917938800079226639565593765455331328,-44707888269776070201424074694739881327909879113191986612481101815581793/226156424291633194186662080095093570025917938800079226639565593765455331328,11311095732253345760960290897769189975961199415637572612957718759342193629/226156424291633194186662080095093570025917938800079226639565593765455331328,0,1
128,-11311095732253345760960290897769189975961199415637572612957718759342193629,57896044618658097711785492504343953926634992332820282019728792003956564819968,-11311095732253345760960290897769189975961199415637572612957718759342193629/57896044618658097711785492504343953926634992332820282019728792003956564819968,2884329411724603169044874178931143443870105850987581016304218283632259375395/57896044618658097711785492504343953926634992332820282019728792003956564819968,0,1
129,-22359142726547311387944761076985608092016324426260317955846653361490382755,115792089237316195423570985008687907853269984665640564039457584007913129639936,-22359142726547311387944761076985608092016324426260317955846653361490382755/115792089237316195423570985008687907853269984665640564039457584007913129639936,5746299680722659026701803596785301279648195377548901714652589913903028368035/115792089237316195423570985008687907853269984665640564039457584007913129639936,0,1
130,-88404610472656292718489286104389250456126082731521564840809075598508128739,463168356949264781694283940034751631413079938662562256157830336031652518559744,-88404610472656292718489286104389250456126082731521564840809075598508128739/463168356949264781694283940034751631413079938662562256157830336031652518559744,22896794112417979814088725101036815868136655427464085293769550580013605343401/463168356949264781694283940034751631413079938662562256157830336031652518559744,0,1
131,-174784687881053281023578054206387907390356148301252559494424050229111491171,926336713898529563388567880069503262826159877325124512315660672063305037119488,-174784687881053281023578054206387907390356148301252559494424050229111491171/926336713898529563388567880069503262826159877325124512315660672063305037119488,45618803536954906347153872147867243828882954706626918028044677109798099195631/926336713898529563388567880069503262826159877325124512315660672063305037119488,0,1
132,-1382387985968330495368299155995977085723725900200815697819535669993881793807,7410693711188236507108543040556026102609279018600996098525285376506440296955904,-1382387985968330495368299155995977085723725900200815697819535669993881793807/7410693711188236507108543040556026102609279018600996098525285376506440296955904,363568040309670920281862678026941973545339911752814528526537881208390911771241/7410693711188236507108543040556026102609279018600996098525285376506440296955904,0,1
133,-2733594288042638498359869759601067470265713622201612996440134445175871517077,14821387422376473014217086081112052205218558037201992197050570753012880593911808,-2733594288042638498359869759601067470265713622201612996440134445175871517077/14821387422376473014217086081112052205218558037201992197050570753012880593911808,724402486331299202065365486294282879620414109883427444056635627971605952025405/14821387422376473014217086081112052205218558037201992197050570753012880593911808,0,1
134,-10811977407929838836796499795437057904782300147513842448606501910023969433215,59285549689505892056868344324448208820874232148807968788202283012051522375647232,-10811977407929838836796499795437057904782300147513842448606501910023969433215/59285549689505892056868344324448208820874232148807968788202283012051522375647232,2886797967917266969424665445381694460576874139386195933777936009976399838668405/59285549689505892056868344324448208820874232148807968788202283012051522375647232,0,1
135,-21383688651239014588330855150975514522791660291749599509466192666491850656803,118571099379011784113736688648896417641748464297615937576404566024103044751294464,-21383688651239014588330855150975514522791660291749599509466192666491850656803/118571099379011784113736688648896417641748464297615937576404566024103044751294464,5752212247183294924261000035612413406630956618480642268046405827286307826680007/118571099379011784113736688648896417641748464297615937576404566024103044751294464,0,1
136,-338365426304899701427117649153671376860644506969449545179200342781547519216471,1897137590064188545819787018382342682267975428761855001222473056385648716020711424,-338365426304899701427117649153671376860644506969449545179200342781547519216471/1897137590064188545819787018382342682267975428761855001222473056385648716020711424,91697030528627819086748882920644943129234661388720826743563292893799377707663641/1897137590064188545819787018382342682267975428761855001222473056385648716020711424,0,1
