q,K_infinity,asymptotic,ratio
0.365,3.2758097583206263736141812839906656,3.2758097685424195203185150597040959,0.99999999687961332649284195764648847
0.374,3.438262825058264697288195076692893,3.4382628316634282706068694868219507,0.99999999807892418447745526521900314
0.383,3.6142694284939963528335401658199282,3.6142694327167483504423007856529714,0.99999999883164438174310861456622535
0.392,3.8053379747624696204313569074931897,3.8053379774319507331937455574929322,0.99999999929849040253609750127254979
0.401,4.0131855002407680224516232039293455,4.0131855019085098756732169975212615,0.99999999958443439695760818028585638
0.41,4.2397721589171038709809577213007406,4.2397721599461610037041438606745062,0.99999999975728480354560994099819235
0.419,4.487342349068452383283395852373166,4.4873423496951848647667896144128652,0.99999999986033325905567104801615446
0.428,4.7584739412636288197956174832748767,4.7584739416401283711585438964504224,0.99999999992087808907215401871413711
0.437,5.056137433053450888370198029218633,5.0561374332763849786085617472821117,0.99999999995590822180363438453832418
0.446,5.3837673199174513631498691922330916,5.383767320047465240091637895931203,0.99999999997585076226128166803263461
0.455,5.7453485681254147220565796623601311,5.7453485682000347069587296032648392,0.99999999998701210483291395818041351
0.464,6.1455218446576284185406315942399471,6.1455218446997400069157979879008872,0.99999999999314759764274763619437775
0.473,6.5897121581116974232880588124940217,6.5897121581350445637315115789736798,0.99999999999645703182731121836528893
0.482,7.0842868683504419076402451287514075,7.084286868363145588737812729192389,0.99999999999820678053647157859514812
0.491,7.6367507348150779447113077911144402,7.6367507348218549637386636559782801,0.99999999999911257820731869747857153
0.5,8.2559879357782500655441408494322731,8.2559879357817906832794594883580573,0.999999999999571145480969823575896
0.509,8.9525639994714847025746569610419795,8.9525639994732941009020261231701289,0.99999999999979789048953175711454542
0.518,9.7391046161910131999524729295454045,9.7391046161919165375409908611694919,0.99999999999990724634100181323455165
0.527,10.630773731645765501095188841289147,10.63077373164620547953236631661328,0.99999999999995861275498059693773578
0.536,11.645880698559208659177156937416143,11.645880698559417414443198048381417,0.99999999999998207475489020476045055
0.545,12.806656360042765529217330349609723,12.80665636004286186279263768099257,0.99999999999999247785115809814939585
0.554,14.140251868777519960160229797084535,14.14025186877756312266362998806088,0.9999999999999969475435232171425452
0.563,15.680033429017147126379181324125022,15.680033429017165868475159235190971,0.99999999999999880471581500411175824
0.572,17.467273357221491691366192778005964,17.467273357221499562532761824351103,0.99999999999999954937634466044658256
0.581,19.5533764072277132741944845160693,19.553376407227716464424561030856244,0.99999999999999983684505376086611553
0.59,22.002835459556391413603627325575661,22.002835459556392658510708901572763,0.99999999999999994342060668206732405
0.599,24.897190396372843276810175482516596,24.89719039637284374332153123857887,0.99999999999999998126248993042901137
0.608,28.340380469485230776502699118220174,28.340380469485230943909793501734884,0.99999999999999999409298352350047122
