n,primitive_orbits,B_n,proved_divisor
93,14706019996894066637976168625093534748712300168772153040128854,1700314486864847570583439545044922505343080144383414619046,2883
94,71745597375487823656369727850626583120517953023839438081650434,16239383742754147500310033465510770285314158674477011788513/2,2209
95,350081324579535248871872553266346458122324204587511746960144075,38790174468646564971952637481035618628512377239613489967883,9025
96,1708498788574749129098010062431844465371289981850246831093522432,185383983135280938487197272399288678968238930322292407887752,3
97,8339326147947210787427477090962005751811450414501270183383108067,886313757885770091128438419700500133044048295727629948281763,9409
98,40711429297462597783826699971445398280524576732642930228110710360,4239007631972365450211026652586984410716844724348493359861590,2401
99,198778516504289817822325935623451203097557218131351706820923378509,60844357668898015862358719199097399172806004937665046471050927/3,3267
100,970708618064591549366931861645411434830701135905321978690308737500,388283447225836619746772744658164573932280454362128791476123495/4,625
101,4741037074750113131941313926309600685353433718428916304912259523859,464761991446928059204128411558631573899954290601795540134522059,10201
102,23159093888428906336265446958739454214096033899445301629769699393342,13355878828390372742944317738604068174219166031975375795714936213/6,867
103,113144195379917227846014347085964707827923943624616595943129399383793,10664925570734020911114558119140796288804217515752341968435234177,10609
104,552846150030324543639268852665834703790189920156352509466495106495968,102227468570696106442172494945605529547002573993408378229751314071/2,169
105,2701695659087222046057416087654249913397507243725228493360696444077600,245051760461426035923575155342789107791157119612265622980562035744,3675
106,13204669807163590597664832301772588361731727296467968951762149052887978,2350421823987823175091639783156388102835836115426836766066598265021/2,2809
107,64547071820855651271730627611754749373846233462405629420445258608080507,5637791232496781489364191423858393691488010608996910596597542021843,11449
108,315560290696566375553894121967191153509079647134519044189625484076397120,81162626207964602765919270053289905737932008007849548402681451665740/3,243
109,1542921767915227199267668808643801221236351585644180007225940705080160211,129864638322971736324187257692433399649554043064066998335656990579931,11881
110,7545016676035032467410819979405235059114989253393984970684119655024415700,623555097192977889868662808215308682571486715156527683527613194630117,3025
111,36900330066655557208471352996574535706471265836944204748028158282982748602,2994913567620774061234587533201407004826821348668468853829085162160762,4107
112,180489974466491858318486205489217009097611840298228898856135659646245062144,14388550260402731052175239595760284526276454105407278288913875928431526,49
113,882933030891428989736249293935542679176454114806609713641950737060219983943,69146607478379590393629046435550370363885512945932313700520850267070247,12769
114,4319697949268772897897772051278829068077540683086407815132764905957450232594,1994320382857235871605619598928360603913915366152542850938487952888942859/6,1083
115,21136303794890566609719723483877435486689560877814300649838886120240090651725,1598208226456753618882398751143851454570099121195788328910312750112672261,13225
116,103431752933030835973585688601590279051655777198048742119548697338659206846092,30746656638831996424966019203802104355426806539253490523052525962740549003/4,841
117,506205738690389419634086914501105066589693631115985740910007636792189647753587,36979015172064388898684119694726062282832466295272535679012903557030436683,4563
118,2477694507744197309193759516799390357201967654929774381983515392994405488215962,355888323433524462682240666015425216489797135152222692040148720625453244501/2,3481
119,12128725447699496847251094738798829627630255198647939348875073356119108988610989,856487920888319811259875343464361953790710768918009981560276347441501941149,14161
120,59378401832268953245373373405835762400284296686044608170585188569042917935387200,4123500127240899530928706486516372388908631714308653345179526983961313745513,75
121,290728102525830442267279537403675390062866161514302097813949298199651551023468861,19857120587789798665888910416206228403993317499781578977798599699450280105421,14641
122,1423606461537658126062895001302470580611362497009754322813243622224232193755130726,191293531515406896810386321056499674900747446521063467188019836364449367610203/2,3721
123,6971666273974565450295797576668709991431492075248117839130160440959333670319840946,460814744793083842309194102496444576074525221445443706730792546827902285036674,5043
124,34144929803324751798088912234129658351687519325380816874776794197343280827490678740,8882656036244732517713036481303240986391134059672428947652651976416046000908085/4,961
125,167246933553443655915450547840602024615132578510524334358104365676528549867690437500,10703803747420393978588835061798529575368485024673557398918679403297827191532188,15625
126,819278833493562143577337285683940042692743292755830209306406030638434817624837766398,309629188773077151767701166169289509710031478743700003517160253453679069397142013/6,1323
127,4013712670447649023919175952282609313628171533319267183388608575984020739274014669537,248850683269120777724544358130238037921022477110748786867667467045943377721744353,16129
128,19665326236935842418969032779529456991304360193059595999124153482324936213237352005632,1200276259578603663267152879609952208941916515689672607368417570942684095046225098,1
129,96359765786337268831067221769156334645268739735875206598042367244531149131106541409551,17371509966889718556168599561773271073601719800951001730312307056883206982351999533/3,5547
130,472203723485581318398922286153097257266538209363775391333590831697878365371735605568800,27941048726957474461474691488348950134114686944602094161750936786856708010161870152,4225
131,2314203636015589076900088035584045749531610042106233883175928131692889548048906495959153,134852493212259721280816271521708860178987823676139728639119406310406709868242322473,17161
132,11342574580581849634902597232486594680480714367448779102060993670507407264136667389800116,7811690482494386800897105532015561074711235790253980097838149910817773597890266797383/12,363
133,55597984916559550180650399466618935119630332810723916690347023990070305602773869996154423,3143082419388294995796845467048387987994252519120578703733790716833642693355976595407,17689
134,272548148517350714214425622888720701285812678799749037114624297405030232003835524740398954,30357334430535833617111341377669937768524468567581759536046368612723349521478672838093/2,4489
135,1336175952145115549428622869944263026513184946365618809068318170383450285545424349789474250,73315552929773144001570527843306613251752260431584022445449556673989041730887481469930,6075
136,6551183472093714853056584641523859234904434242551730793074783629846487240426475118165778080,708389216273109305045045917119794467442088477784572966379193731601047495720855873504085/2,289
137,32122626417484198437046493374625465754030914243792331709502392241399956825181490764317552407,1711472450182971838512786689468030569238154096850782231845191125867119016739383598716903,18769
138,157520468032674994400594736388675145305057981936555975290068105947389813729125533435830036834,49628376821888782104787251540225313580673592292550716852573442327470010626693614819102091/6,1587
139,772497534464888753731032820064096976153333936343765662854759149413447295564691873079174085001,39982274958070946313908846336323015172782668409697513734007512520751891494471915174120081,19321
140,3788705800390569752741170738149641666641219906453646789936746329564558894484487579717077842800,193301316346457640445978098885185799318429587063961570915140118855334637473698345903932543,1225
141,18583086872282058872861955322765622583666290886563722726368777388129064118225140641203837611490,934715903238371252596044229302631788323841400662125784737627754546001917319306908163766290,6627
142,91154383037718264463671660804819284174927665026993608288070067644708474101832791435556941764178,9041299646669139502447099861616671709475070921145963924625081099455313836722157452445639929/2,5041
143,447166767628481139574720428098294635716642003634921223791620301746527946450227070589591804721694,21867414916547564163270596513193536882812949466229215305962164494426521905727765200723351006,20449
