profile,n,sign
eventually even exponent,51,-1
eventually even exponent,52,1
eventually even exponent,53,-1
eventually even exponent,54,1
eventually even exponent,55,-1
eventually even exponent,56,1
eventually even exponent,57,-1
eventually even exponent,58,1
eventually even exponent,59,-1
eventually even exponent,60,1
eventually even exponent,61,-1
eventually even exponent,62,1
eventually even exponent,63,-1
eventually even exponent,64,1
eventually even exponent,65,-1
eventually even exponent,66,1
eventually even exponent,67,-1
eventually even exponent,68,1
eventually even exponent,69,-1
eventually even exponent,70,1
eventually even exponent,71,-1
eventually even exponent,72,1
eventually even exponent,73,-1
eventually even exponent,74,1
eventually even exponent,75,-1
eventually even exponent,76,1
eventually even exponent,77,-1
eventually even exponent,78,1
eventually even exponent,79,-1
eventually even exponent,80,1
eventually even exponent,81,-1
eventually even exponent,82,1
eventually even exponent,83,-1
eventually even exponent,84,1
eventually even exponent,85,-1
eventually even exponent,86,1
eventually even exponent,87,-1
eventually even exponent,88,1
eventually even exponent,89,-1
eventually even exponent,90,1
eventually even exponent,91,-1
eventually even exponent,92,1
eventually even exponent,93,-1
eventually even exponent,94,1
eventually even exponent,95,-1
eventually even exponent,96,1
eventually even exponent,97,-1
eventually even exponent,98,1
eventually even exponent,99,-1
eventually even exponent,100,1
eventually even exponent,101,-1
eventually even exponent,102,1
eventually even exponent,103,-1
eventually even exponent,104,1
eventually even exponent,105,-1
eventually even exponent,106,1
eventually even exponent,107,-1
eventually even exponent,108,1
eventually even exponent,109,-1
eventually even exponent,110,1
eventually even exponent,111,-1
eventually even exponent,112,1
eventually even exponent,113,-1
eventually even exponent,114,1
eventually even exponent,115,-1
eventually even exponent,116,1
eventually even exponent,117,-1
eventually even exponent,118,1
eventually even exponent,119,-1
eventually even exponent,120,1
eventually even exponent,121,-1
eventually even exponent,122,1
eventually even exponent,123,-1
eventually even exponent,124,1
eventually even exponent,125,-1
eventually even exponent,126,1
eventually even exponent,127,-1
Pascal rank 3,0,1
Pascal rank 3,1,1
Pascal rank 3,2,1
Pascal rank 3,3,1
Pascal rank 3,4,-1
Pascal rank 3,5,-1
Pascal rank 3,6,-1
Pascal rank 3,7,-1
Pascal rank 3,8,-1
Pascal rank 3,9,-1
Pascal rank 3,10,-1
Pascal rank 3,11,-1
Pascal rank 3,12,1
Pascal rank 3,13,1
Pascal rank 3,14,1
Pascal rank 3,15,1
Pascal rank 3,16,1
Pascal rank 3,17,1
Pascal rank 3,18,1
Pascal rank 3,19,1
Pascal rank 3,20,-1
Pascal rank 3,21,-1
Pascal rank 3,22,-1
Pascal rank 3,23,-1
Pascal rank 3,24,-1
Pascal rank 3,25,-1
Pascal rank 3,26,-1
Pascal rank 3,27,-1
Pascal rank 3,28,1
Pascal rank 3,29,1
Pascal rank 3,30,1
Pascal rank 3,31,1
Pascal rank 3,32,1
Pascal rank 3,33,1
Pascal rank 3,34,1
Pascal rank 3,35,1
Pascal rank 3,36,-1
Pascal rank 3,37,-1
Pascal rank 3,38,-1
Pascal rank 3,39,-1
Pascal rank 3,40,-1
Pascal rank 3,41,-1
Pascal rank 3,42,-1
Pascal rank 3,43,-1
Pascal rank 3,44,1
Pascal rank 3,45,1
Pascal rank 3,46,1
Pascal rank 3,47,1
Pascal rank 3,48,1
Pascal rank 3,49,1
Pascal rank 3,50,1
Pascal rank 3,51,1
Pascal rank 3,52,-1
Pascal rank 3,53,-1
Pascal rank 3,54,-1
Pascal rank 3,55,-1
Pascal rank 3,56,-1
Pascal rank 3,57,-1
Pascal rank 3,58,-1
Pascal rank 3,59,-1
Pascal rank 3,60,1
Pascal rank 3,61,1
Pascal rank 3,62,1
Pascal rank 3,63,1
Pascal rank 3,64,-1
Pascal rank 3,65,-1
Pascal rank 3,66,-1
Pascal rank 3,67,-1
Pascal rank 3,68,1
Pascal rank 3,69,1
Pascal rank 3,70,1
Pascal rank 3,71,1
Pascal rank 3,72,1
Pascal rank 3,73,1
Pascal rank 3,74,1
Pascal rank 3,75,1
Pascal rank 3,76,-1
Pascal rank 3,77,-1
Pascal rank 3,78,-1
Pascal rank 3,79,-1
Pascal rank 3,80,-1
Pascal rank 3,81,-1
Pascal rank 3,82,-1
Pascal rank 3,83,-1
Pascal rank 3,84,1
Pascal rank 3,85,1
Pascal rank 3,86,1
Pascal rank 3,87,1
Pascal rank 3,88,1
Pascal rank 3,89,1
Pascal rank 3,90,1
Pascal rank 3,91,1
Pascal rank 3,92,-1
Pascal rank 3,93,-1
Pascal rank 3,94,-1
Pascal rank 3,95,-1
Pascal rank 3,96,-1
Pascal rank 3,97,-1
Pascal rank 3,98,-1
Pascal rank 3,99,-1
Pascal rank 3,100,1
Pascal rank 3,101,1
