theta,Q_direct,Q_fourier_4,Q_first_harmonic,abs_error,tail_bound
0.513618677043,-1.64044587553479337520603162208,-1.64044587557556570414399370372,-1.64044587557245208945632576652,4.0772328938e-11,3.69426066668e-56
0.517509727626,-1.64044580366032712539330211766,-1.6404458037009896366354404002,-1.64044580369784548255356685725,4.06625112421e-11,3.71424187367e-56
0.52140077821,-1.64044572992746053899735550247,-1.64044572996801352833070571089,-1.64044572996484635058187049834,4.05529893334e-11,3.73433115333e-56
0.525291828794,-1.64044565438026261877091296891,-1.64044565442070638118582710752,-1.64044565441752375053292195135,4.04437624149e-11,3.75452909021e-56
0.529182879377,-1.64044557706388677823460175564,-1.64044557710422160792689391981,-1.64044557710103113207143397045,4.03348296923e-11,3.77483627199e-56
0.533073929961,-1.64044549802454385426650668798,-1.64044549806477004463959311033,-1.64044549806157935003639356332,4.02261903731e-11,3.79525328955e-56
0.536964980545,-1.6404454173094744876362200359,-1.64044541734959233130325335712,-1.64044541734640904493027702819,4.0117843667e-11,3.81578073696e-56
0.540856031128,-1.64044533496692088802035151118,-1.64044533500693067680634930795,-1.64044533500376240793330230244,4.0009788786e-11,3.83641921151e-56
0.544747081712,-1.64044525104609800034859118991,-1.64044525108600002529255875587,-1.64044525108285434729181437314,3.9902024944e-11,3.85716931371e-56
0.548638132296,-1.64044516559716408976060660351,-1.6404451656369586411176540404,-1.64044516563384307336098387028,3.9794551357e-11,3.87803164731e-56
0.552529182879,-1.64044507867119076268006604238,-1.6404450787108781299235196212,-1.64044507870780011980790570027,3.96873672435e-11,3.89900681936e-56
0.556420233463,-1.64044499032013244200101339147,-1.64044499035971291382452124341,-1.64044499035667981897001457298,3.95804718235e-11,3.92009544015e-56
0.560311284047,-1.64044490059679531457254599933,-1.64044490063626917889217812144,-1.64044490063328824955435761417,3.94738643196e-11,3.94129812331e-56
0.56420233463,-1.64044480955480576959088472107,-1.64044480959417331354722734213,-1.64044480959125167528630026963,3.93675439563e-11,3.96261548576e-56
0.568093385214,-1.64044471724857834671562731596,-1.64044471728783985667587161034,-1.64044471728498449332384317882,3.92615099602e-11,3.98404814777e-56
0.571984435798,-1.64044462373328321310401385723,-1.64044462377243897466403903841,-1.64044462376965671163066620348,3.915576156e-11,4.00559673296e-56
0.575875486381,-1.64044452906481318877424674161,-1.64044452910386348676069753414,-1.64044452910116097471813236079,3.90502979865e-11,4.02726186833e-56
0.579766536965,-1.64044443329975034004286929031,-1.64044443333869545851522781979,-1.6404444333360791575003504536,3.89451184724e-11,4.04904418427e-56
0.583657587549,-1.6404443364953321609702868632,-1.64044433653417238322293896577,-1.64044433653164854719538186667,3.88402222527e-11,4.07094431457e-56
0.587548638132,-1.64044423870941736302958038589,-1.64044423874815297159387634138,-1.64044423874572763348665215622,3.87356085643e-11,4.09296289645e-56
0.591439688716,-1.64044414000045129346620908268,-1.64044414003908257011251879741,-1.64044414003676152741098671645,3.86312766463e-11,4.1151005706e-56
0.5953307393,-1.64044404042743100302175038326,-1.64044404046595822876151305069,-1.64044404046374702964515555109,3.85272257398e-11,4.13735798113e-56
