radices,h,rank,multisets,sumset_size,collision_generators
"3,5,6,6",4,1,126,120,6
"3,5,6,6",5,2,252,230,22
"3,5,6,6",6,4,462,398,64
"3,6,6,6",0,0,1,1,0
"3,6,6,6",1,0,6,6,0
"3,6,6,6",2,0,21,21,0
"3,6,6,6",3,1,56,55,1
"3,6,6,6",4,1,126,120,6
"3,6,6,6",5,1,252,231,21
"3,6,6,6",6,4,462,403,59
"4,4,4,4",0,0,1,1,0
"4,4,4,4",1,0,6,6,0
"4,4,4,4",2,0,21,21,0
"4,4,4,4",3,0,56,56,0
"4,4,4,4",4,4,126,122,4
"4,4,4,5",0,0,1,1,0
"4,4,4,5",1,0,6,6,0
"4,4,4,5",2,0,21,21,0
"4,4,4,5",3,0,56,56,0
"4,4,4,5",4,3,126,123,3
"4,4,4,5",5,4,252,233,19
"4,4,4,6",0,0,1,1,0
"4,4,4,6",1,0,6,6,0
"4,4,4,6",2,0,21,21,0
"4,4,4,6",3,0,56,56,0
"4,4,4,6",4,3,126,123,3
"4,4,4,6",5,3,252,234,18
"4,4,4,6",6,4,462,398,64
"4,4,5,5",0,0,1,1,0
"4,4,5,5",1,0,6,6,0
"4,4,5,5",2,0,21,21,0
"4,4,5,5",3,0,56,56,0
"4,4,5,5",4,2,126,124,2
"4,4,5,5",5,4,252,238,14
"4,4,5,6",0,0,1,1,0
"4,4,5,6",1,0,6,6,0
"4,4,5,6",2,0,21,21,0
"4,4,5,6",3,0,56,56,0
"4,4,5,6",4,2,126,124,2
"4,4,5,6",5,3,252,239,13
"4,4,5,6",6,4,462,413,49
"4,4,6,6",0,0,1,1,0
"4,4,6,6",1,0,6,6,0
"4,4,6,6",2,0,21,21,0
"4,4,6,6",3,0,56,56,0
"4,4,6,6",4,2,126,124,2
"4,4,6,6",5,2,252,240,12
"4,4,6,6",6,4,462,418,44
"4,5,5,5",0,0,1,1,0
"4,5,5,5",1,0,6,6,0
"4,5,5,5",2,0,21,21,0
"4,5,5,5",3,0,56,56,0
"4,5,5,5",4,1,126,125,1
"4,5,5,5",5,4,252,243,9
"4,5,5,6",0,0,1,1,0
"4,5,5,6",1,0,6,6,0
"4,5,5,6",2,0,21,21,0
"4,5,5,6",3,0,56,56,0
"4,5,5,6",4,1,126,125,1
"4,5,5,6",5,3,252,244,8
"4,5,5,6",6,4,462,428,34
"4,5,6,6",0,0,1,1,0
"4,5,6,6",1,0,6,6,0
"4,5,6,6",2,0,21,21,0
"4,5,6,6",3,0,56,56,0
"4,5,6,6",4,1,126,125,1
"4,5,6,6",5,2,252,245,7
"4,5,6,6",6,4,462,433,29
"4,6,6,6",0,0,1,1,0
"4,6,6,6",1,0,6,6,0
"4,6,6,6",2,0,21,21,0
"4,6,6,6",3,0,56,56,0
"4,6,6,6",4,1,126,125,1
"4,6,6,6",5,1,252,246,6
"4,6,6,6",6,4,462,438,24
"5,5,5,5",0,0,1,1,0
"5,5,5,5",1,0,6,6,0
"5,5,5,5",2,0,21,21,0
"5,5,5,5",3,0,56,56,0
"5,5,5,5",4,0,126,126,0
"5,5,5,5",5,4,252,248,4
"5,5,5,6",0,0,1,1,0
"5,5,5,6",1,0,6,6,0
"5,5,5,6",2,0,21,21,0
"5,5,5,6",3,0,56,56,0
"5,5,5,6",4,0,126,126,0
"5,5,5,6",5,3,252,249,3
"5,5,5,6",6,4,462,443,19
"5,5,6,6",0,0,1,1,0
"5,5,6,6",1,0,6,6,0
"5,5,6,6",2,0,21,21,0
"5,5,6,6",3,0,56,56,0
"5,5,6,6",4,0,126,126,0
"5,5,6,6",5,2,252,250,2
"5,5,6,6",6,4,462,448,14
"5,6,6,6",0,0,1,1,0
"5,6,6,6",1,0,6,6,0
"5,6,6,6",2,0,21,21,0
"5,6,6,6",3,0,56,56,0
"5,6,6,6",4,0,126,126,0
"5,6,6,6",5,1,252,251,1
"5,6,6,6",6,4,462,453,9
"6,6,6,6",0,0,1,1,0
"6,6,6,6",1,0,6,6,0
"6,6,6,6",2,0,21,21,0
"6,6,6,6",3,0,56,56,0
"6,6,6,6",4,0,126,126,0
"6,6,6,6",5,0,252,252,0
"6,6,6,6",6,4,462,458,4
