# m n family_key | target_columns | row_permutation | column_permutation | predecessor_columns
6 6 299067166950440 | 3 5 10 22 44 48 | 0 1 2 3 5 4 | 0 1 3 4 2 5 | 3 5 2 36 8 48
6 6 580542143661096 | 3 5 10 22 44 49 | 0 1 2 3 5 4 | 0 1 3 4 2 5 | 3 5 2 36 8 49
6 7 72638136181589032 | 3 5 10 22 44 49 56 | 0 1 2 3 4 5 | 0 4 2 3 6 1 5 | 3 4 10 22 40 1 48
6 7 145258680172938280 | 3 5 10 22 44 50 57 | 0 1 2 3 5 4 | 0 1 3 4 2 5 6 | 3 5 2 36 8 50 57
6 7 148636379893466152 | 3 5 10 22 44 52 57 | 0 1 2 3 4 5 | 0 1 3 5 2 4 6 | 3 5 2 20 8 36 57
6 6 580542407902248 | 3 5 10 28 44 49 | 0 1 2 3 5 4 | 0 1 2 4 3 5 | 3 5 10 40 28 49
6 7 18594940917384232 | 3 5 10 28 44 49 54 | 0 1 2 3 5 4 | 0 1 2 4 3 5 6 | 3 5 10 40 28 49 54
6 7 162147179039818792 | 3 5 10 28 44 54 57 | 0 1 2 3 5 4 | 0 1 2 4 3 5 6 | 3 5 10 40 28 54 57
6 7 2473938927656 | 3 5 14 22 25 38 41 | 0 1 2 3 4 5 | 0 1 2 4 6 3 5 | 3 5 14 16 9 6 32
6 8 288232850090639400 | 3 5 14 22 25 38 41 58 | 0 1 2 3 4 5 | 0 1 2 4 6 3 5 7 | 3 5 14 16 9 6 32 58
6 7 72057868953600040 | 3 5 14 22 25 38 56 | 0 1 2 3 5 4 | 0 3 2 5 1 6 4 | 3 4 14 38 1 16 24
6 7 282574526103592 | 3 5 14 22 25 40 48 | 0 1 2 3 4 5 | 0 1 3 6 4 2 5 | 3 5 6 16 25 8 32
6 7 1126999456235560 | 3 5 14 22 25 40 50 | 0 1 2 3 4 5 | 0 1 3 6 4 2 5 | 3 5 6 18 25 8 32
6 7 1128098967863336 | 3 5 14 22 25 41 50 | 0 1 2 3 5 4 | 0 1 3 5 2 4 6 | 3 5 6 32 8 25 50
6 7 4507997711646760 | 3 5 14 22 25 42 52 | 0 1 2 3 4 5 | 0 1 3 6 4 2 5 | 3 5 6 20 25 10 32
6 8 76565591749574696 | 3 5 14 22 25 42 52 56 | 0 1 2 3 4 5 | 0 1 2 5 4 7 3 6 | 3 5 14 2 25 40 20 48
6 6 72057868920045608 | 3 5 14 22 38 56 | 0 1 2 3 5 4 | 0 1 2 4 3 5 | 3 5 14 36 22 56
6 6 144115462957973544 | 3 5 14 22 38 57 | 0 1 2 3 5 4 | 0 1 2 4 3 5 | 3 5 14 36 22 57
6 6 282574492549160 | 3 5 14 22 40 48 | 0 1 2 3 4 5 | 0 1 3 5 2 4 | 3 5 6 16 8 32
6 6 564049469259816 | 3 5 14 22 40 49 | 0 1 2 3 5 4 | 0 1 3 4 2 5 | 3 5 6 32 8 49
6 7 288795525132599336 | 3 5 14 22 41 49 58 | 0 1 2 3 4 5 | 0 1 3 5 2 4 6 | 3 5 6 16 8 33 58
6 7 73185692972236840 | 3 5 14 22 41 50 56 | 0 1 2 3 4 5 | 0 1 3 5 4 6 2 | 3 5 6 18 41 48 8
6 7 145245486033420328 | 3 5 14 22 42 50 57 | 0 1 2 3 4 5 | 0 1 3 5 2 4 6 | 3 5 6 18 10 34 57
6 7 76565591716020264 | 3 5 14 22 42 52 56 | 0 1 2 3 4 5 | 0 1 2 4 6 3 5 | 3 5 14 2 40 20 48
6 7 148623185753948200 | 3 5 14 22 42 52 57 | 0 1 2 3 4 5 | 0 1 3 5 2 4 6 | 3 5 6 20 10 32 57
6 6 564049481842728 | 3 5 14 24 40 49 | 0 1 2 3 5 4 | 0 1 2 4 3 5 | 3 5 14 32 24 49
6 7 18578447991324712 | 3 5 14 24 40 49 54 | 0 1 2 3 5 4 | 0 1 2 4 3 5 6 | 3 5 14 32 24 49 54
6 6 1126999435264040 | 3 5 14 24 40 50 | 0 1 2 3 5 4 | 0 1 2 4 3 5 | 3 5 14 32 24 50
6 6 18015498037903400 | 3 5 14 24 40 54 | 0 1 2 3 5 4 | 0 1 2 4 3 5 | 3 5 14 32 24 54
6 6 1128098946891816 | 3 5 14 24 41 50 | 0 1 2 4 3 5 | 0 2 5 3 1 4 | 3 4 18 24 1 40
6 7 5631698574262312 | 3 5 14 24 41 50 52 | 0 1 2 3 4 5 | 1 6 2 3 4 0 5 | 1 4 14 24 41 2 48
6 6 18016597549531176 | 3 5 14 24 41 54 | 0 1 2 4 3 5 | 0 2 5 3 1 4 | 3 4 22 24 1 40
6 6 285873040015400 | 3 5 14 24 42 48 | 0 1 3 4 2 5 | 1 5 2 3 0 4 | 1 16 6 8 2 40
6 6 567348016726056 | 3 5 14 24 42 49 | 0 1 2 4 5 3 | 0 2 4 3 5 1 | 3 4 34 8 48 1
6 7 18581746526208040 | 3 5 14 24 42 49 54 | 0 1 2 3 5 4 | 4 1 6 2 3 0 5 | 2 5 6 8 24 1 48
