n,m_2n_exact,classical_kappa_2n_exact,free_r_2n_exact,boolean_b_2n_exact,free_decimal,boolean_decimal
37,130572689893700141784190070746772294573608136156075867777379387639379218948586204257017725114496528560228336834778027762916017376324799081679190316042141869709206877770836401225886974412773406878603338953510717532938637585487163602006706088433858030391807875240741582465756899363461579880885287817610419935209490774102333896108915602226407957125847702823770780495832295486056157668194601240025482169312730490081/1515300375892922978792108523138872514793800891795968197672406009264427144871148269110939908373356164580356995908867071475846884636410326192016110945484481811843596546489205350156450357598375247983163885491787673733831603624996917322584003411708653530935335720996755264934011810414986431011955340710208052552097986410455684045308078719787812967191170516742423278936938985860583800923745470668102624457705020904541015625,4358925154475562971553582258630373996386936032536583177473008489988096/56668397794435742564349,422661999999567969758367884390038519595589232595022228127223567428657048904388212351814417182634650805422414619865043295472394323979845941983798830204371347655907589759230009618791871312875504722584667319078063997333736917500903562865667426291210883138697518228276022614107468713836892270722740121382249652043477708103121914510323781468590605369202723302350488192441373708783379887528528186581731196447216992364542725432925347498061955866950304023600585806393128281453012/3955095194496265458415712241978304279632369664035158134141550701946980022523205119300077668082453446452389766565246435198711407256912057007617482369946466297034646879467101385656413543229617964532157422459324220237236140452388686280636962919176855478998951747212801484255561714953741220617132677904424380062784303229403952399874143728500078328646839212712128384857666680217195824052467929734801437329689148518721481215863255995601721093253552761213749069468095549382269382476806640625,1232882111894669338916899424819691139487840146981740424117688485186187488853155349623407369229204915483091075795287880051161801631565085877926041603865252131408090604398210883507996030832723253351146549389149444909141840781693523872971870658785484292659517035901793030543191477377437086887666602535447485115445507044490310727216144582283425358492740183047364561097602923578716669241846974881913767737323776398015262578484290046435600526534502703469816934450230065151939478671527218336/21108633019275378730577197387375051608211716461136064011428346811103731302056311608371968818003067953926944654307336384576755045608031236465069949521578042320449058160557364172063351081321747180721815987566329622850365775592336079760410944764624940938406174780044952572367267339451825581641103695130107594699348474285649926101829531806958046837865646278535224096027065906870729362437144288783865828100220381393788282975634483852406961893010317597067070016477948186642606742680072784423828125,1.06865190144531946550819e-13,5.84065349361496434980857e-8
38,417430152553489624597895676159157925886723946020893067365234462292412987938848329062349323165223975981583222595950367915369751077736287523862086529436995738192192937368818609819550623216263187358882139710413416754208711337236335294200486229256618765232749234287866561635130310005564098913583559893494955060992968132263758501714084925229634368709437550452990909297846256978841134570671167370108324687948398339398580994471677998281/5766449725789182787418693979519332585251592215424748400153856321036324931422695800311242446132716352954355896915980986989180865574399312703583585221863621049619764687625311607298084702355564636950854587669942965263838486809745546530124464187712789153679281258275967873385605095590599793542006410275261977149792969320310072218554577894787276951918029950195314512225416065313358476995306864296866075710997604640182423680460453033447265625,-12255827905660117511966739712429968151187569214706882402395405838731706368/1133367955888714851287025,125507547403572527510462069140482285377280009241362233764122975194952149088115876031247326126161095402362477933379625980221450692590498466149125807863211987610094511200742323240328692053997192996296918450457978290311430745788655464992712532117395857782990079322895231303166081347080301672049691492233983091272140829732751947584469543269284537087892301157467734559560367085137520512324025850834739356391033039339890522697453304661590495656633475188878500737922997920701430240815107128723535517532/1884434840586266375409948227370171521694909995074079356013325628623963361704337122183814405957466892516892634448090465169575042483365385304155557509329740274504506370861319121197628546525347610755281639624208297911393572811082388689765811341106036608396507109442865419940037519790797437646930510707550115684396318222655907435642905800335761152428931243997148951082240189929073450060186780000943002588622925347195302847821218770921762404377242641550551659931611763497041099702315314425504766404628753662109375,6160953723978985623982777560338473812178905014561973864120780540764199206941406280849294440067416267338833085540208394675553250027271787688875388240723058621247865144495084920572803086142357428021163405264943693724793650452227555466313173148037064066737010712878245697444221003384749818831741251420313465570884035866378630528615988572267140342002030906189409128662947303008399103283090317337537294150291319983578871104081752474345506308788488970602824366230548340789715371728913458187601363156255270859527584/125248382049579051960041207836906631446694137370577258376193182395920426323654157886017112776343698682054035370263772234258018627604107068499537045774647288214830522759073267517595396497767830063987638920699851874493139777065518661335257663408524332384990003538786210327886307490766470159097268405963171981342524013707178636666477441269055779367067382727477866145924317221638623380304998761193698729937497091479180481178167231659141223507191521076435494440023412190365464572425543643480637183529324829578399658203125,6.66022218972166128516982e-14,4.9189886712789612521628e-8
39,12279899644409169631701174310382727989001113246990095349082561177966302840656644515244977449500287564077930420822821255529185202589970733953645245529500557843016456547518643173829252450720049980509533701412196780707315917482801819826760590090651104692622543886322699932912510928851049718158805712387450248066623169365017991694858907918827767254922033173928086798634150963037311839760721911080850826743636297252764908610862570508964820284857901458023499887/201226656759334200563644123715500901822918663577939881306371636708537095451590295822480971073034610428414362470363436952795480185791125583660387438088990997321469863754256497630477546722950470018041475638513540940398364125215654430636015961933896998755863942924229131631492460458175513189468065189273713063536202560897083021917893870039450432550179070415082626013863169653802239705867392568158290041046597020635721937752489874405519396702496586835384368896484375,2411146550564382364920638856605366540363573804328648583242304271724979488292864/1504205951055502350628154511,25339766950456301834361942286970807923069677129011329085728278516287846412472119549100415238621550876262771420136771315722015886828042206606235477148268614228146962357113778782424235287006304499733322083327908585085475778358965811340413429632088515552457063390120093089301109571020487588141363307906478443205870475456518374124240499070873003039370205118778533657757503684137575354257672792382577419449756986120068775931149914852786366677490522157103857361767614741720985227042106181751424920215176836830383835415680820637227272/608317027134634270185957989522351144601369083168197832129981675165436610479384284965740293401614203777684836979523673741154222590037987826999962330231558959406795027005699529118771801894318524180386717936152737387381381227368852537188916764355211251041113235597958950607360102300935580012974480322502838572183542690422838899087618337204942394618635070847818400741355844576852871419660599510990299791148527848540214657781405234491770177622400407011150315585164615825710258227631129448263150764458255643714542971845876309089362621307373046875,2958433768373481269637388799242152757917374086519872968568526587818325534616975896491868142314301512768898756244492991513968315930001354593604117921003649631683450978425424256118932837701780705421420615963054427068476108091160886814861944600298563915795683836800134575351979825823318648344669716671791282984137946498754436203745841488440834478344317631297254088585245747344975931103909687481757916426263389607838951967660812756756612270448499207030689867173131492289961691837643046291543329504591866421808490518255727636684819443434976/71173092174752209611757084774115083918360182730679146359207855994356083426087961340991614327988861841989125926604269827715044043034444575758995592637092398250595018159666844906896300821635267329105245998529870274323621603602155746851103261429559716371810248564961197221061131969209462861518014197732832112945474494779472151193251345452978260170380303289194752886738633815491785956100290142785865075564377758279205114960424412435537110781820847620304586923464260051608100212632842145446788639441615910314601527705967528163455426692962646484375,4.16555279897632065200263e-14,4.15667449309298062614605e-8
40,54074276758799263758992877145917855828190693411054849207750702017145107776589916462017133140403503811274036396701030278120500176731758312550604252282049717188857850365464809757775642437355456949722559666444169897309553517585745579821854037129836058166225792782816280859179154764206857826939661831805991436110191426105957912734021399933804819339480427212422330901789043089643400794818776947517396827623443129364253206659734105285616955507372923093844739910522940387490647927111/1047611553097476448306347401190299499689923516064064223404502910643828665963826245304213783766804151719002504453788985906280325638198038233749841941401930145830296316658540299524686808933156839682547978530794245507887856074045510025168600787723235103360293296211819871915478242470605500620557509601761617832890355720341524876416352442589022562090799391570424169079881178838638526202692308823512922222317367534785009225851631254227476851099825168447652772833222059038579463958740234375,-173926053361786398562866014832201637412266316412230967342944837519410616617670803456/695162569423902141185418279375,654544531507787825656700016862354705383841577680226182923258451813466005866177088695806117652361922735427156230956521162109485291538043679103216035141697252504497536552370975931592761717447300766820236123323445483023511024654193529348956618287673782886223730055260613628992842454333982093635627491109907728792052627227563992290028129376466799957972372447357821130192691233364864994811668206797815163806830093465143834684194580521738537590330115984361076670040070824927163330177155860655873357426001211729779947953244765813860276711399155972200757553502/25038964992343082416605379944417908430535032617510839129074782353787487325829758098034662228600126496976040118104760136395058243257318769788125398955535684595718531524981404354736141556848765410158180760341028331663230405145522682682384771552447271539610017780930554496044686617426112585266449548380702561756913948920143097534894639168343509206664271033069399809542738116571713701188594955663208639946326261257912056175858629637994244309666952825487492922808546307757864933185359722952032226297702563409359368438680420509806811357227387152306619100272655487060546875,627202950387320106516819060636072476412494182909542756560752762169857771001438755539322965186110953288017262487162887928156982875340699231823661095994124985030851712789933452712888851379131100130496525749724939689373416917252141608271377764624910245912037297942075143753927677719232667072131946641022885450833993508325990322636021475082651203392555799971582402595074743184701078843855550458647181073312470238439313254333964362691233591495240315716859221727804525354845070365079024634562294188431319395389979226160797596379905574281284938149145186859168/17799063748132149871084197257888431148112759918555526310173348133883221852100891805205788772716710599573826420646545535297259501046608976042261459113677776083212334207957969577841502134654714335770847727628378959548797784836501704171018126571000575473741477678189946813064742646027068408168456793864711321830641151653728140642132749296083453890383164358762683167360001088944216086219294307321983288893240064544290077882061066963088363406386017511407412417577765813339417250586318040505519170253584110403392430277147154226466850641709243063814938068389892578125,2.61410378467299905564591e-14,3.52379742700308807703342e-8
41,1613689368176802674383431551446222688166457696048377542625932300426063452187382844855758265994675232878886780204939338060906123597890833670248742121977564952587669262904612033412841799317302592323586879653974957091898734487337987043844996471548628091244596900177057673827178648449964372783191182367031831316258056433213984318827387837863041351212275058910344428333280096257047164602462503696658971482491203392920928854846305227086015293300771282099132382563723046004529116040134799895301473629675222161/36843606002376667746361315834559906686922244133128171440474279692585064167442039633104715248663545278432379044065866294563200258247363477566026536707618504442768399238836395193912184813902355743470650225691589198648416653198437583833746254645797281670434014976450947195359399989162424817156974299236322932635357841478562897460725769321500443269023149690466028667716719950776686097787486034258888244327741751063827941812754245448559708198864640029327154299659775756177940978729091495165964480936527252197265625,49448431824609327704880939670195942462254231504262130383120611327582033694758535168/1204090116336170658007351047,63491750694667731820893193463371758415679521289552604661141580738082378298515701198717919747761617308906441795078501553555753391994997041522440089753639747175590257915065014229266680045147040925126813980181121882611056095905313412668110116543012118099582615212843902754051866931572610310011174929535442016637855667244246132827899377158622489928288162359378091766466124872254766329970330838191805528177689914264721948059808104603183337651873487959317718179975243676522537416169076177846269115654403581868354033896860304439307063367963943918317452866511903385578125739450844/3857793125868425407434048079802155541848751123629310207527227077255070142392095553870903872445731830387716375334913565121548479810587096709228145189332547421966057999640771977887790164468255495976485897669055615068645515561263493018659930944099300097512381827607495073878569438539428862606377101049576036943616760085243480919289886993452317866389503242144230225517677637078681312127382446864618480187588727052095843410002172180498239332663515669451898632645320783013653055523512884749853631895422373155334088835395612794138321931441709472826315580984516431924930657260119915008544921875,73176861517486807129300089155806229498250526940146645149303776348768782971655553524883627068624623325821095740989883874805282424192048847099442955981409788451122003204516082758062572529917234985725444957151515598452843075294030034674614756575656210389978921186331206670925852818775330588751850022781915131763947020240764485403628751196886508075581666234745343402646661688175278916314673453224781894575911171412280757573673916373581353396375778050724532448859863133178774207689673411640131899749495601370033170934818027173623516488979865137166968746698011366326017530086231610268128902816/2442082791915982611044661641827867742721793960717654797180150356358541829972728033230827483477770333031899139993884570912166405356047134946326832998541372711118109646202189374162459462923108055698964045267396437771380211180084627548423733740129416649129358879507697173550269585008291906963079392844329268173744586345291127392109666706883532919102991052883623371825170703826111939881958142338467182669548914330514600816562740596417112279553951433960685513303635100416487202146134216472292556455455018352784409395672262052258350228916139521697477687152545256080828525127799366600811481475830078125,1.64580496214076132900083e-14,2.99649388463502932096238e-8
42,603350167822932908496153967499066981020827465135996978568178298946453213703080067431593255004615203650498918303554653888829732406162838410216049415378796417633423280832530996052736068288848989407672249404717072940966385748777038542543772291845164096717320257598315046658787468264514791695677695292342360747187887887734280736270888378878042023190156613976619278233665000317942337290131195963664017108308089181020278884155685393431707825815642135060020428147995007876691829460555625854138934575500052342945877083012339323019424601/16185086594854067397956418600681886930357581007544395164126394913003595938159501903675887627602370723193656817404269829557999097978916614277377052657512641129172182846544643103782191329981820228382652085358105600872395766170246568740298854174282946724725894381489933009282072470246096820618312890136680577111151159509168121153125615241002490942216238752939629462997191423596924814087626378569263199851502465251431504897751985259788426910239226355031926976162860115778527167429653921890030528156692146061792883076589800417423248291015625,-4895124874086677932365404116668633484422944640799691674488840512408817860521714022197755904/691413787171342745284988943372825,223510746657013708276560698446738093521298626612406070440813579493609321688691210248620552433677779788636244964283876398493629219520584924434902279814242163008319384557028682842155694245390020880628427393459938524350395594612429010483872105879865448357899980956110043415152578581300649918383596409130988123035036954420791050337776927689270645028895407627008423604252911596506466208876817997853066544527348472473474240077929744054805384130967589628774622022821134866187365567820761089930435477912994519361133760157100537421552113410787580169308014144845304400306085780606444089656363269594551044436734098012/21503844407047721858000181180456785032284113687045691677406041313479438786642991762970313416167298186844452646742378833313639460243509641234023309076377509693180972175932736841759073587143351330616214108927876178046045086540004653254777508864560482958112632819868036459385903651066348482801398852564402272422024774257913837753501879289735865658132684907904695695461803586787725965929186624451672885483355182464968976507621131485850561053516546948195230277933964263140645889952405701594680674815956817601429097670419945709336189311769733611716151991507088775166139581424566625615588159857430082411156035959720611572265625,7296850939082194067295672446870059497461207524172362256874038085365402166043897649980981749365545026819533388388199205086000194201181062240935541459521884755347626059394987562302790737292954772115005015998603417190022596540799461722226955352595208826755099748014103975764741359723076336134777513073958925187380144749653902259290000920998840726554087421170680190561899650089754113541549089031554121071655888540116000194701072153511217865070846070512348409194602583614491292172655343628865096429864579355662109564053956747029968256339134968705697762263849554677600527957903884553873915735544891237287961786460619232/285519436618542472768728928774869406395215316179120189312695422570408398181789792143698824721763233140488529530841892113419990726137483715606122589820798038688433567805501776160506984848076059696706809870487627586195426859075600034168449882931418047888637041815792504248877882421510815746220130893989555596038656931683752903016606491622993159001821288161070822140614006854348253377213684979263279242205703144181001275342830277653402891496187408746421781770918897923560064645107869565149711112936559028024472009151224061559830255245829468041957244834554726591017203741452617335532671925546317424959852360188961029052734375,1.03939901361897762244735e-14,2.55564070365930215125435e-8
43,8983274407596099765459698047552234286614048915941111334431637316953546190709561911910078245556374844055398349902226676933274594977912737419119582431078341746204304480973094168043116624590096694200129155888719443769545536109841382951869930689039517863588743316951559593897596581697919371113724846019212345180897411194443585439820104361031579497547790394607835314348886783168946162900335833186614734407880391073853570045581152054008899294687284229391204050987834818364989691134769181864328022002712507275041462158761813222444929429378095894540482211/282298030961849118278833928432887623581823478806814702798979918141014297202405495448796059466823191567192782904198621668314998436293752765503312292230569315096355731390414469569627042387701188060779753085779965658240811401630145628702610128987864756307324301899905008680184431991903856305700161856999307268539202344092086780110992727021732527621641970702153142435599661857166397031946444352853528899659854925315096927727674610465354670971560892336979348049018331771225120651927558847660682363630003130208418158681837021448387402880078177154064178466796875,297211148952887423478911361807108879191549254427949905600381745918722317963810985476096/232113757366008801543585789,16957369868110799647428086507424592890309298817082751788538627422139797077820682952931990869589327225096236544184733881547212512116596654601614783393101698595556305990697554098769231940253844078628661885222849429021816015034095567386184047599931671126905373466723135170646827925383663075699913182691464001761534947611809082691004462447648058243586432788736583052077149037279312993908474169159649140708498574480301471384738128144616593298589589834462567090613543308115438741736842097953496744476081110094524513957755405267665003321140715382740307264806165943205315004584038755439659756532588795598343123668514536858143415989680056/2575593087284016367471173436275999757541179402238374407926348912368549212805203919982365276647783083551241317820504855900130578682465918584518647717675340419767296164388800493435942312777708758548326097187530238529266506152088383633664586976701346472592341771427257849402466770984870417313728408091945760386614844543188631013962969434091406246992308869399055110882729366029972595558873716028316407060927687062668027901307594545964538621316400525384968425707305454618971665613449030991129142920551480051234152038543125458096728730744366686049865100853374701481831999267426845683534978851303123372473865559842199315380639745853841304779052734375,3162351222885196496564271904646142266034994572976046938272933629604852738714257079287778271970244050796171060548703312889735121658855331895908171764816566398068444841480614093820093355348738317664687374779534301231146220013280414730812463787977563869658847374163406248562451226146150619866243243944172106508051946668279747292122653931943658710512183127932186233044897112039773299954442495509371130190106703149736453617558163611438244581413727211599447151711667092174511143970451017022688059055528481976801345932444496091080446641112221959801672224212825755923552712678913210267420674759241477926312411476547858965130875069449977930268107012768/144673935499035521039105542274004354120817705438762986280687856286778700215640581987780237926589438081211384456047127618824663250189341596391634180594029079382897066088942217228847060784402648112925258262621937594404859782717164087250691386495793653366828777762144214793438642276669819471027429489699615880438986893542571059377880561823833300811523385618534305524731542733146684111985984773503904157406181116681138002067557543614746884819904985297459480711774011031529538610914591066441279066841733049378079446084490332566179030658445856724275868314521508495026655641530549102977096903579115642814417336856435559597167183937926893122494220733642578125,6.58386992566146487224168e-15,2.18584723777440790866569e-8
44,3123921938861135081017687318035295762169568089512359914155620497395177080400186666765548490318380752115741897943112372644109557820486921766006280872609459067054426580888997922136204938117907847633675446108028634754761034023597211541972448651837495436784757904048018715616854781784947506349446606915317009568077957191030577957005618259027310348837292816715865128994874302522035839881662723205049432921679776178821962045473964869958919652634403354026807206627173495872943433838741102791037202158568749049171372837058824809304892090482820539835698470915537624080381853612255787529/114676730799963164674570478349554419090505138307003671962008350292081426844791479859211721498711876348598296858583302054626275595144958178888673572589856363839158119110986983632078413926078723825379816733599931880954381708680404035335476601872247801745536577406543561604489654976368952935113085097547553007156773548859431111354054654074017249471554485710123351801422578973184075584652595517872524543494644462485743489650599974115451314772857969728366057416307325928550705872294582966887833911575200372009431387204656363360523939864977177644036798987105359297993937470018863677978515625,-2306061589359377193156861592542669690199203673829335084901455196568041792905035045953739948032/9502737226564400335194402293775,1702721107541857312294676920855686172329429760157169738103549156937141198750910879133165432036812055756864218860384799104746212222296831231512410866337768832712919530815706394287789760013252401370107262143877462144162955571976827535622698006369870812948269061846534568449144419874476280309214798953194361384925672225558493370427888121290451700616417245491122029596346567001854224389207163853256591498580498919869735168779641728485240760309127905054687748537894025311858511327939913718791999961113914621111977343708967564704691529440666704296616063447192772391315477790148670947404350309317267833802811020240042582513678590852784910324181932698830021859559404/407116243480566911501906962186420605161499392690404829572047987814541299104176738622250005823984201826312232171273322748227699791094529483159260218021194454987554198462667975633906326256572467121464996287868243464641263759163560044368278359391951602554255010331893625571102662635227097850866388413583256405317457154129803339502888028512145646639359705955098020438733607105743952399841270471866517564845736585823814660514315922476311355053084213878254229043444497300033474830978080041902730567179898565117993185909383625726682829048287853112997906020776891728770170176721415484452313916853863806239073771795659224511981400670740402731090092837575866724364459514617919921875,289584367982766039233483806994513957909625788253988672775485075361648968261808533908383868256144764721452339330785483705302606452774335176146946468711637681625038186178617382551887151713766559759895471129552684342552873958009169557142656962214236100059665153456751024248230169948183666214563444130350931588758775046978903065255610023381166779306226563337755256296514627683451177523092413862735395825644363118628624509519935394154748078214452197313647496492446356866220754821848112251283985909318690051596293671671539549571853747631234265685863813814069450292245924973820058999230237794565672920365238109569388599527064606893179309640295604430883629594744031182683047841888/15447172950340019669260263185077949311685281114409724859993407457088298130486363096753862857228879291396591525612567414070342531542019578199210910322657469192119545134620157046019622516052134745605369814975937414295754329893885838225261370803964677420313855202797058305149919073615471427181127543269690207377601771640717485779440827691473633616600794583882218455194927574720567740231699340593336448643773122930937346401501940186506046495200444284182281778443655433827926632331692348112311325151103009165908329243607081519503082547710426423320433813345265629060012333849173879192103123977364053283067583411234377368031781647416839380487491938977321541415221872739493846893310546875,4.18239540870378995920863e-15,1.87467550802810020827393e-8
45,3637804765211209271021363626499689574094291509444829040152046912018238162022384729682417271130676936898213933314932808055642044693925362872782582469885709874611856945905829398367117244113749511248930513658640778028681419272507321624843373795619515167096632718827034277244616498038773329046505680287946505085050925192250537154410393123420210909258308734522284865590566487549165742410288201695843419091957741750361511826165497917215376517459068595881137510923835529986278867141833221033922028286687663120098492829563651860158959393721252625726053528186232963013049328518920250420487286397908285363200195327/155574342346118298396485626459264225180053035623996878647785564716482126101370204889406257126010451845696688462661936869184274610210640943815499229103074608958309768536408093048232402724037690926333864775696525446956164284083497766688897916875439957412390366418088573203183722725557330451518987886786219498048222853772007517819480156833062468172724456203000466358180377399280318552983111228573639914439773178828987418843572652210843541408381724184605576070267826623995971535641502506364262843607802112776449730268622796697310542749858006401775107516240195020583429011982785438077016383157205604016780853271484375,72980110715553640675981543959263243092149316031696557147450890896291828860511420195067776720699392/1515895954246165993402499483914413,5335058546374727429503846004913674087038880112667344082185416023775562168185320976331166391567927703559052380644738459680850874781026076344384248344582723182144644277661573821562253531251400945625244166786897627318896593924078950952597375143799424459903242341418176786206229318883699286747097564361490112562488425704748291329112354645248846884839122623284656116959418648220486677518072026168888516031032792913620538863071567786461919615214488594600795015012541073428516490105313512311383695070131344911096199619763186926926631075100005268651357199332953157236579110694074202278783356546971308259065522739749249516817939939488803791841155669323945679839744238787179913934474089757732372744/2002499639396903727732590828003255323284182327952669955576151008975586591872123883987825161893879582179102847050708826477887639280228744775932414404444717495084335916744221797553216386056335203052660062981797501109920621564537053803513420225234488609310155973268814760937836203213427823224062209093841467869381403505809644289573282371969688672285955379917271369760208952878543595524118309341927301010711724033117646644691822350541074544886794341490621116036396191734975768692569877840949519441926967705810715827190315825487641850643987115903353459082661648595932778726050032345818742041540441034465822004718471725512802106081015102592214352240191875649297937987588583545020128440228290855884552001953125,27741291477127292341601638288934327195207688884322603794596409913695672488692323328972355249639135394103123942682105505050997423187782367361695713113788575825476752363243902097915691018321265921948705414798509149881533186083920804996023145213879178847413117613210842294584437181697186639721277881050153948437997523656390096479097286300295926870050880537665447325306706228423943638063370427308964927320447837709219936651577065013360092471621771922861865645833813403883643921861445457969133927779139073414024505891133347401567860340682889929538981754890464752105826460460304946467562333911047352863624780009310764123169354887385813932811583605293341583372635243548628395035289275754498326550528946528/1720887734489467778606956180420568332973831110463367324759451381707627530790568466218860064966350834700021872301461930567546944926200267072459689786015633146483783177539045044209358224512898840279758066765363965280737606676403712730010469548329972479592489039641054655947671684932587629759681842237375471075404870367464952525045406534431618826385914884226100567193312618173816503706616471255241704421352407352449971692347566857315647458008292072106700634950690964236095595426950724924241343573924293058383939435973106020595873136244740671660495351068190459104560667202216376985062178498210134409379912924769066052838845902908531326192885739491816857447519247068250777712750112868889118544757366180419921875,2.66419950416645079598781e-15,1.612033773101256031267e-8
46,77938980637172116543452433935091665883188127416029993239097954586921727167495776770978881398144707860230777454304857841583826018197151645932480428212298586918200118845309244564556942885360149326892081547948827188975776900502301084308247140855685143320316227504518135034929702319940580835861658336048777105752431853902619301542518951900776787207484081725655447238705851231454153147988173765452635846356392335440825757282206985308985594503040664970225687745099883717321677368794344992205814935481210937165104092727302495205824556150829012495495716679392230950111089071895623775136964957084309561724241774102335033355777741432972703/3872956871744603544525505867918688450193539790390478647682362613391461915967322231302892839072520750307513707322240176531563910818607655570822693063442948831811617997965301044128914347403851193125006562657928824509798367908931296948863572403701345026823667015066070877832011635373702961416322506730799365866800393188975627018293716609923814704751950070424587640564846587485608077405470802034217666133599854132260256520634351337900410144526814130214149712534212569729574001550931106279815974703151124066694673719239923559577239393225908654597124394928199765328296255529932223315571157887788607307679989685036808134821616113185882568359375,-34866472165687514381480553403457455828124240478185229552121117558405855691470772840035597332512768/3490990910784772375215530310975,1180146451894165987968268733519455940561252059456589219227617362079767296636821550526931804034027200723841466035927027912595562085417674324719727741100832213219831304459576528926902061947265029809768254441935968253327859454837102656492001811648866067107814072964571249976568208582948980371499513143749346128535739222224230930412490002037846232536624575728211493810211792394481343276435383694730740209120156398362657104065740371402190233388582020640640091294961811099453006649938370286979195252766653177317556525407048518320791378361344316925045965912337646687143319950706764744563038619199590644957886483034232101579186432519236332757635180862253575529089956726577029757706054718915663289566822570446996318618955313864/693544031337305319708219978773482473412906989325354382412987407445861071971336508389840156435314203261128167978583515237153236572567251300524931987556153087981341479953597020595102626793946399370918276731192172124204888057880575881021436636506371139951566830186632660762734014832176523182958573585781843844631528946058076526310763839878109507248673708345101890427880839979344192247060408251001736899010841733913799471862987340765232456728530939306889578337345591248469194660673128080738806115575192786411664998995553389408230823842938933012678032898940368686180512451128866102881272479337859905282173186125623347426239637863584404219742889909106165846329261989045857046320456174821281642388424673824857791260001249611377716064453125,48186231606223785695104217063152399551219045004534585988727794184350909591435760591837877700411518171158187688409103416392626888790866928589273551304070872640633498487999131862389938105314229496700010028183569814609994345694293800907239127023604654955503755787968108633246575719759403240520096600045860355613236452611545881453846669384122898266932902519369512884357340314664774031876455437705945105136660357238209685649786394718437337492707941768342096578629837676117344163537242899168316995523746821604145741980124196066311688682674422987194723738539258985516308304748384087517728127564098144944441321226302974749647909240947042321718082638593276565280879388399210464086282346842977175397298647887937277129182445400629559748192/3467377041123041479443214636459658311671095501215608180985343009483263606242952979899837611708295157910268815146910491253582076271731817810294173378074492319117094732692217240779255358732597277392979080386665260702021678365339735803555650050869636923110153351281846133858483909553480820201704696390480637194756503666071143120906815951117437107160274485982058286064099321155459479312521383506970991123247210548378878113543629474494193543120607191346133853760284568206202705712653229424895965634388175374118940376390022315504909446493771195967230414844812017249994338964523285293078437856198669602110084623305765739107042807156043615564834301955411775217336351544767136120303936160193100633581393341154333000986298429779708385467529296875,1.70161719886563547496509e-15,1.38970267827051332661513e-8
47,3223583117906132242688265545795833067298108991006608257642214905920404634747406088590529040072003023778565822371577927062240649965005999029107525803985494504844249649675400000956984461834617703238625677058444832239678866304247511271381625197873122259980585669998202088036338799007053100238207189499007155335867391692087422600537527200343062856703048871605807517159921413407416033615170333661530292292526973270631704956407189960755109758932641831654648789282619948996610074864404262540764579118028514381811190275424806849240243281452616754058012589712288881910455135677925470615840419616409055564399202931709973240327637413142043606098899401381693748550329/185662375662286640290479961679837150578471965920658554484013853250919676159360291050452908565884171701616455138265751595232038085201192121146349780010825304431471398801273840203170224944684326814194717480917583277793999735501182848638693055032967274851578648316547198221913631308437195277562376223263577015675819316378917956808761825854985489372181724516066851880342740682686276173001022372271381924668562594994330300565122662424570099091709611735787328815924087109195876514650661967567887203535322160313907814884611423424972049803024185679694473937406382220576266521193680750502994884189577434933994817048836883017075128854635555694222253909148275852203369140625,128620790781060723833027327810515664814365879824421682763644876411013088106028869124676358395396096/59421121885698253195157962749,1883504822550942644595838281070086889577065539930752825155135312051021709547577200850752712364996572312365672585607093933343439990456979983825509953090447817796388932631692478218844747926487811532332870522272196081963654457752903489563575541493417286197310997956067371855966412943080737922183046742270251808142731185769572199227175915285266996179738014179871359357475669826250947198915362189574866582460499437108375863009662864633033224040283790906174650943279484461156809563809594424895106748925586722231000843907078704429557687884536187557042674903434727840129121442705256913710826480671209917580178096985733435711873542362855470510205949197043434276221661660581137930281416566690479419877737325820930599951111417109038725319839792179286871152/1728614191443334852105560934864272680032910848059347994497753543252129154758323999017082352361572535372195174095348042476123776472937213017224941463853014793034835518106035885524541569094958434054382125684090288386495827632475266488588520482444511113861807781850167964525665504649143114463957013472532231591426779239354466821368053887221331644614578184301257577842489443021642753881596474529513009329967716064241184398634490734357818574093374376069453221280473116485048393879012498069541384392001520713117160695838646789154115221139958291025296432418173050719494448530363495400415028306115860420850890678827250786942193815399290000957135371265398889225225883374678288708974868892639916334852696908548135329641619263179085770527814247543574310839176177978515625,1787094973622551034322973406805196969953038696505571996316241676245866254292519717337431092721747563533317804321687383900013643575673300770906827112589075537508286023169246865838756465257789223683948023469611103531017499722599883088598483583360545730932494009571869881004564270807398056791966242273954160076483317497226617017784945055305447086056468596356109364463890188128185913613016351758944623863692235527257042878362708861926134467012298550025748486946261898287801957172215100073132909519780154193408239596048866314191677228500699856369617052466359218437298635673573054242269113627437045794393435059213096525574104572504434454118291579452430359543595255927458987035690392353926577870227147215027088346784300650972423463115139784413721447468391758480154336/148805129830789771529664306755526283062278234265459897441785923910194873037556659306087025691553638475341558750474264641161896717558113160547288719610373355326342845412266203700930778546120235406716737390481903346448537657880090963775412985072272953238199805657610401952107278909869238520327216308468264410527348068264406486559157266199684839183054422799059501488130477309882454783026439087530043204777268251759481808390122206764905488260722441486279805941253393053213647327107924471583822252015671508281301068040137184436030773048545849046197991540708469497078030214967321392318052851237111680071502671485410048030705490385339514271220469243443539533331264971805367750493272009446837403658894031107249221239169780352312659519977377104709148625261150300502777099609375,1.0896039335291348686325e-15,1.20096328376226259848833e-8
