alpha,beta,m,r,n,base_exponent,predicted_bit,actual_valuation
-4,-3,15,7,1920,18,0,24
-4,-2,1,2,4,3,0,7
-4,-2,1,3,8,6,0,10
-4,-2,1,4,16,9,0,13
-4,-2,1,5,32,12,0,16
-4,-2,1,6,64,15,0,19
-4,-2,1,7,128,18,0,22
-4,-2,3,2,12,3,0,9
-4,-2,3,3,24,6,0,13
-4,-2,3,4,48,9,0,16
-4,-2,3,5,96,12,0,19
-4,-2,3,6,192,15,0,22
-4,-2,3,7,384,18,0,25
-4,-2,5,2,20,3,0,7
-4,-2,5,3,40,6,0,10
-4,-2,5,4,80,9,0,13
-4,-2,5,5,160,12,0,16
-4,-2,5,6,320,15,0,19
-4,-2,5,7,640,18,0,22
-4,-2,7,2,28,3,0,10
-4,-2,7,3,56,6,0,12
-4,-2,7,4,112,9,0,15
-4,-2,7,5,224,12,0,18
-4,-2,7,6,448,15,0,21
-4,-2,7,7,896,18,0,24
-4,-2,9,2,36,3,0,8
-4,-2,9,3,72,6,0,11
-4,-2,9,4,144,9,0,14
-4,-2,9,5,288,12,0,17
-4,-2,9,6,576,15,0,20
-4,-2,9,7,1152,18,0,23
-4,-2,11,2,44,3,0,9
-4,-2,11,3,88,6,0,15
-4,-2,11,4,176,9,0,18
-4,-2,11,5,352,12,0,21
-4,-2,11,6,704,15,0,24
-4,-2,11,7,1408,18,0,27
-4,-2,13,2,52,3,0,7
-4,-2,13,3,104,6,0,10
-4,-2,13,4,208,9,0,13
-4,-2,13,5,416,12,0,16
-4,-2,13,6,832,15,0,19
-4,-2,13,7,1664,18,0,22
-4,-2,15,2,60,3,0,12
-4,-2,15,3,120,6,0,13
-4,-2,15,4,240,9,0,16
-4,-2,15,5,480,12,0,19
-4,-2,15,6,960,15,0,22
-4,-2,15,7,1920,18,0,25
-4,-1,1,2,4,3,0,5
-4,-1,1,3,8,6,0,11
-4,-1,1,4,16,9,0,12
-4,-1,1,5,32,12,0,15
-4,-1,1,6,64,15,0,18
-4,-1,1,7,128,18,0,21
-4,-1,3,2,12,3,0,7
-4,-1,3,3,24,6,0,9
-4,-1,3,4,48,9,0,12
-4,-1,3,5,96,12,0,15
-4,-1,3,6,192,15,0,18
-4,-1,3,7,384,18,0,21
-4,-1,5,2,20,3,0,5
-4,-1,5,3,40,6,0,9
-4,-1,5,4,80,9,0,13
-4,-1,5,5,160,12,0,16
-4,-1,5,6,320,15,0,19
-4,-1,5,7,640,18,0,22
-4,-1,7,2,28,3,0,8
-4,-1,7,3,56,6,0,12
-4,-1,7,4,112,9,0,15
-4,-1,7,5,224,12,0,18
-4,-1,7,6,448,15,0,21
-4,-1,7,7,896,18,0,24
-4,-1,9,2,36,3,0,5
-4,-1,9,3,72,6,0,10
