x,cdf_a_2_5,cdf_a_2_2,cdf_a_2_1,cdf_a_2_05,cdf_a_2_02,exp1_cdf
2.02,0.91410065407999996,0.88832184220575239,0.87729559891996323,0.87119901850019621,0.86994759897028429,0.86734453491987828
2.0300000000000002,0.91410065407999996,0.88832184220575239,0.87729559891996323,0.87434050585384993,0.87123524650523199,0.86866447885150699
2.04,0.91410065407999996,0.88832184220575239,0.87729559891996323,0.87434050585384993,0.87251014505468505,0.86997128912157407
2.0499999999999998,0.91410065407999996,0.88832184220575239,0.88313866563806021,0.87740537156473164,0.87377242084622286,0.87126509641219574
2.0600000000000001,0.91410065407999996,0.88832184220575239,0.88313866563806021,0.87740537156473164,0.87502219885764643,0.87254603010517928
2.0699999999999998,0.91410065407999996,0.88832184220575239,0.88313866563806021,0.87740537156473164,0.87625960282935289,0.8738142182949612
2.0800000000000001,0.91410065407999996,0.88832184220575239,0.88313866563806021,0.88039548445339677,0.87748475527658698,0.87506978780141753
2.0899999999999999,0.91410065407999996,0.88832184220575239,0.88313866563806021,0.88039548445339677,0.8786977775015713,0.87631286418254517
2.1000000000000001,0.91410065407999996,0.89847440200522943,0.88870349108386693,0.88331266775941142,0.87989878960551615,0.87754357174701814
2.1099999999999999,0.91410065407999996,0.89847440200522943,0.88870349108386693,0.88331266775941142,0.88108791050051105,0.87876203356661831
2.1200000000000001,0.91410065407999996,0.89847440200522943,0.88870349108386693,0.88331266775941142,0.88226525792129806,0.87996837148854323
2.1299999999999999,0.91410065407999996,0.89847440200522943,0.88870349108386693,0.8861587002530843,0.88343094843692871,0.8811627061475904
2.1400000000000001,0.91410065407999996,0.89847440200522943,0.88870349108386693,0.8861587002530843,0.88458509746230574,0.8823451569782208
2.1499999999999999,0.91410065407999996,0.89847440200522943,0.89400332484177802,0.88893531732008224,0.88572781926960964,0.88351584222650303
2.1600000000000001,0.91410065407999996,0.89847440200522943,0.89400332484177802,0.88893531732008224,0.88685922699961339,0.88467487896193753
2.1699999999999999,0.91410065407999996,0.89847440200522943,0.89400332484177802,0.88893531732008224,0.88797943267288459,0.8858223830891635
2.1800000000000002,0.91410065407999996,0.89847440200522943,0.89400332484177802,0.89164421201959243,0.88908854720087582,0.88695846935955014
2.1899999999999999,0.91410065407999996,0.90770400182293587,0.89400332484177802,0.89164421201959243,0.89018668039690674,0.88808325138267108
2.2000000000000002,0.93128052326400002,0.90770400182293587,0.89905078556359808,0.89428703611667548,0.89127394098703638,0.8891968416376661
2.21,0.93128052326400002,0.90770400182293587,0.89905078556359808,0.89428703611667548,0.89235043662082814,0.89029935148448858
