N,block_index_n,atom_amplitude_exact,log10_abs_atom_amplitude
12,2,211792639472597552881340841682527886651858625608924710755611590164875788968783598194504/4809675706195034873278215169237322426029500250779096980821123704859130859375,10.64379506786978
12,3,4181900092328244785150114628577367757030851999565809200335011435202379810112/29730012735184473708900080407005611091444536034931856672607421875,11.148178557854665
12,4,-446859300034990836326376630912818381829576425308712643961598923940107972355584/1564737512378130195205267389842400583760238738680624035400390625,14.455729306613737
12,5,321293810700461224568634836541996728781522850791948607301346467585104707584/7045235400381403171634249926124733811177946274458806640625,16.65900685088257
12,6,-305541188674226773556830878289329145132998800900226247881686683980846481801216/7045235400381403171634249926124733811177946274458806640625,19.637174255227055
12,7,232737557452443465948022245384082365265997088825922419709070540145688576/1566447673811201936234291117539124824274138671875,23.17195058001989
12,8,-44776321853036614119599934686889962689034636936277251850214177730896376889344/67357249973881683258074518054182367443787962890625,26.822664067918218
12,9,339413896295162546771513230017140102211247088147116344118959909159772880896/68520383483514339165407307092070260109140625,30.69490983435737
12,10,-4657405594129814748581740785149223975989452952155477770764953357354138918191104/68520383483514339165407307092070260109140625,34.83232427559664
12,11,2354814206266813564603247570420747268405925263876751179424327163125534929453056/1394135862042245806942304158621136953125,39.22765154827357
12,12,-4454773771645696051203093711800361683719504470176895104774710633407921951269258788864/59947842067816569698519078820708888984375,43.87105209951009
12,13,18689499896106360678560836956285926879523946167220803617278368859129605030020120576/3242364932943184619901864430771875,48.76073578669792
12,14,-109811524634698084472051663689350452147814198337625360312104731432500357429941742319173632/139421692116556938655780170523190625,53.896317572050506
12,15,59793059479666976183961768311811394618840967433554153205210384085334985677951841081491456/317685522303014213089113946875,59.274653352455445
12,16,-24659360754510407421129427502111163381294405084606772600922782045316679324666886952266548379648/317685522303014213089113946875,64.88998439074523
12,17,105003515348226422439120258481319841444958923407382177837974031604799932375832047179819042996224/1931512523502138398474625,70.73530631043184
12,18,-122704248063805216432928634279282575250311301705228668632000446421337555214155342939642187995913650176/1931512523502138398474625,76.8029620700537
12,19,177206000431937637803973990495220548075644616241986610663770631723472645476277073201873194154595484434432/1459948997356113679875,83.08414073941911
12,20,-539279311045962470492421238588891677299087293228249667351921140382539312911212042124939873192063307379225133056/1459948997356113679875,89.56747607512767
12,21,11186180678180665980935534218714405950147392279897051684112555509865439555956288078954035187662265555434186739810304/6488662210471616355,96.2365266636732
12,22,-75315851250662246161831112146796361153383495742554660961745701472143340481232280149917617901499274236178357532871461175296/6488662210471616355,103.06473122297129
12,23,72500963451851584151423821634881988554873885394883399966426486044735414990210860675323927513789686020666824771910748544469827584/720962467830179595,110.0024311212465
12,24,-608182162019909813625307081556944128247323514014602048025564952246755860070202747547907700933596270470453891616248680526127951429763072/720962467830179595,116.92612102151807
13,0,-341004648463856750472081037412402240665493056166734040760678243715157327311377886292367837430554789705015032069/9687150693519326014197608078292185601570343703787472007979471006089288741141160661018372888183593750,10.546564243509769
13,1,-95805749163516134777024964567358760224426854505475842469660681991405876130311204611018739396334/5291394397189158989144092875104466996561791165827173118437299115360971021994818115234375,7.257821438107293
13,2,58843638567432208039777220653206883884384883593971345164094979951672374394046351535963806481492252588/5291394397189158989144092875104466996561791165827173118437299115360971021994818115234375,13.046129386138581
13,3,-27746555119559922076074174445499391827430167483150591785929797026148220352449345683301184/31362197818997611250629033284514545115241478031382232752629161303432861328125,11.946802581037137
13,4,-630627542054121204882139490818327789133764769860637225363993891803549257518759856759505529001472/11321753412658137661477081015709750786602173569328986023699127230539262939453125,16.74585924248685
13,5,-17988784716981607660549802465901925504660288937253793047732750381062688339890221492731904/39120536306544120114856419151425956764059447860133434976032300537109375,17.662597024415657
13,6,208462625107406034855960604936799186797955287798909982080799443437228558347622762146617622528/39120536306544120114856419151425956764059447860133434976032300537109375,21.72662340247122
13,7,-35113925131063008884435288987118881854708986267473062869422943367146137705913650249728/14553444063377527416904249835320740057432470377505354572265625,24.382513597809233
13,8,1402491029189444316231341225589128407471001583024505262785125041461580140625185389934542848/189194772823907856419755247859169620746622114907569609439453125,27.869990958734224
13,9,-11648880682777947442527689336725268537856022018210975492213792304105414360840624245047296/88632714912823126666186597566453942623545619660314453125,32.118690144491886
13,10,217654233577870331652500032546707139113403625933495714776532847452716134656313995880061468672/88632714912823126666186597566453942623545619660314453125,36.39017306660576
13,11,-6705180574979896717295835121380121842940046829022504360023907897824969785067626038908944384/90163235841227971482095162957660224941934965703125,40.87138098860317
13,12,378839516429775738060835635957945065695399201222215003675769345282463126641334742820125071638528/90163235841227971482095162957660224941934965703125,45.62342578400274
13,13,-695036599911656638634891712588499808231187754311900098863199986935936150325066732601895534198784/1609856550810219641867894423155323887048671875,50.635220495534625
13,14,126002982185199023331024677692334939256459708914249767420403670575803424106526079695612635183042265088/1609856550810219641867894423155323887048671875,55.89359364477914
13,15,-8182091929875722565864786625938809683868054523156006750706346409457651634959315848801812588850577408/328192193183843685430922011356323896875,61.39673610857088
13,16,4579433758379938968252583207006034680118613978733604339488036357938858080858388413346289156661965557334016/328192193183843685430922011356323896875,67.14468353518602
13,17,-132419743656151514438605028620431138672279748022513327528810784475951177341848664136173343223370760736210944/9721620699186696449270476357603125,73.1342140702766
13,18,222356152886679508366736292790040547691128764659725804645166808873398926244568044045825603878682580968042982801408/9721620699186696449270476357603125,79.3593104789062
13,19,-3371132376564806037288820408255655244013260143537920658575440084719895964105454626858488792811326077088605881237504/51869391485589950376259711125,85.8128646535694
13,20,15930326713589139634528173845737122674057027413762091910028425042382299666545257112480510930875724536660054321825209909248/51869391485589950376259711125,92.48731352977222
13,21,-4545618159534371147667366695330328835073453271510188755055421944498968233954463531566907144352909120913537126109133634780790784/1921088573540368532454063375,99.3740455625023
13,22,55649516707624575644318626167024326202613322178300329241096763099252526893711343721276722315819852530400178136401113517348475516223488/1921088573540368532454063375,106.46191400815792
13,23,-4634880182061191220006359423707210379516737403113244841722633794211646825349154144319624016994672055027665821508031201752434875387468578816/8538171437957193477573615,113.73467364076923
13,24,125108765644227294045502274918598418130947789590645107125514019823576967669607015740490888542396386263623614167929433816237601309518981091192471552/8538171437957193477573615,121.16592286849516
13,25,-482225129685134348458038723886869320211159808294026605020487895182518847948520939279872662019535504281724009134881753235885983796589422667893167806742528/948685715328577053063735,128.70612747724172
13,26,16180790322711021906199565214028732297911587428534951724350819685724956272206985357642616206393486750006817107283768616994316203055761614829079882435931297284096/948685715328577053063735,136.23187736884125
14,0,-1166910113560539391489741422438345700207029237468736616950999658556478817106878990126508806012589841358519677122098224983206567/1132557220427958202466485241467904344483719176443972894911480958411658993759039499396632685163657053664855957031250,12.012977250679327
14,1,-289944676264736469008757324560931965975391493631732503592066706443848157936248082651164743118454541640793426/229321456855593530128831386415188508322541358714392171704980585599629597487893358052648435272216796875,6.101870446845487
14,2,5740184267732539496389634953485245564139537765146880699429640156279234230800557544506077334388668775412387756153844/17640112065814886932987029724245269870964719901107090131152352738433045960607181388665264251708984375,14.512424494233409
14,3,67619692991171308471061720648796173517805674307478493637322824842009615145994713021375834920206226176/100756480752846024749942782198970640248993717409269033289730667321378100579364398193359375,11.826800204691777
14,4,-22041145939646976945424307952044094599883071165980997614803602681529678063009618797767185944371971229336336384/13400611940128521291742390032463095153116164415432781427534178753743287377055464959716796875,18.216109539226636
14,5,286826669788313865595771549059971310450302808343201933029286470810127847011133853182792802608349184/549780565841609294766041923042354952194431963320912288831850354902331251220703125,17.71743014661949
14,6,29206075728645512114711866195593860621049209554203534921520822940359262036894698537414749539994397264838656/221561568034168545790714894986069045734356081218327652399235693025639494241943359375,23.119978776888505
14,7,1930146849989186479833071722531202828050739912545879919730440844878233566074133921806309824397312/446397150703854758363348373635394040965558284845567128551051851318359375,24.63586893849078
14,8,-629762977930248829869376649159984630553082605260866959352225465907965869932618935839304592920623972352/3124780054926983308543438615447758286758907993918969899857362959228515625,29.304357672141478
14,9,776998881774051698772148893617906673499760773202742903160344489469554761181884236970123555910975488/2143526987996764458536769127916007811053768924504103788209677734375,32.5592914379324
14,10,-9486627504843092794689153565392296880800548353135642085217433131526916891730660077022844949698954919936/2143526987996764458536769127916007811053768924504103788209677734375,36.64598289236816
14,11,70926461636591297133040514386850869967314584106068420410450759743988408935297565089401993362503892992/224464957361280827785843034413443623045382915484442244140625,41.49965974421989
14,12,-5305196656508654327074690661791175892126296114260810134442629347868232982017052841123191038926512073998336/224464957361280827785843034413443623045382915484442244140625,46.37355293706504
14,13,1134265587085673820035071187281474637035062066437125975888567514366722658125729675396510909475124976549888/396101815578815087369249290899606700451543477389453125,51.45690792300868
14,14,-19730132511100705605058684876638750361250621182647114256734020018159975998541248654875033909642762226679939072/30469370429139622105326868530738976957811036722265625,56.81126652132008
14,15,193771942501552075312562379504888845588291190087737513455457413057708191972983254825472072202537775661056/727536685149701094253705925118127580390625,62.42543599596802
14,16,-28319426559278150564405982158628479348749060572336517277146269141908148872621577928079006071727684761280559601156096/146530981145945848290356149260266721583734609375,68.2861549974887
14,17,21676904601530519439700874474342106352911703015623734765574485512060182250841102998681591865933077037575025792647168/87980438936139615123645612421692482765625,74.39161114196418
14,18,-3544521356920287879140391491468206278420575062741793505498357849514483180482727911287721927330638068811219493461720834244608/6422572042338191904026129706783551241890625,80.74184861299425
14,19,1083277819508068228847753691333137117265365246938734767985678411135178404570621927282186299218732542118056831439096619466752/502454905116548430048549602189540625,87.33364276061045
14,20,-7278923743835487766420791695301065357854712676333925331040862443515949391877707977041206423963705455134906423918778107215935963136/502454905116548430048549602189540625,94.16097007931022
14,21,1839098090552739380248427955645551496842411364486183738535609318685997146161295586585723878889016042680208755172733569016416078483423232/11165664558145520667745546715323125,101.21672031696434
14,22,-34771024933176917164976565394292644839885427679671646651388374530012986572968258445880897752542344981927769447276641553876228382152327696482304/11165664558145520667745546715323125,108.49333291589599
14,23,7938746368461055291550865301164559148227416231740606671242471209607296084062304581481194033010950735250488512866417047271068289060350687585853505536/82708626356633486427744790483875,115.98220111905596
14,24,-388807004896242166614354246953955164162598990997347239592907837345871445721175282199990049573733312344692375427648854475284635844875006317232959093083209728/82708626356633486427744790483875,123.67218327271537
14,25,647704478013810836572324133322523016493737385727102156385357918138406001186789944499642405680866888027490562439894674408629212612482743678646272483284821787803648/1837969474591855253949884232975,131.5470386053821
14,26,-69937063338394213924519222724938697153535083911720082795080972328085488405382468081849150741119277550605473688430906773234765222908558204918800476437623451742052083040256/1837969474591855253949884232975,139.5803690980539
14,27,215659736614738881952435059380204271378265803506834198765910521766157782499426073859555662802249043305042532717600439435855373801320658842959915240338324563468493234273236549632/40843766102041227865552982955,147.72264328999515
14,28,-28945359869508664048916037737556105480286264726781718631060914082748244856591128937389752150851979882576419684721996592882110008203982229365188618630783874235332961487525540898166276096/40843766102041227865552982955,155.85045317292264
15,0,3771771722416666092111405654128595081143624838191414230438798132096410240119508141298103084044837838001427830257922407737728391724416576160418680609/74427725615229108792460275367276569085819937885892759734341249612694445062036528389935278072170915402956504669056357338896789550781250,13.704810652318388
15,1,144113991862368284645147171782161975406414976972027629786675184002583471376789798068651434139823415622138539238356752271199874416/1150094924627598055211506830858661688893768234164519271147435478864097378588867954276346829723802557731673173736572265625,8.097972461104034
15,2,-128852341564962054166732249249093474574593971897361476909252513004338514957988138810980741674503468959100769460581061590405217621245200224/8050664472393186386480547816010631822256377639151634898032048352048681650122075679934427808066617904121712216156005859375,16.204260588235968
15,3,71961219778934298756719896309592512473527220700734420119421639959618353211190639262233761858039879189742034576606844146432/20277932634823363688385386634863924784756160158731984793929930648582080293174680505121143836129564154052734375,12.55007484029176
15,4,86314822068549543749014792857027641101458491531461205772581223808002890639536229617928073865415900260662809606270784723093968896/1067259612359124404651862454466522357092429482038525515469996349925372647009193710795849675585766534423828125,19.907815304605293
15,5,6107045873968215014552761224580902201447977780293250355839572509684192981883320933799922636503048188179460296280768512/1831301499224802857138700382524321287081925483115666699049593462344823604286672058649319005126953125,18.52307133132612
15,6,-11988474180030468783458025454709519049051224762327902804506805305153578914948001141110197364876995628625245934173383823458304/1831301499224802857138700382524321287081925483115666699049593462344823604286672058649319005126953125,24.81600406131124
15,7,1496579136652029110181712356585639538828787489009335032809174571322911149109706030336200801379309022508369833885696/51106320508645899172197892119354529918512969361654821589358895131260695228387167724609375,25.46662507229448
15,8,2949872871885634911698292065814342523964691040921519543400452475504846470915460956660000987981162126011865283398304006144/357744243560521294205385244835481709429590785531583751125512265918824866598710174072265625,30.916230645684966
15,9,697968421664897127164221820882733511508318551310521024373048826136209652742986481114604759545319996444426782113792/247225781353256571865705502899750564301211225433250458756682172702135866162109375,33.45074201604253
15,10,-60086472736039697431596026402131359069495909307550139577380683124887951639923004390776327907990124828465871256136187904/247225781353256571865705502899750564301211225433250458756682172702135866162109375,38.385682952169866
15,11,564813194254219539084814254150525983763996652399843782713396772838634582395291990488335497030731989316973665676427264/189543082708110763702072338489065657946609338495582357738050081614732421875,42.47419689378445
15,12,-34111185519816768911912173873338798633414303059655075684061949127409307898046341359310747103913537188060213246541002964992/189543082708110763702072338489065657946609338495582357738050081614732421875,47.2551888737261
15,13,6799878826682130337904469827103995878427568146944422251472438880169866506675241580891531295507421097585972938830512128/196748908176913425013649104786075666544060623188016280295318984375,52.53858884268314
15,14,-2595777101464966187198165160706026241245483966891996649978710935599961552358974773716764693610632924632608290944831914508288/275448471447678795019108746700505933161684872463222792413446578125,57.97422703032755
15,15,235870380645476790334526478939987314770937156403113629095737687272277004526465014552141606709137579178573904527863767250239488/54130501797680854266224255532072855630563391200570450106796875,63.639231354822925
15,16,-202217580925722285273643043846426279682207032964769024022022627519891215382288264487132663454117414233711767414685391844491241979904/54130501797680854266224255532072855630563391200570450106796875,69.57237685765305
15,17,1286613193201970128616907475391508922547572740939774678500258831750093062978559460576777407472818269904645892144785047631431997587456/220271019950277133883595823036370447539373705265907546875,75.76649063766173
15,18,-3582264823532043910414265466922846591523533768229751212593805002342182174982866433645124455237230792223190976072513215719921392384833748992/220271019950277133883595823036370447539373705265907546875,82.21120032570536
15,19,132727698267876128157321564221339860981914111071093089579278782509280949245150326928903650274654816404184554184927492601842206480399335424/1655746509745268513217973001439670054473362221875,88.90396771478503
15,20,-8090305681862717178983983684744884195795855106623232729710228275171616602979844136403189956091484166354473910868606322177247367034139653946998784/11590225568216879592525811010077690381313535553125,95.84387304292753
15,21,8044665745812150939702610757932364695318103198153755191189795556322725470230414618540142572506462487629388160168202915788471663370937535493562171392/755309584113188634247364679705290999108083125,103.02738300847557
15,22,-212105530565048800514287910472480635933349340887834104236906555070158654438518760293969601898674242603733976924957063431447869747734596349550315794579062784/755309584113188634247364679705290999108083125,110.44842699722638
15,23,211192575366423140706013259747699735167494729617730974712043573136816933809709813847154210676397340985942486469894654509633552819755345137942677121614458170376192/16784657424737525205496992882339799980179625,118.09976616446787
15,24,-15794336256062600836104907382566306871915496963327480704747900411752188024449357476832725959986450192292264187992905589777450973205211612004451526146226179317971556499456/16784657424737525205496992882339799980179625,125.97358889804406
15,25,26545085223011115724964061363171846790422378315115538868321721072178909468526741684262183020105656929784713951325320777240040576771945104296692797407408780397543912065990656/230669379849344124311097270423140245725,134.06099417595019
15,26,-5170809726875989453576209965644938818072965704703531256605343928510332456040628753296271012416863450941018264055689126977527586875070685517440221592922617012648850037399997489610752/230669379849344124311097270423140245725,142.35056860906172
15,27,34326254060801978947762983692602552039724670542027387249269468071287339818507273509488465789599882560904514951379992645935886655628982469488534134631939846631177755232766628190100350042112/5125986218874313873579939342736449905,150.8258489782724
15,28,-14792566387805472513254402600231468408044600370860081279200072389795801035126351082357616863641839332149262090481178147222958599869817128895836631435274876203815199193546499635981456082750905778176/5125986218874313873579939342736449905,159.4602660927743
15,29,182274377582854180874317778621572085614055576295955796384351110455379885791832255932575012499257408012699121204422827858108090247783126688868569938177705182170736379440992502600459624090403831515086585856/113910804863873641635109763171921109,168.20416070343182
15,30,-97857811327139279649007943186377508477360097264695370316552883198392534591516825393538957468887723962533884782617022025801497005905633203664409390845248199219129379742063695056271130004592275473798877107477020672/113910804863873641635109763171921109,176.93403057768728
16,0,54805452422182252004282092505039791054496868860263289634349360729172070802247754409599489930343090549869988721982275208100926964836398388128195601701324370340428986219/6409660157670769651485368356987535885002454810464582929558943531120992034173873943242714035850959725866693772871561541478639950119718908958435058593750,15.931988763536287
16,1,1304075775360762424488510841666675898198623943808561413795257550149266507011722515579043136749776273432267108631926361183559403105522852868177299088/404435040775207903101492950752844740805777192602765752110061709994147326245285458123769324424789449500011302990533697304895688629150390625,9.508454051103687
16,2,-1092162443891439722671268033771231750879281118449289091364692070289461360035645023188294540816069327848800998835259280973546215526028966163927909160368437344/404435040775207903101492950752844740805777192602765752110061709994147326245285458123769324424789449500011302990533697304895688629150390625,18.431438462019365
16,3,-1710293131405397188689776703135696596584473723262188364361926794162733507430989587996755163193626810855861049618703447290270759528734561389824/53808497684324876923083073488094212649980384477630848790582489159520283123468639593578050389331872205826641250843473052978515625,13.502219684730369
