x,estimated_G,estimated_G_at_1_minus_x,antisymmetry_residual,samples,digits,q_step
0.63500000000000001,0.41106666666667069,-0.41433333333333322,-0.0032666666666625321,1500000,32,0.005
0.64000000000000001,0.42293333333333072,-0.41819999999999913,0.0047333333333315908,1500000,32,0.005
0.64500000000000002,0.43373333333334152,-0.42220000000000035,0.011533333333341167,1500000,32,0.005
0.65000000000000002,0.42666666666666409,-0.41913333333333247,0.0075333333333316155,1500000,32,0.005
0.65500000000000003,0.43333333333334112,-0.42979999999999963,0.0035333333333414929,1500000,32,0.005
0.66000000000000003,0.429400000000002,-0.42399999999999938,0.0054000000000026249,1500000,32,0.005
0.66500000000000004,0.42706666666666449,-0.43173333333333397,-0.0046666666666694834,1500000,32,0.005
0.67000000000000004,0.42786666666666529,-0.4274,0.000466666666665283,1500000,32,0.005
0.67500000000000004,0.41553333333332887,-0.43166666666666631,-0.016133333333337441,1500000,32,0.005
0.68000000000000005,0.42793333333333017,-0.41859999999999953,0.0093333333333306401,1500000,32,0.005
0.68500000000000005,0.41953333333333287,-0.41586666666666439,0.0036666666666684833,1500000,32,0.005
0.69000000000000006,0.41713333333333047,-0.40766666666666729,0.0094666666666631816,1500000,32,0.005
0.69500000000000006,0.41986666666666839,-0.40853333333333297,0.011333333333335416,1500000,32,0.005
0.70000000000000007,0.4029999999999978,-0.40260000000000018,0.00039999999999762448,1500000,32,0.005
0.70500000000000007,0.39866666666665829,-0.39946666666666741,-0.00080000000000912674,1500000,32,0.005
0.71000000000000008,0.38566666666667304,-0.38740000000000024,-0.0017333333333272027,1500000,32,0.005
0.71499999999999997,0.38080000000000336,-0.38146666666666607,-0.00066666666666270746,1500000,32,0.005
0.71999999999999997,0.37406666666667254,-0.37726666666666742,-0.0031999999999948736,1500000,32,0.005
0.72499999999999998,0.37106666666666399,-0.37366666666666659,-0.0026000000000026002,1500000,32,0.005
0.72999999999999998,0.36626666666667029,-0.36373333333333258,0.0025333333333377173,1500000,32,0.005
0.73499999999999999,0.34379999999999411,-0.35686666666666644,-0.013066666666672333,1500000,32,0.005
0.73999999999999999,0.34859999999999891,-0.34473333333333439,0.00386666666666452,1500000,32,0.005
