n,set_size,count
48,31,13069056
48,32,2376192
48,33,76800
48,34,96
49,27,4606
49,28,324478
49,29,4574934
49,30,18992400
49,31,25513124
49,32,10525788
49,33,1072904
49,34,14896
50,27,200
50,28,52900
50,29,1617000
50,30,12887700
50,31,32946000
50,32,27713400
50,33,6895200
50,34,374000
50,35,1800
51,28,4998
51,29,387090
51,30,6118266
51,31,29256048
51,32,47112780
51,33,24841284
51,34,3641400
51,35,97104
51,36,102
52,28,208
52,29,59904
52,30,2026024
52,31,18258240
52,32,54419040
52,33,55897088
52,34,18341232
52,35,1527552
52,36,17680
53,29,5406
53,30,458344
53,31,8072218
53,32,44064306
53,33,83883100
53,34,55191656
53,35,11093112
53,36,497352
53,37,2014
54,29,216
54,30,67500
54,31,2513808
54,32,25438644
54,33,87489072
54,34,107931096
54,35,45349200
54,36,5441904
54,37,121176
54,38,108
55,30,5830
55,31,539000
55,32,10519740
55,33,65038710
55,34,144607100
55,35,116396280
55,36,30911100
55,37,2131800
55,38,20790
56,30,224
56,31,75712
56,32,3091200
56,33,34909952
56,34,137287920
56,35,200559744
56,36,105344512
56,37,17364480
56,38,651168
56,39,2240
57,31,6270
57,32,629850
57,33,13555740
57,34,94255656
57,35,242215116
57,36,234556140
57,37,79903740
57,38,7953552
57,39,149454
57,40,114
58,31,232
58,32,84564
58,33,3770000
58,34,47250280
58,35,210777336
58,36,360217352
58,37,231851984
58,38,50581800
58,39,2922504
58,40,24244
59,32,6726
59,33,731718
59,34,17288180
59,35,134343000
59,36,395356522
59,37,454090196
59,38,193695348
59,39,26527344
59,40,840750
59,41,2478
60,32,240
60,33,94080
60,34,4563000
60,35,63148800
60,36,317262000
60,37,627601920
60,38,486748080
60,39,136435200
60,40,11395440
60,41,182400
60,42,120
61,33,7198
61,34,845460
61,35,21839220
61,36,188591260
61,37,630438050
61,38,848332368
61,39,444105620
61,40,80624676
61,41,3942918
61,42,28060
62,33,248
62,34,104284
62,35,5484024
62,36,83421000
62,37,469011400
62,38,1063981380
62,39,980152544
62,40,344527304
62,41,39651480
