kind,r,n,row_sum
cycle,5,12,71157100505020442968601953353771900532293995899931529200388212736
cycle,5,13,1085068745443895019984271642862061864561444107663455267610104521789947904
cycle,5,14,22512907617104377776313962591586724242404366154418972949447427538938275326017536
cycle,5,15,621691708059856507474489350675195222329206654645006258472112631963419337743021152108544
cycle,5,16,22418136069020653310818135313978768623896538934631746090052333119345546469653406369356703891456
cycle,5,17,1038136444954321725284174164604036313404403099006491381757635343351863235980246296554653309856568049664
cycle,5,18,60833628478184020262107963195935816144391211585227022573046791476701804228448873525972454360394910623421956096
cycle,5,19,4452283531261692721787571995183617133549312957045177289291720027138441503668239534477077907183682943866545975343448064
cycle,5,20,402240927911904594741988880978451165002265327898450699100675275053539871878285026987781748229599511498834768618629559543136256
cycle,5,21,44389237535970007920862594576645750278752283540607650901895883519458631993381676979097085506680737552560660174796181201491028915257344
cycle,5,22,5926755219046771975179359221370025241806897021787014213954895684571811382103057391493523568603835358654093682182265841022011742730746578599936
cycle,5,23,949162937784992728745776920984003603872134185158258973759389323346489057906220700860190087962246160023472591403898113871539780582230141952106015227904
cycle,5,24,180889408893939665414447733927584989892544761260914667244695062105148241366545406752777701395872381328744619522121102145324009971631968842273754518031838478336
cycle,5,25,40727217371313341062040871647392656539051399455151618670024893680500048139322392019667003960110168536388290635834171428233839611606883792922933161316360472978673106944
cycle,5,26,10761141231307663130176184748185697806538853283329274547902781444135986457853710891581032436588970637977785191442106540390168181262480254589195150030792379831432717544357625856
cycle,5,27,3316344837393842907813735020991887732484874377514524139113041095400240258508461786385505720373815155709709813632659917791463577600922266926901492474991873421147873812961425033437118464
cycle,5,28,1185257639864291293734180215908308675245693947681655241262349705517208850147737838493941093052076474579308703702317127364192560874313920253404719242729859156150257157918744559497579464644100096
cycle,5,29,488673172103171712982524288014505658646414701353122868976709978945299096172932879388110454717748278520692057451406968688182198329142169811370568588199757293734662349311740796904664200134534086749323264
cycle,5,30,231279129269707621915494255312371370140399346831160966883790392911677875971575712443497024344160739089892359810742115795620095335352512174969749600214076676822568100556828843329470061519722975811713469415161856
cycle,6,0,1
cycle,6,1,120
cycle,6,2,6653520
cycle,6,3,4940251435440
cycle,6,4,19947785142035877120
cycle,6,5,284266177189151004001802880
cycle,6,6,11073798876042592562447772923865600
cycle,6,7,995840638523472718755601818708915872697600
cycle,6,8,183306924237932032714547389574098638575855495347200
cycle,6,9,63123948821083506940257212873983751459606460872534316825600
