kind,r,n,row_sum
subset,8,9,599167372416841827289928429612601117589983396291860339489
subset,8,10,1736838614981488557683796713313871952311085911598669687237042542729
subset,8,11,10148966167931368833995882095154729340380320023016320821960817422439573997411
subset,8,12,112146935099013978027634148158186619159812740213772385234742292097592092749724341247466
subset,8,13,2222023491397180591821913223196575975964782576458196122302684919612544618372526965901816858717086
subset,8,14,75468022120726430574918548327978252316625501155321835578565505412952626188633876898706493372117523885382486
subset,8,15,4227526960132298892219937970441099052596082565231530352085016691816866637085383071169903694326288784819448140736162006
subset,8,16,377756656416788242258917486528491392024614915363750284048547287520128599508154796140338291769545983390537561838579239957790803691
subset,8,17,52293786123487502696065111728321658372050726842231276111770225796540431464233397275145130819502713013926963772505523060561852866200721179291
subset,8,18,10929631853256193563484905785457614393598823888866222942801833646532048908609934134573560891748440030809348017267395219054908251000701802231193855942216
subset,8,19,3370772018142948611289901572196165487339052162297497609668074360086433296816165728259571235214706377239476160834100787717551388742806823511109692332317209741096562
subset,8,20,1502869100743495891357681963224889958451576272149122704342604521698544772102473057188832670638552419695259594944674265005978715781770469912197189178923660511492543255021380236
subset,8,21,950980179271033665254867676593843513253328498319509199725416714737521611692672776511608497103969593066928211279572229975873020486321434272309693117263890799806685249357420948121234157842
subset,8,22,839913404090118052360630135752969641117204971508055544639726905688439928243378265494055415654039074815531483838742332406634603214418115152661223869929312749128304949409951389108618856411314327409286
subset,8,23,1019820723800960612791375391647471518420314604726789667857414053284586735154425974951066260895359182908863715343628443812992219353977436240273649323404183900662228138910733870454434639037656315571853665521530872
subset,8,24,1678905289363376305755902345670182918143073093250647240295782286314449355388084374719814500777485652155038590334337253109110691542416265793694124798792811711752820113431063024688425950646381431869687746423126348474222615649
subset,8,25,3700239844623660629184702714448800405679782012510433972318881796896050199040825124680770125987193884532159644603276278507747320709782257910932109904794546674616180284210677872980818090433199031143117908489863629126560013082972194503071
subset,8,26,10791067223202964939963874326944555964976513328044510650289365460695277365838860383166721670285936522391713692014383098267134449230126261812199469635934300452296379683414602294645151199931439564928444850473855875340212602397387651404475646614502177
subset,8,27,41195482635975624870029103225563435107083623137218371976195573773968349291004146850178975395983290021977662233729723345947522433505886397946103882506837851938826112622667609084139946932799534967760896377585876357385782829677092824137222462743279129569733527261
