x,u_plus,u_minus,up
-0.429375,0.993355361,0,0.642603878
-0.428125,0.999512834,0,0.644792617
-0.426875,1.00369937,0,0.64995663
-0.425625,1.00616293,0,0.657175589
-0.424375,1.00770975,0,0.664547276
-0.423125,1.00865815,0,0.670474726
-0.421875,1.00854057,0,0.674609678
-0.420625,1.0066809,0,0.677526494
-0.419375,1.00284559,0,0.679618394
-0.418125,0.997652418,0,0.680697692
-0.416875,0.992369783,0,0.680812469
-0.415625,0.987920286,0,0.681054686
-0.414375,0.984344953,2.14132127e-07,0.683099888
-0.413125,0.981503287,1.39631687e-06,0.687835669
-0.411875,0.979768813,7.19814822e-06,0.694309873
-0.410625,0.979451655,2.89580645e-05,0.699834674
-0.409375,0.979863765,9.15430556e-05,0.701676038
-0.408125,0.979602004,0.000230170347,0.699375209
-0.406875,0.977753429,0.000468711254,0.695307418
-0.405625,0.974389638,0.000798552097,0.692573545
-0.404375,0.970116663,0.00119793721,0.692621855
-0.403125,0.966019471,0.00168127794,0.694916686
-0.401875,0.96384981,0.00230452007,0.697749946
-0.400625,0.965030554,0.00310488934,0.69870275
-0.399375,0.969281456,0.00406335624,0.695757145
-0.398125,0.974996481,0.00516604769,0.689453897
-0.396875,0.980903055,0.00647814761,0.683398152
-0.395625,0.986597315,0.00809298714,0.681593296
-0.394375,0.991471164,0.00998185209,0.685246435
-0.393125,0.993989867,0.0119802211,0.692128615
-0.391875,0.992803329,0.0139836287,0.698662075
-0.390625,0.988560772,0.0161238991,0.702649047
-0.389375,0.983895718,0.0187040832,0.704499362
-0.388125,0.981325376,0.0219582612,0.70634839
-0.386875,0.981564347,0.0258501917,0.710235514
-0.385625,0.983866936,0.0300698234,0.716882688
-0.384375,0.987412501,0.0342155012,0.725572877
-0.383125,0.99217642,0.0380022892,0.734575331
-0.381875,0.998712847,0.0413447818,0.741860474
-0.380625,1.00717812,0.0443368109,0.746185836
-0.379375,1.01626584,0.0472369343,0.747888595
-0.378125,1.02295877,0.0504507794,0.748352213
-0.376875,1.0240414,0.0543641439,0.748397184
-0.375625,1.0188095,0.0590481205,0.747497367
-0.374375,1.01022326,0.0641948801,0.744988369
-0.373125,1.00268602,0.069530379,0.74160296
-0.371875,0.998627294,0.0752227885,0.739130117
-0.370625,0.997633939,0.081681425,0.738767067
-0.369375,0.998295532,0.0889759483,0.740351234
-0.368125,0.999565348,0.0966549121,0.74290381
-0.366875,1.00031012,0.104090474,0.745470884
-0.365625,0.999188561,0.11082304,0.747827593
-0.364375,0.995828766,0.116709903,0.750794223
-0.363125,0.991467064,0.122034137,0.755236772
-0.361875,0.988210593,0.12739614,0.760300694
-0.360625,0.987785635,0.133294162,0.763592063
-0.359375,0.990074096,0.139887296,0.763901206
-0.358125,0.992428915,0.147169651,0.76296949
-0.356875,0.991590498,0.154991591,0.763792836
-0.355625,0.986859656,0.16285757,0.76771997
-0.354375,0.980664262,0.170310205,0.773910838
-0.353125,0.976179948,0.17780976,0.780815037
-0.351875,0.975264231,0.186660951,0.786988357
-0.350625,0.978095844,0.197590201,0.790936423
-0.349375,0.983617087,0.209704206,0.791746374
-0.348125,0.99024116,0.221239846,0.790259749
-0.346875,0.996542558,0.231082554,0.788867008
-0.345625,1.00161889,0.239296144,0.789687106
-0.344375,1.00499255,0.246590949,0.792863731
-0.343125,1.00595294,0.253812592,0.796362757
-0.341875,1.00330311,0.261714408,0.797693527
-0.340625,0.996973449,0.270563955,0.796560993
-0.339375,0.98985733,0.279829321,0.795806472
-0.338125,0.986422434,0.288603685,0.798999
-0.336875,0.988799502,0.296396145,0.806820409
-0.335625,0.994948845,0.303498959,0.816287863
-0.334375,1.00071948,0.310982579,0.823593153
-0.333125,1.003132,0.320561025,0.827150043
-0.331875,1.00205569,0.333562233,0.828092954
-0.330625,0.999735725,0.349148752,0.828575457
-0.329375,0.999098574,0.364145465,0.829822308
-0.328125,1.00198867,0.3756353,0.83166421
-0.326875,1.0080037,0.383405786,0.833591971
-0.325625,1.01445557,0.389478732,0.835494023
-0.324375,1.0179399,0.396300605,0.83713717
-0.323125,1.01686926,0.405942369,0.83797344
-0.321875,1.01261858,0.419475046,0.838075888
-0.320625,1.00769718,0.435782034,0.838434731
-0.319375,1.00300429,0.451778954,0.839714525
-0.318125,0.997561031,0.464810265,0.841308886
-0.316875,0.990703286,0.474440062,0.84223111
-0.315625,0.983660599,0.481610524,0.842547474
-0.314375,0.97875349,0.487033069,0.843336435
-0.313125,0.977479896,0.491260551,0.845622209
