r,shift,coefficient_x5
20,7,-8161294710373818048365220
20,8,-26969066994243805310499972
20,9,-87750749838121733991031140
20,10,-281372372395861868525747574
20,11,-889846042726603738302489249
20,12,-2777738543493347752673456325
20,13,-8565073663294764410376058785
20,14,-26105552790506864034862219445
20,15,-78699895219383860383373710025
20,16,-234807320908460368636571723265
20,17,-693717379147193325381937920825
20,18,-2030514441932544235547974932915
20,19,-5890939547965576729973051932305
20,20,-16947481404640080482858816633025
20,21,-48366105822789394842631424072385
20,22,-136978700939820046448915489797725
20,23,-385114685794072889292947574790665
20,24,-1075204278073755949644933245640705
20,25,-2981844994209673439048170720916025
20,26,-8216617077617094692663490631995660
20,27,-22502348735492780484893919883472400
20,28,-61262577176453929295983033019018784
20,29,-165842013305015649545226106227387984
20,30,-446497533836698479607299887149196304
20,31,-1195794686402481914861678605197612432
20,32,-3186324804791096654416111612046132240
20,33,-8448848561545978529437373032005947024
20,34,-22297335712395981834065242503434323824
20,35,-58576893949148547122264292114453289104
20,36,-153208872211775411906875925121260986512
20,37,-399014419167096568579262729377833152400
20,38,-1034904055094530694044903015361147338320
20,39,-2673469247584390406686408362999202548240
20,40,-6879675238694346950620908694423019341200
21,1,-66810464113748456673000
21,2,-246884820913206947785860
21,3,-896675514399298878593076
21,4,-3199482431464830921606504
21,5,-11216418712376146228194400
21,6,-38648202753804832094758940
21,7,-130968081465930839703650044
21,8,-436791286999443343517218592
21,9,-1434794783073299372969720476
21,10,-4645726052634453878572147625
21,11,-14838848285516166117099681025
21,12,-46789835019745401130936076870
21,13,-145751384773339829100972425980
21,14,-448817922894917818216405211235
21,15,-1367071702287501184919117047875
21,16,-4121206598238278371841342454900
21,17,-12302681801942603425775833619130
21,18,-36385710089824145583178709747145
21,19,-106663337349327198473359705513365
21,20,-310052916485878569825862475531250
21,21,-894051686393903629214250218119200
21,22,-2558310685655629396704230835909855
21,23,-7266988303612594780113060765445095
21,24,-20497588969674239824287403700127840
21,25,-57428268954495597263340686459463000
21,26,-159860974295379162853736590041940800
21,27,-442246631712608815047943875782548368
21,28,-1216176448102426429457001569013530208
21,29,-3325346474304794626299773444237308608
21,30,-9042279710877619636556123862706657200
21,31,-24457204498015084844187343844777756080
21,32,-65812098316312752459231105888460123328
21,33,-176218854741973938957428952868527894688
21,34,-469591474847775690500005993527917279888
21,35,-1245600656289004045948197668141928754000
21,36,-3289230087898887522002399706731038032800
21,37,-8648268181819064733317386967127517978240
21,38,-22643474687869304590702679683968343320560
21,39,-59046299574619231623763818365490083275120
21,40,-153367011062795838961252749358313627952000
22,1,-1027406660748628126714020
22,2,-3815199912669334070938056
22,3,-13936388069321735283438480
22,4,-50051034725803896578269960
22,5,-176720643128092315407534500
22,6,-613619761129404562850750048
22,7,-2096376846457776038738036224
22,8,-7051364567520010252553761800
22,9,-23367670195391827451932248225
22,10,-76350374492011930677308509750
22,11,-246135294849749974872084348740
22,12,-783443720051485529226679733790
22,13,-2463788279580313140984729625425
22,14,-7660109850334149173844367589100
22,15,-23559164960587822369604256918000
22,16,-71716344167203447630399769894760
22,17,-216188773451501505724502491566585
22,18,-645672696560170747717793606866650
22,19,-1911387338134268525407784655663300
22,20,-5610750340675523233764168563876250
22,21,-16337870118856503684762811919022585
22,22,-47209226121699070381378066575516960
22,23,-135412685960417866275699810217977600
22,24,-385680114300664535570165413066801200
22,25,-1091078801414044839344401499400354000
22,26,-3066644588684016740627343068300970336
22,27,-8565630522845391694759169539629705792
22,28,-23781932957341926511903715409647076960
22,29,-65648387399688919123057404352511477520
22,30,-180211116034168704906961912302857326400
22,31,-492046308784103057253367523929407183616
22,32,-1336530116730440696934041653507449338112
22,33,-3612242817465483905834288992225264707600
22,34,-9715686317007339922472203834793923943200
22,35,-26009831731584642568272735127549167272000
22,36,-69316197997475143191320670583495307048480
22,37,-183919342290813087793588041365720364401680
22,38,-485931278584165774448321190126252773289600
22,39,-1278596570755620963321001747351526701363200
22,40,-3350867407088650526953588624554018799566000
23,1,-15819955825755749696604576
23,2,-59006209892209046190568152
23,3,-216666069638990055921673804
23,4,-782749244978853373676025648
23,5,-2781858848232501689321846176
23,6,-9727811226196862176396455360
23,7,-33484678788927275237643943320
23,8,-113519678781479912355553695465
23,9,-379285638739667950260877723180
23,10,-1249748853006955483985696228790
23,11,-4063808755568878305907071839685
23,12,-13049236650712908825319297627470
23,13,-41405168049521688383435394070140
23,14,-129898494972172836826704982397280
23,15,-403163495377205104829069170225530
23,16,-1238561679443097353508730650639555
23,17,-3768165116080638365397188826872160
23,18,-11358469055123199374220544229441670
23,19,-33937126083872479108536546577456215
23,20,-100547319255181670967826308828810000
23,21,-295507718625669992063581109280705120
23,22,-861830149399043202884199867602869440
23,23,-2494999633110057331519249782302789280
