n,size,k_zeros,trees,unicyclic,total
74,40,36,176120,5180,181300
74,41,35,13727296,885632,14612928
74,42,34,327840128,35125728,362965856
74,43,33,3113416800,498146688,3611563488
74,44,32,13128240840,2983691100,16111931940
74,45,31,25601994600,8084840400,33686835000
74,46,30,22957392960,10043859420,33001252380
74,47,29,9004839480,5541439680,14546279160
74,48,28,1387300200,1248570180,2635870380
74,49,27,68148080,97354400,165502480
74,50,26,680800,1872200,2553000
74,51,25,296,3552,3848
75,40,37,10800,150,10950
75,41,36,1963500,89250,2052750
75,42,35,83476800,6956400,90433200
75,43,34,1281614400,166135200,1447749600
75,44,33,8414640000,1577745000,9992385000
75,45,32,25401694500,6652824750,32054519250
75,46,31,35927955000,12973983750,48901938750
75,47,30,23267628000,11633814000,34901442000
75,48,29,6442254000,4563263250,11005517250
75,49,28,666022500,703023750,1369046250
75,50,27,19734000,34534500,54268500
75,51,26,90000,345000,435000
75,52,25,0,150,150
76,40,38,304,0,304
76,41,37,191520,5472,196992
76,42,36,15917440,994840,16912280
76,43,35,408850816,42294912,451145728
76,44,34,4220783424,649351296,4870134720
76,45,33,19611720960,4263417600,23875138560
76,46,32,42900639600,12870191880,55770831480
76,47,31,44208493200,18203497200,62411990400
76,48,30,20630630160,11788931520,32419561680
76,49,29,3989425440,3264075360,7253500800
76,50,28,269961120,337451400,607412520
76,51,27,4544800,9998560,14543360
76,52,26,7600,45600,53200
77,41,38,11396,154,11550
77,42,37,2199120,97020,2296140
77,43,36,99986656,8063440,108050096
77,44,35,1656921728,207115216,1864036944
77,45,34,11878666800,2138160024,14016826824
77,46,33,39739539840,9934884960,49674424800
77,47,32,63525947100,21732560850,85258507950
77,48,31,47776196160,22395091950,70171288110
77,49,30,15983947980,10451042910,26434990890
77,50,29,2127325200,2020958940,4148284140
77,51,28,91171080,136756620,227927700
77,52,27,800800,2302300,3103100
77,53,26,308,3850,4158
78,41,39,312,0,312
78,42,38,207792,5772,213564
78,43,37,18378360,1113840,19492200
78,44,36,506425920,50642592,557068512
78,45,35,5664735648,839220096,6503955744
78,46,34,28879044480,6016467600,34895512080
78,47,33,70447366080,20127818880,90575184960
78,48,32,82736947800,32175479700,114912427500
78,49,31,45371874600,24198333120,69570207720
78,50,30,10794354480,8095765860,18890120340
78,51,29,969728760,1077476400,2047205160
78,52,28,25187760,46177560,71365320
78,53,27,101400,405600,507000
78,54,26,0,156,156
79,42,39,12008,158,12166
79,43,38,2455320,105228,2560548
79,44,37,119129472,9306990,128436462
79,45,36,2124948320,256459280,2381407600
79,46,35,16574596896,2868680232,19443277128
79,47,34,61157603520,14624644320,75782247840
79,48,33,109770057600,35675268720,145445326320
79,49,32,94970701620,41898838950,136869540570
79,50,31,37844112600,22976782650,60820895250
79,51,30,6329483160,5466371820,11795854980
79,52,29,374156640,491080590,865237230
79,53,28,5545800,12755340,18301140
79,54,27,8216,51350,59566
80,42,40,320,0,320
80,43,39,224960,6080,231040
80,44,38,21134400,1243200,22377600
80,45,37,623293440,60318720,683612160
80,46,36,7531462400,1075923200,8607385600
80,47,35,41961004800,8392200960,50353205760
80,48,34,113541542400,30965875200,144507417600
80,49,33,150859392000,55579776000,206439168000
80,50,32,96172862400,48086431200,144259293600
80,51,31,27677832000,19161576000,46839408000
80,52,30,3204801600,3204801600,6409603200
80,53,29,120556800,189446400,310003200
80,54,28,936000,2808000,3744000
80,55,27,320,4160,4480
81,43,40,12636,162,12798
81,44,39,2733264,113886,2847150
81,45,38,141230628,10699290,151929918
81,46,37,2704648320,315542304,3020190624
81,47,36,22876817040,3812802840,26689619880
81,48,35,92695674240,21242758680,113938432920
81,49,34,185705926560,57480405840,243186332400
81,50,33,183294161280,76372567200,259666728480
81,51,32,85919138100,48687511590,134606649690
81,52,31,17699245200,14011902450,31711147650
81,53,30,1390654980,1622430810,3013085790
81,54,29,31842720,61031880,92874600
81,55,28,113724,473850,587574
81,56,27,0,162,162
82,43,41,328,0,328
82,44,40,243048,6396,249444
82,45,39,24211320,1383504,25594824
82,46,38,762529152,71487108,834016260
82,47,37,9925391520,1369019520,11294411040
82,48,36,60214041888,11579623440,71793665328
82,49,35,179860125120,46920032640,226780157760
82,50,34,268569417600,93999296160,362568713760
82,51,33,197154367920,92778526080,289932894000
