n,j,C_n_j,parking_functions
29,12,118472150544054876353557257042269684367360,228767924549610000000000000000000000000000
29,13,117783919906838339689375744515633486569655,228767924549610000000000000000000000000000
29,14,117162460962596404699389431865494093168640,228767924549610000000000000000000000000000
29,15,116587217738921894960850477218627929687500,228767924549610000000000000000000000000000
29,16,116041295468850623900158973372183819059200,228767924549610000000000000000000000000000
29,17,115509779635407532869391805808661569435540,228767924549610000000000000000000000000000
29,18,114978374742534777085250232761339263057920,228767924549610000000000000000000000000000
29,19,114432096900917232234815292200356728107985,228767924549610000000000000000000000000000
29,20,113853758520412500000000000000000000000000,228767924549610000000000000000000000000000
29,21,113221892370873756346088304674596173216075,228767924549610000000000000000000000000000
29,22,112507515638559517810507946941016734433280,228767924549610000000000000000000000000000
29,23,111668555289897878089594232878751974602690,228767924549610000000000000000000000000000
29,24,110639351056744242973310861232786710200320,228767924549610000000000000000000000000000
29,25,109308929885893610031768679618835449218750,228767924549610000000000000000000000000000
29,26,107470535189083381951392517229240333107200,228767924549610000000000000000000000000000
29,27,104684539707229199251126670763027720905259,228767924549610000000000000000000000000000
29,28,99807653711585410537593507754325921759232,228767924549610000000000000000000000000000
29,29,88540901833145211536614766025207452637361,228767924549610000000000000000000000000000
30,1,17761887753093897979823770061456102763834271,17761887753093897979823770061456102763834271
30,2,12679494276530120701227370492409323041254836,17761887753093897979823770061456102763834271
30,3,11189396547501948947585249718654564594905706,17761887753093897979823770061456102763834271
30,4,10495403834432666263919303761780478080090921,17761887753093897979823770061456102763834271
30,5,10097402253712995506587620339219165290456825,17761887753093897979823770061456102763834271
30,6,9839803332571428248213001096187413603610356,17761887753093897979823770061456102763834271
30,7,9659149351006470456194386951689634286503588,17761887753093897979823770061456102763834271
30,8,9524889453825150048476561253374588398814963,17761887753093897979823770061456102763834271
30,9,9420543973113316200580470915162136430184963,17761887753093897979823770061456102763834271
30,10,9336444934319848103223385834412847268492510,17761887753093897979823770061456102763834271
30,11,9266534844904862254129329124430601507545966,17761887753093897979823770061456102763834271
30,12,9206805283903874114147041597854257473326573,17761887753093897979823770061456102763834271
30,13,9154472172273631417638260195190633048151933,17761887753093897979823770061456102763834271
30,14,9107510114813063300929852300430627008341368,17761887753093897979823770061456102763834271
30,15,9064373020543561675684902591567354803542920,17761887753093897979823770061456102763834271
30,16,9023815606242336891910411021888747960291351,17761887753093897979823770061456102763834271
30,17,8984770315851428837781384239750902168446503,17761887753093897979823770061456102763834271
30,18,8946253146302848977875297166804367367803938,17761887753093897979823770061456102763834271
30,19,8907280572880885101723357330293021571390898,17761887753093897979823770061456102763834271
30,20,8866782506986848532145640937025501256288305,17761887753093897979823770061456102763834271
30,21,8823494099060245161508850675899970495341761,17761887753093897979823770061456102763834271
30,22,8775800803388575982073560901043730730295708,17761887753093897979823770061456102763834271
30,23,8721491207414150905101186524097556368680108,17761887753093897979823770061456102763834271
30,24,8657326656913850698750375592237136172229883,17761887753093897979823770061456102763834271
30,25,8578227208624912595939391783261853222723915,17761887753093897979823770061456102763834271
30,26,8475583850801946444882221159129281629537446,17761887753093897979823770061456102763834271
30,27,8333335202967444069083662448009697907316790,17761887753093897979823770061456102763834271
30,28,8117309336406079539226284998895852832700725,17761887753093897979823770061456102763834271
30,29,7738620531558133624694842549803003301700265,17761887753093897979823770061456102763834271
30,30,6863037736488300000000000000000000000000000,17761887753093897979823770061456102763834271
31,1,1427247692705959881058285969449495136382746624,1427247692705959881058285969449495136382746624
31,2,1018962986505807660793714477087121352287059968,1427247692705959881058285969449495136382746624
31,3,899288843356361960969433472600132763016667213,1427247692705959881058285969449495136382746624
31,4,843571053149648491612347402199515406540996608,1427247692705959881058285969449495136382746624
31,5,811632246954980919407634233819096273019693606,1427247692705959881058285969449495136382746624
31,6,790974046409229084853176061255386734566309888,1427247692705959881058285969449495136382746624
31,7,776499501134654567046292273673792600428812803,1427247692705959881058285969449495136382746624
31,8,765755229713377253362158744260254303185272832,1427247692705959881058285969449495136382746624
31,9,757418301095177205734061190857558381485300812,1427247692705959881058285969449495136382746624
31,10,750713107335423626296574433622360773273583616,1427247692705959881058285969449495136382746624
31,11,745154264018079060701738829996008033245071597,1427247692705959881058285969449495136382746624
31,12,740421255029466717840800900118476532207321088,1427247692705959881058285969449495136382746624
31,13,736292279135547792565844151891331550048778122,1427247692705959881058285969449495136382746624
31,14,732606976165819837515800239611961048943296512,1427247692705959881058285969449495136382746624
31,15,729244170150244210092208533044482213694707051,1427247692705959881058285969449495136382746624
31,16,726107797635875496607302528166592302989443072,1427247692705959881058285969449495136382746624
31,17,723117413921607606942195301657187696857961448,1427247692705959881058285969449495136382746624
31,18,720201222544135490018207374548970602036723712,1427247692705959881058285969449495136382746624
31,19,717290325844498879893101221313230039061294927,1427247692705959881058285969449495136382746624
31,20,714313214227739605536537869331018604175425536,1427247692705959881058285969449495136382746624
31,21,711189535702644088084522313345899585584622042,1427247692705959881058285969449495136382746624
31,22,707821910892142930187089729899669403109163008,1427247692705959881058285969449495136382746624
31,23,704083823989436491258961869806241442679939537,1427247692705959881058285969449495136382746624
31,24,699799983563686115030370959118713349568724992,1427247692705959881058285969449495136382746624
31,25,694711867886733615689450752715304434147293196,1427247692705959881058285969449495136382746624
31,26,688412346083437776372874013871847311925051392,1427247692705959881058285969449495136382746624
31,27,680209957105456662722048377424063453071601143,1427247692705959881058285969449495136382746624
31,28,668813283210067915164375374963621960200749056,1427247692705959881058285969449495136382746624
31,29,651473407406835490182430095454526769795198006,1427247692705959881058285969449495136382746624
31,30,621038876031289520264571492362373784095686656,1427247692705959881058285969449495136382746624
31,31,550618520345910837374536871905139185678862401,1427247692705959881058285969449495136382746624
32,1,118558347188026655500106547231096910504441858017,118558347188026655500106547231096910504441858017
32,2,84651466858339182635427249666057854189320209905,118558347188026655500106547231096910504441858017
32,3,74715184351363474666737698154064607002961238678,118558347188026655500106547231096910504441858017
32,4,70090487946662863955123757947713611514819655718,118558347188026655500106547231096910504441858017
32,5,67440634823031262740581462105720730030462210439,118558347188026655500106547231096910504441858017
32,6,65727710015231145196476993442464418747841132823,118558347188026655500106547231096910504441858017
32,7,64528485721670078858983447776885000001805794140,118558347188026655500106547231096910504441858017
32,8,63639277899786970163279079189776752368328012908,118558347188026655500106547231096910504441858017
32,9,62950286685776819652342214032978892690780162941,118558347188026655500106547231096910504441858017
32,10,62397172812138839639384937788818551291689584269,118558347188026655500106547231096910504441858017
32,11,61939710451296196298022105589453081519702055826,118558347188026655500106547231096910504441858017
32,12,61551381794003311925195815339655741504697900066,118558347188026655500106547231096910504441858017
32,13,61213889372884224122534014047513721040853308163,118558347188026655500106547231096910504441858017
32,14,60914068663536765261893253660907321447561565331,118558347188026655500106547231096910504441858017
32,15,60642050720059884338137051363311659434816456824,118558347188026655500106547231096910504441858017
32,16,60390108993175195169951157234560157199723189896,118558347188026655500106547231096910504441858017
32,17,60151893097749094864877871891541413421489975641,118558347188026655500106547231096910504441858017
32,18,59921882652063370511886269790537251069625401193,118558347188026655500106547231096910504441858017
32,19,59694959274986441710213521802028839436113982286,118558347188026655500106547231096910504441858017
32,20,59466025829210432627681563583583189463588549854,118558347188026655500106547231096910504441858017
32,21,59229612286068742256688006061825162664727489471,118558347188026655500106547231096910504441858017
32,22,58979400799810069791827064218126513275446766671,118558347188026655500106547231096910504441858017
32,23,58707574683862312013196467907938844732752273748,118558347188026655500106547231096910504441858017
32,24,58403832037870720181742305882275049554318539876,118558347188026655500106547231096910504441858017
32,25,58053766963944641391514968041320158136113845109,118558347188026655500106547231096910504441858017
32,26,57636014253661861479310800376540132157761522821,118558347188026655500106547231096910504441858017
32,27,57116818892624149053762292234179464339629377738,118558347188026655500106547231096910504441858017
32,28,56438752593355175616927385607478819871417087578,118558347188026655500106547231096910504441858017
32,29,55494465210842195532528537115143762430923171259,118558347188026655500106547231096910504441858017
32,30,54055362988557771233368849077032303501480619339,118558347188026655500106547231096910504441858017
32,31,51526672980756619660664477466003510256845244944,118558347188026655500106547231096910504441858017
32,32,45671926166590716193865151022383844364247891968,118558347188026655500106547231096910504441858017
33,1,10170102859315411774579628461341138023025901305856,10170102859315411774579628461341138023025901305856
33,2,7262201735153833101383800137826782762355442843648,10170102859315411774579628461341138023025901305856
33,3,6410236466711271070616521708597806862302964957899,10170102859315411774579628461341138023025901305856
