base_a,log_scale_x,epsilon,normalized_tube_volume,periodic_profile,difference
3.0,5.025125628140703,0.0006671976451319318,2.554135497006005,2.573967093296527,-0.019831596290522224
3.0,5.074874371859297,0.0006317108289848545,2.5383726044734654,2.5575320002545707,-0.01915939578110537
3.0,5.124623115577889,0.0005981114807109705,2.5245868533532008,2.543096833151068,-0.01850997979786717
3.0,5.174371859296483,0.0005662992099298746,2.5127406274079083,2.530623203457375,-0.017882576049466525
3.0,5.224120603015075,0.0005361789658108438,2.5027981844754654,2.5200746228971775,-0.017276438421712115
3.0,5.273869346733668,0.000507660753073602,2.494725605152839,2.5114164512431083,-0.016690846090269496
3.0,5.323618090452261,0.0004806593630944041,2.4884907434680965,2.504615846131557,-0.016125102663460567
3.0,5.373366834170854,0.00045509411931401084,2.4840631794781984,2.499641714832301,-0.015578535354102474
3.0,5.4231155778894475,0.00043088863618686495,2.4814141737324755,2.4964646679118996,-0.015050494179424057
3.0,5.47286432160804,0.00040797059095125214,2.480516623543821,2.4950569747319205,-0.014540351188099265
3.0,5.522613065326633,0.0003862715075385124,2.4813450210117103,2.4953925207251957,-0.0140474997134854
3.0,5.572361809045226,0.00036572655197566247,2.483875412743168,2.497446766395332,-0.01357135365216422
3.0,5.622110552763819,0.00034627433867011597,2.488085361219728,2.5011967079866757,-0.013111346766947918
3.0,5.671859296482412,0.0003278567469977003,2.49395390776032,2.5066208397738228,-0.012666932013502663
3.0,5.721608040201005,0.00031041874764597076,2.501461537031829,2.513699117921625,-0.012237580889795652
3.0,5.771356783919598,0.0002939082381939476,2.5105901430608064,2.5224129258684083,-0.01182278280760185
3.0,5.821105527638191,0.00027827588743701756,2.521322996701553,2.5327450411868546,-0.011422044485301708
3.0,5.870854271356784,0.00026347498799186235,2.533644714517386,2.544679603878655,-0.011034889361269062
3.0,5.920603015075377,0.00024946131674101165,2.547541229033535,2.5582020860606773,-0.010660857027142256
3.0,5.97035175879397,0.00023619300270005686,2.5629997603216186,2.573299263001916,-0.010299502680297223
3.0,6.0201005025125625,0.00022363040191272115,2.565789569816696,2.575739966411582,-0.009950396594885724
3.0,6.069849246231156,0.0002117359789999956,2.549487526753772,2.5591006503645777,-0.009613123610805463
3.0,6.119597989949749,0.00020047419500942356,2.535177963007237,2.5444652456472197,-0.009287282639982575
3.0,6.169346733668342,0.0001898114012294395,2.522822682613372,2.531795168802769,-0.008972486189396722
3.0,6.219095477386935,0.0001797157386514995,2.5123853821143722,2.5210537420146446,-0.008668359900272371
3.0,6.268844221105527,0.00017015704277960269,2.503831598592693,2.512206140695577,-0.008374542102883797
3.0,6.318592964824121,0.0001611067535027931,2.497128659715007,2.5052193431014658,-0.008090683386458686
3.0,6.368341708542713,0.0001525378297613498,2.4922456357227207,2.500062081906373,-0.007816446183652292
3.0,6.418090452261307,0.00014442466875169902,2.4891532933082225,2.4967047976773324,-0.007551504369109896
3.0,6.4678391959798995,0.0001367430294286457,2.4878240513182197,2.495119594189857,-0.007295542871637473
3.0,6.517587939698492,0.0001294699600763564,2.4882319382276012,2.495280195527117,-0.007048257299515637
