n,A225114,connected_A006958
204,33304984199552434897720756146954635558587848180080812443333264574937624408215725193211790697420339121,41420854897008403526107791345379378966693854904427698643577206579103356241
205,104209406159683099069554563710059857731817807876523238559144103229070324375966939149446754917633265961,95646494611424519128518688531213733146450341896337790414700652576461041767
206,326065320045992794326852099575067238293839736650648966336665740064494054605763107436676135219752864541,220861012024017558343267177707223258088266084019269027653239956468635496919
207,1020239888650556583997567573400711382522174656185179791235607189580967534451253155956406663233225969917,509998686626689387659136296711294629578834200626652853156652798880347955306
208,3192272733104147825242588322477447102423248469083544694473476542438272298144334890572238998965489029437,1177657649837553327664637784280274944386579373282292882369011593407821803542
209,9988440283391645067919761623930048859336735404055913597686421941483372501047843332435993168153274164794,2719374728970784217915402772170087860301963866799798711349834520780150434075
210,31253262999827154010929796010763898716267900331007887343810229438805836211932952275276724874166635980234,6279413136394092026871633290016228136753451249899148269538486276222450874261
211,97789686920438501971310238070926310063171290266832235101694139842879165954161632647326711658522200534275,14500035216714083712413218821484135166672920309466516330468538530299448659782
212,305978382738796527056238672030789718753328039647150273213398797531177033380002510015828861576993557238970,33482590923565794586835972443842819926618553846618676019151625084156215568787
213,957389001353698571931067954881855023550235597246500933521276746259722696534650808650232010366222311944786,77315942906303109338945764162280558666397477780858697134297459321843175822239
214,2995615872300029494069680744217494149211448894849806553753931613095851474303210527559452075136036710773164,178533227644681604490921039752840453571537223638554905085231072509575920303155
215,9373112122332195292139009776729665915610543075896661451983626672623868135033906340728236676568458690477790,412257966146193075189763556154636822190403015659067959472041484231164085432959
216,29327936091604305832599538138112732448294128953551139705107222159491852907669623259169429249506530206759927,951960780036110995614825245284226100833480957644454238505381162579676471121315
217,91765448248922845443354942464282822629944474199808193492121921652670269984809457819936788431623156953223342,2198209376518385855620409269187950036430836237144256614975870410639286011012496
218,287128881692305078309528089207291321713246809678342261338444780373388547251832929903877474727975150463213580,5075970107539569370069542551985884838025083343390020081976947661436548933660281
219,898409981916493856131819421861260877196630407831984485990935446834972720487327363375408880300442416478077658,11721118473911561282784712168737847772990266662675799525726951658490272946677565
220,2811073866376660675915106776764556074907689215271162548296402135736220945594045566486576972680242034333257399,27065687025108217725174409734060674770127428303150558071911329090480373138913831
221,8795690654915633083672676915382230397183294240342308354064853406783446563214787082050455991047007768834695845,62498422464681812506012160714504414101935294485538862458638075576029832163456433
222,27521217077333121278994395414586782528381927006713716200063980428425027814860195480767976997487171206691151316,144317519335470352049381960786755518759358861672969178494475042070736623634080845
223,86112326948924201504436290296998738472712339708517503610251747222283240438306475581409696444141876613155768370,333249153591254483470135169737870701849210388790231417528846921990385459311590297
224,269440585847702003007095101723948315395568902588703642113840752404118964606908317373475616417620643527732793787,769518481752287364470187475924585750371728926128236139744362995586602618753970733
225,843064307680514261428534887992313850137882768470125892234289359572895655167387335193699995622987084618686767082,1776924824495294823026584618992960985588523643480213531349175821679736581128676034
226,2637900391467274213024812946432192850561824398937618583143239203171818736422107102788210889491649336895387018842,4103165689689101314818004842665543047909218944696963519655121065960857560228103460
227,8253840676101997813621989604582189692473850485860813619094677016465354297872747453014286990875065461735123879745,9474778248890640658800592534554690575011441751782665083344284522415672088916736335
228,25825799232920373895036587585190189293834636197528122749080486813157008575541948391619611725252429033931941243669,21878576117761702071318509644456821568729133460894155518607326130701775837741362421
229,80807460695267288725257006550452096612248742963671614472365433560454613066915231094102955298598905170212989101168,50520664480642413161112146771108245702144637238774931944112850600006021139125467055
230,252841960286499705316393591718007592188764775390960166667193867563554404608379704660688595536575182983124077667683,116659216112952511085433769362320280312078637693881506240557946933530385597578028544
231,791128149944007277292496355009996878943829614171993887343201997703996857200797869520827112443366491323301907795095,269382298194101346783073176144689297743936307906311814210961269897661740132977559694
232,2475395100261948985755139422273388943724278616798721037422118434050762754015498254909226974599380050957377401494584,622041061120063055014485483214557879677325511242172201314148554991069254695800642098
233,7745370838889437663536333898252990725345314740513942260212473987366460509676924105801256041561387583954905354648758,1436379020868590700154668484686043048298812855206873122159949709622480554864846289794
234,24234825957912974477452033236949576611972281514641042922113110041743053380773783502604229949563883721629519066320615,3316798231737930865505844111966562669100237040419379915197696307724354448052358853992
235,75829395574111179897967559205708298662971117281177611061269555481024643749162608666317903351192955492870734086496893,7658946803196397963212375562993473824005258805044380101819939460610047297056030677725
236,237265876929376229743019923457485403638664170305339168580339234107207647375259664349531044688669398217618784640574064,17685569647526019859662087717261308219798946562170415569429513695423686724286712448797
237,742391468754968510005253792417933938872635744506404979652091738031837778284715855755059735841254839894823578893163617,40838431418136727014616972265905963114939111871251262309434755186568192217427421469016
238,2322900789666486248008967073877618617713684963565607220877778980452110254427182641451489157710159489970664032727849574,94301598078700122910188354293953359881193301958849192274230211524779489051577117687579
239,7268224792079513153160384808846414684563759345574246527613631822196225018053948599228551523401875355778350009546519674,217755459536267286384958998276134466558890169211135196521750329004016007341761345528898
240,22741863046068362772371181178177973697595827043357903465756207523665780965520716375987365366519107792731312933638327451,502827535523611706199609204584523142039587046721268388605886624208329585765291022313464
241,71157999319137155662008879833028674147773998514201455721265513384664245863567651698312715659074331404857753164007317248,1161098468066832104674003258490990011498452129343911191004551012280058744273368171759867
242,222649343057129189538373275414428942090114885346995450300893413602253471335110355894516483205219793007098687428179489359,2681137283270037042137040369368274398128261553603323948732531318577331038700949221535621
243,696657163468607603988579266444560750479806840877484582851809426133390410847846457296839412603433021149799795705878280871,6191117574816117520011291494705812879751631753451230984638269313583155891636526576362609
244,2179800742944909598632090713429463011499777617474531692606803487264766218310169252961595851097297925433741844698164825354,14296148527854593581970937135821638850894022836534231680699055721379106422582759759959065
