N,sigma_N,C_N,det_B_N,det_bit_length,simple_baseline,sigma_over_baseline
46,768964819892480602696786208,2585781625771624750652420847602403398433643657926112792253723057766647612832443575149946722140023854933194479961779850087986097195086777076287199395321941816432184849894600865164231149880444771363146248431731595509663125217121255201926848694283805065936770771052709406227562627855333777824987116700603137081951252838293489412271050180509247734388098082544166437497281088940443072667763115126083589465814982281047752993968769693014307547620471947858762932934882711772128636851656953213408158612515374171270292859840416179169403035645878919055051898873449804562166664326242496011992573013113160159261962626184451400083733365959654092702394314592220645254894301058513121009702647204990909207496085238407610550623961006798990054936990428926365735675327279307959083767653417842036672884457625596731356439770076015310025919497354426604412477685340723261555337252709134688796696883684048829401269988778358693425536923579565783514707896860522010011246321298590607537190275924336491699226512764208132872894698104118721711444645607766176947707363651592526831961509560895869431758624072006165896799472581544288793064163340993796609198051213957887668693930983072575092422935964785460084527508322925470337436956698194280678785250692858505062273673555741035299381204408598528,1988375102142763105532294274706266648073100769029579943229239673571745693870103951418841185148673925210535776642724115508564255921232462889678392743609197706759753250618382527835883598846580067274513635930443410203616353490614829827348242584518734068147559500584699807409773906868032295042042639361023116677240635546276698022796805270383261742837499725806402120236908982543000233279151986871982066977612217196976732513086701994644436588175220391614016993689530648323974959493788207177104528322059630650941427219551868982866917736016811586946242041781571425554060022533118230097400128275029960295308500811459476754067103778122684775181299711903936348260917278056980049467893114290816700520487403436121543462663864706373482265859973462673603980947078229450392061074930529085906525436595174778550388928491342208601868542165016525480936146396195289102778331234854927612624583631392663038417483836860148816881837127563609377004313810462021583899809036631971951339061485032649368050343687725816296586222098375426528669188980246069324135736363647781666674748170432621412541557717869880977000410339838680825222951277607083703785087343138000171340285895020364744067687179336094521003634225438275141627954894495246358863088838868857787386363575689659797706530995255289629281507474412094106919501823,4277,618970019642690137449562112,1.2423296694343569
47,-3095150544359165726339732352,126806361956734831642618551096186156146823015797721229879989593581816898111558635287445616193453476245769146542439709389905999338068941033683566397764148088710723256012938326626430361805856876735537269176296730684210444231223134867424557171722734054193640947316302244279836167150584674251750649311610078815746767997107720467297245021053979909119653813968609934690527507278424303119320430795356262408425531054440141466692933561441785725781855181905360626655392125888970413905497064682226683708408271809331467194358843163105275818036415999799508959125065827907855775530309404095258783899459375903162060789100743140000779296305605709069899492916491491389124452145840045065433961585937730942437296282999603502453165926323018065376218583095555371718413184864451303226981905316756142602488738324996372966751284881001736209401063956539563805531724663872308892554136608453127472205122142032271416765684289308489243829506849152372417874259461011516723033794812421447347401261249764902667904657511506960811032866054778756190671464086734366962194711978279059054563704950759770383818981061973734628059190984746939455712807883255933941339670164192877243037290602450201817697163597970577395651013528430489175822806015372540086181748542845660211615888206544245759136856586668541919251571022721190350289403239059425540220763238301696,392484780238593217719088892002386088562908821624400010743496300449251825617103031670215640794951533218536621123774652039236492198238038363151913718346576395514349605595778226381215137983895406236323791188615735275155644381293259574641638593309443997138428697213942958979044350664479237956133198262019959252118407127425132573768786586514126706576937176767950434729861653849041146020190379420852282773179588638967575560118720409053862118842468449148827209844415451615158132010930118855025465413384729529043988065159421495042527084212671717005922270045063380294787485513125597165355746831387184050699680228135406963584552645450303669100907174060446360591748074752623409138190336812807262520545740471216831919980275179796000318653151636089060062377327760507583223734445656636290208338158326657971439030179379680765056368653645023817004389840580653837330512964140698468223891113206060341811734107715099177021064833502501125128780144793667297771239494066449187889426318357385105443697336422205060859058375131713214496030329540664022797593018843046090622584877976119272160863635659029747006412927855209685399287108244811981501786744597014034137222682920355269669180681503212293255360350144926488500240731181368653838536488514828619783995055483289316469658985520034858269302184582681695148146679946123800146271548842191503105545829434145054667667668993,4464,-2475880078570760549798248448,1.2501213492318612
48,12457797433106035563569996408,99497054337086473442435202604522816989643863571126408511774020575773849326355529178686629498151336416502516645641699516813140394897940636561646545947753232301453603583223268085613647233768081645727669037394385696522820301535888041815559513408036145123870584325525813950487109647770743827362571822870567643040184723115825645590386313377067112638149253171843914780065137373446222406322953569124771480101363180966448099882292453452395428270875732536311539266115116490704940164192417744919250000894727407937229829300578253427884494358459949535231819781361449649779252948099909821642207485514805768288115583409148969875790523961878753124972681179944234641016960011815788847436610192704551637257516330911699551317590414613079725435281256624807024830384759906005827841856341805823810696085293804784595344369553367228644793502441441504822313253221524688748900949981328500896605075886286779839385903618126813792635096695603568093753945560639701860766835849514888381899320122713378711801122870414617183443860804049047197143160531288968248852899162907888263299987912251542818864368240542331569178254575257884513751999109509135510771411463087361606010604252368906256772079851912388299220446368536949877607851084431039287186266554003773176986741076619516039993710036673596366432144469663662637198772892974397331293486212552065357606475226406954143529808222048258838428202961884206333952,1239514148122167611780379459845332539530279214683753887357885698510462697892578272357505356484472632777223924093814286119555596267746258046313937381591157034626448769215659147679372542545854725599217377298887001912927189416291633924111047280717175232384620314960113284610482956745271878083816087281429722572169728528315733313504999562639670502959490604569725404540548711271372578036398123694389336695816577399135322387281219226210152253497659293661557491070233632669945402088433955412113518190789894204657221267587918193243175307938890510188397980917301618685153331336286606365703996149027152062422634821812022626470986280261706915981989004742690003215298855544124135605556041585438097983362927550244303978688749279744046492595131185808636819477629967749471758741057142344220505005394787637600966601282116733036794463940333613502277638295893751336700721402925608575132161475308616082374287677719762847965107097614261628265973232277815763285363348689969686073166780915389942649365562188495601480451516447270461503174961327321220608506826614840064000782786814562108980253248919038673656579831856637077646051511979272428570606999507403852733219734975067983846126141937616023201955010581335471903968756017068902725901541805538472933904590015005039703659733428406105158308731244308007712519180268669220106452829804964589434420943151669447842508898633932409589630051879962896987049553758813724857259488444415,4655,9903520314283042199192993792,1.257916078097923
49,-50140073852918149721383161088,1249106264890376748522034150593764243840878507840024658152484253792941321811956082950705058940334423227167917371435305679743123956839118893995848947360478158729135702407049791604077799599939851201368291436617703944474340528333994776340734900576462868443118017389787742204365362972278900658865059454738085034355620644845514946671236854030018137681492247731856679847988732701953565529646567073986713339403183260359509100141010655518768426436351644009181811899197662813589067149352773615701372181606817826430810998406484158356483986230665681290426989720773440158369290008051100001952745381543271545909496171127426894075834653017045603019858361712071617072375098845035555938290502737545812857193604894096342901657451476341558290351390806158038084933136563228635438481166420879785417638681272623037466377086347561803750443503023319536400612568847670669931254316013160893173565661135763982829263437816219794761077701396455495841931704378988538758833763436979207837831824823257510226466052441501562258765671233282096013388380480421912141169320111313264877700731260056829679901640874500012745457684214815671514122602388069962226263535124866583038419210906971336478605056335281485578570224184669272943923014434669445164140826659938556079205550875773248564586876642632340858246967983645445131687221780888629127031422210945182819109701031870289244199212580272892830990258150879035563045722064202511007332935399706083799235662750437948453289984,62630280371746231424085484582760834610272326141595338485320397622900813162995392658706179946349450772958990556892202749664823805243242998286063633592320294467273815440837415915704734543922961785180667457011747582588266757105498434339082200034489377012461972418128135516631989305630482282164015293763035402870557614292080002483712624046831048343388917324873814049070116651858760195383265648327787275585836512384129666949217128490324147045583015545246299215619265253721819535321591982914844310543187645166220273795587647466245839586118648693893192158153424490091238028244081155656191872330539953909185355892723552217074670551520104365151862267638073427986112138162397615655050397428147915210486153040634825172926072290013362488575780007651450156758542315474693058381774553886416014765286810286632507805814642559916541856406309755016120502362002660105782903600737046027264942698842130963995346114385425772223255594035525966350002731918508392036486149116403347812752311362812285883569641273682449615566577256616840256632252542812338399436739044013508104165222710785555074542949286157699310535751238949515403782490929087983126906178418335203787333779883224739271518082785679119131168369735671353318048220370525565627918539861358040325590367269120854233038913609639104347135884344551296196723925494353012516683396319703547878156339323809595616883879791607275460212212615257056478624096189230974437734665521955784348629699287380122507627975239957825147544971448942593,4850,-39614081257132168796771975168,1.2657134095187648
50,201796183894405214742599662960,250904547296824282802278401585764437283802439392939674578586577144022514901192890689800863113971645357010947933729323158694419927297011231701111430195254434194132958161321409938931736230095216678701138968377157838590660815066336006308668046846685110684044782615072820422535903982223536773153417644443181369774907838581470930400414748030580229339315460504342517435468405405584738402028330990460059301199581651596172086987843997440139310263215391463898053101940518476464933590051207186856593780278631438529556946868142187543192672557282976894466541020669970835005455157804270115631468271825634666618127913491818229852144022970413682960227313209161470052220439718860325411048121010198830692999682149326439609371176656910119340903617255105407553838058709205539180521832073342279444989981869715065743690883900437737759386980125530926579591776253743804232358195674063606678448614337429973639589603852313673720395261310740785418365415153881589871636669414100618597837435839888981410111115610757599001801389780466976429728257528532261058842483055663222800391852579104233893372700489848067898317665262037092116853583136248227285519396541715976961202431562242076424439157973964842010657631975697419278874395513976772170560978891832158487952581341255744865599936040976210117388155556333892394842442329528311395632296820148570723923113478567427096669888304135074827169366761020148170505663995195357489742538916826592816208397145775601054490103151885990114249514948592899891707973075016603850690420277248,50631580166252443796123201581269835526223466215669163679090893893672701466818785969288826403472338922305240295660237564721049111172416783060759487364577686772413131471705274574593043588033051255472394262377458511582872949749512451669520614258075844360773503059633067595951828799168549059118358243180757363029761434012484147541998013704702313373371270060785300089598654711754362483580372801251485633586991770118008680784061081294388647551765597406155522524375036567391227416335604818545879004391387514221078339052825125278382718730034946160941139090416506189833848174025911917486811684772032243589161242458458440578716240906894120581805740485732227864729084666568083985005818169407035546895620148984406944059075849737808765260155443799721429018935398881446178991378153184187936568689051377464243277196595541320126318526674478948556789738414665094395920333161827466114576390749335469137750269629665015718547933056259418978032161885242096220577886057792724222974665372016227374187142530047233457392741607823989782162653653897247098814427702189032190072646100341114319530391280134444543113378928858323755170988272083047927371096049653572727055107641203382514629639353538410626351667018025405713388364873626837640912797770208023268445797523363809867121056737837943708968814701856429732790624182988068343733333158909123465904203830308354683294166794775235898179621985632922120007540664433969271772071389167318759253213082047456283172806430021495757531720713210880233227795637897338988190253651496522356132481032257114556334079,5049,158456325028528675187087900672,1.27351296237669
51,-812129491330388515941836048320,806376125057692276514263748896427477102427803674870839214417782988010093375492763328313174435792054949396038365634092477693967506562076687135061700219822917932059461338427439203567864634485177884708692822407735738989529360542480337134617986543735075990280764962847703895071363927553015925636872245440974279896486093655626706009927783540844336281226826008857955614414034053111305413629065756892911052093465276778810913176450280917724341872269920436698803156680044557727311684260803403225150966414364679705281854043356619934067268849179663003526135013520284653671784978105552563500354459002790217725412948549143705607837540906980173203588312414699222153333634467454381858127532078573136800013970272619209794100911705201899073659860057383092593143482183164993931400675116134276737198673403424108270505282308662722543930777549641086386757849116435588616067304768384446730739092301625936614495674440254684941607437221808109533480467209118272545468044868590545228134457777065575413123736130739879424627298327638034993739556081020828377030964585458589642781450088838288593140957158054035960599213643275276289144406949596157812264750467788004457812346117065176781405054393811920155147701891189670254493068956816085279735718705002244076668551886455537875732061868207540844056929445582328021584218104645992965508491466897449005675917998593441742259861468612832325221861901601019804220463661939630339160121783029665019530099232177850329229668153883988536154600385955446575862841361786499212067484316166177818222667899813608899721297516625740403076248039111786496,654881832264073385408899616279455460744611323402628425092417959835493479439011665210309583997470175070569826260829479281452867876904703999037985281514701989803384184191469743619432518669533235563406908768261295185900817671433347622261908659683760420387477609225355534867623253656126928496770660748883649449592242531348129191827346801689194583917055355510919693407028496549951090969956664426203602282391162698950246607227214080475170153101374891453901672616244238966238443477659512238268798678691918538423869132775180482709371007529678331215005494499629354281718407011410953554360662811878513045041898747147330514470525291426533088921918081242451550450188079700926697469689367293778052258850490144117196612362121992485645973949570393396707970437372219587429919258278330258421290758548642760237949246133985864267562404100747047459681854279584472209188041110647869813924200717371395284112539610354720206196047619536954717391536804838417596792219980133699351593352687358882709764957581660615883494614346374481951029760457651445397858437743970204313656812987650409272865014333236523277464380840008376409301514612907939337894386961739184074343885434763410295185635209223699446015679242543611895061967816148776055105375028181214821820124421590486716152017630448853434810830451994011850659941522514393541074372979593520847572973494892016057139091233648582910855869653822242518007117237341833682955639025111993331098361958223216696031800917290211017179735674807250588030879459367419600087561019919574211159353032874227722786114591235814693062111104339143283122138456020219687236128179486721,5252,-633825300114114700748351602688,1.2813144113751402
52,3268301091699710406682285490880,41465487146795231641436465032376430166413164617072058674807345248097811819673102546601540593639618233070585765695866902799747948255058149602701026986546787911666150018789802037830513623108832463389605697348444196138296693296141915249278761938222202132268863235644536565713565083525778805304406329471057604960809575990758349021364765582395824374862534759889427354062441938578690747992307332365035944957121886170184294976642527257479082876852880356595578155298442061994378408504397019955901584874442395883844092754013839014423973418986108611136100589009476972443096500811527319433117545177207187255379530897685050319178314640681860153384072464862177948439845850572261885274512149677383507984210318707006710195276144687811949994530364331033138707112605753617227394257485291240653859250599670041438038442254859900207152251731313708217704916486490836785368935284351228459080468612466473762241810471610802098429980367646747188841101255780239094118366531792444170956413721449738407231510346623222060767525758443830353520654151736320449030071990036296654813320434371941696854228929690296844123177394874744343165642310198459029643132817740574494325507997295534859713983094642613804899410988817549274967126370167258947434829373674753998528917442980342101662147505559559877328157013613650059202126006840614743570879540236634985716423892857973814581176281980158234662779854379394781669799414633762185806909299542736658603070139321142407717091669238524791998842850750932249744470269322442410639262596280527478344166467404559739614082105245616828920185275796539186643298966893183676949057802865506452006566274884925117664591872,135521696909731165602067692855722307645903159264257717319478431505430270341552078794495809758274878633109756229275347897350445935723937484750033987674541172588241046413244396812418200204296697305165694321433394181010462833434772181881253012111150323408285173645549336358011994348935411044230303523531518322911841251800498149282509707020591588503460850749732862971744219660171647835997779640436748464065139432767034411560766596143162102658499707976377070259286352454306844022072530559718341277599198867931382574258374816903444776774289120427022146573816562288417798924117795117074971013517949641323420367032523278925069838141875656259499916946560420744507389182506220733758929145676328964179331344388061424346434243553081981212622561593545312054153737671272325808957725224951151181730673144610885189688843970622761524406261792838672377049518634435408672709801698553232331473147003911769091700308424494239363434099849438879546522232440014892890720790937570795245056727821566688814906299987920622196248549509999340824676621673449211446884017317228866775015351669934375106163605912955980109108414215253102757673771687453519512467473849639123043645824561132969729735493293784822866032702465414005509766143393023697333337450729363150798005782229097090533431863254989739521297806305061120189471818622002327144259760415401603100049698759327301773755572813801565126608378639779617404508413525763310028107979056505054390781434369202371192577325488621099554113042609763407252049252607377436514036127189386075455319925774774414741988912992005539599426160830269799741562640254647511104286452847308433474282422080927004609234776531135851999247856582378127359,5459,2535301200456458802993406410752,1.2891174788665274
53,-13152350882584625244047140688384,34115824035797723312152067612123359837670778873170219042013021013376086962057552180593802476519217263224216870834101444551376694364059972298813687851180105899894964112279578507481585376092080501650810039280501721763088065146243867761431515387404955162151939138547058981825733038520705856186356883784629395014769795655745671542169181922677733833612085615001841775140466783864195766919763025737850079253069033737805169396908100175380057568073313521676765985136774139549548878656680320277494555393566429150061357908580439155436144555801050593456942286175480261491644138549014242515245073404883482108296613338376753477868122151847469985556740289645495775737032442756185322729677966785332330621047935230299985615582859002864755733024094001729573771882318760155514306615073692039684218291224073946842510639724748213538916641048383220612069474501952077028456095275264780678128579040888689787028169443976548826559170421599197122648354279527448805320756978910865328271249262197517291696004284227010074397557033389360536431272015629592802313625102970040794476707749128692795153846752069829442779270139820898182053431028944878351160870739345617416219369828199148964825570444505160617754942624754405953855123302296925776347425586324580654466424892728981021101097360190611570680652686437946664467627195659988294838731630504048283031347161908792096218031875278430094264538838489922965267239604174192870685278051445594475506224558123824425217353077571425897252867028693258085360361030623365747549317961609537509626281631757969909110678002747954025533704591245613475533531524709454901988020302544573605082211649119320371819416222209749196675523275296818945411783034348014867897406033928126464,448703288367325957730972759932280614082149574921089782330425075352974507768297027888814042482679335598458698722702884122736322511605415630601940464526184703947098988241036922320863433402704389173414751434723256898263846045840940394651575079414271340748963432905996426411784422816008186695981140377597997787317507496920593043743719299295736326300421228880596664090418106820001977909766282510379879510015177734034487360319570869392806842001911807049409893793604553788122485286087568894199831138669530879211141987959163689791189736325691740368758786555374679337078446381601064797384853128487983536090203070852515818144153577919888265790941121987660146713508784764683156630234593325147956761067508449401831763225096135740334716635465277761104335351047336747038683386431521827235313714038137744389482588313554249247735247417187402548127022748199476673372489868147827867042009907714393150898434936337763310462050042568902029848757544788005865539240838804895767341638191151606915369897061573276533392423148951699663882630208570404771298567214942860137915022769032086407141979988736394230026864547132891082707167432813207734918378627454491592060954644179864759441204224496550065540283740869201638386536981973980675057288742292247945030692442972871437811071309345462137494311856836043387700463636105928310007758105025014946265455951712361676493388366455582377570997636681086822505654734349823058726822257847337386134744534287657412489932000680854655916656231987370966570517271704516644261168799354826258385659348818824721275224158914817864999379460668369622946856658559075702430973356898537140763242139757735634587553023970447268398422844976198861538896331564865842366682454679490882530446795003606184357092367794177,5670,-10141204801825835211973625643008,1.2969219278775102
54,52926037430273055089736077165184,449101951421387949230122520908212614817961104831227473051581528102570510085646343013239256040926133404625702813074373051247320264936011737152933691270797535605793088692022374158734595903812405195390586510025223554671601257203533043051741008376358153660984395132856315725254823606735087972197217866599887672117693496900082240914495577624761091879117284917527869573931316655645562950643102612960171732708395660905598663364785065639678291783962067953601472857390861315647562133950421368201272763846467613980896374008060759043919095443900538552106713034778537602335420859730486552497323218471315513844146456411782487108228931874984727543831036066044778931259841219383430297548724946061119914220846166445284528895631071204637041329535697620665668850625969063833688605945613677118822471514514515224037836909775559475833770355806806407548694575636533121981029573128003165837406853404925951022780021384918444934943243001388678951010811988099615563740210914545822676424354500472266982547437643839538309141758318757915514291814543649810402763050128674248259312953856968427713187009386794404155162275276885851755567872627687567564789057657422900545964802995584614024941578420690298697346910774540124755437141396806830779393960019419430648084104875816758885428061587472489051024724669903789779787700495883198306018265853429764007583499401598359617861729314420333073154565996010227712365706613582746896332029895707101326936675691985833491000471781720679128725423797291575642329259602865410619607598496653826207489679557159665293671451991848391776190572943688586406166476447370351497348734386402663900644028232652238838382421021821249517275748454045629286770427380451098817411837915549610170920212479290756838478267188183488935161525812217515878108889088,23769186690937049877150418679335434753777086327402853070430102346937530956876782132835130342028734162888503791391806561139829647585559851118749308298590288905743491643674840114362562528059487927888125915024685504642279812848693475962315004535650396202032906398272670267040009303564934225454305154151669068622653218972919922863454864258544607502529070049963182800208282162342718446757746822479012036701947669751339424089748181440170011788044521586116466547597174873308581208318196862768701182458058123859188977529525930723688343984744885235603470913422243041088161466718890023499863358041568368674559692910432206577942810427118044447975694450053718472859667572556576658551070177955493736425515455871582796992224082313030333711104199854420464664684188752725287463444278479395405082004970249517693168247329868735690065342318656953885055743486512826252227707802257972795444708856701378911971870073189280245981163946804376957205890810083811478380108490427503979054286346371282570541684429461518364165839686892997335549499643565306242684949252182164385218391249447804492261549696297183046627733408163200431913355241557731633425369177628683394842104736241522550937904294525577060169410715615537721466106176343511080979135346528057816538697010182091303628731184033867627006689270537322366708103126503817827155568465871728786231134254401633339199937446404951108376548684356384876676984300282398342926193536197138486188239983077824508768787259039669461756884370345796771243910340243227501509726194621285414655262693366097905241784932354360350412591789559390905867583769733091690542436035442099586290650285227550037739445093570383188898722004136955501040625946426297589167496124872014610956374196984352664764688125423151511562545925637127067524269559273663611901963868394766511112191,5885,40564819207303340847894502572032,1.3047275561564486
55,-212970848660438486208171651702272,94591911394014817032088129208086997213967647288879844302274338540430581687097783414739426104784528489010139759386414189095204215375917774282199090788179524070745313436121530181930824679054377465659316706135670121231989199704868697021800069229477786930134853743619107208894160916760603647168733043959546737212995927361204442734701095684642670830784551270024024278296037865615881063116637448490455595757902479871645229826171324698501946475345015417624621192190431990101088164201374204232107770790402878815822535800455406466515347406290201349039442040103670723318612903741521119389165489348093392753451859474983538734608053011755668269923348418885918677706192926960816410981484871384328962454049220628056072148363711321006069069912946622176599376977980127941415759839985674630251607338638812191460670034166573034164609193558438196754069276998455603377539209054662938112957210235694044811616842616315046241180215291727231868912098850672211005621330742757551363201700634822268634275176200920745579430969301326881028248012141710267764332860531468094374495950951942603063993396679258319425208019408829309395065191346433679761875803798700631536267275230805439640380422144642472903683933567624957745518429822900388894403354868254284833783787341193422635784030777529929799622500182753727157268712137590996342663447781160806479196511803474927922696630629067437829234165264848880395536568816272450005371222561388821199400643145046029451479964443975279585928469982528392408356751179114009237166322877102092839350867497749570245712500920690589514979796233939418085902641704131116079087627797446105531260139817861115162815562437356291021659079032226877655273885254124790209988512850908043164949197954905021301271727772046587368877008312766617150212034796585111281176098978440065506339669794058912160438947550040567054336,20145319645996336476489301742986180505723962105464039876498860318663652495211526877024745805114490985185678117922145475141422210983079686848432310478644529341352124788782930507448666541315591746770473908254055570774159963861522578934365637414693686248670085725211653424544556457857092812895539992746130792733738669485647916006027875761770259572749037852121252664424678350117178473224396994405680322717266822129877165430709837205810282654606437536123703994194791424152786838475008068822830393925760331906532188891955185736852536611724962829837996708781160470770958135244460113394618653113389567437379835721740738183034959846028917688165371109459375358899570291793178155942640473310496199318306666320387065356051429839169703353758424415605325250149786084813993015849683326106952322895748154546399935019415485493746361255932987074662074536003622684160069784210517892619350025900537745999646895159260751168706341354836014206249845629863159833085516464662908846196512535497003103585473894862579105743476762427411353056004557078251254970177873060750340268779506580863572615099458711722119880016332763503765514267863790400919023997869742225312538924307069870154971593635705382916970173924734217714399041072238481716797369623589539196472974529856369505440774364924126208601864268020725690575755762446416864657344298853189922045793676599076079840887711368809473665508151183694605066562011037531949651636363246580244143779471267523730109823309201654845832114377352291079430731028865972006125586265516246089900669772712372881336483063274646935929688104126204721784528639070169882749257173926806442666668292630995576437725896306378272696989622011146668056519751622682839608660728729433110731756400014981801901305042981167150493389640656999118290573373587254945430221144440055454856385372563890028084336165099195936660894297805278109835420935118651393,6104,-162259276829213363391578010288128,1.3125341910934423
56,856950748152313001744724658202256,318774110790809799537801758496790478070216737481739764510586450125386388541407453524203895884292949198082294344165019576746777752295946735311319732633106517173665086950719648083540568198171081948486079608965955887140279697736365931156327807290868998903784908104070292635727240005680522690502683610903407666886126598314432168908794950832765620276116882418588643409390215255159069465349331079960105464489111864129694344353882367197826594218365905913985547425600431913666925394681216980466322036605141305745103038700266845277306459683932424916510313368408679728910539874173025191097456143606162685369822823802897961623956508682733044688371389801204066163771951252419156277705102831057849826898509296806127009205522707498241541454633538656623948700803675364044493742911730016826838175924736810973221250471171368846902333960564443279760137822421590852106368866799054364698965452903763094444391985485218278763544800362917052323943408475943861936831771885432125220870538134085370986556176632731448995673063812254795624710723492756414509785761870478070613088337051054619675821784794455914118501335169665056815620740400764768513274434707571782150462353220166970757909887593979960864969836484925672799589138630353117350823765784344214760770483676079199278890010528184792279589720835170949766564443359933322106273114193877919649571003759385721029410066711690369252854712535297239115278850711580350833863487841333834636916043970209173129062844856318175310593091039117764380759423012596094387890421319175121720394419906596963790378990716922975232989242815780843479183602005837298578952033669799840134237450671111066138227028445290688150848575016659018012743566935336908323296819952409385638790820037909678644155007980373243407121722347492822698599621082630876113892334871238085700352885468776809978776596589372714501160005481045793424952288300113537453974798328576716138878213996675072,273173712733772770932702935709764868617217235773834442889989393326789461764365962653551155073513419849745377163977897987579661216698782833454912758833624345512821342058251183449047355338427442154432901814774981987051937121029291749332380191030192633437445792744332047453451107268788361375968433176456068067751986059620638575960075059100338470182772655383794821391842443770768607179060474658760630437912102666230205999849723138638894290673500803848966759755941493317443848041511169415938049152300745108859942251488185575536949576361965510238044749118727336490867327184889322563684564290904547930392076980455967604248649391936230555591343981972131696813829003391164426134246721789507583249716139776543119293695404501243799412556889364846236115910866365759288970750146605904463228902201596209219155344445489153667650039100476379969430240773024041569976836767672780631399121887273885503523166536928758751924919298819407609516008100064214672008435573009948041452089028700173863950260242647455116029597024655828305061468808154442622122905889056588553350904137801099215501104090116098259916087780961384177173172974211895674255419300023224451104415128568278008371038869041861506940736918417257849038735543549263825768903368183237733678596288304665367634682663660517665688962741437046868300091977411053031950819868682812171477473769938736487991021825891920097116166947232293531841982098902674752679902871388973107811044476729436460532205090274397015112313860298524953228838751810826168807051716264528949377554035652673681673982303959482068482998338810954816486718938049247126792966089175480432491762028416918372470881209915857360842861756502999570413283104106365821023747852011826114326008481155612996893906334525994789192334328277197414342029570648620086495037495512959954457988159100038218192612279670689958970801547050346191474949072167371067778227840096740373146399997116351839374741410959920680182436889362431,6327,649037107316853453566312041152512,1.3203416853852674
57,-3448074311339495025559438898863872,17188266051577202911749569132073157038662670591938419432958075685622865126627349955608974750432097478886162316421555141413731717071961006672608473461826973208383311842424921523460663571367761198408870647037317874276648486223923158323591375207517010070768190350713838500966349651700783619110411447922279347192645705818719193805864030757383703090036267448045948741395344128145876930685381788908434423273508894726899177276339958620255226141253943923119010753066807783009855065541235925058909797227861704883715775745922766516496115828707118116685671781168251408361231308273263616621896588632645091569440031210075984835356886590516702950553472928430343767529557990960872268536614989137972064850256902026338956403869839619986859545369145639247109181271273853921223779433090649796856058833576431435257939535863025441279076485955968656961474308709414017635025705192735994196164334274501121400579150842291971402310532749083641968345825159542988710252768320027708172204768387453218106143973197988033585011492013436864242298249506604395267029672774888747280157789553202711747958391348521349889849306178406866339286510783895971251652059804569043879706943669522736973889291722930886624163414692768569933789858666522137850485053880934768172055829407095216823777962286728951853298468212566170933090289105676095404715120356275930586011108933616872596506947226147413543118379920433888851799741454276679263863408930554202038216863240418259588462934973222054987265316530428692581560964865508578063973876010170450293865790644422099644164162310886142163274606769253549958201706034499688401725861245936581214989024197418879585844259492795530031651162820398940903360497281187819765228935856362536478962437934147599399913925361695316986056336761276956760990157376620149775105219960786568080230395586231525591941082221632119482717236426101932315396828331952491671737757830312069714090471846264762918966569996765683104428445388875241230364008028881524231210589487104,59266418628912085215740727814848135053293664654388484274255516162437136627218831202832085405609200098413610685169706250568184156583231194502613110453742104122130362155248228659551418010866064700254904905848908559461768310381216450658816837300944942556866889681870531513218765226317044313769568891247577973819111718750513514778827215368211959194613709757285419069300772549337129445061328394299733319693387582539170211315918194544562678279534008869894418121311332460559651389587593348886432376526777980805027091866041795022712176436651977194938062129756815805580785498817791850059863475386725847413172502681992926968462173974805940851258495310069400835365736206387429506370488847806368994394802050771994514975797489537002557066834392430698250852717944179424201872088164614465148637720888136744952225641713042760582727848324593081306758382411324126591615108898414892317800124871452832804955225385578025418022327360914918506776753668049338712784591966318397153826011648606790078375551389891799364594455489972402261130259244335658586554565284146575822048716833642109252383192304826149567851940897828265540654874257360331957393952217309092909672638834977998304305324078717962238234522466502454294571287286670690358062374570723703507885689158139670749292599190077389948827954103422781866375849041267372629585714713165763372931297461337483237250806270863712154632293619322344425026016110075796935857405635981625736607228654770714840720971585666932805000606560777496537485833281191127045750129615306237986953895924712834886419557274525543394275087003662996962546844993577399830893623998052589985644805202578051530030924930848693951750548498137579610267964967574068254400030632869889172966548735079006986059772837223937757820948355891656940504563320691492461642158654848720567548163047744466285189357904042918134083280537502189198372382819844149041323045510236215596413824439389253526440753447449882132357022877891083224758136609761945817404029015260561475927799146860201332795506689,6554,-2596148429267413814265248164610048,1.328149913336226
