n,decimal_digits_Dn,log_Dn,root_Dn,root_norm,normalized_norm,linear_log_remainder
59,3278,7545.8085322093515616086719626695689743189490768605,8.7382756759160986710393115558699175650589626036883,8.4597730799791947281870170233106847988390054267848,0.6328251654616702188618571378133710977279565294047,-0.45693934954177771205207896814237321263152915345094
60,3389,7802.0549693767332983470327472778797532447359879838,8.7341225950414820336034934589310502750541252306935,8.4603198175359738379107758708500024130765104449627,0.63282505615930226840983930284401774431419726644362,-0.45694971484294876873714402254045287691450390415755
61,3502,8062.5797984274544842377789804290366310728822454288,8.7301075882585305666711755948659126373981265060083,8.4608481137740047925838014587238289660422648796022,0.63281993626009735688182935685050421706913991183013,-0.45695987293059149260969051074776818003351121659364
62,3617,8327.3830122069691508293162414917847300381796719742,8.7262238666644030601029087210418051647422368527893,8.4613589114046528524989595681959888083390014333452,0.63281028891581782394470827495261125249876300281273,-0.45696994922706964899281482518088639374177818005363
63,3734,8596.4646043685424467855155783212174841452105706892,8.7224650809944929549141340934391467768601109027686,8.4618530963911233702472215016276953274933874429,0.63279662551347028555448106516147831706692900079288,-0.45698004836902363532456805577995287143057333386353
64,3853,8869.8245694065210429390392255569782540714920963981,8.718825286675716130790809739463629428160598935539,8.4623315016311648964739423593885993817871160391664,0.63277947853210470298060899303104159454025455897386,-0.45699025531140504031576080585526127763960387497245
65,3973,9147.4629026785841366734566910540555990079405272938,8.715298912138156082425983279134101241285760498195,8.4627949103141060666045825859210572719276742037691,0.6327593945364546838079704585816651757802667600274,-0.45700063649912956181950343827731492042307004407511
66,4096,9429.3796004172791336779068007847423764363524296302,8.7118807300366827533904512660762382861505006719085,8.4632440589926581401726097695393552233248521294632,0.63273692736738822644570117163995575327096268568993,-0.45701124109456939621948571638955178172764042999242
67,4220,9715.5746597312276254289517605470772762287961098282,8.7085658310762466500356227223176982115884995149468,8.4636796404043949835219685239103834283474799587212,0.63271263158176925507374570393097128493961111742582,-0.45702210224929562687017145011571455517075355404744
68,4346,10006.04807859645879547697585715182754468193763507,8.7053496001709821979758972311935825499661689921458,8.4641023060730973642066660663825951315136659887218,0.63268705618762450036353596653834555717420004341822,-0.45703323840879291937249597507919994614826683687991
69,4474,10300.799855838390024744469307080785001816779657573,8.7022276946988669769035180129411181976101135575764,8.4645126687161091389995177348319204988843585525594,0.63266073871453975453652036243685138448458043709386,-0.45704465463926860549392113395386610141951574668483
70,4604,10599.829991105029378799027414711183010261049188918,8.6991960246411766701990628516780303707711115095999,8.4649113044804018277332313656825652627626334449007,0.63263419965399095036017350304511236655580697288689,-0.45705634396613696025655255132590009354724001975376
71,4736,10903.138484832022934340369011021972840551789273446,8.6962507344199390861944325938490744398611390699595,8.4652987550270944735507423599374623721804562178449,0.63260793729981732158932194942873691922061721168702,-0.45706828871425355118655290671018397819886964998147
72,4869,11210.725338200212496887069581695137561719837298218,8.6933881862675224583201307107738084889953272401785,8.4656755294816506107964688282660115761800233709822,0.63258242301519444120477692840917168187438378802917,-0.45708046184048573624117785988422027331316709388619
73,5005,11522.590553086406962812918909162241623364089933248,8.6906049449808149276660157301017312494461896104232,8.4660421062648055147873157761266309693483916663811,0.63255809694916108373094656459857693392815516796682,-0.45709282824972059547298006530097189902321901646089
74,5142,11838.734132008103967109011489091459126793055734577,8.6878977639285212639689721785951078904947606270116,8.4663989348174048639868116043329763329423107508377,0.63253536422286982696458529604762746464735294660159,-0.45710534608592241248160780100230037829800083016627
75,5281,12159.156078062927890140699494118463066238597752469,8.6852635721942235900375672849592726309048579384775,8.4667464372307083746340199341863729789002643276097,0.6325145916031273328085117636174792569706526533022,-0.45711796799035410408462574396784938057008266919309
76,5422,12483.856394863575899146732196741851246642976869428,8.682699462750284338520717314189542627219046105161,8.4670850097922839555300193764990407278542413632564,0.63249610467832100115053725322342951323909998554798,-0.45713064231957018524871227419248118858613844694489
