base_q,length_k,T_q_k
8,96,722167451692243282800126614
8,97,1357230850623162495501181430
8,98,2550759630114273092929617764
8,99,4793860003561730769303670903
8,100,9009509740965981774290034721
9,1,8
9,2,15
9,3,28
9,4,53
9,5,100
9,6,190
9,7,360
9,8,685
9,9,1300
9,10,2475
9,11,4700
9,12,8950
9,13,17000
9,14,32375
9,15,61500
9,16,117125
9,17,222500
9,18,423750
9,19,805000
9,20,1533125
9,21,2912500
9,22,5546875
9,23,10537500
9,24,20068750
9,25,38125000
9,26,72609375
9,27,137937500
9,28,262703125
9,29,499062500
9,30,950468750
9,31,1805625000
9,32,3438828125
9,33,6532812500
9,34,12441796875
9,35,23635937500
9,36,45014843750
9,37,85515625000
9,38,162865234375
9,39,309398437500
9,40,589251953125
9,41,1119414062500
9,42,2131933593750
9,43,4050078125000
9,44,7713408203125
9,45,14653320312500
9,46,27907373046875
9,47,53016210937500
9,48,100969824218750
9,49,191814453125000
9,50,365312255859375
9,51,693991210937500
9,52,1321712158203125
9,53,2510883789062500
9,54,4781999511718750
9,55,9084462890625000
9,56,17301436767578125
9,57,32867895507812500
9,58,62597186279296875
9,59,118917163085937500
9,60,226478747558593750
9,61,430246337890625000
9,62,819407806396484375
9,63,1556645874023437500
9,64,2964645294189453125
9,65,5631997680664062500
9,66,10726187438964843750
9,67,20376759033203125000
9,68,38807710723876953125
9,69,73723806762695312500
9,70,140407616424560546875
9,71,266735238647460937500
9,72,507999528503417968750
9,73,965057159423828125000
9,74,1837959560394287109375
9,75,3491609603881835937500
9,76,6649800159454345703125
9,77,12632762222290039062500
9,78,24059202995300292968750
9,79,45705763092041015625000
9,80,87047014179229736328125
9,81,165365004348754882812500
9,82,314939055919647216796875
9,83,598296206283569335937500
9,84,1139460208702087402343750
9,85,2164656009674072265625000
9,86,4122605763912200927734375
9,87,7831799016952514648437500
9,88,14915727776050567626953125
9,89,28335715036392211914062500
9,90,53965610060691833496093750
9,91,102519580097198486328125000
9,92,195249411423206329345703125
9,93,370919325304031372070312500
9,94,706419006812572479248046875
9,95,1341998726034164428710937500
9,96,2555847976946830749511718750
9,97,4855397003650665283203125000
9,98,9247144850671291351318359375
9,99,17566991388082504272460937500
9,100,33456484368622303009033203125
10,1,9
10,2,17
10,3,32
10,4,61
10,5,116
10,6,222
10,7,424
10,8,813
10,9,1556
10,10,2986
10,11,5721
10,12,10982
10,13,21053
10,14,40416
10,15,77505
10,16,148785
10,17,285380
10,18,547810
10,19,1050876
10,20,2017126
10,21,3869845
10,22,7427671
10,23,14250855
10,24,27351502
10,25,52479500
10,26,100719775
10,27,193258375
10,28,370895324
10,29,711682501
10,30,1365808847
10,31,2620797529
10,32,5029557817
10,33,9651169213
10,34,18521263854
10,35,35540683515
10,36,68204355370
10,37,130879348046
10,38,251162096632
10,39,481965636015
10,40,924903595810
10,41,1774846161206
10,42,3405956694551
10,43,6535895740532
10,44,12542438883703
10,45,24068516874370
10,46,46187561265139
10,47,88632581584465
10,48,170085855111334
10,49,326390385914370
10,50,626341894685264
10,51,1201935689520486
10,52,2306507126768895
10,53,4426138898163271
10,54,8493725038535971
10,55,16299294077006176
10,56,31278191845874048
10,57,60022283470569921
10,58,115182132405602943
10,59,221032533557777926
10,60,424158931307863967
10,61,813954009756331127
10,62,1561968020568214309
10,63,2997391797402216081
10,64,5751957590040265961
10,65,11037917619983357944
10,66,21181622535989461745
10,67,40647212874163661704
10,68,78001469185452853050
10,69,149683657804229306760
10,70,287240945935564706557
10,71,551211153509621851080
10,72,1057766769156997859582
10,73,2029839041161556077001
10,74,3895233477258217149178
10,75,7474896819840147031753
10,76,14344224451426975669796
10,77,27526360944685241977853
10,78,52822706900259608191245
10,79,101366020342457425147188
10,80,194519988574999352000974
10,81,373281090861421477752228
10,82,716321224377953027718678
10,83,1374610267971528215474349
10,84,2637857947516535262236643
10,85,5062012062259523959722295
10,86,9713930466138642756842014
10,87,18640895293090501190316896
10,88,35771617396288422767282487
10,89,68645228930972462641093787
10,90,131729233300698245828469300
10,91,252786541422589967276888313
10,92,485093830936690795555953587
10,93,930888227328326962022100065
10,94,1786361455836197967570935361
10,95,3428002481372361772989279221
10,96,6578288671344690337815748022
10,97,12623643378277253436549712215
10,98,24224594479358662528154160622
10,99,46486655990152717909508863114
10,100,89207240240093898472018404112
11,1,10
11,2,19
11,3,36
11,4,69
11,5,132
11,6,254
11,7,488
11,8,941
11,9,1812
11,10,3498
11,11,6744
11,12,13027
11,13,25132
11,14,48562
11,15,93720
11,16,181125
11,17,349620
11,18,675746
11,19,1304504
11,20,2521475
11,21,4867884
11,22,9409386
11,23,18166008
11,24,35114533
11,25,67794100
11,26,131045674
11,27,253006296
11,28,489062019
11,29,944222892
11,30,1825190114
11,31,3523868888
11,32,6811673861
11,33,13151219892
11,34,25421456178
11,35,49080945144
11,36,94874052547
11,37,183172429612
11,38,354074557402
11,39,683608511160
11,40,1321423783845
11,41,2551261090740
11,42,4931619791546
11,43,9521434803224
11,44,18405053809475
11,45,35534476025004
11,46,68688592300626
11,47,132616465102488
11,48,256349309101573
11,49,494931375996340
11,50,956708631522754
11,51,1847109022105656
11,52,3570485191823619
11,53,6893504678871852
11,54,13325232085440074
11,55,25726909626272888
11,56,49730443049273381
11,57,96014133692001972
11,58,185596539910326858
11,59,358329624873299544
11,60,692655716189380867
11,61,1337304365264325292
11,62,2585026324041890242
11,63,4990887835110259800
11,64,9647449578367567365
11,65,18626246973029230260
11,66,36004771986207153746
11,67,69514100052711693944
11,68,134371638360018596675
11,69,259430153229227610924
11,70,501481781440982331066
11,71,968206512847018880568
11,72,1871555487378140923813
11,73,3613395898124488172980
11,74,6984740168020041756634
11,75,13485377079582214334616
11,76,26067405184598946887619
11,77,50328112420066930212012
11,78,97284880570169587363634
11,79,187827072600410628606488
11,80,363072117095667085706501
11,81,700980177981025828400052
11,82,1355003587811674121741538
11,83,2616093639322593173365944
11,84,5056942234149380133817987
11,85,9763394379307147841808172
11,86,18872765348782547878647082
11,87,36437483877901600147355640
11,88,70434119160974214311003685
11,89,135986541132290456654592180
11,90,262863711295101115225834346
11,91,507508680651242634284968664
11,92,981020726019403858313267075
11,93,1894048181472644896113193644
11,94,3661219192782461541469100706
11,95,7068684045239266581423628248
11,96,13663856045110336754446869253
11,97,26380687999484280692092964020
11,98,50994204987658674370085843314
11,99,98454067952697574711971517176
11,100,190312963905523938513431438019
12,1,11
12,2,21
12,3,40
12,4,77
12,5,148
12,6,286
12,7,552
