n,A289587,no_upper_bonds,no_upper_bonds_no_fixed_points,indecomposable_nontrivial_core
55,1726598591605080406668583883,2534567540588197389164741614,982600211934464054496019788,569367116719269280172702037
56,5961939441447936993365432501,8751461389251648033993094782,3393130482691359962500527603,1965200423868928108992039577
57,20596178282362570455888389113,30231582846869220612673712156,11722660940743250343836328475,6786260965382719925001055205
58,71183879095809145098829359180,104481108261443713639508208022,40517893189978606475917775536,23445321881486500687672656951
59,246130798876563744588916652802,361247272416030210719880096278,140105743018036498884022272603,81035786379957212951835551071
60,851399283752203696694772963029,1249553857354322185548944607280,484671185659124593890450031037,280211486036072997768044545207
61,2946304461882591332057292743721,4323972917955536247226139385882,1677315273318643529722619661904,969342371318249187780900062073
62,10199838473510862792828082053401,14968656092326997730956706826266,5807012772844855335755733751229,3354630546637287059445239323809
63,35324405983755203287853011083383,51838098730349185306752066072804,20112036592329737317620299285173,11614025545689710671511467502457
64,122381894374201931399811308630298,179587676505606626269554871403858,69681801660473575817157136416756,40224073184659474635240598570347
65,424145899372915339286083088798462,622386631720638434946569481825890,241511514199845641656127604496189,139363603320947151634314272833511
66,1470498077860817724823553794105259,2157722082938200846059907613598872,837349527269254781373826202303247,483023028399691283312255208992379
67,5099883292555256156027060123392851,7483034781395861704864965217262358,2904167863428676071058656406327932,1674699054538509562747652404606493
68,17692870581574968501475741156642605,25959881662755894927676309030074534,10075772967949271392779498108709335,5808335726857352142117312812655865
69,61400871546659584432747568749313157,90087846971427924674552644792109948,34968150517764690944496824287345639,20151545935898542785558996217418669
70,213149836422334872739046494824858184,312726227956340174041209986976628046,121394963460405396076108169200968384,69936301035529381888993648574691279
71,740160546837437426051460968100025030,1085908459387312742989534508773656014,421559266233250975418659085185859623,242789926920810792152216338401936767
72,2570950438531349437975659699918750585,3771805649873777587427209997643242400,1464343558703637818294945913635761577,843118532466501950837318170371719247
73,8932743304701764806394380708507297441,13104760735217134584487686602929808850,5088036808904929473948897387829142848,2928687117407275636589891827271523153
74,31045313734316006978163653700319199473,45543797934348031201948885418905964370,17683862158269086127025545321623839337,10176073617809858947897794775658285697
75,107925509358145172919598312205369178363,158323923372986172045015962520199956100,61478099528223999895482435938476138713,35367724316538172254051090643247678673
76,375289096935854245002661967106297635806,550526100915521166617686760949838341050,213784950929536583413360944536443031812,122956199056447999790964871876952277427
77,1305324905953545106685271282818311160010,1914786669594334357769108116558570259530,743608383867630595471193113742842097953,427569901859073166826721889072886063623
78,4541290695167341775358721008959650724919,6661486322384650659821491607689197694760,2587134777324694734439552690101756749427,1487216767735261190942386227485684195907
79,15803207880186652013950993803255880642955,23180746141460645009512754086989804759294,9003238293405627770316824353393145630220,5174269554649389468879105380203513498853
80,55006479330599150744745390798821378841733,80683842038290436828213045204844313973006,31338682725739590643789698249029011356283,18006476586811255540633648706786291260441
81,191506077606985021002328181133071416298001,280896340086855689624167282008222947957788,109109487317688254168293942755082462622611,62677365451479181287579396498058022712565
82,666881934328326239081641326895411671560292,978145577673004280791707621531848159410054,379963301518813886227559868010841617082416,218218974635376508336587885510164925245223
83,2322793885280372040063667174411455831976698,3406877032574720354444802215891312873524358,1323475214768546290994841239934814819679763,759926603037627772455119736021683234164831
