k,W1,W2,W3,W4,W5,W6
112,10384593717069655257060992658440191,23536615120154186011612518231,34579047304416346824199555,1112454922702589960424135,186990967726281821719187,80113197812569109265508
113,20769187434139310514121985316880383,42368459901740657402640881067,54818037087596951213724242,1667658979473860021529819,270706275037299526288137,113101422937662232588987
114,41538374868278621028243970633760767,70615203719141088249175002928,87365242606074834146619679,2510230258715214513627002,391783843183583447564114,159563636238700299211941
115,83076749736557242056487941267521535,127114049712044019404277271515,138699664563373019089877889,3764167833731762109047280,566858634269986435429550,225123314148576995242766
116,166153499473114484112975882535043071,211859639522923842158217085450,219856055840640157755398287,5663918059946196349600763,819994725177563087885135,317377716907786339205900
117,332306998946228968225951765070086143,381364847509031143572181943130,350350056485962217883241919,8486515486916566339508344,1185984993979198301393964,447457690480288767713983
118,664613997892457936451903530140172287,635615645307171189244693461720,556152359879925828597340424,12767434843158708291594607,1714873053394007324290094,630408882290936565451351
119,1329227995784915872903807060280344575,1144153967639545100350545010440,881485283701250712199261416,19136177687844463207537405,2478953831102443596568393,888150352382443207796621
120,2658455991569831745807614120560689151,1906943087772364900138121771701,1404538225278597107874650943,28779623778069565823039514,3582595250945419147236268,1250480659442659829111969
121,5316911983139663491615228241121378303,3432617479884244146098889292984,2229386889420792613039246648,43103166874864852296629768,5176618061009499759652432,1760747007083432672119726
122,10633823966279326983230456482242756607,5721080992133554877865660963431,3533214407727941612797294107,64815280863366639805243064,7478873958840723778648199,2477492172631112051683855
123,21267647932558653966460912964485513215,10298259745439413146813645176971,5629225706506041623181857470,97106448718739713902257028,10802459909658149718150227,3486236331625307583320280
124,42535295865117307932921825928971026431,17163902011003805519565255836765,8934404139208102356363563345,145976968132687977631794981,15599270847874813057117633,4902524816349803891613400
125,85070591730234615865843651857942052863,30895845576717284406963040551337,14158518547320590575742593308,218545153692671027009584778,22521117184412075057001093,6894256589759254709126403
126,170141183460469231731687303715884105727,51493431408013602411186145477318,22555966202961610516983753068,328493204517647682415014940,32509050767952580864620590,9689531288998435472661098
127,340282366920938463463374607431768211455,92690328445571530783975314193201,35797080389822246602033297871,491967543099401726677703900,46921189098069246026536442,13619304172470015332618905
128,680564733841876926926749214863536422911,154484811314462670649135006938296,56724590783446194035809990421,739265829940366029720166804,67708056105498927315560916,19130448575194230250931714
129,1361129467683753853853498429727072845823,278078294142593026818736124728496,90361648681851565611790616329,1106391732009724470368174253,97682541412356670603096526,26874012528987280743308909
130,2722258935367507707706996859454145691647,463466259839688309829791773470254,143398049447062921373480454507,1662384343678531299259715336,140898804841394678709786617,37729327412987310567067372
131,5444517870735015415413993718908291383295,834254017130031599781700147196342,227217595253664605525659070150,2488850498285693206549601520,203205229632533843899587326,52971138506629954684283325
132,10889035741470030830827987437816582766591,1390429740117617746697253846077115,361932501063497098109895934431,3738608399542135953764316185,293035625138682066822845498,74330316773483761494188354
133,21778071482940061661655974875633165533183,2502812146691047709831060416679294,574331781497280172241026241639,5593533256454480740578063693,422495014228743976065663496,104312326899664765130592729
134,43556142965880123323311949751266331066367,4171370276252358967785600038988101,909996063056816051880366209991,8401639510376852915827707281,609027484626598470980124124,146299674402672359130394871
135,87112285931760246646623899502532662132735,7508567591273896915578159078710897,1449443329310260058706462254262,12574900664151724858711097736,877757437503658651503668644,205208240765700814116789936
136,174224571863520493293247799005065324265471,12514323035857336417135616446394211,2299934805256281210082777621377,18883374562835269223779166468,1264901877874867569601962165,287676040068435174991497139
137,348449143727040986586495598010130648530943,22526046132123294342408630099887463,3643953083233790128595567732055,28244795149067034226401095874,1822652330853109024781792296,403305235259649456120116642
138,696898287454081973172991196020261297061887,37543524672973872360859818532367452,5803813738433709863388466963006,42411876846819879800165261791,2625877131114241637849785391,565128197738644739750227234
139,1393796574908163946345982392040522594123775,67579037320074530323973729767905543,9208932345779199559607878936681,63462209751885672059873986279,3782395399003877547601891394,791969144985860645429624910
140,2787593149816327892691964784081045188247551,112632028508028127488780264258530470,14589803498539415612716554219502,95272834777559490031633008414,5447400696807342074410982930,1109239349187042232264604766
141,5575186299632655785383929568162090376495103,202739465373037109858111272255994886,23236548154178665284684715385783,142470004070495924273795729716,7844459458530527677317799764,1553787024935629402207515819
142,11150372599265311570767859136324180752990207,337899893426004411758731684389297924,36868135014609522926020598173825,213873947486973794053365256926,11295548807420852401869066271,2175360908046689040116091994
143,22300745198530623141535718272648361505980415,608224557433849600119397660979183268,58408530831101136947757224577876,319952272502704435477725311722,16262310069146429678716157935,3045782055783279729514780591
144,44601490397061246283071436545296723011960831,1013709649494671535113649788992799041,93021245379134990364354525044202,480210043616411876117874691224,23409170140104857124952267195,4262495023289410122172645514
145,89202980794122492566142873090593446023921663,1824689802832954815473677302264081220,147586757229483963944524903497769,717947365802524085182650065923,33691964622848550684975617276,5965976299958419581850641723
146,178405961588244985132285746181186892047843327,3041155048232078920293888422129833955,233807940184988448028497007598783,1077519150883804957433401818499,48486832988216754995797471554,8345848677180199335299163152
147,356811923176489970264571492362373784095686655,5474111638778353665955386759851066839,372349495903294008235917842340281,1611621163561460886826294752343,69774570881402034910689459528,11676517651014653766913287512
148,713623846352979940529142984724747568191373311,9123533474723790295368959174599762025,590749561313349970636260786488213,2418315436641989472977438487964,100393902854469442780194267027,16328417639730109850248243116
149,1427247692705959881058285969449495136382746623,16422445476642141530819671997983993573,935844320532932619826506142430183,3614860439230579697395164672764,144428372263348512831138775217,22835366018311899703641061292
