n,primitive_orbits,B_n,twelve_B_n,proved_divisor
754,2354696644443477168500703132460388463647767544096937293891935112014590931947167265813330953389334309320958565566544816767101400170591591527966414266410593601304983105205384365324491868903551132961680415428796354410449618074001943261137907702702384150106363400637498341478011546750385597671534947272733796911807891350990204952399471425905073944050073028433453245400690280480087715419583644777743497305794346756220483948408648557373465785264111340046672651966361369758109705963942245269491827929901574537840778465598107878,8283660070933719256804392954500448408304313490198823934214464015136217562732332127198991597032745988928925713846381867061266174287413517044257028004174354288375289719921284063507418855066703955426691299554617123917179527309704364560145739795194450640285808669017224990951922361904979271195656577027678365821921955937881097286266249062137473506638592505517710127421885331213502224808391126292816727429990877147592975214096519912802685536604462636220168480628025841869392263239529741535829520822286706224066793073891/2,49701960425602315540826357727002690449825880941192943605286784090817305376393992763193949582196475933573554283078291202367597045724481102265542168025046125730251738319527704381044513130400223732560147797327702743503077163858226187360874438771166703841714852014103349945711534171429875627173939462166070194931531735627286583717597494372824841039831555033106260764531311987281013348850346757756900364579945262885557851284579119476816113219626775817321010883768155051216353579437178449214977124933720237344400758443346,142129
755,11650167720299291414154780489249195346089053521343960217251730741504796576545591553593351406373321838485165620233234051475100331663924247782317543547315670632467472391821142911655110860390286506419621371744202827901607339093688099264093591087912840467909884990874319857122034905137045150507608805523131919276406037554795036051874563829194150940605855168462520103006756116854263301214017321431044965759822841900379198844211582678668666378112750876954362917237088456242224276051610980277728773798049613615930675231618694475,20437994334106910072636779946930740486976980871617841703875673420472429413702191225987196011356206900548512118298730847726152943579534665641537728252823421134980873456113579073996949011692972249321733909467484457526612585577278363692984678019232209934493899374368352014599420911603956230880415430065579438228860203595973924041707931808594624692962335280842980751733268044128351039364970521347388212376339356870977937536444160657284621513289330953825468913182910321902064428843666471256048022100872090901154642746579,245255932009282920871641359363168885843723770459414100446508081045669152964426294711846352136274482806582145419584770172713835322954415987698452739033881053619770481473362948887963388140315666991860806913609813490319351026927340364315816136230786519213926792492420224175193050939247474770564985160786953258746322443151687088500495181703135496315548023370115769020799216529540212472379646256168658548516072282451735250437329927887415458159471971445905626958194923862824773146123997655072576265210465090813855712958948,570025
756,57640870769135913957315889978393877502761579002636539889221995882292971664086664185316338097012571574688450807054839233081637138162598800089119989821440510246093612452033217066745753093642535813681135801575190707263833172390024316322795966680141477737110692117795141578909560254548337680209075086491430134609794482976855204457191138778109182861588096828002143365312510522898445226395040347648890029270611624449326429896839909659812181661883276704548098445723331399318622409186700624084581287735358183649660850706855234720,100852563564037810316963218377134384365572035711900107585912341273853216007542244382359708044659604250105769027768748133243815154535495227053273966681784717403791908912182639530573320129690055943424623823477769916967318195861720550101473864603702090047014872410128393625090213485324349962572917692833749990568913389492272060652681788685418211384038970122620698198035662710482708397012682224127421595963529199296853443872021901787135336465040306655307974380832233488911673821398303211144322120978132932395616112907770,1210230762768453723803558620525612612386864428542801291030948095286238592090506932588316496535915251001269228333224977598925781854425942724639287600181416608845502906946191674366879841556280671321095485881733239003607818350340646601217686375244425080564178468921540723501082561823892199550875012314004999886826960673907264727832181464225018536608467641471448378376427952525792500764152186689529059151562350391562241326464262821445624037580483679863695692569986801866940085856779638533731865451737595188747393354893240,47628
757,285187199060716156749776289347520017059374818527532158409551912746963795669595698039054015858472336419653199507192804072913922615098680037760331322532746781280682225876446284612347554544837644650757978423067427379551571307809201491580819779243236131571627895277739958824948886483677763080767831520663239256615127548971135252994253582025906643404951925620451065486980368229011942404453266104536403061941386411833335704853054763800916996222097436483107083101794025531788348442382458451214048288192777968791499489601908533827,497666341029678363891702610679924434139794011554914428625740403956666525322608883427165941932491525889850954293948343113614931035738095761026249627052393043667613460413413660284456572727354283230156545815571491058446260804589487969756198473853433356609343869857097663245113221528486679290545540644278655501737421318196411219623895307427299660945140687132254075108726074435191305463325590140697223207686229994002843918849967042610521955752644950925849417941212750623050294900405477456926106298401668912765748635111323,5971996092356140366700431328159093209677528138658973143508884847479998303871306601125991303189898310678211451527380117363379172428857149132314995524628716524011361524960963923413478872728251398761878549786857892701355129655073855637074381686241200279312126438285171958941358658341840151486546487731343866020849055818356934635486743689127595931341688245587048901304712893222295665559907081688366678492234759928034127026199604511326263469031739411110193015294553007476603538804865729483113275580820026953188983621335876,573049
758,1411011843905785459243831588615333641769620800773101514281223563093533834584830315241579356948741793485037748411020900713440805208813473037980095357739714006162172413372225909551354694485382369290618499045437527601208084528611705748154257834316833011318773207869196107941665111669304048968615061205717094034938553649295417096101806217788018511701731165286792079406428243945266413579318882348927913290057719284906738374695409550515153475485527038854699559018902196454426873017013506138253847362428097376035562933076752353178,4911591550830840286700286090375775864027752524603356681870857078040162051868304715372280048693415506314484542752490238558074662557394730745330704178262870650309356010373869262784841008087462386402971641263418966733760153885769751492102734714729196438756250680060693353365909147351048965715273011207514198713941540539593211882755641557034615853766442607914147351405337765489193244196708747324677192758535930844629104415506051721009856083867165498898989700081808802690133294174412271350985607738835351243849468233571029/2,29469549304985041720201716542254655184166515147620140091225142468240972311209828292233680292160493037886907256514941431348447975344368384471984225069577223901856136062243215576709046048524774318417829847580513800402560923314618508952616408288375178632537504080364160120195454884106293794291638067245085192283649243237559271296533849342207695122598655647484884108432026592935159465180252483948063156551215585067774626493036310326059136503202992993393938200490852816140799765046473628105913646433012107463096809401426174,143641
759,6981237680616421448394563574457784600763493886696816031335166905675968548448668308998158703758463841312262237758374480541990439621517468566977068715197751784532431543947353626327150699341694951810064601870231390260078702514801797731892567419859119046174243562505440183049507535207422325220096618112575953809033326455901048316306382131595228478608587874235443022716116566880793663568262001498269565319862935305130147663512848451748879554842888716122541027811599062161632307702717254540950081059118060160790736969313621701389,36355500427629559636897746538027384694670509286177548112167387428205244827282977440662816706809270786463686032476550071302423303085073810281768025929675263293872380154599892860520399211265576985580489211778715442412154033103687490466926877053013998271983854158558120384370466315713010801710679321723382408770815179406547247607400949510200276412215927313531133760961305268950687473992001132644209227451675729481427859954656628764438748482468031662852312580062173872224386714903202437891286543346081853910078983524783607/3,145422001710518238547590986152109538778682037144710192448669549712820979309131909762651266827237083145854744129906200285209693212340295241127072103718701053175489520618399571442081596845062307942321956847114861769648616132414749961867707508212055993087935416634232481537481865262852043206842717286893529635083260717626188990429603798040801105648863709254124535043845221075802749895968004530576836909806702917925711439818626515057754993929872126651409250320248695488897546859612809751565146173384327415640315934099134428,192027
760,34541032831221645612991928035563480080541022607856987186585605330236106458417897134063828348141511055336204723106705080207050884486952093496196030218131042574831102805126554983233340119395893147208099193357550056941776770117646998778467150607541106958750086128653442466530503694435930426124381767096822917848779371314388616571781989669400260390159930803805677631500716491633164429281244490041212007740267888197024475883591298679115348446063407008386815240182717471344167777195708435970630401391583881059079409956195853043200,59800957117766006947700706432762257757169360470666529062648208674231486250723506118531558774483225511316143911195819044679797237685166366856295066167124381189112020091978107657952458655463803925221778381851714087503076125549942864921168889555992221188971755762904159394962783404494339380409248211732726658325449050059537078552254137239266378791828135048140023600243622734821960577010464837328968157445062133305097776806771638987388068639306452576846979293945147976703891581017500754796797786342769877179846623885380632,717611485413192083372408477193147093086032325647998348751778504090777835008682073422378705293798706135793726934349828536157566852221996402275540794005492574269344241103737291895429503865565647102661340582220569050036913506599314379054026674671906654267661069154849912739553400853932072564910978540792719899905388600714444942627049646871196545501937620577680283202923472817863526924125578047947617889340745599661173321681259667848656823671677430922163751527341775720446698972210009057561573436113238526158159486624567584,144400
761,170898929567732969611748004410256224104777073275632714624357664598945252260844974571134776239173876097244651871221839987762702491882736176556934015090666255500242555301555528140692230249907357413433783020072701014719123679125866857899712350195725608163174764030559744690324466878279558763897705448419712900649861482674162177239599324463318613728574161785723503716731603129145137444729476181834968718253384334715451070158712273619532839769896420713366580175915129085636871582313901543517538525462127310272140648651840072807063,295100556822724386806467049908838091011683349896882887383392528675260010016637239145420000723810526810881753331724872673867296285029788552922332319309205253306722697504589763004091079843257898458929624413676418252349895236273364042919722044608511188789863886874348788405746755649129558009289432516554766448893860665861127773366186555941363918297858585314163195112474945873392844405106145661847815427610783126005534370466124132296243513479732941325502926289868834122121062061838374957077257646436802171346127404552485703,3541206681872692641677604598906057092140200198762594648600710344103120120199646869745040008685726321730581039980698472086407555420357462635067987831710463039680672370055077156049092958119094781507155492964117019028198742835280368515036664535302134265478366642492185460868961067789554696111473190198657197386726327990333533280394238671296367019574303023769958341349699350480714132861273747942173785131329397512066412445593489587554922161756795295906035115478426009465452744742060499484927091757241626056153528854629828436,579121
762,845560116870692419955258093122601833778569814471634026604956689230522472533272640181124365540534738735052742759454364550768636068550968076751063120423727062986406202724567631500196187363148591994382865643799955649769220906616562069937059032865254266850292131621947249999199244249563524869104674129020200748522961792930658819218302426790429943931044261636148299192563380882059642603937541976278298070924946664639426815612626699844701468994652305195036450544311319224335823292356097678437698540940187436703164901448464533810874,8737472015941186888578110785155122592623739997020212315342516473748346379536576355024328492575844118617115576078847258052458677625715254890270766119244084805695808819771505068512164293747789612854515320683240908196098341565054271497892605791485877062540477107714337011999082855411200579381907063147335035738142081477779763358115841308517059788073700184307234372791900519582322138218297703683616447299119047106034955831242138382672013856972454431924240504105558509768489711000435010213876646009673956193845091671817477151/6,17474944031882373777156221570310245185247479994040424630685032947496692759073152710048656985151688237234231152157694516104917355251430509780541532238488169611391617639543010137024328587495579225709030641366481816392196683130108542995785211582971754125080954215428674023998165710822401158763814126294670071476284162955559526716231682617034119576147400368614468745583801039164644276436595407367232894598238094212069911662484276765344027713944908863848481008211117019536979422000870020427753292019347912387690183343634954302,48387
763,4183605828414872914163531090002294548650243299133306737618555934710988032649925404987311823296863419208227972315404898660648599918743592199498985941951585733423461222816460115900602203478898309797667244602415867375740564796284865227577322639838648574057006661783596704865719436580452202911556477013520131662857986609208875490664560010155128860734370246426051861833748215632220583507903172940653675324580656016802996762407955536088469575183223793241902433424660839813730978768354314003411446300103499004647698259134354556584261,7186239439775860470350587355222099680076134763502190493857549843277446983006524574457437313386428028988537645108902910771010823178052407805120138554185443974899833592679205034793336992314771672482848184294278581263757714334299602396515999030931994960324247189018303456325773850171431668315483093420501833080871682637187613031034905689164364404037951602414508264496646533278516347500301755917360208675798017443050036608627315326114014272802611944713480850791884899082106705730388107239326460701451810392940363123310163469,86234873277310325644207048262665196160913617162026285926290598119329363796078294893489247760637136347862451741306834929252129878136628893661441662650225327698798003112150460417520043907777260069794178211531342975165092572011595228758191988371183939523890966268219641475909286202057180019785797121046021996970460191646251356372418868269972372848455419228974099173959758399342196170003621071008322504109576209316600439303527783913368171273631343336561770209502618788985280468764657286871917528417421724715284357479721961628,582169
764,20699418603140518905514622655086733048962595377084932314271141788154527105803808405417356924500242311803467243283813988461127731885473595725502908673876425385111642396529755476271184248909984644124618944140368559363847344274418893213276373597401606726983951865542080910519508656203324210091094369054819754011868644110892713953115021380428676008633897983717506761724691786992631086939526174243026208744139157942566096166474626055302579352477864615342533092870190170808894361276970262106731450939368227233482333516947528091061140,141850679827447979122794212433093480503293463563806723460644868480541426398699380536562573151094009976449845421478399635845561606627241548515000333556347313568101493904565085087245307481360054851324106686633922859597100848896815419076206611643058076306734682886585352036125028481972288383618146220325784339874651490576551588176825069079991475073558139742040423519946628292759457573391122599730176041940593445509759163444495943472647264003713334443563314416204258181031868378587280105443459958193088369517573075826783312485/4,425552039482343937368382637299280441509880390691420170381934605441624279196098141609687719453282029929349536264435198907536684819881724645545001000669041940704304481713695255261735922444080164553972320059901768578791302546690446257228619834929174228920204048659756056108375085445916865150854438660977353019623954471729654764530475207239974425220674419226121270559839884878278372720173367799190528125821780336529277490333487830417941792011140003330689943248612774543095605135761840316330379874579265108552719227480349937455,145924
765,102415726743866536630257153282489270165044802434651702681316491759120670546831696019375433543663485802102074748860070090060628511508641436710136143762502499729290505822458982454694687208969683122884597382777589109684764503589096204611297113943151815417215570108129507799063143278370113399899651082165337212586539182240024944046389999455810278937630729490117656277267089426353378841873613373959742184551181686581203929335141209966333150322163702985349202570222931166939745416951983705703658207128815900658277222594450404960602625,525006929354691972986067683109005614071740625065496361303685719641782240404109680991287625496160378326808021268025477842166492433723652116930084038254530307467848293335686184568472060535535989352221439870704032344917413833597827525881312899875185520529107113203278266303027775360092853517363327346740162566123486772984877324343919002721057434000413838216673875572303418820214680722151036134613570086126780400262483297886152556536373960385306692222730757760978757744148380966048872001556622873914217099363205037008588517035/3,2100027717418767891944270732436022456286962500261985445214742878567128961616438723965150501984641513307232085072101911368665969734894608467720336153018121229871393173342744738273888242142143957408885759482816129379669655334391310103525251599500742082116428452813113065212111101440371414069453309386960650264493947091939509297375676010884229736001655352866695502289213675280858722888604144538454280344507121601049933191544610226145495841541226768890923031043915030976593523864195488006226491495656868397452820148034354068140,195075
766,506729592920981137507736156475131992925932153514372109475479342814256625118252709089020998095224735321661163879691531284536337152913481124957776509574628432193355008240595465392410414428635918933705299586197906863192857684566054409473775685080366790655819699353546672618863117700846200841476328821000139712788557274493849430551594776823812357077021247711834336282719116906809352189767610648154441464176025771601323743478394608401797599580758976025233344493943851371644650467013738767349936762662368892107300127483958690657221634,1727224239448701461962847099902283037330447932409288049804277562783360119430402787833515117340852876908497446569584397209526062461784732069063721579582069658233933724548519198414367861355097924635471301822897104974445451549080211909119892033759746097716323989370527689938792676004493182315907562329145810908754430374785598887958861185309779046407778523651515574728572411383298516554641488619304929013682095356847901831352025742904367742573604619382616775947562023640643301362112151447449831830138486499012537161900206186753/2,10363345436692208771777082599413698223982687594455728298825665376700160716582416727001090704045117261450984679417506383257156374770708392414382329477492417949403602347291115190486207168130587547812827810937382629846672709294481271454719352202558476586297943936223166139632756056026959093895445373974874865452526582248713593327753167111858674278446671141909093448371434468299791099327848931715829574082092572141087410988112154457426206455441627716295700655685372141843859808172672908684698990980830918994075222971401237120518,146689
767,2507188541976351323370102278911430041914100928784320628972182916307140981178876021291872660164664950914977276868751092680628602872595095843993910368711709553279036172530838781581801677770721233836896261617472069271199472491455254597592926914982076768099333447078018682612780737006026013211223963446986651148437459494587401987308274365518609014378702635359453989548561319961878459689923153329692523533971353266460060567458824099929357809025617378758274356442428480066203979478377228216392343781957629124604328906241023207621140215,4261831416151502617540192454578328069901189600322835594362945620786961818390070222784843266089736423619984866058605706856032669100722766946167462537480234295183211266113829736034162933134430923979364328786484311743376932921498200030245214367397787087807750012456494482495475416004762987598313011881892490167991343531134190826801579437179020879837465319527398930710180404464265794005876624124694705381150001557839872184349569854152224177276164230094858745348678081803678089303687861266133386451144979975155627431825213810935,51141976993818031410482309454939936838814275203874027132355347449443541820680842673418119193076837083439818392703268482272392029208673203354009550449762811542198535193365956832409955197613171087752371945437811740920523195057978400362942572408773445053693000149477933789945704992057155851179756142582709882015896122373610289921618953246148250558049583834328787168522164853571189528070519489496336464573800018694078466212194838249826690127313970761138304944184136981644137071644254335193600637413739759701867529181902565731220,588289
768,12405058825847292611799456751555750561770334183999183249886528858828121611802737077902330489541786092219271341031657815221045754297818100521984227938944647444235893058676951959233541392960133617086838528835273005944697055140296302513236719813319934044140458629742411641223617416363187968158166171185955213572432750517967675783940693166983711902279546060407640476609739781214591701354579973647216271434160730330529643578980585143927494058612770088474246455862636786814163798719612315543384220560746944925660625175399691442186616832,63095391977169253600054203041360222176973135294592199960767256972392382872531825143953096972360158753556677963417855912379179658497203066619792826024091834738341741224553181758796902430013700444981071618831751535770146968283570874599389240586954417135317274117749082647825202516495707032054474747649918688824629468373452126993513454015013183096718068748004356265308328151522784939344177112056560625377200980278165911758324102498003611544864756716279329711215397068350035597328757301551229962975804366687320074337766985281304/3,252381567908677014400216812165440888707892541178368799843069027889569531490127300575812387889440635014226711853671423649516718633988812266479171304096367338953366964898212727035187609720054801779924286475327006143080587873134283498397556962347817668541269096470996330591300810065982828128217898990599674755298517873493808507974053816060052732386872274992017425061233312606091139757376708448226242501508803921112663647033296409992014446179459026865117318844861588273400142389315029206204919851903217466749280297351067941125216,49152
769,61377863353023765988061065626957276401646055332540131843361494580650910967440686616783744585570618383697538909333740863993263991611496992526466570954939733612006742402283834422667617160839906722190791819421241439175317490194923836037619805234346906516832386505364177539278897060662794191333661223956089373237049010238884189827834936996812882058507896050516969275220411436559546579204288948454564766786562020865440397519041022230117386913943457662712921613780470210548583996880243814567428703480373160632005771940820067500465387971,103790854237976068743222947788165395421148934969570417804626099084401762996614059122572750968647946658128518636389178292097828554151350854260708046277890719225662061587226473207850394532003136362037388024271538771030415414940998537336110777062313724639995512902210625217555599812403581215761034670795147757862031838824143272599706333351054401725017199393461809749409263439015333407519753498209325212157315110170336558411936232233977869548285155197439333357763650647487040905437192872995393175201565812814855514551720636803011,1245490250855712824918675373457984745053787219634845013655513189012821155959368709470873011623775359897542223636670139505173942649816210251128496555334688630707944739046717678494204734384037636344448656291258465252364984979291982448033329324747764695679946154826527502610667197748842974589132416049541773094344382065889719271196476000212652820700206392721541716992911161268184000890237041978511902545887781322044038700943234786807734434579421862369272000293163807769844490865246314475944718102418789753778266174620647641636132,591361
770,303686722978728656970105557444636678728311945509324792641277842947245534608869476221315610183874070995175868413915125700681820260018654730947320172232929335994570993238670151735405489910299256509734947681766204333235906512299702185913891725882207394133097181798209088994631101504136609243805655995385750301607806611653026826586070247044568238134512777047197357602237609632329425076249839921351411540863279861475254828221783873385025991160745318587817369430484405171249809442785966658304238231673923142733495281095814900359535323900,512205638351709659251316507749429378863740842484946521574089800889265533157141973724600455698893693700752012841820080453165492089759916901580907694776402995436955630357008183058535149115026575324228280792319454095523539403440212828324998694353529084387075698765743108440936248109523712672972939779702732841301748375194850441197622275332380229607881222882775101369940309718889231027576049791451191669528217003668839312231040434112035741542832380819391751442881438980013171601932816087542989090359121509079938068975906392915391,6146467660220515911015798092993152546364890109819358258889077610671186397885703684695205468386724324409024154101840965437985905077119002818970892337316835945243467564284098196702421789380318903890739369507833449146282472841282553939899984332242349012644908385188917301291234977314284552075675277356432794095620980502338205294371467303988562755294574674593301216439283716626670772330912597497414300034338604044026071746772485209344428898513988569832701017314577267760158059223193793050515869084309458108959256827710876714984692,148225
771,1502591552466542406843883130229640062870119798060279438189847359258659193876043591821216475596155879329317443695937944806310667728557328489583359108246767495295293262864878852272608296691895453128040740888680796120360814082139060975409867970363601123470219574553659603206863353194452228337390112288098046598974903427182737362228685699965033095425650624469964841940070095040629771762610779418852386599624827634368441560609250492691085592726586144940472904389825604567051136190048839366196060598598862556911130339427670865243124459082,7583216260990791719500588604569537075353751497929716009779847079484721917950024940176820621034665573182119556167582374733458834746714956520075293132102769637164798169363547529221276611262827361141176706630334025346640696463428974324162707335279368970866172965291725856090999879859156224103267333283360568663542235952009050665559840421328776592255500332934462000131569466308497084299084918867569968758673245794124773832605340947332463235509930228267260692262944200856188265227577704260958079600492879311375546132051814386506606/3,30332865043963166878002354418278148301415005991718864039119388317938887671800099760707282484138662292728478224670329498933835338986859826080301172528411078548659192677454190116885106445051309444564706826521336101386562785853715897296650829341117475883464691861166903424363999519436624896413069333133442274654168943808036202662239361685315106369022001331737848000526277865233988337196339675470279875034692983176499095330421363789329852942039720913069042769051776803424753060910310817043832318401971517245502184528207257546026424,198147
772,7434592619896003444167678357182691683900249349645672021374351915478616904351256617135034910236301495113735331226174448443448479042889606874348300026354206561934082089400445025319048598338885116310622711352260977825093003192981793935251570840101289437554016641517177171607782318687428140898233917522884920788197066415107269671186773972873705400564587923944408289943435553411344233959076056394564848612118888759492597778178786173949586004115191210848313583005220196828600342748347466028438994148944120665956756969972580644971543053116,49897934306263278505246304311408975300680886397256785560514053501292765606803247182038678288251372487273049821647389516788695529026883989330910225954751849458603466464874527002866174919721906066677110199953428131124949684508186756256889922146240767789430700431670495661680731822917582625696219479200011549224120556357937593433291994233896919384175333055547855579635933537889233495926575588569927035706454460250561073976340211642927232973470369747163102251102178560690222172060642339582532377707751353499132573827301274161531471/4,149693802918789835515738912934226925902042659191770356681542160503878296820409741546116034864754117461819149464942168550366086587080651967992730677864255548375810399394623581008598524759165718200031330599860284393374849053524560268770669766438722303368292101295011486985042195468752747877088658437600034647672361669073812780299875982701690758152525999166643566738907800613667700487779726765709781107119363380751683221929020634928781698920411109241489306753306535682070666516181927018747597133123254060497397721481903822484594413,148996
773,36785316950484151616781193099015592436891843082555232625866552543015020272958385372483790356530496697319133963220561484981082276950361819621956328386529887711307768512915794363272303576471986185689265281499212752802219700217668564608429270219459774842721690542774082443953905246998645922359523345808113757452783755294739636609062774288639312786058161850755163540434064080565659159617288145086369007020516398311318737370516348086298956601733633388211554088233228973556113824061818200499306260734564110715484322649303017463509087583123,61562396051880580886921292688749152655171285548576274332905269104955609305922198541800967579030468307511658786804592722664644355253656006021391979948303576414379500430800504014486834239797543191525876202659975922176529842430523982281076349799691353629232540249551205789097943776785136658404066322819668597595738039985908025567064986450263188541573985280639372382652664691698075172279986653511995245453386192655617948870291396879982321530392053587711314577590759567411981383433805222004800203395256315116896958389137627568718987,738748752622566970643055512264989831862055426582915291994863229259467311671066382501611610948365619690139905441655112671975732263043872072256703759379642916972554005169606048173842010877570518298310514431919711066118358109166287787372916197596296243550790482994614469469175325321421639900848795873836023171148856479830896306804779837403158262498887823367672468591831976300376902067359839842143942945440634311867415386443496762559787858364704643052535774931089114808943776601205662664057602440743075781402763500669651530824627844,597529
774,182009023010011677092927724882298250404908705038019749986450404959815745808235744228814642751813704640372842382481779882364965559948545704332670749427202394022489494795774104907259181611240914308772907488160662930719262291864875455806146338900008362578928116739702779779995064631345791401773084524119311525207676928388551341507504296728905638813641722118892971998206821350463015012249771161463451291935289291538124433492239581429695509811038553259403516623831357785562194422108468984642688880242736773935219739396791523024133788666256,911448746119081771392583202543408100499312466388336788586675505076897150653184625467292844739968074035879466290496263657857929010418773432749788421304821395060841169379715286076854263622182732952611559242036050170859434989207757225157474204775395922615468405042279008573178017303376156289551331671370468146984741143303444011314946501256463147315073824283862007482557244909475667589336433915547199146361843696983977492800110076666544026856551856155497048573960688387928381818542900990739182742637345381563706805464372749154366668/3,3645794984476327085570332810173632401997249865553347154346702020307588602612738501869171378959872296143517865161985054631431716041675093730999153685219285580243364677518861144307417054488730931810446236968144200683437739956831028900629896819101583690461873620169116034292712069213504625158205326685481872587938964573213776045259786005025852589260295297135448029930228979637902670357345735662188796585447374787935909971200440306666176107426207424621988194295842753551713527274171603962956730970549381526254827221857490996617466672,49923
775,900559520197018090402130268836482600872959192900243644206637185117338866319778897308795390840151771746359885849898650594061119392044096283176394855992420620587668192007953764000647507709116154059941383012626230922744992161753397359701042631764691916654169226298246310811050338731294052271813928730225061988335533499997507326173895889284432809805277528930241482125064924746251940779181434968528577778695576329849074016331693531586280780085462510548119906983455986476690091172267680469706846252451719715422157497637256159459001337077500,1499370689193786622937990041767296734023657345099261010125514564191198944965292649005278486310346342137539872382765703382411853306212855414237494037032125903163651516350391282415229981617675178455677640811864692483238280394178393106682277014384502670808190179060555772422144164380926621888555968749594275943118474089485964330778598775083342867521794012787082592507912465758588038758262534807123542607609700445118125313351414828863734909611592109133186109441758146059005354709290623050500472428639699838371958372757138246757962684,17992448270325439475255880501207560808283888141191132121506174770294387339583511788063341835724156105650478468593188440588942239674554264970849928444385510837963818196204695388982759779412102141468131689742376309798859364730140717280187324172614032049698282148726669269065729972571119462662671624995131311317421689073831571969343185301000114410261528153444991110094949589103056465099150417685482511291316405341417503760216977946364818915339105309598233313301097752708064256511487476606005669143676398060463500473085658961095552208,600625
776,4455875104055850761916503608196556835811959479121304745600990780844254685242510897726946052492321347607236731722799759977718546014963288256008042019563504763408961051531299587286740451979722770244532006117714396019472891416631113262068086656474006614181133372552963313448811273901576374951218786840556927150183198483976154505825509683424758149373111770348455385082253810102029960946497407330080979886225444502409648847891407967891719686469325561687987175852791380190795185257759240089058256254221751850942524177202598663560036028624288,14799245084679066458698133463294973017230708228562097279204055893440637571881014513122230220043048369935821858469283930205516480281390451482649730376380011037998728117797121065225915519647819807646043701900156751579182469632237463007718961421491413188772496321849304234804479998875997631759547995405186945843684233459905922872467549963548059535328913043191543286621365880081670345369119351585187652401375825348103042458986767881455653119584060346769008316016551241466930549400039988604853917307304681192682950423804996092703913901/2,88795470508074398752188800779769838103384249371372583675224335360643825431286087078733381320258290219614931150815703581233098881688342708895898382258280066227992368706782726391355493117886918845876262211400940509475094817793424778046313768528948479132634977931095825408826879993255985790557287972431121675062105400759435537234805299781288357211973478259149259719728195280490022072214716109511125914408254952088618254753920607288733918717504362080614049896099307448801583296400239931629123503843828087156097702542829976556223483406,150544
777,22047262777840283429919708527543854699182111726665020098523654804613774057858932527285414044198447997471183317806775426279453711950184728036587017776025178732977087570278748553344669907048933636790832246883016056661725500613624936930843189925101267225580552759852086299887124772201510625562973802969715710511590667880111726959806761147835533545928420988054771656352122484554256584709831369039270526733461409369385738147032371673298087356022598493393365562036508634462078143676246488713304705395286730727918114610897660045981848055646964,36518475636983287915471525349194513927908236521129546698143794325953820435756659904171265657602083049631843621569902102233707030721043262849038256860321731659365522561080797101588079928327003733116733247670753031015116882928640063556402276394046446709667007481588736502449153133610462021143549180128361749247743056702778443572872532457171236673952089411068164120577481758461588866378509843057515088282095790279058548035678875245843892468346888245211619057617753386804473768323612893721031630740426136110602794649416642311338113716,438221707643799454985658304190334167134898838253554560377725531911445845229079918850055187891224996595582123458838825226804484368652519154188459082323860779912386270732969565219056959139924044797400798972049036372181402595143680762676827316728557360516004089779064838029389837603325544253722590161540340990972916680433341322874470389486054840087425072932817969446929781101539066396542118116690181059385149483348702576428146502950126709620162658942539428691413040641653685219883354724652379568885113633327233535792999707736057364592,201243
778,109088112223879752374822764663943872504343978292294968064593497536094144318551525419606076237000264783218264733526606121898467836707100838795715978518318444532997981147545246272701132836489744528813600239228780076256858059858768312162079945767490900700175143784454476723401446374457169396155581679363572525283696401826028008831831446620628393571876332079150463915271871495685431373529309727945959794509581802901870969744612849725848174704568745628152393979678018298443921254662487588366375734936296652722633351454836382121804550280303902,360452654370113045693666988269783680071979362719962754887271091045175964732428167338327384292333069379723451251070922482333806400655232382801184166501405768310406292409993478343062538697503137465433086746812339583590043879761461767243409525999335520846991309152247463086423716385885532728952299017861276773493753021147190438973544473736719931707682119729417806898156473641085610634113274852617811785904077434400615148408392918781425495154567923910601945465857410070128803188792327530106117904772955018545454204819015147011335341031/2,2162715926220678274162001929618702080431876176319776529323626546271055788394569004029964305753998416278340707506425534894002838403931394296807104999008434609862437754459960870058375232185018824792598520480874037501540263278568770603460457155996013125081947854913484778518542298315313196373713794107167660640962518126883142633841266842420319590246092718376506841388938841846513663804679649115706870715424464606403690890450357512688552970927407543463611672795144460420772819132753965180636707428637730111272725228914090882068012046186,151321
779,539760687406391952199271974693558625619571666333949512136716907989701624611720107263034581315027790303200139800607018971425008866145501961501648034871426051965923629810905539472018929427859189157747830627237171071662042378580633682090355044560291544588275615537070995216515909333759078582655947523926051989046553757163405363465748693637226437994079377245701324803721243885276697962820166763750862606391033012057027124839480059206478146541895898704038369714568604338724237568450324847782779459060967750357130366307840348538128833937096003,889459821281673374408241985451804715929826208733341208218819934694098824258282000166492674876990497186577933594808226490011401448065476725372293623653355742222301442735256087627597557560974273586899749073047422754332753354800736407214336283409149257529197294739595701701954728394685063439444512687715648726843693417490587095245292743300512717489555546256270299475021041566533404899834003905060572054938662700867322947591675676505836201808869042638909318445142309663856327387981901103885168370398453219800788618942754936693678960283,10673517855380080492898903825421656591157914504800094498625839216329185891099384001997912098523885966238935203137698717880136817376785720704467523483840268906667617312823073051531170690731691283042796988876569073051993040257608836886572035400909791090350367536875148420423456740736220761273334152252587784722124321009887045142943512919606152609874666555075243593700252498798400858798008046860726864659263952410407875371100108118070034421706428511666911821341707715966275928655782813246622020444781438637609463427313059240324147523396,606841
