n,matrix_size,m,a,reduced_numerator
14,15,4,1,61832600368276133515125630254911797508782837275302959978515764023224306276632966792579100265310761247399417856504034834837841258576687802491886538775473291979151693037174784
15,16,4,1,299004108316488185848867822351174292268202623451041623610437960853046897358187881202051502002495252055893102400215083077513294952620060704653486412249315029041282722978874323768631243063073425063936
16,17,4,1,5922386521532855740161817506647119732883018558947359509044845726112560091729648156474603305162988578607512400425457279991804428268870599332596921062626576000993556884845161077691136496092218188572933193945756793025561702170624
17,18,4,1,1876879207201175057492789423877314215327939898387375884169474847690657890654807926986852549645082845212138504796176365654795672666575560815440365226659976290009931730647725644334157087472286353079994941979475656538582584761171154279816153471809899416518656
18,19,4,1,38067632857031246407630399952637454339360261162480498151827759598488080823306351962756308851101602575098847329028940110091637382285949586119445262876221302420044053515454972772932772091758022063878123412028196792475334366896073730256821732872925646925108354699626084168288392929655914496
19,20,4,1,12353653155963782858428671064387042666598916611580939841119467653041402561523153496823753888027168243114445670429492914513538130943957121390808923336226715693451991227817771079374200911992994161452622538969283756626099089564495403968390097390695773702442020050803147555684412513136627351818013153603882218219464583806976
20,21,4,1,1026301351570233739499293428424157827113862320509474868877723027253195088579758740627615722253086934881590063514230345951830442386318246187269187562628311952630251852968692235999386304409507222408441726232710869683703522996201549125307355747582791244073819147094454406423245584236544452953174160270550720367192430063859901600612849963028366234058947035136
21,22,4,1,1364188488619052116466105100188265419717379653273741532242786693992101715597506680981060248106739195555665885784215520253232226795300253192439713838619337787037991503054663889161182688006843079127591737170026798935139113651083474222050508981461091652957942433095504472118187338632823518614811421165606509195698926020610034372011417336379206274761103883598061489450479872973957125731659022336
22,23,4,1,116052321958397194362911739082178074005291697319969161941367771170947423428406018666546418155135639455968882986753979502267247814500065664115101160676587688674652895696568241960713417755178780366271176678236494287430672460962816100823775207171056824470140956412671191003424701774641207180807127193327765576486691050192182605553755459798672509440127742182184744616806234018973265522225277003603787212961784086233288355415068770304
23,24,4,1,157962235210696791725186521892671593703806943097368671116307663360180708415360414559049156139899030710743778346984276281777351359122306388785208556774409807557768861409714190730577974258413174762821749515051848175294699658143635807237661466433913353994096845871009017209125165811736079788395342329792814800592500759541946249580002149109776937784480863869396647524099180689925513621111771221516181515944624537402922624529594516276893668107959205026660663973597461610496
24,25,4,1,220167222401506963361935215497931741851683454730891855235946966478942537847923263109263201530850567083605508118217763788502525007616611482988163470448047603522353879424254306230105181145555144826419259011060016190146225731164804547576615578353537327887697818814566001287570318674312842206213699492197837358468009281346017429481993653422495540459101416196634401775922276584857934736755122655065919205301343536683993404422522220729266647007996864549635753714136436779189007783957924813696045386700714954924752896
25,26,4,1,4909893127844230264371119485113801407408719331944747993140319981075833072310542324219972108247890663973822080699266199645776872253206241244390831772908903724105855431745550760129251672253100888495013221623354736061390542345500045672954970034722363565192440612775653134434194417822048716823188140506779219821103675591884904170471712558607503359442050175420775031204739598009328851048999709971049627245941845322677498882818838263551860142458615383499987064155757198078889551195635500283861240115848872886042875205335023418755417414070703814651175015284736
26,27,4,1,7007633638148526148882038581406750390761216443412446291977799907383827279006166466410275185037269713857702420892257463216840325688861421700597725562540607820991820626544938964885789742934573051234675719608367080369971646951073508541706361452665182737481994418833154224178749365577594705171885023313618938070322809386258453711082732227045535821590257354762512372845863392976196785414812090561600822956372473083215113411073106680810793588858226516817681239862188227572934435033549318796391721021522862717003199803694214814962694483607913483210160875481117259242891162159597337086057461777477102731264
27,28,4,1,160026063062018484942094643937668324780970962601048103007033743660198355676267553571331875582305829021394531984226698075445825563589898401174051110219014465234806240730140351757881521159301399413063422548300793366264063568728133061971571582818484939859826257103361963374746654872926426111386247952405783074859305400039507052772044289706389996820472050900505055147254758962653341114133846934297031462093441016720811856652592690919085067376807439498812284469650602921283697292744577884122234372100608055131608547836147970307512976036405505777023756372780818584190427764977329524579076800145493041039829868339428738914378109267678135033543604043776
28,29,4,1,935513412723033358091999943384580614806482205881893967336814610928694063619785041366981112535982253594175332010949223021062670161162911067229972851507639502378639962100598046674337258164322116931682029357121466434173136402917294830979390116976114817500891312300192213767492267365727547083987234963308846413900153512699906850726042488904420171734804326557683185826503328213923171360680807914987455502615722144522768458138214032855094710175963421611383810763865691919986445140857888496705033681366762838460067503800315738961958147466660254920392754094069925868783324379385518389479438677387621734363705711612908070137604727736565640997924813784620046964095591665400905495495410803032114021269504
29,30,4,1,87504280604142975919731524533682154693579429704523337319615259715875536552243332503301260469634748141677691077237496562374110308324829155032501395551669466417444414299967829637863770238727129025523022075933772181284555521043370380059326783554212648681829422093881771299435047992089420880838680910724106949002618180030879299850800987012416505292106624079364107494193638796691374722986340146053626409821703542459222197798836026619766422564965678014179355182418729967831071847613570833863699278259240088854326407002693193848928546598393241525702265905294741958279516906908350472321231864927168859139225745059678484716150455176415465480963774416006526370195617400637712030646858710732136403857811880985362737911949469122631381703492295075725049856
