q,m,tau,normalized_legendre_expectation,heat_kernel_prediction,absolute_error
0.99,25,2.0668274104018964,0.11704327875662539,0.11813966270000041,0.0010963839433750296
0.99,26,2.1486819613089025,0.09838417551116738,0.09941849806231716,0.0010343225511497854
0.99,27,2.230536512215908,0.08213909211113242,0.08310531948074254,0.0009662273696101238
0.99,28,2.312391063122914,0.0681110425129981,0.0690050068202319,0.0008939643072338007
0.99,29,2.39424561402992,0.05609512647151836,0.05691444918238038,0.0008193227108620171
0.99,30,2.4761001649369256,0.045884878908301355,0.04662884148092403,0.0007439625726226709
0.99,31,2.5579547158439313,0.037277576487239346,0.0379469493595543,0.0006693728723149478
0.99,32,2.639809266750937,0.03007848966658885,0.030675331475015843,0.0005968418084269931
0.99,33,2.721663817657943,0.02410411524620475,0.024631554169409722,0.0005274389232049723
0.99,34,2.8035183685649487,0.019184461122681747,0.0196464695899803,0.0004620084672985552
0.99,35,2.8853729194719544,0.015164481441629634,0.015565654255488472,0.00040117281385883654
0.99,36,2.9672274703789605,0.01190477707416067,0.012250121416545787,0.0003453443423851153
0.99,37,3.049082021285966,0.009281684314572746,0.009576428291023748,0.00029474397645100223
