n,power_of_r,coefficient
18,75,81435856864398293532444452993422533944121941250
18,74,70140853611015268753764363426389212593328560000
18,73,60087818585292498667888350942831788525807205000
18,72,51196296419856211148430091032558441648016271250
18,71,43378871835523649840939877045552611080895238750
18,70,36549793185443527909853425237342019748443868750
18,69,30618376684981460568754206561864950431373645625
18,68,25500439172796269995727745631335679026011619375
18,67,21111017525269595279174375174677822808428411875
18,66,17370958165310479777016129442963721714108483125
18,65,14204572103694724494695823944360864529318279375
18,64,11542247400401138011421687480380270052605316250
18,63,9318578706405425249543033485431918790222563750
18,62,7474081424580538929773395030897994050165305000
18,61,5954439138651925269152622727630210632505873125
18,60,4711313127451975483850439026723626061788031250
18,59,3701505576885562999761775470797573373583168125
18,58,2887210417451139162980211539375429695731630000
18,57,2235335623525039915997383504188486507125096250
18,56,1717509557518390901396174954550562650838831875
18,55,1309341062046757605401354926693365857785207500
18,54,990219703519389160879256637581095570727767500
18,53,742728010524583144984585124960634081160359375
18,52,552410541636456730403114198889027238211872500
18,51,407290956184144697013512779011591310802898750
18,50,297618974309278836770359144265643558626758125
18,49,215469192365823836257698955330994687168979375
18,48,154502378672887978188737780538781066160364375
18,47,109692448964380546092551781056461068007565625
18,46,77083802347183959753753966810196874860646250
18,45,53597727455413141112056311938395066405143750
18,44,36861614393410085559220867905133579404461250
18,43,25065473597491530001337456737850090451641250
18,42,16845026815830484316822915155649637092731875
18,41,11182683272738225985864944913639008971023750
18,40,7329263769868476316198261593841091157757500
18,39,4740063409399920553375258058167985028343125
18,38,3023289797171070545156082184334416009383750
18,37,1900586489831515425746194842048567769046250
18,36,1176883007377384749954087530603698412632500
18,35,717375041483309807239631784664578493929375
18,34,430106626295596447498814282140061178613125
18,33,253445749886460891780732488947469396212500
18,32,146642688892814322259409199154273838233125
18,31,83231325603847581916890506660973348654375
18,30,46289668638671830320667263268276613445000
18,29,25200436894469788531620359981271964488750
18,28,13413464828396752519308233450067264196875
18,27,6972423309751313939494868989931185970625
18,26,3534271449905663496854326252877096210625
18,25,1743879815950343884268830137746831598750
18,24,835984812162327719707068050045949710625
18,23,388637367603028451349286517008656705000
18,22,174845489329017944975078858589609211875
18,21,75967964711373717427217212920303573750
18,20,31791212315137371604763355926333248125
18,19,12773426203821418912334990327779248750
18,18,4912315517037689831575500741384148125
18,17,1800164346374442260667090979732764375
18,16,625931543643599703650823447397132500
18,15,205550600974911088087565160429142500
18,14,63442851138117547583608831137553125
18,13,18291025065139152105239766626945625
18,12,4883405724617545289772304557485625
18,11,1193503881731737394371846940521875
18,10,264124458748313474379496334156250
18,9,52476421508689126828447383440625
18,8,9193822832555753993925868293750
18,7,1391870716588499881780424503125
18,6,177000410922548543294783568750
18,5,17916120222000977046526706250
18,4,1392412903696587607866281250
18,3,80392388803449250956553125
18,2,2927462005056250586925000
18,1,48983124100350649584375
18,0,221643095476699771875
19,171,42931478090201597269937327860638119493516672946875
19,170,27687972759748509781455276222829552439365674446250
19,169,38383560245886347870183294954654014379339066531250
19,168,48852181440313030475068935396138704684347848159375
19,167,64055606190760064404513100400954615199639285520625
19,166,79571663657025667675155066922870695989052754276875
19,165,101269946693808999310905719403976023837067674635625
19,164,123770257372648951158172794333699058969786598553750
19,163,153512121186570800927155639971850542917992318837500
19,162,185730784520034524438594106683305742816401202803125
19,161,226131027582134917319943993173804286948995169969375
19,160,270422149781683188351251243778144924481087425566250
19,159,325255239501810714677767652454761354953903704046875
19,158,385301300189317051342417709503921201768216756117500
19,157,457896153467103241897849699686476546493006093305625
19,156,538461488306060303102472921802301201903883558568125
19,155,633017645826666606866273088623303968782112388570625
19,154,735414186455133057189435984430864879223956682370000
19,153,846706980063221803862417910808316499547396189303125
19,152,946978500059508966001950290761217950223068310265000
19,151,1075865992536484985237899791243497384499974670108750
19,150,1212483414090814374658064939295493514883877084297500
19,149,1363868611693045441024382459055378568093463773526250
19,148,1523390290704123521059860142369848897474945536310000
19,147,1698617383427985939753596546611921459489065846279375
19,146,1881087562235371153183221816679564624108847137149375
19,145,2078800752790614265816297135010618311676694432826875
19,144,2283464994679170501669801066799111590131342821818750
19,143,2501426096320774869069659529489487399349668191165000
19,142,2724277420697876690892719412247016745084612072007500
19,141,2958575775591232645891897889977447788368394810125625
19,140,3193982777432901668100901313564601434756447979564375
19,139,3437243721160803866383722331302885680319578242441875
19,138,3678483263578534114974554854777856832666917920736250
19,137,3922943398250023867984177042951827479201634723691875
19,136,4163416627720002065698903920388230473520614086413750
19,135,4405858085428683352207453313672168384822389438456875
19,134,4647091324013104110244546386400827134771208695490000
19,133,4885076254725287229061633222670058511847864382285000
19,132,5114911342457756505429216700788439619948815267680000
19,131,5336691527350529235546101081098311195609668308653750
19,130,5546079114708676580033197139521935392176054753460625
19,129,5743781967641620502880878417497156743374626338322500
19,128,5924479444873766345455806434863732270793116323238125
19,127,6089672234577881595259574664638025704638720580510625
19,126,6235045319723681330955976767156571609361352357798750
19,125,6361174573204392188800284417332902677903241274889375
19,124,6465099702006036828179589906984597943399203587338125
19,123,6548494240281705244665233186617143757245086515278750
19,122,6607781229220197291588931465499872682532938380648125
19,121,6645762549651298675470753359212272902192004336031875
19,120,6659746621114203413544062317079342431749733062412500
19,119,6651575169697821623581014781915554757800446138962500
19,118,6619560804778845620198878382554741654561777095168750
19,117,6564365639909503338203073120017314658972398807231875
19,116,6485568282484446160261863384295504922911801847896875
19,115,6385008983278365525369523411838585948628672770197500
19,114,6262814697040400794059445854680435002279336010880000
19,113,6120938288624885808298351891681135738779638724211875
19,112,5960424495115085080793725189238161377213645601387500
19,111,5783428940494433018693776115767019974310609702925000
19,110,5591103985416646482069515242859447824965235801556250
19,109,5385956564371962341801477421763345276398027120780000
19,108,5169450225508226140728133430725435350773353511332500
19,107,4943745226491015340670298246246395820440908061145000
19,106,4710632790056203229812602672881968168153310564113125
19,105,4472073654242151834402791344060210490808502331000625
19,104,4229718962089953667454357541562004127070384659088125
19,103,3985553499140382832763877444026260182032835506548125
19,102,3741139993660769047955642321879737626181293674705625
19,101,3498453307465500540425785516432780729579393766195625
19,100,3258890490195834075289159865816331695695871359291875
19,99,3024166618936484115975103194224439205995715518528750
19,98,2795475594914540549117889801749705466971985221966250
19,97,2574092712949552896505662824325044919837572197578750
19,96,2360921873783371282519125914470711195909914214303125
19,95,2156926079917175353457238753334468743125074158410625
19,94,1962688451244773147597754915431485565969065470099375
19,93,1778766812334973052875927909455962041435925752492500
19,92,1605498525030609862691623722850681326007024906781250
19,91,1443146606362399577778740789594593450265107999018125
19,90,1291791668834273391623053929783882665067748887729375
19,89,1151438260855078182480619499499729233988790436379375
19,88,1021960076523305097242998608936375371216205277906875
19,87,903144002195674765775228929874347880782903959005625
19,86,794677180506068148697101258514225169829487571394375
19,85,696172690907861348425588610376897791754831187981875
19,84,607163252356791408762178424421296341179236561893125
19,83,527150965952506569268468569533564361176989045974375
19,82,455591373548825760913898477010775169317047986971875
19,81,391917818666520531218202402091306613833129633846875
19,80,335551642985368688575650493459630546520311807805625
19,79,285918938335972386510942420306320714166009135386250
19,78,242440592766438145330966773752242430339325540172500
19,77,204559010564808584171541995493862915004824066516875
19,76,171730518909647755277303695309688892105830769268125
19,75,143437099208233251214690063914663376066376890745625
19,74,119186550206592776513559722066507000846484398718750
19,73,98515115193936813086315946964007138835042724016250
19,72,80992306614464859914981054842657961363099406648750
19,71,66222825246943789470777770719581528805760160954375
19,70,53845057359078703216750924347077758077638388598125
19,69,43531554738779534578604425907374448824861293373125
19,68,34989431911948106052755504339535409554667312820625
19,67,27956653420935064175608529949166513430601455885625
19,66,22202323338938740440863288387472465600138788863125
19,65,17523541363951495995677832792123707643428269010625
19,64,13743679699362946874966697927459966719734191015000
19,63,10709664260195831336757710805512527698015371092500
19,62,8290386915366741821784371668691408303261049930000
19,61,6374207596316167994524582495983450470259189131250
19,60,4866937500649653912482599288156638252584486985000
19,59,3689627196826935152940399749194143318807976537500
19,58,2776669798583844538775709220719607408666992309375
19,57,2073911915291072787416028960101069798737078755000
19,56,1537093351281475187453747450520084127675540972500
19,55,1130213078263964335768634835074567031127070529375
19,54,824285664805181068713912976943612368657239369375
19,53,596131905189911621419655280836664098283715938750
19,52,427415289299814682551112141059268558040372467500
19,51,303719373844404598521143343083339860706250007500
19,50,213842131239135733980129650455912988131235844375
19,49,149129402794732076409086958813846933310540190625
19,48,102978616923193584007372025856704520210015138750
19,47,70388456351404797656057335801997705253272825625
19,46,47607835160283879943388721933720467450686996875
19,45,31850372130509789951217338738615396172127008750
19,44,21069017038222309305207240432458176237642498125
19,43,13774467916891622625973103242656417430427810625
19,42,8896244819749992217366044565281591225269227500
19,41,5672939784835775911020168708614866586045938125
19,40,3569887545655729486525321821105462090596448750
19,39,2215676242194200422461078993591493324393710000
19,38,1355569122115266857445248302027132346375835000
19,37,816999646285743024459888605560975199753040000
19,36,484761197759457108213233566729202443502964375
19,35,282957711136626427024220280183798580526493750
19,34,162348389327940898645355696016728478062574375
19,33,91482356932420570533265451035214622682091250
19,32,50580330970532401163356779557239954528179375
19,31,27412338132125310452266185484100627895766875
19,30,14546867881900218923193670350739749759058125
19,29,7550697842104394503552530819958977696862500
19,28,3828800311226417104328594520031394239200000
19,27,1894223181871813329959068050491822263278750
19,26,912842197610983077296859252304747929609375
19,25,427737643585429840055895268165887900286875
19,24,194525109447151889775221015847281194471875
19,23,85703816030354289637954347791358230400000
19,22,36502893767977159754462929661607194801250
19,21,14996127475647924905037107977729088467500
19,20,5924984947103474018974972367950560963750
19,19,2244429114093722450158667125762634595000
19,18,812361363610418727210437354767215095625
19,17,279737803018281170656879558368420825000
19,16,91266153952008596002419887097731668125
19,15,28082182650217147195146691463060510625
19,14,8106970468449276543119845445058583125
19,13,2180543328903354715727635800699607500
19,12,541571818705840711302582312053184375
19,11,122839001023996186853044360655666250
19,10,25201710714089006536047827154811875
19,9,4630678071319651628720183301185625
19,8,747886246172239922963685302332500
19,7,104023056140391806479586218443750
19,6,12078155916841853386768478383125
19,5,1113426513705793103535388044375
19,4,78992176944152124713813878125
19,3,4135052183854966981839106875
19,2,134896509426267205838471250
19,1,2017395455028921323606250
19,0,8200794532637891559375
20,190,278217568513050795698647138961603343525926804969330625
20,189,179431987928498231198884776032799010274960928644356875
20,188,248744773729276903118844472709232424437241271278168125
20,187,316586703877481667514133082161291313277692618817713750
20,186,415112542487498221018523229464941204298366920994135625
20,185,515664399370223302022151793490928715614643593910908750
20,184,656280191313598804265657124297913567751729197724300625
20,183,802093542943914647307634364575114172496881637675819375
20,182,994835869992312001360367881360619928341226290911329375
20,181,1203629380999600135127995051140728717649026477104781250
20,180,1465444754253475097149729624620968814603100599562359375
20,179,1752479421718093503798356709853435409616965076087095625
20,178,2107849062545354992549963695916389939294118960922583750
20,177,2497071850714815700774171137582353433188717396355986250
20,176,2967895370252572888343993039716305776852499023850523125
20,175,3491453347816397263630923968462050668275745827663010000
20,174,4109750480437989018084853103414028808122629139209941875
20,173,4793189466060991367193455295359958968318071519147464375
20,172,5578181893851779942153241403734274946505968138878271250
20,171,6390368287156488027402756321839201582224215962797721250
20,170,7187353476650720178288123857421072786615849429754351875
20,169,8145134034180666628931061692506884827418834318692908125
20,168,9206426886533779056542146716624347432251107155038115625
20,167,10344234273601919787483587489957073219690726309875415000
20,166,11596669072483872056215978888685410497388359699007856250
20,165,12927437937691520699148245650408294462395536061756063750
20,164,14374562381379610021303691343896346895117237194802327500
20,163,15905851418445848539823061653460057563806610998950487500
20,162,17550215975144609963803993048873880111646600720078765000
20,161,19272382116328249694637842461834558359943557206856553125
20,160,21105326274196763030245744988118619183289634970368744375
20,159,23002532837022812950242154696493438061596599202912171250
20,158,24993983633778907781479564717573582132123280935629626250
20,157,27035198604500293391801639154007098873158483181379672500
20,156,29145385380224931826936164552743501248095324690802766250
20,155,31280261545177011348623242667911456252009361393289013125
20,154,33463436513005773749643614861595881261524152264775074375
20,153,35655346422209129223996343498570169912543794457689126875
20,152,37880261285415867261488700257269122075470271578707050000
20,151,40140284837570361819497655960465165199022308169656845000
20,150,42394930753774233536157199738633393008547567521307260000
20,149,44630365049432374121547946560036493688469840545149329375
20,148,46834037337999141313165937684161467269411101497508460625
20,147,48984460545794796242259869670898144536003769666879927500
20,146,51067763821703230356205472720637926619516344949800561250
20,145,53069642675770835586669568255584208356035988555074694375
20,144,54968426697570170966765430460636948646013252830640144375
20,143,56752736784274214508986167589547013134973820855752830000
20,142,58408320785983662344731510517581376089154733332128031250
20,141,59919342030213141817548048848416592271166727804977948125
20,140,61274847501386391282682439440407575902165949223348744375
20,139,62469881121612133633086991346737915697125878383256416250
20,138,63488953876327774181004230103442721957545703142015343125
20,137,64331819219553212134145027749830721579646531215334758125
20,136,64989544395090091605668061792358520078217924394646930625
20,135,65458214909365477313147050351388498464709136951500497500
20,134,65730518325368789719480057585559515090832172767071974375
20,133,65799224517122721179029373997491145637503338424691861875
20,132,65664530473336989335402325421055886454473804524091165000
20,131,65325719665432882716743256060906366015991472341914622500
20,130,64788527980395606577741997126793926572301408466412061250
20,129,64055790209197301463477856823125225233526577682566698125
20,128,63135078406483880088730073893947666683153226631229503125
20,127,62036188428429607584022466818505917412843879801720523750
20,126,60768133259008342161917111453261948374771187683824856875
20,125,59342220272324472248790101972721742178094198646446667500
20,124,57771741951112611133068571504278301288699724370841721250
20,123,56070001917413427202086554438214562201748607023498726250
20,122,54249013117263562288985657437435945383581629191898929375
20,121,52325471970583482971599147351362532556958382395096384375
20,120,50311560379523939916240248911373983584847873712742673125
20,119,48223188541292367772807362755741283835616996535011868750
20,118,46074159395699031902756760766507784875366663725885097500
20,117,43880440385464232699701300898851649756946294930147375000
20,116,41656791438978368169123813657168337326477655189430750625
20,115,39419046806693321064258375722551443890468456358007201875
20,114,37180540028359706965361481429840314756328229216040433750
20,113,34955860023520587109737986724823217964495193795631461875
20,112,32757246156884011878289739262598810777590400709192411250
20,111,30596600373855387436089128930305199539728872796730897500
20,110,28484108089664013831118262704818134132634341513938306875
20,109,26429866321393356290918014667629565066419763653198668750
20,108,24441626991798966825211100822814128500623177307256506875
20,107,22526828177903676143519679041840548517030504131061347500
20,106,20691349877323457338295814250466741278363388353644969375
20,105,18940103320960531839091373056252924282155674063870915625
20,104,17276912352835076736964804999965200794852170853887421875
20,103,15704748331328027303366121545007861511339386725202099375
20,102,14225273676828206946544810059989230247958619621645475625
20,101,12839492337525777994101350064284558021345388154055821875
20,100,11547137311662992024742999078022915022694107485886233125
20,99,10347448447465198491765842173038389014547958908855221875
20,98,9238513602092080442227927209604107256437297654982441875
20,97,8218058452574877876848512738682730972596185014003523125
20,96,7283024073845302873488749364419073806543770859504010000
20,95,6430075298890837897740264873295710638889928444001775000
20,94,5655298236045318580148267582105302065426344441287890000
20,93,4954655567274092572606319212128246213738093844612738125
20,92,4323791596825135200067688017264337997380950743403396875
20,91,3758318873282213621864629507770911246190565693685986875
20,90,3253671617803905560263462649099925996054482991794338125
20,89,2805352292800231753723349969448301734663442685240326875
20,88,2408848204088035155541746864495466883169675008480300625
20,87,2059773559480477613235912308286305756441464927335684375
20,86,1753837814554981734815407675312616331558207807735976875
20,85,1486945332860389719602967733675988634528868445701490625
20,84,1255172003629338510293261300574734342396841153292524375
20,83,1054841595809711949946208839597220340986550717199927500
20,82,882495661130027785275245161311727978598482133695531875
20,81,734934400717542414419035214295409651943499906700428750
20,80,609200351165216762823530393922699242869043595256441875
20,79,502594038884174914861966161740550743322634789021597500
20,78,412648595361204069003128132756552274974297044214081250
20,77,337145982617492744198046626082438957230820666710026875
20,76,274087681413015501686754325817713564356221572889373750
20,75,221696747890129409733579261797018423553559936768396875
20,74,178394764796452027818550056724727217223973852689925625
20,73,142795457006918955200707944261037618063413230242005000
20,72,113685738981314280838993816228890517229752210059847500
20,71,90014355599777377583368210882035322604493874191468750
20,70,70872360299602538093136810110470047812073982795798125
20,69,55481938802283032901793184727496479480133650174009375
20,68,43179775643166817605187083755353628628755038658304375
20,67,33404736778639785194347620742160930466795410965736250
20,66,25684804916402755762074011171119778001899520470351250
20,65,19625762261258138334048872467661859717387586710787500
20,64,14900201895978425063755073473031494333924320256981875
20,63,11238384078806125088769667935612849422057063195943750
20,62,8419508801981273959117679789128795951220414456368125
20,61,6264201613710372696598992160911692126380841791513125
20,60,4627630118758465447090382647193073589680973046021250
20,59,3393788614043877706829380634535593757262011294772500
20,58,2470331309726958606463228373955162749972204289195000
20,57,1784356868987706316440426960876547508929107887416875
20,56,1278708638635705427314226470712650882998445567959375
20,55,908921057667755758999017436873355294214138772327500
20,54,640673924699918734375394139546864194251520260235625
20,53,447705129737375150516802971046151349496094787113125
20,52,310078681784236422975372180859663872182541644068125
20,51,212788626518770742494799039369019938482217103626250
20,50,144640914351120267477216754879500412572482140749375
20,49,97354351846236139973884107637792630591273724233125
20,48,64863548786803848324302523972767333134251582641250
20,47,42763920744809431482094990162105675470897178230000
20,46,27888464577187150286289944300578514080690055589375
20,45,17983274835001231687064173059737295163961569569375
20,44,11461110207904641514196856234099221783005471031250
20,43,7215977463952244230653086754275387089833880447500
20,42,4486021133621207876046568635137318868656277515625
20,41,2752305570439740717240692966118663104022244044375
20,40,1665613757564318311099586441405305045792471620000
20,39,993680780375891722078364877667393440899747085000
20,38,584058787765386974179969380257414712776261490000
20,37,337996040432067456062273871050135962892953591875
20,36,192448086813542605580002322544415811830399029375
20,35,107726017847735320986097216303272976315603348125
20,34,59234270312307932027300259556416810972603686250
20,33,31965817845649818732165610887932577642238582500
20,32,16914136444266577791883227202644998229729686250
20,31,8766366106457527836066310789752455717037551250
20,30,4445662261478948431854267157379063836893939375
20,29,2203438129870748238015691693274639236445248125
20,28,1065985675456644212951273961896061518639655000
20,27,502652256454468281150669344379133865643697500
20,26,230639516369760486494910069465814650613477500
20,25,102797195549155640084518684979125611900903750
20,24,44426136915175597615389255941346534175196250
20,23,18581660275125177346317259179799383791085000
20,22,7505101882694770925156436277562366647040625
20,21,2920049253138924963335590142073061057363125
20,20,1091134164854940870958759915428942074986875
20,19,390368962648846634267595691551109950731250
20,18,133234736260576168763228033989775867981250
20,17,43203271279354966952448257362511364609375
20,16,13255064409690930411503974458948566896875
20,15,3829811614362815860302167233444204350000
20,14,1036172140569633661463871472046128678125
20,13,260559351941468260264725307907096606250
20,12,60351624887411488864648336279952343750
20,11,12743056521964134903216420143018240625
20,10,2430926361926519575157349145845384375
20,9,414244353608598092510502942301181250
20,8,61860175643988948913185275986584375
20,7,7927740706420482859849286658684375
20,6,843604873322352062385943920065625
20,5,71172896801387824026282867918750
20,4,4628032798115488655494566590625
20,3,220468180309328482676989593750
20,2,6477536975111093492328853125
20,1,87100638731147046252121875
20,0,319830986772877770815625
