n,T,rho,theta_mod_1,psi,actual,G0,G1,G2,rel0,rel1,rel2
52,1086.1640162755120012234597153277486286333778,55.9822014549753215130699756934020860721725882,0.924896495864284920429900374403978209599234122,0.000000667376302967522541240811333109693738099057383,2.220446049250313080847263336181640625e-16,2.04606125630591235349064387162934571506739425e-16,2.22427037341609302149342062793619986724108503e-16,2.220284711010372584923968956475118597861703e-16,-0.078535928852348421570852880842137316350524891,0.00172232248879505236642409230188018708722503743,-0.0000726602837276629114888583035085845391065837884
53,1126.27464288023326097630029569604371651186949,57.0065056280824984195683646604728174946941216,0.94920066897146182692828934147470963212076759,0.000000966566934722246666511680208182079335785760055,1.1102230246251565404236316680908203125e-16,1.02434628981044418026752109550196205716619505e-16,1.11207254912867039934025476815062199865834357e-16,1.11014626353441831823121086032126853006215004e-16,-0.0773508861822666972106521814140673611558152702,0.00166590357296752332733765764041594871128869385,-0.000069140243929042059500724093479049787934818944
54,1167.0958197863458437657276088781194284104977,58.0303946470812911565123280899918804693331418,0.97308968797025456387225277099377260675978776,0.0000012387603533101391452534416919955628139589805,5.5511151231257827021181583404541015625e-17,5.12810129703506639384095400511975036841234607e-17,5.56006511542166238044553572436048613243722691e-17,5.55074958839431073151455684723129160725471641e-17,-0.0762033963821887105852536194626415222161679443,0.00161228727874770117190844029402437453262521558,-0.000065848883217925645088243558225675246704962151
55,1208.62724216353302947628879010438082002769557,59.0538826590196923001583767688575936416703908,0.996577699908655707518301449859485779097036797,0.00000147925643462837862923027872967161001702696818,2.77555756156289135105907917022705078125e-17,2.56713634995999580890938975350296440119913985e-17,2.77989100627060053749608529583178929465899269e-17,2.77538334619715137518068313131055935780832385e-17,-0.0750916552728726128767464337686987450601152905,0.00156128799766957919940813352067044319466617445,-0.0000627677004983016032862877060504382076028930845
56,1250.8686157926732202891421106679687739320178,60.0769830934898352957645245960765718216538092,0.0196781343787987031244492770784639590804551708,0.00000168444162645629583363606630210062511832908099,1.387778780781445675529539585113525390625e-17,1.28506375794205123550241494702646958586251357e-17,1.38987812287559739840993439244875809986497819e-17,1.38769568061695047051849076888324639282175858e-17,-0.0740139741735758057782298675877862537230752886,0.00151273540367118334305092106367770365277433574,-0.0000598799791768051535348472206799332529064521755
57,1293.81965651731868684781980359434952766447126,61.099708710634581453004516625952849667457711,0.042403751523544860364441306954741804884356975,0.00000185175128861686020410461468818250116078947384,6.938893903907228377647697925567626953125e-18,6.43257134566486854377356895384131472689341465e-18,6.94906960417551119826522045163624828441782515e-18,6.93849720326710086897881805665761062892094649e-18,-0.0729687707081461761911638576328813624208262132,0.00146647295796711574752576223917601375465378229,-0.0000571705873617883287670824186477993651511000411
58,1337.48008973256844018321930887870557630739625,62.122071645187465897976195389795771100727903,0.0647666860764293053361200707976632381545489998,0.00000197961222371091812149911079772661306883437062,3.4694469519536141888238489627838134765625e-18,3.21980442140674817368197485234720275072417289e-18,3.47438174266279096679818310899554601766941715e-18,3.46925743062607071868663949809750590684496392e-18,-0.0719545604829883808518023850873139623968007523,0.00142235658233599507077505510303366649521512456,-0.0000546258035266261651194706876211200521977722308
59,1381.84964990818683559302259665179698853467974,63.1440834469341454601499996555070972725967755,0.086778487823108867509924336508989410023421492,0.00000206737013961454760795985155532865309715839645,1.73472347597680709441192448139190673828125e-18,1.61161023841864868691512819622848736752744331e-18,1.73711783409038893176637437511298462161365455e-18,1.73463286588097321424846678507396507935553381e-18,-0.0709699495412860872795946509953144510258335671,0.00138025347943919186523197754430851395044494441,-0.0000522331640106838574306367273986241536804834663
60,1426.92808014313283073611633291259722017935773,64.1657551179397727992268558409740374012686477,0.108450158828736206586780521975929538695293692,0.00000211520628501866004774707782998574187245487863,8.67361737988403547205962240695953369140625e-19,8.06634596348702471539710274269232389592083529e-19,8.68524038350094533206206043874948449141933773e-19,8.6731838609575650350609785479550165218455828e-19,-0.0700136275097172725327292984876648486095668258,0.00134004108180585402233991102851327606562158327,-0.0000499813292981841285581074929877419861569065027
61,1472.71513174894243961496042653391160350586576,65.1870971468485570646874154395122886782231391,0.129792187737520472047340120514180815649785088,0.00000212404698327788092872004535514073214273596059,4.336808689942017736029811203479766845703125e-19,4.03720303123899329808552396762219824337590645e-19,4.34245350664665756202706642983816997025654116e-19,4.33660113042345957057037332863846335116118893e-19,-0.0690843613641232824639801540787002176667677961,0.00130160611366864238286775180411821836284326217,-0.0000478599664863105798306008491533822510112461057
