n,vertices,cardinality,count
29,86,27,997638148696101188114
29,86,28,1467731948197122288075
29,86,29,1984132690805507455848
29,86,30,2462189095847573677218
29,86,31,2801594831150245724900
29,86,32,2919160174316560406257
29,86,33,2781253389629645446574
29,86,34,2418996893488499853717
29,86,35,1917067063256326490352
29,86,36,1381478489252378516383
29,86,37,903112588755131218468
29,86,38,534179707670433578658
29,86,39,285026581163628897044
29,86,40,136728814156035544023
29,86,41,58737996457063543904
29,86,42,22496147369475113225
29,86,43,7641032415337040646
29,86,44,2287595309994463443
29,86,45,599267945180802516
29,86,46,136168463001363095
29,86,47,26553674661043326
29,86,48,4385887407765076
29,86,49,603514271023084
29,86,50,67724429309805
29,86,51,6024339190286
29,86,52,408454310135
29,86,53,19934592224
29,86,54,640110642
29,86,55,11542748
29,86,56,83377
29,86,57,86
30,89,0,1
30,89,1,89
30,89,2,3916
30,89,3,113475
30,89,4,2433972
30,89,5,41182614
30,89,6,572024805
30,89,7,6702504827
30,89,8,67563468900
30,89,9,594628870051
30,89,10,4621589415440
30,89,11,32007994714895
30,89,12,198968568340029
30,89,13,1116645107471250
30,89,14,5685026160346629
30,89,15,26360061532857480
30,89,16,111676844959450438
30,89,17,433447024774080490
30,89,18,1544561195705406627
30,89,19,5062065082557511418
30,89,20,15279272420661960016
30,89,21,42519657009391753989
30,89,22,109175563004282089084
30,89,23,258783043026227971301
30,89,24,566431269549628381533
30,89,25,1144972710600097495916
30,89,26,2137133154675451826122
30,89,27,3682402517835640271537
30,89,28,5854590955696610317359
30,89,29,8583442363579496945525
30,89,30,11595635931296423342622
30,89,31,14421169393646514726622
30,89,32,16493793755607856021892
30,89,33,17327338702958360313189
30,89,34,16697236941511980440019
30,89,35,14736618176082391221154
30,89,36,11891947011413955567676
30,89,37,8757599113840982958032
30,89,38,5873152011489542326661
30,89,39,3578293433465712879927
30,89,40,1975296834309922146395
30,89,41,984961240314010301284
30,89,42,442110998749933225704
30,89,43,177927820648164110195
30,89,44,63909504097497841571
30,89,45,20378836554529667205
30,89,46,5732799755435186062
30,89,47,1412228183723469344
30,89,48,301946385325072584
30,89,49,55430218279212474
30,89,50,8621008600162752
30,89,51,1117033704400587
30,89,52,117994049283761
30,89,53,9872538140315
30,89,54,628738321992
30,89,55,28757033504
30,89,56,862098856
30,89,57,14420136
30,89,58,95497
30,89,59,89
31,92,0,1
31,92,1,92
31,92,2,4186
31,92,3,125488
31,92,4,2785967
31,92,5,48817132
31,92,6,702648390
31,92,7,8537292260
31,92,8,89305621047
31,92,9,816301981224
31,92,10,6595075445594
31,92,11,47525723694124
31,92,12,307715397280236
31,92,13,1800789663646980
31,92,14,9571714223839966
31,92,15,46395855492158376
31,92,16,205768673568965999
31,92,17,837311931847091212
31,92,18,3133209838635329922
31,92,19,10801690285991779024
31,92,20,34359259913751290362
31,92,21,100962233119024332196
31,92,22,274302392550809350112
31,92,23,689509592321473709844
