x,mask_0,mask_1,mask_2,mask_3,mask_4,mask_5,mask_6,mask_7,mask_9,mask_11,mask_13,mask_15,mask_21,mask_23,mask_29,mask_31,mask_63
202,3,3,3,3,2,1,3,3,1,2,3,3,3,1,3,3,3
203,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3
204,1,3,3,3,3,1,3,3,3,3,3,1,3,1,1,3,3
205,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
206,3,3,3,3,3,1,3,3,1,3,3,3,3,1,3,3,3
207,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
208,1,3,2,3,3,1,3,2,3,3,3,1,3,1,1,2,3
209,2,1,3,3,3,3,2,3,3,2,1,3,3,3,3,3,3
210,3,2,2,3,3,1,3,3,1,3,2,3,3,1,3,3,3
211,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,2,3
212,1,3,3,3,3,1,3,3,3,3,3,1,3,1,1,3,3
213,3,1,3,2,3,3,3,3,3,3,1,2,3,3,3,3,3
214,3,3,3,3,3,1,3,3,1,3,3,3,3,1,3,3,3
215,3,2,3,3,2,3,3,3,3,2,3,3,3,2,3,3,3
216,1,3,3,3,3,1,3,2,3,3,3,1,3,1,1,2,3
217,3,1,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3
218,3,2,3,3,3,1,3,3,1,3,2,3,3,1,3,3,3
219,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
220,1,3,3,3,3,1,3,3,3,3,3,1,3,1,1,3,3
221,3,1,3,2,3,3,3,3,3,3,1,2,3,3,3,3,3
222,3,3,3,3,3,1,3,3,1,3,3,3,3,1,3,3,3
223,2,3,3,2,3,2,2,3,3,3,3,3,3,3,2,3,3
224,1,3,3,3,3,1,2,3,3,3,3,1,3,1,1,3,3
225,3,1,2,3,3,3,3,3,3,3,1,3,3,3,3,3,3
226,3,3,3,2,3,1,3,3,1,3,3,2,3,1,3,3,3
227,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
228,1,3,3,3,3,1,3,3,3,3,3,1,3,1,1,3,3
