n,M_n_A001006,T_n_A002426,U_n_A005717_extended,D_n_A005773
171,2501264843067403294574530874597020617509886766708601883995682685068159106980414,144449408011072522674002149943141852224566746979066502003113529301250539067654909,143820001828515724613389541419000862380076916682455121925026045914290447372301804,96370154160620089689585514160517358790982735677977880728337024186689666917358479
172,7439059634159777646370010206856176437822653359550764458353957839605668011638783,432089411668103971900781232781143576984720580343976745853165621129831433812258517,430217553007593366666819310430687546211700523873879524047257421831723366400631208,288269409839588247287391691362142714604643663661521623928139575215540986439956713
173,22125750583292702533090579846120890643197498785061450509660546490504782281374579,1292524517683290705234419853642518669408121628091735793947680464793278166613520933,1286957316709641532822011765786118523743319031202282251295234706251780566013509459,862306964675697338567600543211831123196421104217856269900423042961554800212889725
174,65811130134648169218833225361673559123328887327234619214529743431485856330910548,3866439151102573770878443385214755716894759690496300296538149877296839298640539851,3849880601492930240757760893225034971916364788600692388680935089347832116959176746,2579481834392932238056431619428637193151440659294018045242915171045058732627030392
175,195759030970284170158665224754929515073658383150629539606456187641214869621622218,11566200354088434252393965171664825660727489267697685073900020055992503532558893343,11516947773563429613295814438292872846582555282266058362542705100510024857909345900,7716319752595504011636204278439790688811124479096992685219084966644671415599716597
176,582324613782025847785934087940273805397466714039159564992736795162241143540228543,34600095901215293478985594048250571353892599832229801798985430257012553248377585143,34453589450770013947925079556867594652963875434510798970736289024853817053405510368,23083148127651863865689779609957698507310044549963743436442725156502528390468239243
177,1732324057234241440266937653013407736731800613337620349076147650039983559312836111,103507274802755321374835753161985760659820350701251399740458008306720187355188605879,103071456639418575058110333565428463555351608384931243003714412743716682406620452111,69053685351985307426910673605118166006856475266740600769721719281866370301783095511
178,5153633657504888440831265237900399737107264689535134409062933051641245432747465822,309650188081592471491056420292842687770523567471113885747886833794153552168429510101,308353682187694976367514902236386577138260509174096422135554281707117073557684827758,206578731442173896432946086727414224215171959086182642744172421050436869761809057990
179,15332682484018452372160049321079575895228119066659682426852242047848388569223175212,926357552456982424226086224765615842047044585819306730018995397208387699283799165617,922500424693375030908796477584171552942200379426789059222265016243782932461796382138,618003870269287447858571322529229264908784076645210307883441115501270625726114337859
180,45618679400059265928989929877265063500021714952442376559123375978047346543268985703,2771358401843732486043679179933958947931445344672884848463525429695953564207391929893,2759882847123321426988808877794323661141061431998742836833403568612709942460171538160,1848857977150357455134882702349787394989244965246095789241260413452170631745595547755
181,135733492697221190236009678572842563026945720348266727876841509212400637281897029643,8291124096090375340021296935522606270213568208670370522130332566921373449127735006213,8256980971410727133147177307784976493503930406392070157201331052026569724331686412243,5531241248967053913032488057728282609072506776671627685296928998308663506667563468053
182,403878629069119107802092742404578614050798799708117207318756217492423596635258016611,24805086038911829606315651551092559257221429021454510836532994670974512897791107830699,24703495670894256622953761500257346470904121103384544473585154676656915985305259395026,16548105067501102473168474243307582763717498615062440679331663618947943173459421418456
183,1201805102059726932066104437639202112266786609746122424360751328917244367140840379899,74212077380700342852223174551607252199029671228223599783703304024288344868401626620751,73909789119648796727782971860037886371296180346585448939332387801113518184252217039813,49508581709806086229269413051349905728125550124839055310118149347631428883096367225725
184,3576319623757987247934093833704189454517918279763846889285561310611847989396380383345,222031655619997936307789118271683024941622031921394497662368079626515381236906060700377,221132138778989755500163216525613188657088736193286526082378244520772963553914629901416,148121866500349139580006146411645138570325851574809048723035691825401863052653843660564
185,10642839554819157943764911560861464457740181231937148524984374223525745961111235357889,664295933177977447308115551322909402255799504307967549827124568668061308344735320503209,661619130395227640867807359235275049085814881756311674517828842463191878038330370918825,443163794398987691807952334797296213598710768114681023744746324147288344790820690601793
186,31673598644325685295892202605889103138268788536071762890280096344492972753241925006644,1987534193968432729043730269793459500427429267820590898862782253594445064421396062340859,1979568157196363377540273550320232389139673709140309625647093605575788748766689776567354,1325915063573205088175922910558184451341614386064279224344953411131253186383065691422034
187,94266158535509111738520617080259845736877337716655237887811200772022386395586196863458,5946670508361159484124277370433924278706776686101210150156969464746022561954775615475567,5922962946488903150331841887301262286856263456245419660482378016420185904856239976242428,3967102351164796106584003820113691889567102976960900524509875859170233813188085838908213
188,280564371617650760928514727900851308965113403620606756132378719685857880977393242875005,17792596401338965784787961145036448852419303598592049471121725497586394371667255567960423,17722037804675713006841876011088850998532939490731184722908505745140208642370205010330104,11869633454850062634456119257735186565563040142346629810639347481166208466811015591717995
189,835078587733595693258809999516697377452234546829337773523021214640632266060432743877577,53236672010690391798471713167214150849485182580054418916938736987866811656407665588620631,53026666235735993815489283573260897394406433284294676909019578020627139504727322903375945,35514634206014678791629837156125299850952243089323234194030231242726603014037460578290527
190,2485650732467228857177471148623147880169378448931571471038176129374803707725035646497316,159290004482162379429450280313735945638298049148643772734977893029121090665862311395372521,158664931669383181719173899908172501715924563897574176969374030781720130551482221336739630,106263338246426385613960996740475048243891615864349095825958315008493951161134988491996576
191,7398958681570456981639860879000948928770184650950851835832868134174664309394483505796326,476619867820928742867798080130080949070147176943792126673725954592561351768826754068851781,474759289901240711720896989387021245112351283745930150968291640710587508175481808480987356,317954936151545561148624180221908447354222613046217949704351923810841221217344532732112151
192,22025138979939938521103285600909428210894716195123033039693449246335094245584131830796637,1426138447623410166309592058904123439294849744435652428610309236013736368119790371030826493,1420600066861527740474853288768182194323875452982563552479910681761535547403740833112894592,951379157722169454588695069517102194182498460689722277642017595303148859944308562549839137
193,65566815311904304764571955865930745131219905263898997147697932839057887770524520604394781,4267338581346465647259298636440487827942600650400779533570130599536807462927272037256615677,4250851823128408134572934120975519644702680225658745376660835704542673189397737443343750941,2846738514484937906784445347672305633618725197418215981090219917775271915523531204143721085
194,195194115437326525291516802014151116276288692982821153165494913204191519953710463495616442,12769042227603281916405166878391527117347961101718270286891802008622153841722746923944117559,12719962170509435124326959437990564555456661621196405446653398970777230227481756997252587514,8518190404474873781832232757416007472645280876059524910230966304079480652325009480600366618
195,581120739327527800822152019804592792540095755430823793033851309518632360326629757454537012,38208966568622152165059085754372656228261284344111081180198599950176614296686260918449292587,38062852510278672431845776392759467673876295131650124867271508074817346390973540381645206190,25489004398112717040732126316382091672804622722914675733545200979399384069204503921196705073
196,1730146505487648702114358954350926113585285440804364269010697418511487660511546039518023557,114334671589179497028750638539891591576013874607411330914741616099811307078633341681739704967,113899664908195448961141795881700187337858768064441463434634856665651942624019432461089254352,76271819078900824596904862147132123902137579475761206047470108024993960687659801300094498777
197,5151290775840239116676367711626715461707357051814312947553417338236148008915170768808477729,342134001405570394951034230303291966251731410736294257784011329431115192326672206603918213671,340838861581066794316528714007132444376301231838459760995107391446763069120774569785050640729,228234336497374945989892434421591778913872642671852794349376472765463249702652774142828959319
198,15337895113758876561350520617686016857133622225428307615820144288100199834508232522860587903,1023811724567703983584091658317556855004333874413213779774226112324641330568221346174019495129,1019955573616367345101920806902089661418056696259233963615576632970757305765203812224078590342,682972862986637189267562944310424410628032642574754018779118720877878261447446776388968854400
199,45670083936511909369575224612751192588310872421510430992830683929672893787385055787530399723,3063722871800438673787933272121736177840447266931681707005379378266155942098628970622176675813,3052241127638016435708753602919517354569590822860233215548208713331939767067138272049256992697,2043767298184071328686012465219646516422390570672447743389802745295398636333425158398098085471
