tower_level_m,mu_2m,mu_2m_plus_2_over_mu_2m,gap,leading_gap,gap_over_leading
91,1.3228306025653434e-10,0.91737314626074595,0.082626853739254047,0.082503237804381277,1.0014983161650681
92,1.2135292718453675e-10,0.9180658099533725,0.081934190046627497,0.081777847348445801,1.0019117976719971
93,1.1140997338588437e-10,0.91874592767727381,0.08125407232272619,0.081066223775355176,1.0023172233591584
94,1.0235745935091472e-10,0.91941384840212015,0.080586151597879851,0.080367966507208899,1.0027148265677641
95,9.4108865614488084e-11,0.9200699080426521,0.079930091957347904,0.079682690614009982,1.0031048316947071
96,8.6586735331920351e-11,0.92071443007402876,0.079285569925971244,0.079010026049178714,1.0034874545747019
97,7.9721656673099815e-11,0.92134772610768478,0.078652273892315216,0.078349616929764207,1.0038629029012653
98,7.3451367097298047e-11,0.92197009644062777,0.078029903559372227,0.077701120858318443,1.0042313765544424
99,6.7719964006391836e-11,0.92258183056867404,0.077418169431325956,0.077064208283632418,1.0045930679828798
100,6.2477208359061699e-11,0.92318320767433115,0.076816792325668848,0.07643856189774724,1.0049481625312047
101,5.7677909619456112e-11,0.92377449708877357,0.076225502911226428,0.075823876066849455,1.0052968387427581
102,5.3281381951844807e-11,0.92435595872675758,0.075644041273242424,0.075219856293838191,1.0056392686759092
103,4.9250962896384065e-11,0.92492784350114587,0.075072156498854126,0.074626218710516695,1.0059756181680231
104,4.5553586902107462e-11,0.92549039371217712,0.074509606287822883,0.074042689597510508,1.0063060471310603
105,4.2159407077033308e-11,0.92604384341861479,0.073956156581385213,0.073469004930153556,1.0066307098033354
106,3.9041459365865873e-11,0.92658841879031273,0.073411581209687271,0.07290490994870942,1.0069497549799362
107,3.6175364101083904e-11,0.92712433844089293,0.072875661559107074,0.072350158751412583,1.0072633262561326
108,3.353906051007584e-11,0.92765181374265349,0.072348186257346514,0.071804513908921008,1.0075715622713513
109,3.1112570313396459e-11,0.92817104913026438,0.071828950869735619,0.071267746098870877,1.0078745968770526
110,2.8877787028924309e-11,0.9286822423830654,0.071317757616934596,0.070739633759315107,1.0081725593828561
111,2.6818288013082027e-11,0.92918558489807634,0.070814415101923656,0.070219962759910867,1.0084655747261684
112,2.4919166633400694e-11,0.92968126194849454,0.070318738051505458,0.069708526089800035,1.0087537636489305
113,2.3166882282444774e-11,0.93016945292674125,0.069830547073258753,0.069205123561196361,1.0090372429074466
114,2.154912621867987e-11,0.93065033158123589,0.06934966841876411,0.068709561527760893,1.0093161253946381
115,2.0054701460700324e-11,0.93112406623691502,0.068875933763084984,0.068221652616907616,1.0095905203271962
116,1.8673415171254684e-11,0.93159082000780591,0.068409179992194091,0.06774121547523769,1.0098605333882822
117,1.7395982151735355e-11,0.93205075099805001,0.067949249001949985,0.067268074526353902,1.0101262668865185
118,1.6213938228873612e-11,0.93250401249552228,0.067495987504477717,0.066802059740354594,1.010387819878912
119,1.5119562456779184e-11,0.93295075315671805,0.067049246843281951,0.066343006414352479,1.0106452882843231
120,1.4105807181452178e-11,0.9333911171793684,0.066608882820631599,0.065890754963404324,1.0108987650486949
121,1.3166235123812406e-11,0.93382524447047532,0.066174755529524676,0.065445150721277642,1.0111483402544876
122,1.2294962733249879e-11,0.93425327080731946,0.065746729192680542,0.065006043750515469,1.0113941012163072
123,1.1486609147992801e-11,0.9346753279908584,0.065324672009141604,0.064573288661294623,1.0116361325777938
124,1.0736250172902966e-11,0.93509154398693717,0.064908456013062832,0.064146744438603839,1.011874516487552
125,1.0039376750809856e-11,0.93550204307171203,0.064497956928287969,0.063726274277296699,1.0121093326064128
