m,d,epsilon,order,scaled_cumulant,cumulant_limit,scaled_moment,moment_limit,moment_abs_error
6,3,0.09,2,0.0000145853157014014011-0.0173205050051748681j,0.0+0.0j,0.0000145853157014014011-0.0173205050051748681j,0.0+0.0j,0.0173205111462024056
6,3,0.09,4,2.10028015529990474e-6-0.000623534532423007219j,0.0+0.0j,-0.000897898762553260744-0.00062505028262465629j,0.0+0.0j,0.00109403384024619623
6,3,0.09,6,0.0423123418448654398+0.000160338133373224934j,0.042328042328042328-3.50410062019308324e-83j,0.0421501464078725801+0.000237598127039956079j,0.042328042328042328-3.50410062019308324e-83j,0.000296816152501740439
6,3,0.09,8,-1.3609799120597706e-7+0.0000404049087695552105j,0.0+0.0j,0.0000905474339963693681-0.0204406986448263369j,0.0+0.0j,0.0204408991956422644
6,3,0.09,10,-2.22702280203493659e-7+0.0000264459914069006594j,0.0+0.0j,-0.00791591444035805937-0.005548403087428858j,0.0+0.0j,0.00966677186281228693
6,3,0.09,12,-0.00524649862733352851-0.0000397626715781768417j,0.0+0.0j,0.81557190133281575+0.0092063842298125243j,0.827748383303938859-1.37049268700885033e-81j,0.015265130978148431
6,3,0.065,2,3.96735029740541391e-6-0.0125092555178774464j,0.0+0.0j,3.96735029740541391e-6-0.0125092555178774464j,0.0+0.0j,0.0125092561470063328
6,3,0.065,4,4.12604283078300771e-7-0.000325240373568595548j,0.0+0.0j,-0.000469031769331958572-0.000325538145160190577j,0.0+0.0j,0.000570934220902027298
6,3,0.065,6,0.0423221915794014072+0.000060401820116251527j,0.042328042328042328-3.50410062019308324e-83j,0.0422611359431340984+0.0000896670365908685314j,0.042328042328042328-3.50410062019308324e-83j,0.000111877798478859662
6,3,0.065,8,-1.39460224008597471e-8+0.0000109931196507158763j,0.0+0.0j,0.0000246921376384997117-0.0148020535919244089j,0.0+0.0j,0.0148020741870814664
6,3,0.065,10,-1.64816258471787589e-8+5.19672355680007662e-6j,0.0+0.0j,-0.0041562940832515935-0.0028922161697815792j,0.0+0.0j,0.00506356543151347385
6,3,0.065,12,-0.00197693102032672595-5.64292493557883565e-6j,0.0+0.0j,0.823158582180846939+0.00349469450934204428j,0.827748383303938859-1.37049268700885033e-81j,0.00576880958804858538
6,3,0.045,2,9.11291520089259401e-7-0.00866025401387129539j,0.0+0.0j,9.11291520089259401e-7-0.00866025401387129539j,0.0+0.0j,0.00866025406181747751
6,3,0.045,4,6.56129868582251973e-8-0.000155884558009667659j,0.0+0.0j,-0.00022493438327610672-0.000155931910105935618j,0.0+0.0j,0.000273697346295297618
6,3,0.045,6,0.0423261095093444014+0.0000200423016470626194j,0.042328042328042328-3.50410062019308324e-83j,0.0423058564365943812+0.000029774432813962222j,0.042328042328042328-3.50410062019308324e-83j,0.0000371312621484003949
6,3,0.045,8,-1.06293036724220673e-9+2.52532971392666556e-6j,0.0+0.0j,5.677511970750198e-6-0.0102585555182741209j,0.0+0.0j,0.0102585570893598187
