n,a_m1,a_m2,a_m3,a_m4,a_m5,a_m6,a_m7,a_m8,a_m9,a_m10,a_m11,a_m12
125,2,849522268260506235219,1507605258482052667339844038560439,239392522534153158519938948880865938454600,114854277286665395865432019791247194894352484542,825823279947960957448874866074839937407243343876673,494200880714848455954139396093708230108375053096488406,64216141602772822618111513917961276144900074688929009237,3041945106140661305353715458431377819373674311336265153706,70924984360853050870097986190621427460443373640446238344990,981319115784632278279590129955549270958724769067026487587568,9120015576874043665317008091844032662892055369440660280691598
126,2,1245035397201296314521,2753675476115415989145987454964395,505782508710403469712167526862475863427969,270667228692218026151167550298786882522771368427,2096851671616008862173366500850972802418664499441139,1323737562311512997788917439557967878376855300389878923,179143806282135983917490588417839175648711620382861939408,8764690187923195924758101662587913830037675993325586899829,209835188763461775481584037582021034711876973581719166376706,2968409887354696419162216861316848068296421176140837046738200,28114253845992219774562115576488428572800098098311902333247950
127,2,1824688060806485022734,5029649775236582670364798767335418,1068541771922245015579222360279747209200229,637832163202909129375009971924872297237664758778,5323961664462685506594386351701102040292261783607350,3545579603026088173028589268409381765956697331718575223,499741544187526921735372486943966246020978213827950461835,25252628720429839229952987932112743195242573682394504684103,620784684563295529050758713572017065337413769834916097592078,8978835331391897949167862326172257662495579694551953199634584,86664089750198009874078588197749342164103972618008190869129707
128,2,2674210329066991257832,9186765234832162115103885018522970,2257324927465516760682486753873185669357275,1503002702666278889815313507338983766779179390183,13517272823341338013295743826882906436123447573687887,9496419273124818862597723621106102820078994007489531053,1394040873473410234145850690775079972587429120314152452932,72754821963493930065086029475643749898849895922186292180955,1836485964981476001738240348400697683028883720548452361395374,27158077107936705124353021072339755584094897396919962499506017,267136838109930215791399959346242687821806549416123060449662070
129,2,3919245726268287572231,16779823339858036949190241392582214,4768391639086269686678946610419392357220835,3541572022412159242426219106656827266757498974916,34318674841945438395461246243312243937984392142979395,25434319800155242639285754943388948628858896848446276707,3888591093750321077529280264577410058465938780757426316158,209605398728302606083109394049319223375074435931602091601453,5432734909406476072036227468235487675749440927631299564228812,82141236879025562516823826304281658305989373986316641788233837,823399700564377817306096203588981154044804769589275720460269712
130,2,5743933787074772594842,30648699503163407276221893524289442,10072224775399011985402110055273579453976624,8344795894741718116486948232598452000068223197345,87128356759048123783162338110027558862402679575419761,68119003512843893186673759771408792639451068250108293830,10846661209203625015033197282246722556131983375119750132364,603849846642202115741809048609699140313685973395911954979344,16070671430313421183113399113253926079766581310127537775583366,248431693708663698202911336826312965810893991265434067660362566,2537875313876358450957254982185748035502176731528761275764933930
131,2,8418144116141763852550,55980481068506314779623655146215314,21274282714059145269910638540616434357806015,19661607783737687513179624497874726603604940999875,221195569109687311731941874090097150289900735023522387,182433526661624271140696562250526327373384853927282037770,30254306766025282920563312610463708551229236932253138649729,1739568690934578988631802377622250153600614837208619540557991,47537293933100583603248838017312987481699673856702260931388537,751340199088539369402896828902372835796987929400100704151163965,7821910360278215264011451880928620468961558035799372138436158177
132,2,12337389842410051424656,102249481983004158904725780302783751,44932526181652197372420792752187111218268467,46324031037781533556899016079255557100855957021730,561541043801042799006008531218790388576218750384091075,488573063294873346677942515873140163540659661155913018776,84385138129085069151962512287228929526095007557279955285995,5011187304591296204617475223800025727214849297013539172947822,140611268796909542838010215760345567922548133763177683592498823,2272220266743136996225769459017582704013068448593982985949138375,24106750920815498614399780246713918884206282710789839814645495078
133,2,18081323629484824019372,186760715028172728815549640776183067,94895036422477453524498023906511997272695167,109138503380581753324663085350291778852764668568386,1425525716682943068781746706440436143163558855135805347,1308407919744982430144522300364291044951617977297793899919,235359992908929970771994082720194297689296071244563779583801,14435320052442231160262882247058805419053716542510716140166324,415902316659499724106018859052781738795417266198632898127460945,6871455185873545403434825215545531954548485569272555963434870324,74293039798960705253162398885695223488888227288429035566154774139
134,2,26499467745626587871795,341122107913690208564322457628007713,200402557318102571290838869952314984004921538,257119076427969011149915852267234738652549451549992,3618739807015036980260390859385354992214870274318865883,3503852881901120866479602926446531472891460987478917895560,656428634317379543228671540821054713649632564437225608888401,41581410478724357762511967825194293225688464205167732806472922,1230122577621373914511008584543655256943021955315993592430251279,20779342145117286552235985258002774305418364505984600726883045238,228950438757320630419151996093532484757426030732805107223065589578
135,2,38836857588036639296323,623066121881684784101985109086901573,423194939810072968399037437018347952407258777,605725104368913904234606536728893617636910835141632,9186047392314080345812471067997306305344059712816371496,9382917160946488482191875104233869390046472692037168370899,1830757679836964840355098615515066380621312940192084558503514,119773107519736890687424086877589972143736372640539918725410318,3638241865761587588182229247508289726517875661673143951704117583,62834758410313557910411376828526397070576936907804465341884499377,705535760363051927533419142387296723482276558107819042061635154804
136,2,56918181217521463315566,1138042147929045122771012949040120167,893625294265082388294081881092569282664735229,1426928202925616293850592969584508356489178196293749,23317892389319688126359334062383492377992927107319949787,25125775875113351575866030000617448350899558272050241408927,5105790033573746287626246257741191034534903760216520194139477,344990387918261594226032575102519901084766479808879550985568401,10760220093184155439856475370190693533334491775792880201889671123,189999943631054043009818525155357690883536831922105496001350618171,2174107778931024708801465353728350271336620862363469296412964490802
137,2,83417648963148051187231,2078655398626735691041768632446790594,1886898539261412692570666539135530314484448967,3361353926977326043480977135551231486155452819156037,59188788746626972039644850934541504747034447262150176080,67280763963636503380893474649540345286231033963751430541280,14239149094657679624768240676968927075536164351092426475691858,993670778860513101534586234187385291463699077833508122359807666,31822729598692434977139784047209391363544871910274319335402441717,574503451269481716993750499649346606596348335032536933078890334627,6699276136456810869635097349717142975793616853146484882391564864466
138,2,122254506551184690483423,3796702732977303760749998420128337428,3984006817560778940887267173937185760880927972,7917940407318852767060586347516069775185324758356495,150237867349365653134057754992587511414440335506703309465,180157533136440264745923109857082991697199407909930573695791,39709496174701467467506702922657553344130779920027877048967172,2861977077799842274343649283959576326417118114655267401500240488,94111058623723612566313745400591442428582631149726877625546414413,1737071654457911349022693098091187396323020618955376113805969423137,20642378416936860806528755293361098302759730703670844108932124690099
139,2,179172687768706153798857,6934747339854922058062381605985434119,8411439807713270824019774457358280039742653476,18650752711925812755002473126864788711839222977232798,381337409224027924798606547125454288021524944903293976071,482396622531463705089105092688546915700320378509961249219641,110737373062743853885772017689081987004499111710333807316803854,8242864273750857002219970408329971368430762499774483719282074301,278311472118678009811531660040533168950549893727936845125365258185,5252051968179571467044579558876162879269474113020958772418727568392,63602898574627342503486493493434987238035486333219743802862567674007
140,2,262590336731854204985955,12666442163954616969228209857627215399,17758229389330924609053874868335799253340759113,43930578915328104677679706867186925823351399501800723,967898231556236047158754247911784292321157014181205378144,1291655340114982298794651770705073521448071181249466800275390,308804626691620676745828297739043844473492964877666173463157726,23739893273877290124258706371101786870124525230664519528201740519,823017435112888406549770663096560739208239441315816436010844824719,15879131587650388989454515197951420573822746579146896031852046707754,195965519143911353997090470227938982983698137719307944729035249472797
141,2,384844843283038895469244,23135484757492963884581759607748818359,37489386614456455653112534299499329911475316812,103472320360120245879828434933549136397680456205113294,2456634219288862458894190244094428352295607325668295888901,3458436533337758870344432901900541023127266480615784910231556,861119367503251387238586844827761355127502918537644840123024616,68370418052349046324351482676020362296948655566890541557434927338,2433742865871165220672866334451915534765290401832441963761261764788,48007731921275593822173019311284603660275762998091814469485795910369,603765448886092492519909528773951119000998651071408978992023770996696
142,2,564017531051745049267966,42257375787758644449343536066524917551,79140111142670332978638647322329151427656629120,243707230747200809259827721261632078551677040475992525,6235080148092030002032761237048735585135341955068547735541,9259850596641036761041778506181723021317211064727181016615151,2401226467527856435818912297395607680430472728799660971646464346,196900494585502821797554555818762565980661327419280356891502834663,7196615867909964572421318802432308477958937299090471341608699072371,145138485944631514832816087658216828662545670154352496333473553575273,1860128485794478120441462249426703810735394385606165030079991870246570
143,2,826607867783599254253785,77183844522923336342106945651864224276,167057090700787811787829227582446887296575495215,573984104654091994383771055779613385659323802329509368,15824665829723144850122972058322751225136844021637809285406,24792445545974134118208200647390090888911500331612219633122765,6695658822531778416692428945774278345581931600393709530546108610,567041323973740307760613969856954088749270103071675350569245377217,21279928660294815770189996922164860788265020555697976443714061334577,438774309848370663187225565317858376506479609493318742084431760735772,5730651143984744087273929008819250009125096196706718048492137640999546
144,2,1211452711066638149722892,140977646645793512253614335770868634984,352625237699757383545986684305882392306014787330,1351819772145744868964337904582464859055159248005102055,40162268421697053230301998913730572111626343387619707252673,66378309248364291739066407373977971144751431974326384672135943,18669993132415069428273690770301303756257661950009665234120916221,1632947309048866382323389846381534866354042245478829112692159204842,62921702231746494151124497681540862223513612513979015190467460798225,1326438866744972918013993822579528825811816613556370566015320995197609,17654343908116316216392541975685437132208997754526660312341054930039066
145,2,1775470242118383198990720,257498127298012791423160176205579517254,744290313855261563830557413824816131677327055302,3183650965899408897633756175579607162397180730069476534,101927954832580343393665538090479119910804430397941291807411,177715226356199732382320227240103861733425238350605692862274752,52057806027898902818665780851553164483735977765187973851627383080,4702398320440798998596595854649074605479347899114490114954233044157,186045614871335366897423086926272539199987172830928915726649351293331,4009783867621827395923516739469475104635092501587307814207069475498133,54385861704234922960933789754647942976161959155889622612325360292632135
146,2,2602078109901982453244366,470324783518500946626440442894680022723,1570912918768932980587257655065980688428289316727,7497562084385068287687982498571508540640968933307029807,258678289148555599553622666911484320690677788227054383899197,475789580326246203272904988971755177603642739155750043856383236,145150531868096545320473015978232747798774098583802637064646093044,13541184434809898671731440181885977894066128306547238588476904457230,550081851636803549567124413072378055315802096141248727035252486110252,12121115715836510168217734580840123743349839253637552465172230332209755,167535751651179949923467303700092170566380963510057471781888271349961938
147,2,3813530820968620602967118,859056299362577345573698227580608654181,3315453111724387424823009539277888337989913711544,17656430019445350088731808130866818367594614560275482178,656475379435296628974802174820567933446224473352623216333554,1273788267584735263933993290718964606518518210880802610390724540,404708823182716169717439698147266287790825986586170161900429338459,38992771289704513859118225694280165399714370943664298545917317781457,1626388590756688311631379627657334801797701440555785127336155388882194,36639738269286697773720278299666230286655928890591374772128177635546827,516079090261666478753516225631497936091304080130366799077934994338076367
148,2,5589001063087003801957697,1569081003441422239575267059805331330496,6997049806879083009595723971507601692461541741187,41579011520485041625302672195296245813001956749801762102,1665976586032272984192954062601209015791299516304928367212247,3410136645849306185251804334054762465974869432607127481446985383,1128387279940527147597183116141947753882919975215425386223748902496,112279887209390272688350069028373692885506818592159040204256255518238,4808511500161797792259897616500543495268320465537096975987826928235341,110751720135160386886231466789639855092045528617152609162759073704249170,1589690325882027916435578694373546237571452144681025880710360877689746800
149,2,8191079172988986255201921,2865953100852008830401952153543977046378,14766194747099491845547388068914426655843610312192,97911586101668257439529609010011251123844899236158161263,4227771639921332090620868205557903739478046789688789398475968,9129326174711676664056902020090200444459819910695502918463872038,3146048051721564908887310338573597308356442125419379864517052698008,323303533564047426621269589022801199289437049208605315199432197591351,14216298925211981375460868632248620604065137241988947841096923957847608,334762779305077121444028575915655229580455964457341181862546120249461745,4896621336750454329039682442305003842773987249869711516493298238186616862
150,2,12004609993957606858168896,5234711755114051325163662229364866162487,31160471511525961148396965637976403718702333641195,230559432918523120290412382537328715444653698484493617537,10728685404754061308961193881450199005540717837297493344094090,24439833986152917913550967623969039353865945718727602232074209665,8771308178567111979449670442254264870556065259661800775731226602490,930914404952703139926721046647474141430164413051307558906713739368403,42029302953629283883163249940212644376108654440224641038390123181255505,1011841825053711582048498498225813818449380683501136278073972174810044991,15082330211809811327681080901134146324388644923256820353024802350596151643
151,2,17593611057044610660126449,9561289019856146995534120931573397043970,65753897053022008359020132264509463633176011971533,542901204291629639861251941740132854729737905068163562173,27225385776306981218928293449524440478450027902347575154003112,65426025786026557057760275892549102438085201683129923125437984557,24454310427317631599359615840074469861724875841279403426067165655309,2680402773278442211898314092748808206223121811150622761852615755543035,124253257014252478176048632874084976739797357835114897257085188013607129,3058278794777937673735381228841787563463936349346245093049717154749320327,46454577395437452513567151303852157659468563448833317483756151504066923225
152,2,25784690230033596915328225,17463854392191125161968516021730805758773,138746252872127232693636533872914563273141387164154,1278344852060013170352452619083752301880352994781984550435,69086674997812985455239869924120596093425501067133920445018837,175144200953432045637601233384869502441527015944440505917279055345,68177124959296022069355567182651305589400255422791401160595984922735,7717587528914298676615209577205113424427528647345579334504446005224768,367327569883536655663465992146969969416055872871153456572067620820410844,9243377824048633102313138229422493351409985197175537758839690886571911095,143079341103048180953712072456940815198257069503422586094379904859819133018
153,2,37789300223991203773496975,31898021042999613626141948424552539072262,292754482629749837227249734639928718624401957651458,3009988025536173340902371641881483865776613210210678989096,175310298604913863449412933302595191462857670622180494073678054,468850177099470013582862398035676745019545391658552612684527848799,190070331083524686085068325481009820756355957414100979550644327028913,22220531879058481026554547241949912218160376657155697572779695194651114,1085899446291585348327641646084045449735209031909401775466140109686100851,27936610969942721089816938282190810854099683537471827093577077700660094946,440670420133386960729952231586545048081334411517348876233227116655704125853
154,2,55382911281035814433623277,58262264842220726828350894747952776755339,617687199344353103975669730406324534100420196790465,7087143568861659600863074697245238276556741661278822370996,444850029097311532993153827665475876102993579686090979330949444,1255063413812034861993810515041405495193734235857332376072554742753,529886110873167459215927485517123068341555503357915399708220320668102,63976267355525490719033558265895813898332443516502672998047613927152644,3210082747090150325546979479720269940050855923009941161428673219775390343,84431851200499184124833371613936246759139519490263931941541925727874464723,1357186761404055019527438501755632938088458035380018249535888249074988542277
155,2,81167601511069411348951354,106416990151271957199241736837106968198808,1303216689855519376731514083860358408384621820362295,16686590697984209162316175492594459716256190047607973421850,1128789694590232339984336221156050839261166515359545115223404466,3359624017439737143167513765118969547582400125881540790378831462453,1477214167967892000081712785525058712470325985282940241523308670131014,184193831910307274758476307976242779707667869642393978087598158941877941,9489286452215484824375786461897162182886497738837757022467062274091328204,255169444812690614723547536143092594151340680736684343953161114150398845004,4179788142745616063348669678014229412665915721353053260734683264763766293883
156,2,118956901735060615122448180,194372386196974933085850671005166045234105,2749462953410639497227627473061656927382499223605174,39287474300259424022745453859294503414650442188275678806139,2864216391668064732259266075420246470786157923579549587344283746,8993096679541825323542083988315094919473984158638117413248347351108,4118103697340045875025192335476356578982344189599900772622789022250154,530301892581628044194612478555838630417113419723437316381280239436573322,28050575743089110630952944747540409108829585350493923575410884384804359901,771153754433082953531345224465063080666643034473680554971046705483456622326,12872356332797443992803395584075998520783766090603178296269993826682275170320
157,2,174339813016096429556071307,355024356356998346787301548365820058511742,5800461352325371847907808841266121418233798653215560,92497694927244130486317076673741861200906882472329952400829,7267618943575911558438304767850795243040163990888898612518597744,24072521091040590049111295683815460163158107601381935579878147052074,11480059444152558488662791619393518106844740751389320422590129190377849,1526733898500216119090707226752371635630744291305011309989496032410545598,82916521031473792864745959168731105362508945065970654556750387205606706603,2330469475941158906606103223548330490234082958703734115097731414549271987264,39641597831891077004496461396065626842008112307293243404893580094096135061494
158,2,255507414527165840905022510,648457801697531113687179487839730658756748,12236602246322595578288812764243657502674834250267238,217770074434221443165478790143699061369620603569706627987264,18440477145826958716643896106332689618334863967865000817604289455,64435880230003111662103377299795452598204180328879134839533916596594,32002521268814001389893076824571428250258880327337637609404360565989546,4395373256406859592761357497155578698487325473500533001381517954996260400,245093393961294275635945601755016714597376239885041469882735506533870518957,7042651069165996136718068068165767739140878944844630429507001649848055258508,122076970941426642688153962480118666628176738959496637188288581495033411496915
159,2,374464316262226456027470538,1184418766561155777978231347522731445512322,25813268619625778767737564518448915952803474027031577,512691550455871877372777428922949841931236163193091536742132,46789240003712009867920825890879852169834700343595646851910078920,172475723459822026614742102612222152677287920170151316154132490121741,89210834868921603707185046594807333199565414701562956310379439700742360,12653788652754178906528007311716955096036726018766115406402761130487014762,724458562739304676260138166776760392877809471943871016991258139891635472779,21282341592616418888161036313394484222102459374774899155735984148888177032371,375929157850986160567640282023976600659640358341104135348407089933336600193235
160,2,548804129278322885583541692,2163360173948588978092029653295195374381847,54451420823586454801160245060174944540552526096520095,1206993605468250237386123512317755969112542001782295213319304,118717243048704650127975902777087172590864915500530768848190674856,461660104243254109658321726341674952973230283089773680977064478352108,248682091333379908087157864560853750000942348477965703153186494758044404,36428219999381798606261962588420978070259685136726135469135738535929109299,2141347098225929427451431110576909050682562828478972846589829912769270266472,64312190713454239324535372559867013681254928965784248061107951530920440757674,1157625612421530975958995275602539231815692500394612929506115614125893312357411
161,2,804311543805488726488564048,3951412520466180277704645774936142668388124,114857588398301560788535328447024705576057812082096627,2841481294398321354925870713263128560144712638745093370617305,301214399166599689280004915025863033751085174052723027212479864225,1235694212115385233679914817837625445137879784356512341533715337040367,693210386238389700994891918802633894567206099547189356087625151383228658,104869219973563657077009676110471026284873061552354464065317101013850458764,6329251093441792033401936687041487786973375750885896822314332140939075526311,194338130615070791289681817272961562753296085604968686260360426269153636252134,3564677634297701536156402773907573541257268974737102290025020611170309394036497
162,2,1178775860067715182516034431,7217319053213323462255507704917620659448384,242267206087214216064443316915834727346986480952253620,6689225348952490924161436321372247209923586081585585679868843,764243769970537162836204350939645833228787601827523051628259623453,3307456266645172004911021590478255821742546207022644144107087055107566,1932321538453687441065386893509329162304171060840765451620784520116584455,301891571057068275213007889451728796905066246787010196557027061400891192603,18707229583621289051486115856581562878536112907412269047803685221243309754614,587237424671618671218787437434993761182948440103301717056001786536854846025149,10976467160940173916285977108020384640903379838799391413567398874084182995215818
163,2,1727579989346038068099575967,13182550064155871526851036927765901274974240,510992145524910213531572453882366183939621134204329422,15747013957495795865065873178264502557945256547717318800695298,1939020812236672243443112235240582701058117900156477510382637852124,8852618914638818899020872687067918206430437354972656219162960556668682,5386264169916488702375768804549197096674094376926153101366792482265463347,869054368424913754781970735693897015134729424671549795543684074909878085541,55291538764272848935584800077613345436230416042399017515592922766170695600098,1774436972173818943252293941426842172444950844226558778668774663465634347628734,33798331006254369245868922944954173899127771173687120875423828104866265592776710
164,2,2531891533151526794588139858,24078140651193292783425766403625977862744520,1077751576364142905217061090588059925702647482015993653,37069106785223349286245181926972825933059267657752648368484478,4919574588558445473124526040972115936106497879189526396874161409801,23694312724636890438740005539153670550993506998916501291856317586294144,15013776968364493345854504848601410153458969148259290650365757662718667638,2501704787188636808840476143781570083146957287568193983974160360994159242821,163418070347715833032919230659870130877810097867417877702872494842291573727692,5361653396364222342650816062251703502383229919678008405191684055557020632202216,104068295168340100191928825528904095000224016652425995029653800136267660238369992
165,2,3710667393219241977104174131,43979112191411323238843934349959458819393213,2273045587639556720231988444833188644910637862581020648,87260503336042285641016726738539419317928787716799243010287944,12481514086471571349004022359300495033011501793354633293021702789668,63417815038473123030308774026360899733970778251563974093661428870526041,41849132259363070721742517991736492378382639482812875669795968762153217632,7201425395248919261558825363790694689949653062407412338003416501817390210907,482985206651873899039629621715107521939807829315571947646879069363126013084776,16200497555652278886513959737692499639976062956689298730753483203502862892371619,320429355331705837312442923698711514704416289092666228084806888973598501535130773
166,2,5438247382565280045203749939,80328556487261584720467088821688292694685461,4793832412450821242560044607553365354235535781113773803,205406955683774980776214606868204519866492058274124554028105920,31666623572314271425366982677945689660866437246931123221052785274741,169735766880741627112486210140041743030056554732758746409932097224817305,116647992650033885266409688912758197656756361455397718434208048820702250812,20729761385551517321527315455482150759532180033621422151435321764357412374355,1427447270943357734136562444617566880920734967533460579242704548216604402762384,48949648897081206036108504544342316909602352393643205963020871793040125913086937,986590610654170975366745459510124396905768310173696028710487896148619263944421909
167,2,7970138915716806839791889637,146721399776163559065240275660313194021372578,10109809062488013537474512077308498798091486408941839624,483509010090671028757793953400340831282540923930632635615796042,80339872028817586979971650961566346816811273545609195136530805112208,454287209946190352021920015913807638747917087974675644402911470010422750,325134101077289403043039203215344060450054999833372345290402969579420571655,59671053513279776088647781809706063407381758316168981351556568954766145022285,4218703053700221185738862230082803539116497381829131549671596834677392192760026,147898090932726398203906797597795731103622173121911332798515450380205104869570078,3037614366234582489286773686149986588237004489979724622783485387774568486564065251
168,2,11680806308936048816896063607,267988992071095197386068321753770961728291348,21320070802231364708815577584043090768731428596152195606,1138114981964124325248620049218080088845646579410857933277443091,203824092585302278887562008125763838428757787079716022897730518908107,1215857894281451089404857710838859083379245611120690942860325692809664516,906238142173610112725883097584082115215220499496952392283182363711752580575,171761887767852270177259081255812747244164790935492891239136474335746230475270,12467822659907142769979168655688638221501548966629447777720901198425624694966183,446855861996627849255193500664137851989616470913814348085864679793283310803417922,9352321452404551649606495511026103932497649033590937095780512709450962675951680786
169,2,17119053691501328862099813384,489486190582954900916314193287074891618625571,44959356927764361569696267833602805062011765546138319848,2678921573827048231563695117381054837254588453617369774748290204,517100574884306734351745905612838124746961452657485668652357670998650,3254096341194574448844029134503489842934435982659739582466716316182307130,2525903961321772024388296616881743856857047419515685190085913899001276166292,494405995717402066869362325932072029883294618323483628894372814715148072750492,36846410661890740484330137250134035398073126178000935348068859414985130640511195,1350095213511884523105741660885651171522702509867281458215480532535050336349450781,28793700785222702320759833415525590937621256975983942153626557496175909420206136130
170,2,25089192607218135701891702858,894054365416661258970256322346143797767961344,94806359512553656525622904333258526067003686589750685626,6305598199923270363318302891502804921165758121098565540127614885,1311866848262804467233706498959966123271974092374314629252336093090456,8709102110114813481244487896854743435971066481678463535048834743078990196,7040218364435491163266911721296475757763204877654038923663548800354282783454,1423097330434730180099317307298977758350700010642528855104137202178762754608723,108891205637368176812382189783200647657446502717419233875880274987585551353280753,4078998277579237084190598426180715385386783112310902077846078097711393428547212006,88647596797141935988284861612875314689065077275663505983396475265274924224219625899
171,2,36769998916154184518787766301,1633004599298069860516752058579444236491650495,199912960716617419487563355857356967673033677920043202099,14841751745526449419669618636300793626346320984438826056623549783,3328126593972089841568573141336860157002464777821599836823343533472466,23308367324254578073444565665800261095945805294574050409384906173422001299,19622319294663547356814666000165939264280139123980388962239458820735922105341,4096184906538013996350155306418501505871609016412663093293062434544979000637651,321798193590094470217694012984975026938779575378421435257579567061590301644457170,12323525541112162828315306054520956222865988914273737154547244113230093910578098819,272915376025344062789222129893422984383300326016359209690049631804267360327627191535
172,2,53889052607655513380887579520,2982708994403320743154856018767732173566185013,421532146276333837397718338139355187217581745124785088804,34933069362373490020881606797921331213949630783444406721615850921,8443166783457206173682246031096068758179311835283574034378620350626471,62380079595678928802985307889944390838758849621877739502181244623674259526,54690207491426537550068836646352159724135298407340787458978626969223447221834,11790132781752957918088349969495583008270922266189655072792959330983973094327113,950971940937328371805288961443989907170271343744768859112338676671507814333306732,37231357771279511437739532025633706162432363372044709853519335630449899654377026568,840196251182826529311333004919897551130832033788296688565023926653327853658017089815
173,2,78978245214873649082779282212,5447965593372408569538137427046008933021337405,888805800257529087157727063681679865000683117472259400697,82220701653439502496328862187562380168161889725419541560885595826,21419358232664300855282239488838434587107649188535202162390657924764879,166945876707757503479539042827048125402550702934540431077331651663840001521,152427714186461862579123197652912632455791401968775733930531214366330414907210,33935335829499676362561063789326061809565582955041732808168568153596568435828784,2810251804041575419939765106241003253225086747232162143989270999767172212050987031,112480015809863172434105433911466550548019386272942994632262779094794318716145934288,2586576379482256571376924297957388112954594709649549736972184217153709735711755704447
174,2,115748244131027833601567048346,9950796048861500703361004796195485681049013096,1874000287585451617322912309968268435437099956481736646364,193516763910712090837753876421989194528558092885407139534004810451,54337943496017831695947043526543057357104395984333113943827609592167903,446787764156386264835172980518347644937514925798685045057190947450911849804,424828400542581428059505753722397301604611208137390307100977539577023135122175,97674238449904816006213645713402885929412088739620156191194759461973163268234200,8304554161000025956800840163836650438858803611184603238879827160066789649613282049,339808768301383377678356570100852890663843326702766138218053276165712746850788624747,7962727273995437676644587774685724722855847918996264064732819637613361583758777969982
175,2,169637296738683346982454627698,18175287563389536002610908638352828820553280240,3951110515296937814057750447444425698329234104454698067552,455458822481045335703514895677591739890715164994374372482433141506,137846485667821944230983642511398655160467930370026732973695054174775394,1195701414331602274277923958487886645581200324794897806618366631063411074264,1184018508584158263039327423875866956331912608035872943525047770391979866192212,281126933962707060462832093470908739189956363828207667139482979401796369217893550,24540368692127277840373615821305097396835172526201158844255472561941979832831563428,1026565437193393976713142032632843303749583340863035038965810512096507805525067960942,24512661733044568368488248784443047656238355694131443484619291922823592495907694920070
176,2,248615541953556996065233909741,33197452162937584452988307059948251322436613611,8330203447730472048951663575869438798042389172341893415929,1071945941342868322013218725529138897269537296970160571319588349043,349690676697954620683037759267113254387065677531926542962406016796506879,3199928010977079609891015113820124578315190195695086325188629881144017198132,3299885609644457105677266516358316401103274135949864441889488461268653445974701,809132282158754012470043608214808102373657786573896508903900725609251547583281807,72516968008089133623631901334944303994522657851989162848716454407095034632471828261,3101213488602111893043467877096111660516511143676863580998581204493665728528321086496,75459049135425762087888970759091298569059253279718596530731538506945326193576174978385
177,2,364363786084584829666800957917,60635674647815868226434313287856475339140902061,17562207291331640839579014303559729621485170681532258273034,2522841773461012947974143444185587683258281762847389468842806606656,887091377622434787260955135946887045008613720236415671861175164077645442,8563548442844574305848913224073000311943256036753265233128782041962984899464,9196759375520910404000501028019837681821094086607290965237235447415725668914085,2328795533434836503432505349084365242144264965055325541609340540746866208245593378,214285162487241601800135044912974760444639486282228975246027155802522712644775297988,9368493958547864528707899026480398317125123049947405658258023691011814966686150566369,232286802517254267848920011146152163428700335033814514083752825835661364559008358759204
178,2,534001082823268176649255585444,110752024010293061288684751163502137754761935684,37024550947176042290244888437038379867222203738995936275875,5937459071099297263026112598819506102326941093798042757581799821895,2250342926876945477392518477779902685840806844143920530267707588999254525,22917301876513701592391229021196948155018856014659419366294257763071397209212,25631050336310017381379843346404146908515361566303638809336464825599861501050985,6702519005608292452550050993837105435161968548977969355953270580220280639465189242,633196617132122515545088602945471796225891146038604929150015314894063705359555457617,28300956126346182859445169963696424733396193787274292362532712036416546156859709317086,715039804300224241695910604192726581734922266043013353053563533182486967866186779814314
179,2,782616624776825172714489495013,202290332033897986185239479672950060411047604882,78052687114564937741853753698738629282315024933432300028222,13973488775444483157757881303933149190032139262438734689707849421380,5708541784394362390822841757123772227801849669118680325561948696377670367,61329507380327716811887407867856733839864414928154073545203046801497942062846,71432149612081101699183902435919587705534886976972954421407371792550501539911539,19290332616902993360456248292507765174317035889630617722789967494215750524357267231,1871023337541639860034857217006974410742432840117413789513983230120180926091023965992,85492056183463221897790671099541132258172773772244091575272297828117426049886937689882,2201042850389191679076492352197613661503813330365309635077137103109728607812776617057339
180,2,1146980410861410002381290452757,369486504648271198106171048419206395004728326556,164540730890159698422934209853819170968293930229419071789091,32885374760139859450163162391559941876586038407241436391957927813527,14480977710277590554564817373198997019786562609579054042720997455118515164,164123895821430867521595786805404355868586706204675026904716482351581988684169,199075064245101831218932679918973511164870365345885852210002152997655959944910278,55518336722876644775029909594508384942348643316915507558652713255674591578102614726,5528585945705094747814277181448739392183656100838605854280365602194221273810129048827,258252098546144898440405790716673062055174723708524841485998706637994839696974630240632,6775159011796015784914483114843400774890747576931215445674298289539098786419211100366755
181,2,1680981493684678179030546038027,674872966623714643789042025081089678155057306846,346853940010722129843310048868615002525767169514340602736113,77391734305565993517259774975739111644974744350191050577049592612902,36733887653598214793644311876375918672038953334888295020145993519450188782,439208354482551371771466813870496618587136808440512571615167045602416127008569,554799331456202594006179556627746792488145968386384274720031762937066237640247206,159782180906180840607324444373617434261879998298237625570112573777118013551144932392,16335907862451955894414807598540620601602187980968393783471363061399948539992362229962,780109400322254331864478484962617114400020212572077839973124662217237011688314179252776,20854669914147313079814801393834622825632408280291148071898286217424614093736601632713119
