n,degree,coefficient
37,28,1334176253052
37,29,2192208122097
37,30,3493086657297
37,31,5395164601330
37,32,8073208730147
37,33,11696982476657
37,34,16398081630063
37,35,22226514476382
37,36,29103104031990
37,37,36778066492377
37,38,44809862773473
37,39,52578467025979
37,40,59342716718344
37,41,64341208420790
37,42,66922592515994
37,43,66677781784889
37,44,63539350916740
37,45,57816696083671
37,46,50150755380735
37,47,41395318091766
37,48,32455066446180
37,49,24124131372255
37,50,16967206004421
37,51,11268813680175
37,52,7052417458506
37,53,4149804641040
37,54,2290494638344
37,55,1182918790683
37,56,570069663255
37,57,255599038463
37,58,106271613949
37,59,40821577139
37,60,14425604480
37,61,4666720780
37,62,1374048620
37,63,365662484
37,64,87206229
37,65,18440664
37,66,3410540
37,67,541739
37,68,72064
37,69,7735
37,70,631
37,71,35
37,72,1
38,0,1
38,1,0
38,2,37
38,3,36
38,4,701
38,5,1294
38,6,9588
38,7,23696
38,8,107986
38,9,298466
38,10,1044621
38,11,2920148
38,12,8756005
38,13,23589438
38,14,63806728
38,15,162594464
38,16,406245346
38,17,974069014
38,18,2273001183
38,19,5127257508
38,20,11235297945
38,21,23870438818
38,22,49258490658
38,23,98682184672
38,24,192047385722
38,25,363022746916
38,26,666633115204
38,27,1189086140396
38,28,2060045304267
38,29,3465609455042
38,30,5659891051120
38,31,8970305172464
38,32,13790977902764
38,33,20556739903526
38,34,29691772964121
38,35,41529596480084
38,36,56208560312481
38,37,73556132984754
38,38,92986626804858
38,39,113444915534048
38,40,133430308262000
38,41,151124525105808
38,42,164625478002508
38,43,172256899353892
38,44,172892371022397
38,45,166212826659406
38,46,152820642182760
38,47,134164843111072
38,48,112284004297011
38,49,89428664794026
38,50,67662333626466
38,51,48543831149160
38,52,32962120723602
38,53,21141471293616
38,54,12782061150106
38,55,7268955335424
38,56,3879270271948
38,57,1938042834366
38,58,903958240781
38,59,392487275536
38,60,158113753956
38,61,58880428088
38,62,20183020240
38,63,6336845408
38,64,1811771973
38,65,468427520
38,66,108586633
38,67,22328548
38,68,4017237
38,69,620942
38,70,80396
38,71,8400
38,72,667
38,73,36
38,74,1
39,0,1
39,1,0
39,2,38
39,3,37
39,4,739
39,5,1367
39,6,10360
39,7,25723
39,8,119492
39,9,332829
39,10,1184254
39,11,3345010
39,12,10181544
39,13,27768251
39,14,76209332
39,15,196850607
39,16,499127686
39,17,1214359199
39,18,2877401026
39,19,6592295302
39,20,14680395402
39,21,31710649657
39,22,66568416036
39,23,135740924219
39,24,269055189423
39,25,518340931858
39,26,970803581234
39,27,1767483873276
39,28,3128081344534
39,29,5380564646653
39,30,8993337688332
39,31,14602719021329
39,32,23026009525018
39,33,35244814248607
39,34,52342508293754
39,35,75380027717668
39,36,105203415280304
39,37,142191185745329
39,38,185973253609716
39,39,235177812550187
39,40,287283383574927
39,41,338657032183512
39,42,384839102949526
39,43,421084309946214
39,44,443096966593908
39,45,447822746118955
39,46,434109143780892
39,47,403047556572503
39,48,357874171499077
39,49,303422445755929
39,50,245250871345248
39,51,188667623565231
39,52,137899471819053
39,53,95595005707872
39,54,62735848526284
39,55,38901993140802
39,56,22747367966795
39,57,12516198778483
39,58,6465672308632
39,59,3128216736734
39,60,1413737693134
39,61,595055853100
39,62,232510481504
39,63,84026245116
39,64,27965975137
39,65,8529838672
39,66,2370345462
