m,u,v,g1,g2,g3,H_discriminant,G_discriminant_formula,G_degree,G_all_real,H_all_real
513,1257,434245,1538,788250,134571452,-156931,-74795298784,3,False,False
514,1259,435728,1541,791329,135361016,-157831,-75436364059,3,False,False
515,1261,437491,1544,794414,136153384,-159843,-76879388064,3,False,False
516,1264,439263,1547,797504,136948833,-159356,-76862410279,3,False,False
517,1266,441022,1550,800601,137747391,-161332,-78292761591,3,False,False
518,1269,442758,1553,803703,138549074,-160671,-78150614083,3,False,False
519,1271,444429,1556,806812,139353930,-162275,-79320325068,3,False,False
520,1274,445994,1559,809926,140162006,-160900,-78657418744,3,False,False
521,1276,447788,1562,813047,140972973,-162976,-80177873359,3,False,False
522,1279,449573,1565,816173,141787075,-162451,-80136987468,3,False,False
523,1281,451341,1568,819306,142604326,-164403,-81579533036,3,False,False
524,1284,453070,1571,822444,143424754,-163624,-81351384740,3,False,False
525,1286,454576,1574,825589,144248549,-164508,-82007984359,3,False,False
526,1288,456393,1577,828740,145075183,-166628,-83593381839,3,False,False
527,1291,458202,1580,831896,145904981,-166127,-83572672451,3,False,False
528,1293,459997,1583,835059,146737955,-168139,-85091152492,3,False,False
529,1296,461767,1586,838227,147574122,-167452,-84930840732,3,False,False
530,1298,463465,1589,841402,148413535,-169056,-86150045543,3,False,False
531,1301,465077,1592,844582,149256214,-167707,-85486487468,3,False,False
532,1303,466908,1595,847769,150101860,-169823,-87101930211,3,False,False
533,1306,468730,1598,850961,150950707,-169284,-87056247711,3,False,False
534,1308,470533,1601,854160,151802771,-171268,-88584250111,3,False,False
535,1310,472295,1604,857365,152658080,-173080,-89991391780,3,False,False
536,1313,473840,1607,860575,153516816,-171391,-89052404139,3,False,False
537,1315,475694,1610,863792,154378459,-173551,-90735472899,3,False,False
538,1318,477540,1613,867014,155243332,-173036,-90710765484,3,False,False
539,1320,479372,1616,870243,156111447,-175088,-92324053527,3,False,False
540,1323,481176,1619,873477,156982824,-174375,-92144441763,3,False,False
541,1325,482899,1622,876718,157857522,-175971,-93407825388,3,False,False
542,1328,484559,1625,879964,158735529,-174652,-92748488583,3,False,False
543,1330,486428,1628,883217,159616579,-176812,-94465966143,3,False,False
544,1333,488286,1631,886475,160500898,-176255,-94412002755,3,False,False
545,1335,490125,1634,889740,161388500,-178275,-96031956400,3,False,False
546,1337,491918,1637,893011,162279418,-180103,-97509804371,3,False,False
547,1340,493504,1640,896287,163173819,-178416,-96541973199,3,False,False
548,1342,495395,1643,899570,164071197,-180616,-98326648399,3,False,False
549,1345,497278,1646,902858,164971871,-180087,-98297668451,3,False,False
550,1347,499146,1649,906153,165875854,-182175,-100006351931,3,False,False
551,1350,500984,1652,909453,166783167,-181436,-99806276583,3,False,False
552,1352,502729,1655,912760,167693879,-183012,-101104426207,3,False,False
553,1355,504442,1658,916072,168607935,-181743,-100467838491,3,False,False
554,1357,506348,1661,919391,169525116,-183943,-102288272491,3,False,False
555,1359,508243,1664,922716,170445632,-186091,-104081438464,3,False,False
556,1362,510116,1667,926046,171369500,-185420,-103937646220,3,False,False
557,1364,511940,1670,929383,172296753,-187264,-105488390751,3,False,False
558,1367,513568,1673,932725,173227544,-185583,-104495091739,3,False,False
559,1369,515496,1676,936074,174161383,-187823,-106385386299,3,False,False
560,1372,517416,1679,939428,175098584,-187280,-106351851536,3,False,False
561,1374,519320,1682,942789,176039161,-189404,-108159620327,3,False,False
562,1377,521191,1685,946155,176983137,-188635,-107934468588,3,False,False
563,1379,522956,1688,949528,177930591,-190183,-109260214875,3,False,False
564,1382,524724,1691,952906,178881420,-188972,-108656657868,3,False,False
565,1384,526667,1694,956291,179835458,-191212,-110584056908,3,False,False
566,1386,528598,1697,959682,180792898,-193396,-112479575624,3,False,False
567,1389,530506,1700,963078,181753757,-192703,-112319640931,3,False,False
568,1391,532361,1703,966481,182718071,-194563,-113945502736,3,False,False
569,1394,534031,1706,969889,183685978,-192888,-112927039844,3,False,False
570,1396,535997,1709,973304,184657003,-195172,-114930537807,3,False,False
571,1399,537953,1712,976724,185631458,-194611,-114888634604,3,False,False
572,1401,539893,1715,980151,186609355,-196771,-116799219404,3,False,False
573,1404,541798,1718,983583,187590719,-195976,-116551047943,3,False,False
574,1406,543576,1721,987022,188575648,-197468,-117878558300,3,False,False
575,1408,545406,1724,990467,189563969,-199160,-119393110223,3,False,False
576,1411,547386,1727,993917,190555590,-198623,-119375544571,3,False,False
577,1413,549353,1730,997374,191550680,-200843,-121377238096,3,False,False
578,1416,551296,1733,1000836,192549256,-200128,-121200238736,3,False,False
579,1418,553180,1736,1004305,193551359,-201996,-122896205743,3,False,False
580,1421,554894,1739,1007779,194557106,-200335,-121860186475,3,False,False
581,1423,556897,1742,1011260,195566044,-202659,-123977667120,3,False,False
582,1426,558890,1745,1014746,196578478,-202084,-123930485832,3,False,False
583,1428,560865,1748,1018239,197594422,-204276,-125944026344,3,False,False
584,1431,562803,1751,1021737,198613901,-203451,-125667892108,3,False,False
585,1433,564587,1754,1025242,199637038,-204859,-126968395532,3,False,False
586,1435,566487,1757,1028753,200663569,-206723,-128700376800,3,False,False
587,1438,568505,1760,1032269,201693498,-206176,-128682138784,3,False,False
588,1440,570508,1763,1035792,202726964,-208432,-130793899168,3,False,False
589,1443,572486,1766,1039320,203763983,-207695,-130598889595,3,False,False
590,1445,574397,1769,1042855,204804603,-209563,-132359154096,3,False,False
591,1448,576157,1772,1046395,205848914,-207924,-131314043800,3,False,False
592,1450,578197,1775,1049942,206896491,-210288,-133549754839,3,False,False
593,1453,580227,1778,1053494,207947630,-209699,-133496987372,3,False,False
594,1455,582237,1781,1057053,209002347,-211923,-135617104332,3,False,False
595,1457,584208,1784,1060618,210060667,-213983,-137595773987,3,False,False
596,1460,585973,1787,1064188,211122763,-212292,-136484069567,3,False,False
597,1462,587969,1790,1067765,212188204,-214432,-138546408432,3,False,False
598,1465,590023,1793,1071347,213257169,-213867,-138519747148,3,False,False
