m,family,n,cells
6,301420827902976,9,23
6,301421073678336,9,23
6,301421075629056,9,23
6,301421077595136,9,23
6,301421109183552,11,28
6,301421111558144,10,28
6,301421144702976,9,24
6,301421144719360,10,27
6,301421144735744,10,28
6,301421145104384,10,28
6,301421146671104,10,28
6,301421148766208,8,23
6,301421178126336,9,25
6,301421413007360,8,23
6,301541065098240,7,17
6,301541081743368,7,17
6,301541133123584,6,17
6,301541332877312,6,17
6,301541370101768,8,22
6,301541401559040,7,20
6,301541401559048,8,22
6,301541407850496,7,21
6,301541474959360,7,22
6,301541676285952,7,22
6,301542675054592,7,22
6,301575441629184,9,23
6,301575729840128,8,23
6,301575731938304,10,28
6,301575761297408,8,23
6,301678520057856,9,23
6,301678520961024,9,23
6,301678521222144,9,23
6,301678522008576,9,23
6,301678523974656,9,23
6,301678537737216,9,23
6,301678607728640,8,23
6,301678771700736,9,23
6,301678838939648,8,23
6,301678876164096,9,26
6,301678876164104,10,28
6,301713235902464,10,29
6,301816285757440,7,22
6,301816348672000,7,22
6,301816549998592,7,22
6,303474134876224,8,20
6,303474143133696,7,20
6,303474206048256,7,20
6,303499906646016,7,20
6,303637381251072,9,26
6,303740087574528,7,18
6,303740088746496,7,18
6,303740091499008,7,18
6,303741163536896,8,23
6,303748678418944,8,19
6,303748678566400,10,24
6,303748695080960,9,22
6,303748695196160,9,21
6,303748695196288,10,24
6,303748695203840,9,22
6,303748695228416,9,23
6,303748695457792,8,20
6,303748695474176,9,23
6,303748695490560,9,24
6,303748696522752,9,24
6,303748698210304,8,20
6,303748698226688,9,23
6,303748698243072,9,24
6,303748698611712,9,24
6,303748702273536,7,19
6,303748714856448,7,19
6,303748748550144,9,24
