m,a,b,N,D_N
4,1,1,13,263639318960
4,1,1,14,1033548404592
4,1,1,15,3949932965643
4,1,1,16,14760454013091
4,1,1,17,54069592150860
4,1,1,18,194566637395760
4,1,1,19,689009600605249
4,1,1,20,2404868467671384
4,1,1,21,8284044356536880
4,1,1,22,28195435090046000
4,1,1,23,94915647196721000
4,1,1,24,316303487302547745
4,1,1,25,1044280562455224864
4,1,1,26,3418057519815548764
4,1,1,27,11098387422383886835
4,1,1,28,35768448650939377435
4,1,1,29,114476710715959289376
4,1,1,30,364004694949370048288
4,2,3,0,1
4,2,3,1,154
4,2,3,2,8454
4,2,3,3,274197
4,2,3,4,6452810
4,2,3,5,122452568
4,2,3,6,1992451272
4,2,3,7,28895370354
4,2,3,8,383300840307
4,2,3,9,4735824577154
4,2,3,10,55221652028270
4,2,3,11,613695267467919
4,2,3,12,6549374437279380
4,2,3,13,67517060450556640
4,2,3,14,675517915536932512
4,2,3,15,6584518995361062756
4,2,3,16,62723883587489525061
4,2,3,17,585452496946005918138
4,2,3,18,5365961708053406101894
4,2,3,19,48384228075791771935849
4,2,3,20,429879935041300872504222
4,2,3,21,3768508044530704420291032
4,2,3,22,32635042963679990330081480
4,2,3,23,279473032540590562822039190
4,2,3,24,2368811985761783538516847671
4,2,3,25,19888599342802744581106238082
4,2,3,26,165527269635083541080428462734
4,2,3,27,1366475945105558881637325979235
4,2,3,28,11195617360782082360658001111080
4,2,3,29,91081320710903154757344262952832
4,2,3,30,736115105225768729581480158344832
4,1,2,0,1
4,1,2,1,98
4,1,2,2,3384
4,1,2,3,68398
4,1,2,4,995813
4,1,2,5,11625516
4,1,2,6,115874856
4,1,2,7,1026044460
4,1,2,8,8289364545
4,1,2,9,62254691422
4,1,2,10,440569747280
4,1,2,11,2967956702802
4,1,2,12,19181324067157
4,1,2,13,119652062420984
4,1,2,14,723913874679600
4,1,2,15,4264627647367584
4,1,2,16,24541374410338977
4,1,2,17,138324426836868090
4,1,2,18,765337791754628680
4,1,2,19,4164712551504981014
4,1,2,20,22325328515295446949
4,1,2,21,118058486531798827876
4,1,2,22,616606589981744266520
4,1,2,23,3184116243545043567540
4,1,2,24,16272027871246380586977
4,1,2,25,82360965294223180109622
4,1,2,26,413183528437041571795488
4,1,2,27,2055828714328769472416890
4,1,2,28,10150892775624965780744405
4,1,2,29,49764593144385500624305776
4,1,2,30,242347715830197681438743008
4,0,1,0,1
4,0,1,1,42
4,0,1,2,594
4,0,1,3,4719
4,0,1,4,26026
4,0,1,5,111384
4,0,1,6,395352
4,0,1,7,1215126
4,0,1,8,3331251
4,0,1,9,8321170
4,0,1,10,19240650
4,0,1,11,41683005
4,0,1,12,85408596
4,0,1,13,166768096
4,0,1,14,312203232
4,0,1,15,563178924
4,0,1,16,982981701
4,0,1,17,1665911754
4,0,1,18,2749500754
4,0,1,19,4430505387
4,0,1,20,6985558206
4,0,1,21,10797503640
4,0,1,22,16388608600
4,0,1,23,24462014850
4,0,1,24,35952994935
4,0,1,25,52091785746
4,0,1,26,74480004522
4,0,1,27,105182902009
4,0,1,28,146839977384
4,0,1,29,202796770176
4,0,1,30,277260956544
4,-4,1,0,1
4,-4,1,1,-14
4,-4,1,2,90
4,-4,1,3,-385
4,-4,1,4,1274
4,-4,1,5,-3528
4,-4,1,6,8568
4,-4,1,7,-18810
4,-4,1,8,38115
4,-4,1,9,-72358
4,-4,1,10,130130
4,-4,1,11,-223587
4,-4,1,12,369460
4,-4,1,13,-590240
4,-4,1,14,915552
4,-4,1,15,-1383732
4,-4,1,16,2043621
4,-4,1,17,-2956590
4,-4,1,18,4198810
4,-4,1,19,-5863781
4,-4,1,20,8065134
4,-4,1,21,-10939720
4,-4,1,22,14651000
4,-4,1,23,-19392750
4,-4,1,24,25393095
4,-4,1,25,-32918886
4,-4,1,26,42280434
4,-4,1,27,-53836615
4,-4,1,28,68000360
4,-4,1,29,-85244544
4,-4,1,30,106108288
5,1,1,0,1
5,1,1,1,174
5,1,1,2,8745
5,1,1,3,225511
5,1,1,4,3813082
5,1,1,5,48173784
5,1,1,6,491753934
5,1,1,7,4266355665
5,1,1,8,32565113086
5,1,1,9,224150743960
5,1,1,10,1416825021690
5,1,1,11,8338126550481
5,1,1,12,46178908061740
5,1,1,13,242727520959264
5,1,1,14,1219141163845044
5,1,1,15,5883899977076157
5,1,1,16,27412694227403901
5,1,1,17,123761418405246570
5,1,1,18,543223507569521009
5,1,1,19,2324533278707944986
5,1,1,20,9720571154249895720
5,1,1,21,39805441020180113600
5,1,1,22,159907330325576015000
5,1,1,23,631181048828900362650
5,1,1,24,2451333930615704128995
5,1,1,25,9378826504969120102134
5,1,1,26,35388967408205061977711
5,1,1,27,131821456483183580182955
5,1,1,28,485160107985312955033704
5,1,1,29,1765667722294285770499968
5,1,1,30,6358709433648320292119576
5,2,3,0,1
5,2,3,1,480
5,2,3,2,65439
5,2,3,3,4516512
5,2,3,4,202262788
5,2,3,5,6713199360
5,2,3,6,178904559132
5,2,3,7,4032481720608
5,2,3,8,79663338617841
5,2,3,9,1414926457561760
5,2,3,10,23022835799749695
5,2,3,11,348114827998671552
5,2,3,12,4945688114652608400
5,2,3,13,66599241963210463232
5,2,3,14,856060374886419056112
5,2,3,15,10563892654877206831296
5,2,3,16,125743980649684666022793
5,2,3,17,1449488790788206836481632
5,2,3,18,16235267094638196569505079
5,2,3,19,177197667760601798042239584
5,2,3,20,1889177206962982373486395236
5,2,3,21,19716152979643261519107959040
5,2,3,22,201793095183213458734618435900
5,2,3,23,2028736891974065591561713647840
5,2,3,24,20063082278276842687877180587401
5,2,3,25,195419796598646914584016486688544
5,2,3,26,1876828456338551999382323483400519
5,2,3,27,17790989190365266260994575139529600
5,2,3,28,166603761334284133064097047577981504
5,2,3,29,1542515857520435237464092541185343488
5,2,3,30,14130312136333583342587043749623417792
5,1,2,0,1
5,1,2,1,306
5,1,2,2,26334
5,1,2,3,1137851
5,1,2,4,31683834
5,1,2,5,650256120
5,1,2,6,10667666736
5,1,2,7,147486858750
5,1,2,8,1782033260931
5,1,2,9,19313078549050
5,1,2,10,191386063457550
5,1,2,11,1759668447329793
5,1,2,12,15182142352626356
5,1,2,13,124024865613964128
5,1,2,14,966245114447602704
5,1,2,15,7221396039135740460
5,1,2,16,52025781356320994469
5,1,2,17,362777716779237191250
5,1,2,18,2456816357085018071374
5,1,2,19,16206132221841895665255
5,1,2,20,104386826952289764209646
