kind,r,n,k,value
cycle,3,11,2,139765167360
cycle,3,11,3,18654587228160
cycle,3,11,4,1529165533319424
cycle,3,11,5,85974413767482240
cycle,3,11,6,3476250340956993600
cycle,3,11,7,102477207964779648000
cycle,3,11,8,2174361428940180480000
cycle,3,11,9,31752056910259445760000
cycle,3,11,10,287811042169018368000000
cycle,3,11,11,1227993779921145036800000
cycle,3,12,0,0
cycle,3,12,1,6227020800
cycle,3,12,2,2197067846400
cycle,3,12,3,355144108400640
cycle,3,12,4,35434013965099776
cycle,3,12,5,2447712213111285120
cycle,3,12,6,123456811208356866240
cycle,3,12,7,4647680403693687360000
cycle,3,12,8,130646758572660185856000
cycle,3,12,9,2686391130696950476800000
cycle,3,12,10,38451555233780853964800000
cycle,3,12,11,344452255267881182822400000
cycle,3,12,12,1461312598106162593792000000
cycle,4,0,0,1
cycle,4,1,0,0
cycle,4,1,1,6
cycle,4,2,0,0
cycle,4,2,1,24
cycle,4,2,2,1260
cycle,4,3,0,0
cycle,4,3,1,120
cycle,4,3,2,18144
cycle,4,3,3,1247400
cycle,4,4,0,0
cycle,4,4,1,720
cycle,4,4,2,223776
cycle,4,4,3,38918880
cycle,4,4,4,3405402000
cycle,4,5,0,0
cycle,4,5,1,5040
cycle,4,5,2,2756160
cycle,4,5,3,889945056
cycle,4,5,4,185253868800
cycle,4,5,5,19799007228000
cycle,4,6,0,0
cycle,4,6,1,40320
cycle,4,6,2,35307360
cycle,4,6,3,18478684224
cycle,4,6,4,6780291598080
cycle,4,6,5,1663116607152000
cycle,4,6,6,210384250804728000
cycle,4,7,0,0
cycle,4,7,1,362880
cycle,4,7,2,476910720
cycle,4,7,3,373569356160
cycle,4,7,4,212516886726144
cycle,4,7,5,89032175702870400
cycle,4,7,6,25246110096567360000
cycle,4,7,7,3692243601622976400000
cycle,4,8,0,0
cycle,4,8,1,3628800
cycle,4,8,2,6822541440
cycle,4,8,3,7579529717760
cycle,4,8,4,6209753084510976
cycle,4,8,5,3922363898812719360
cycle,4,8,6,1859796777113795520000
cycle,4,8,7,599620360903571367360000
cycle,4,8,8,99579809935771673508000000
cycle,4,9,0,0
cycle,4,9,1,39916800
cycle,4,9,2,103440879360
cycle,4,9,3,156687974277120
cycle,4,9,4,176039044959697920
cycle,4,9,5,156199205948706176256
cycle,4,9,6,109543593026437105536000
cycle,4,9,7,58163175007646422633920000
cycle,4,9,8,21031255858434977444889600000
cycle,4,9,9,3910499136177753618659160000000
cycle,4,10,0,0
cycle,4,10,1,479001600
cycle,4,10,2,1660586054400
cycle,4,10,3,3326830082334720
cycle,4,10,4,4947189978885073920
cycle,4,10,5,5886599104759519770624
cycle,4,10,6,5698973076113595242764800
cycle,4,10,7,4413377176353400569874560000
cycle,4,10,8,2598061140378667547025361920000
cycle,4,10,9,1041756969877753564010800224000000
cycle,4,10,10,214428309633170941925556379440000000
cycle,4,11,0,0
cycle,4,11,1,6227020800
cycle,4,11,2,28178822246400
cycle,4,11,3,72864418884641280
cycle,4,11,4,139578089496244439040
cycle,4,11,5,215436199327602014361600
cycle,4,11,6,275278238134333787408799744
cycle,4,11,7,290515996329739081363478016000
cycle,4,11,8,246791972912667190659638507520000
cycle,4,11,9,159666618249930362910721980998400000
cycle,4,11,10,70332485559680068951582492456320000000
cycle,4,11,11,15877558615097775565819747672014240000000
cycle,4,12,0,0
cycle,4,12,1,87178291200
cycle,4,12,2,504446223052800
cycle,4,12,3,1650031521858201600
cycle,4,12,4,3984553373481820339200
cycle,4,12,5,7778759378659065622425600
cycle,4,12,6,12706292139954026397718910976
cycle,4,12,7,17488792249429424116917176893440
cycle,4,12,8,20046282227812205398231129451520000
cycle,4,12,9,18558953994444916313035697974571520000
cycle,4,12,10,13095908811212428838784660095366784000000
cycle,4,12,11,6287513211578719124064620078117639040000000
cycle,4,12,12,1544727677662862584798603251010265409600000000
cycle,5,0,0,1
cycle,5,1,0,0
cycle,5,1,1,24
cycle,5,2,0,0
cycle,5,2,1,120
cycle,5,2,2,72576
cycle,5,3,0,0
cycle,5,3,1,720
cycle,5,3,2,1330560
cycle,5,3,3,1743565824
cycle,5,4,0,0
cycle,5,4,1,5040
cycle,5,4,2,20338560
cycle,5,4,3,69742632960
cycle,5,4,4,162193467211776
cycle,5,5,0,0
cycle,5,5,1,40320
cycle,5,5,2,303937920
cycle,5,5,3,2004270428160
cycle,5,5,4,11353542704824320
cycle,5,5,5,41363226782215962624
cycle,5,6,0,0
cycle,5,6,1,362880
cycle,5,6,2,4643084160
cycle,5,6,3,51433531269120
cycle,5,6,4,526317801102213120
cycle,5,6,5,4481016234740062617600
cycle,5,6,6,23578031983305871878782976
cycle,5,7,0,0
cycle,5,7,1,3628800
cycle,5,7,2,73721007360
cycle,5,7,3,1266791663554560
cycle,5,7,4,20608662373855395840
cycle,5,7,5,305349249138715695513600
cycle,5,7,6,3654594957412410141211361280
cycle,5,7,7,26242915470187034742010543079424
cycle,5,8,0,0
cycle,5,8,1,39916800
cycle,5,8,2,1224694598400
cycle,5,8,3,30926864596193280
cycle,5,8,4,743217798937289195520
cycle,5,8,5,16924798318613216506675200
cycle,5,8,6,343879982659377259001602375680
cycle,5,8,7,5511012248739277295822214046679040
cycle,5,8,8,51804144968120491069562620291816882176
cycle,5,9,0,0
cycle,5,9,1,479001600
cycle,5,9,2,21338679398400
cycle,5,9,3,760944779825817600
cycle,5,9,4,25724319891274535731200
cycle,5,9,5,839111579318953972865433600
cycle,5,9,6,25610937385996022661972240629760
cycle,5,9,7,684546450039828801245345016226775040
cycle,5,9,8,14159799624619600892347116213096614461440
cycle,5,9,9,168779147605615794796420686413626405734580224
cycle,5,10,0,0
cycle,5,10,1,6227020800
cycle,5,10,2,390118121164800
cycle,5,10,3,19044928285128345600
cycle,5,10,4,874130832436981616640000
cycle,5,10,5,38997715521953541168739123200
cycle,5,10,6,1669235633555427065516768970670080
cycle,5,10,7,65923603283268241247116724777810657280
cycle,5,10,8,2244328240502206741437017919775813392138240
cycle,5,10,9,58228805923937449204765136812701109978430177280
cycle,5,10,10,858246016274098851318874304509764200194078068965376
cycle,5,11,0,0
cycle,5,11,1,87178291200
cycle,5,11,2,7479438588518400
cycle,5,11,3,487477559624515891200
cycle,5,11,4,29560721912065572433920000
cycle,5,11,5,1744864796769057783958634496000
cycle,5,11,6,100159404861991338433364838863339520
cycle,5,11,7,5462248003745645539577322779237091901440
cycle,5,11,8,271353680073001824967309352735712487334215680
cycle,5,11,9,11468301966733585233852790755111037660513676820480
cycle,5,11,10,364754556916492011810521579416649785082483179310284800
cycle,5,11,11,6514107861424800859882687624212418513813857201320859009024
cycle,5,12,0,0
cycle,5,12,1,1307674368000
cycle,5,12,2,150219006542438400
cycle,5,12,3,12801514160195795865600
cycle,5,12,4,1003465039739616549089280000
cycle,5,12,5,76413883458956228981916696576000
cycle,5,12,6,5698246068381565618801547813270323200
cycle,5,12,7,410744741169367765903100181062611516784640
cycle,5,12,8,27846512870553081258535999868091225232732323840
cycle,5,12,9,1700610171945781798238140350307147357324959924879360
cycle,5,12,10,87384770278422443400892098383103098511903470243335372800
cycle,5,12,11,3343908702198064441406446313762374837091113363344707624632320
cycle,5,12,12,71153756508931773987719234103775228524433093742600574656185368576
cycle,6,0,0,1
cycle,6,1,0,0
cycle,6,1,1,120
cycle,6,2,0,0
cycle,6,2,1,720
cycle,6,2,2,6652800
cycle,6,3,0,0
cycle,6,3,1,5040
cycle,6,3,2,148262400
cycle,6,3,3,4940103168000
cycle,6,4,0,0
cycle,6,4,1,40320
cycle,6,4,2,2705788800
cycle,6,4,3,241359326208000
cycle,6,4,4,19947543780003840000
cycle,6,5,0,0
cycle,6,5,1,362880
cycle,6,5,2,47567520000
cycle,6,5,3,8361376657920000
cycle,6,5,4,1709789466857472000000
cycle,6,5,5,284264467391322722304000000
cycle,6,6,0,0
cycle,6,6,1,3628800
cycle,6,6,2,844280236800
cycle,6,6,3,255725952768000000
cycle,6,6,4,96053529691671552000000
cycle,6,6,5,37766564953418590248960000000
cycle,6,6,6,11073761109381585358439055360000000
cycle,6,7,0,0
cycle,6,7,1,39916800
cycle,6,7,2,15410555596800
cycle,6,7,3,7431876032765184000
cycle,6,7,4,4515990152752945152000000
cycle,6,7,5,3129229667568968906342400000000
cycle,6,7,6,2107178542528038813920117391360000000
cycle,6,7,7,995838531341800956533221345040793600000000
cycle,6,8,0,0
cycle,6,8,1,479001600
cycle,6,8,2,291620064153600
cycle,6,8,3,212199861251169792000
cycle,6,8,4,193928776379345515622400000
cycle,6,8,5,209264793322300254954455040000000
cycle,6,8,6,241648225002054736839196319416320000000
cycle,6,8,7,256926341086184646785571107020524748800000000
cycle,6,8,8,183306667311349298095633562014863587278848000000000
cycle,6,9,0,0
cycle,6,9,1,6227020800
cycle,6,9,2,5741651439820800
cycle,6,9,3,6058123633421443584000
cycle,6,9,4,7932606022273470496358400000
cycle,6,9,5,12428891788128110088987967488000000
cycle,6,9,6,21787287216851924148571348740341760000000
cycle,6,9,7,38961044437569286080411961443183860121600000000
cycle,6,9,8,61591040216613364160132876836994165325692928000000000
cycle,6,9,9,63123887230004329260668183809274857615236110745600000000000
cycle,6,10,0,0
cycle,6,10,1,87178291200
cycle,6,10,2,117780313100083200
cycle,6,10,3,174680145537891840000000
cycle,6,10,4,316377471296366268332544000000
cycle,6,10,5,687457747356402959797755248640000000
cycle,6,10,6,1708426775368098195454936024511938560000000
cycle,6,10,7,4553626141148919520427127099836218736640000000000
cycle,6,10,8,11933264041968839306025744887167619531853004800000000000
cycle,6,10,9,26782563581873265414883500844792332445321606987776000000000000
cycle,6,10,10,37922705435264694473999945528181638078029374183746568192000000000000
cycle,6,11,0,0
cycle,6,11,1,1307674368000
cycle,6,11,2,2517799729213440000
cycle,6,11,3,5117923802648186449920000
cycle,6,11,4,12478480397293725796101120000000
cycle,6,11,5,36385771308899940523481084559360000000
cycle,6,11,6,122619394705422967670669601258130636800000000
cycle,6,11,7,455387470989335652400919981377231628324044800000000
cycle,6,11,8,1754428112836924132073308822044259393845854208000000000000
cycle,6,11,9,6454597823231456964986923703594952119322507284054016000000000000
cycle,6,11,10,19828157413295540253548542947592113623655358501787491368960000000000000
cycle,6,11,11,37588475946273315205135015448265740901726946976140568838033899520000000000000
cycle,6,12,0,0
cycle,6,12,1,20922789888000
cycle,6,12,2,56066978199214080000
cycle,6,12,3,152940522811372057681920000
cycle,6,12,4,491183878463916220626217574400000
cycle,6,12,5,1874402240952784611884169455861760000000
cycle,6,12,6,8299486092603981389907334988377187942400000000
cycle,6,12,7,41117546757913922565615243775711167252843724800000000
cycle,6,12,8,217843732866948187651207360898737196545844245954560000000000
cycle,6,12,9,1165648587252676172896836312767615087573583860393312256000000000000
cycle,6,12,10,5817439755365102256532188582659614764940313217578008628428800000000000000
cycle,6,12,11,23745177233488657119586719758890158038205222789784799343112271953920000000000000
cycle,6,12,12,58727824352300094371900908062001698522967535097261045297532453279865241600000000000000
cycle,7,0,0,1
cycle,7,1,0,0
cycle,7,1,1,720
cycle,7,2,0,0
cycle,7,2,1,5040
cycle,7,2,2,889574400
cycle,7,3,0,0
cycle,7,3,1,40320
cycle,7,3,2,23351328000
cycle,7,3,3,24825530695680000
cycle,7,4,0,0
cycle,7,4,1,362880
cycle,7,4,2,495567072000
cycle,7,4,3,1433674397675520000
cycle,7,4,4,5290995845684330496000000
cycle,7,5,0,0
cycle,7,5,1,3628800
cycle,7,5,2,10021352140800
cycle,7,5,3,58163373827919360000
cycle,7,5,4,537036078336959545344000000
cycle,7,5,5,5123434663327851951402516480000000
cycle,7,6,0,0
cycle,7,6,1,39916800
cycle,7,6,2,202698207129600
cycle,7,6,3,2066127910923428352000
cycle,7,6,4,35466757673503369973760000000
cycle,7,6,5,806940959474136682345896345600000000
cycle,7,6,6,16586604100059403377645257954741452800000000
cycle,7,7,0,0
cycle,7,7,1,479001600
cycle,7,7,2,4182098870476800
cycle,7,7,3,69230374740669542400000
cycle,7,7,4,1947309602427263341403136000000
cycle,7,7,5,78788818681988623290161823744000000000
cycle,7,7,6,3744425875588410312503416983282882969600000000
cycle,7,7,7,146550752102252281868362306608987740351496192000000000
cycle,7,8,0,0
cycle,7,8,1,6227020800
cycle,7,8,2,88817193955123200
cycle,7,8,3,2264027159688976281600000
cycle,7,8,4,97067164547238299753923584000000
cycle,7,8,5,6174679720107448407249982126817280000000
cycle,7,8,6,506849646992842318134143082209374686412800000000
cycle,7,8,7,44881167831314761322185956399002495482645708800000000000
cycle,7,8,8,3058890245603899501947995556608332803677467466268672000000000000
cycle,7,9,0,0
cycle,7,9,1,87178291200
cycle,7,9,2,1950122593972224000
cycle,7,9,3,73587541598200753643520000
cycle,7,9,4,4583332441434494004220035072000000
cycle,7,9,5,427577292724475790629631610755563520000000
cycle,7,9,6,53684301831545487201650552216449603495526400000000
cycle,7,9,7,8043079285103532851946741603004572211285799731200000000000
cycle,7,9,8,1220497207995955901277250227086724788667309519041200128000000000000
cycle,7,9,9,135391540696049942212746664696776861958555495411451041897512960000000000000
cycle,7,10,0,0
cycle,7,10,1,1307674368000
cycle,7,10,2,44358637284864000000
cycle,7,10,3,2402487791261457327267840000
cycle,7,10,4,209932279083780231003502392115200000
cycle,7,10,5,27442168221105195689257508929900953600000000
cycle,7,10,6,4923296329212008447996841667940743504330752000000000
cycle,7,10,7,1106311249793744712205102860719676725616926659706880000000000
cycle,7,10,8,279714228182517615652443138849417301913878810745817268224000000000000
cycle,7,10,9,68237336510809170875224319007175538427111969687371325116346531840000000000000
cycle,7,10,10,11685884852755862969911312565002504866972913124375292543196754447066726400000000000000
cycle,7,11,0,0
cycle,7,11,1,20922789888000
cycle,7,11,2,1046140065753108480000
cycle,7,11,3,79302062723024562782699520000
cycle,7,11,4,9464100605949991137914796834816000000
cycle,7,11,5,1677862629044720088987341285725979934720000000
cycle,7,11,6,411544623483896319154070554712105663814205440000000000
cycle,7,11,7,129694524273890990959338464701618779254487331173826560000000000
cycle,7,11,8,48463832838863076946559827607672401752806242759451104562380800000000000
cycle,7,11,9,19466595721278060691348715450102577212401109130258430804024413388800000000000000
cycle,7,11,10,7259855964774579870057402931007806148606922278518150492460983700240203776000000000000000
cycle,7,11,11,1839424146819510845712429393818060672180970678693370524948176641433769961083371520000000000000000
cycle,7,12,0,0
cycle,7,12,1,355687428096000
cycle,7,12,2,25581928379314728960000
cycle,7,12,3,2657554785872222265620398080000
cycle,7,12,4,423921875221492965342001807294464000000
cycle,7,12,5,99431441035511637150372027722328521441280000000
cycle,7,12,6,32314241477347640598690328726074494832093344563200000000
cycle,7,12,7,13676389559688360170563236637628086805616797027590471680000000000
cycle,7,12,8,7066835649390434326715961938807707954418545984347352558731264000000000000
cycle,7,12,9,4147530707241137597918222865895177768824191499902712871424778703994880000000000000
cycle,7,12,10,2522799947759166504844947518525212636640905491785057296130191835833470812160000000000000000
cycle,7,12,11,1380947678224747767418606367408909049639863737029047921604843613556402798283341168640000000000000000
cycle,7,12,12,499885486689137500417841642050556998756082632231994691227245527198764473943272490722865971200000000000000000
cycle,8,0,0,1
cycle,8,1,0,0
cycle,8,1,1,5040
cycle,8,2,0,0
cycle,8,2,1,40320
cycle,8,2,2,163459296000
cycle,8,3,0,0
cycle,8,3,1,362880
cycle,8,3,2,4940103168000
cycle,8,3,3,201968880772538880000
cycle,8,4,0,0
cycle,8,4,1,3628800
cycle,8,4,2,119550496665600
cycle,8,4,3,13464592051502592000000
cycle,8,4,4,2676705291073542583895040000000
cycle,8,5,0,0
cycle,8,5,1,39916800
cycle,8,5,2,2733942913228800
cycle,8,5,3,626253136973220556800000
cycle,8,5,4,314066754152628996510351360000000
cycle,8,5,5,207497986665826857082522397256499200000000
cycle,8,6,0,0
cycle,8,6,1,479001600
cycle,8,6,2,62082007052083200
cycle,8,6,3,25346455308846133862400000
cycle,8,6,4,23848135531989628468352679936000000
cycle,8,6,5,37810744236884005068370747944517632000000000
cycle,8,6,6,65771291481315150106548145333254999788716032000000000
cycle,8,7,0,0
cycle,8,7,1,6227020800
cycle,8,7,2,1428786449362944000
cycle,8,7,3,962212944340051292528640000
cycle,8,7,4,1498061758562325528376107663360000000
cycle,8,7,5,4252448368508221103356096785493416345600000000
cycle,8,7,6,17188230840450359227844581980423973278117789696000000000
cycle,8,7,7,67267965495100423632542826586651891918078110225727488000000000000
cycle,8,8,0,0
cycle,8,8,1,87178291200
cycle,8,8,2,33653868448886784000
cycle,8,8,3,35468333591340085268152320000
cycle,8,8,4,85043079299588144550042607091712000000
cycle,8,8,5,382295446970571468139367922114139383398400000000
cycle,8,8,6,2683273814536972746124626409166186939528388280320000000000
cycle,8,8,7,23857705095595616915008522496065871000278369760058015744000000000000
cycle,8,8,8,187575657727646455321628584593241000700070147498001052094478417920000000000000
cycle,8,9,0,0
cycle,8,9,1,1307674368000
cycle,8,9,2,815318487727349760000
cycle,8,9,3,1293314149529036187023278080000
cycle,8,9,4,4553785481512112530877432638734336000000
cycle,8,9,5,30250511146329854486059241096841894639697920000000
cycle,8,9,6,326617861497520875017419522107581767865099904614400000000000
cycle,8,9,7,4935363927442213285818096353686159847590918757697334856908800000000000
cycle,8,9,8,86701637349667694904219434656431395879143534843520486301447802060800000000000000
cycle,8,9,9,1257253823429142549990495466168801359785845781308075850513764854267163705344000000000000000
cycle,8,10,0,0
cycle,8,10,1,20922789888000
cycle,8,10,2,20368076263909355520000
cycle,8,10,3,47164944387540392363394662400000
cycle,8,10,4,235599072068895390104909018650273382400000
cycle,8,10,5,2210520867295069758744836024035157689525862400000000
cycle,8,10,6,34308880939581530447877540136798009543066568050606080000000000
cycle,8,10,7,781206967048246483495845567086185920289137057024506848503398400000000000
cycle,8,10,8,22952813461035361097643691668045938202405265124241323406869948132229120000000000000
cycle,8,10,9,734236232882619249194449352242579994114933936283916296700038674892023603920896000000000000000
cycle,8,10,10,18368124724470432270489590614127247584232411197438666653139945070914606942630590178918400000000000000000
cycle,8,11,0,0
cycle,8,11,1,355687428096000
cycle,8,11,2,525330795141662146560000
cycle,8,11,3,1732052572087766158714414694400000
cycle,8,11,4,11952742447496500552297630478059123507200000
cycle,8,11,5,153358076696987135721988779342230583735374315520000000
cycle,8,11,6,3274558959331761644418271647441869196199585452046417920000000000
cycle,8,11,7,105081667911954263390247684113382451351439245435637147409108172800000000000
cycle,8,11,8,4581200199842009585037525660139399070931970399285680669156934026012917760000000000000
cycle,8,11,9,242085844161764928895512111982736874948517218058765913203077195986065649141651865600000000000000
cycle,8,11,10,13225049801618711234752505242171618260647336062155839990260760451058516998694024928821248000000000000000000
cycle,8,11,11,540950714779372551753777138492620772257785128984854749086003255955299545819331442516938983422820352000000000000000000
cycle,8,12,0,0
cycle,8,12,1,6402373705728000
cycle,8,12,2,13995003769837719552000000
cycle,8,12,3,64337348863222682384159421235200000
cycle,8,12,4,600425536571891765919516392212766706892800000
cycle,8,12,5,10278895769769729888846515687668269350116141301760000000
cycle,8,12,6,292692619720730479209817883147608120484307278772068941824000000000
cycle,8,12,7,12678773018128557414654037105599471994874227443804968844603162624000000000000
cycle,8,12,8,767516197723556561951370291182719450640030659542569688729630917125384175616000000000000
cycle,8,12,9,59465281584817219385149024801764723869725007626412724272537530681324932136509112320000000000000000
cycle,8,12,10,5313825010290398174123556606304556217128099629774216508086773549235312130075259216400377446400000000000000000
cycle,8,12,11,470747333128005091703953616519356209813663681134375821649064166737989560317444873088074013129725444096000000000000000000
cycle,8,12,12,30126858119229588876621041159150948996462753523906487522353481479453188501609173864767046684405604062263351705600000000000000000000
