n,relation_mask,points,bases,facets,faces,h
4,1576,32,6,76,412,"[1, 27, 42, 6, 0]"
4,1581,40,10,108,564,"[1, 35, 62, 10, 0]"
4,1600,29,6,70,376,"[1, 24, 39, 6, 0]"
4,1608,33,10,91,468,"[1, 28, 52, 10, 0]"
4,1640,38,12,109,556,"[1, 33, 63, 12, 0]"
4,1664,29,6,70,376,"[1, 24, 39, 6, 0]"
4,1665,33,10,91,468,"[1, 28, 52, 10, 0]"
4,1669,38,12,109,556,"[1, 33, 63, 12, 0]"
4,1728,33,8,86,452,"[1, 28, 49, 8, 0]"
4,1729,37,12,107,544,"[1, 32, 62, 12, 0]"
4,1736,37,12,107,544,"[1, 32, 62, 12, 0]"
4,1737,41,16,128,636,"[1, 36, 75, 16, 0]"
4,1984,37,9,98,514,"[1, 32, 56, 9, 0]"
4,1985,42,14,125,632,"[1, 37, 73, 14, 0]"
4,1989,46,16,141,708,"[1, 41, 83, 16, 0]"
4,1992,42,14,125,632,"[1, 37, 73, 14, 0]"
4,1993,47,19,152,750,"[1, 42, 90, 19, 0]"
4,2024,46,16,141,708,"[1, 41, 83, 16, 0]"
4,2029,55,25,189,918,"[1, 50, 113, 25, 0]"
4,2048,20,2,36,212,"[1, 15, 18, 2, 0]"
4,2049,25,4,54,300,"[1, 20, 29, 4, 0]"
4,2050,24,4,52,288,"[1, 19, 28, 4, 0]"
4,2051,29,6,70,376,"[1, 24, 39, 6, 0]"
4,2054,28,5,64,350,"[1, 23, 35, 5, 0]"
4,2055,33,7,82,438,"[1, 28, 46, 7, 0]"
4,2056,25,4,54,300,"[1, 20, 29, 4, 0]"
4,2057,30,6,72,388,"[1, 25, 40, 6, 0]"
4,2064,24,4,52,288,"[1, 19, 28, 4, 0]"
4,2066,28,8,73,380,"[1, 23, 41, 8, 0]"
4,2067,33,10,91,468,"[1, 28, 52, 10, 0]"
4,2070,33,10,91,468,"[1, 28, 52, 10, 0]"
4,2071,38,12,109,556,"[1, 33, 63, 12, 0]"
4,2072,29,6,70,376,"[1, 24, 39, 6, 0]"
4,2074,33,10,91,468,"[1, 28, 52, 10, 0]"
4,2075,38,12,109,556,"[1, 33, 63, 12, 0]"
4,2096,28,5,64,350,"[1, 23, 35, 5, 0]"
4,2098,33,10,91,468,"[1, 28, 52, 10, 0]"
4,2102,37,12,107,544,"[1, 32, 62, 12, 0]"
4,2103,42,14,125,632,"[1, 37, 73, 14, 0]"
4,2104,33,7,82,438,"[1, 28, 46, 7, 0]"
4,2106,38,12,109,556,"[1, 33, 63, 12, 0]"
4,2110,42,14,125,632,"[1, 37, 73, 14, 0]"
4,2111,47,16,143,720,"[1, 42, 84, 16, 0]"
4,2304,24,3,48,274,"[1, 19, 25, 3, 0]"
4,2305,30,6,72,388,"[1, 25, 40, 6, 0]"
4,2310,32,7,80,426,"[1, 27, 45, 7, 0]"
4,2311,38,10,104,540,"[1, 33, 60, 10, 0]"
4,2312,30,6,72,388,"[1, 25, 40, 6, 0]"
4,2313,36,9,96,502,"[1, 31, 55, 9, 0]"
4,2352,32,7,80,426,"[1, 27, 45, 7, 0]"
4,2358,41,16,128,636,"[1, 36, 75, 16, 0]"
4,2359,47,19,152,750,"[1, 42, 90, 19, 0]"
4,2360,38,10,104,540,"[1, 33, 60, 10, 0]"
4,2366,47,19,152,750,"[1, 42, 90, 19, 0]"
4,2367,53,22,176,864,"[1, 48, 105, 22, 0]"
4,2560,24,3,48,274,"[1, 19, 25, 3, 0]"
