t,p,r,n,N,proved_exponent,actual_valuation,scaled_difference
8,5,1,4,20,2,3,662331049651557723716438492602057758510
8,5,2,1,25,4,5,870520260318221898283855333513314116102300539385
8,5,2,2,50,4,6,41135367921806433030410966358417117403439423633866737103594472197978485635524085515520760650229116925
8,5,2,3,75,4,5,2243326984503966972526492702394618395097658875300911832547528790463352101267368897398202722809424283425474817712405140064916907258990162134734191579955780
8,5,2,4,100,4,7,129745322741446352256436590183147417178623815001440320918772653309057149291346097309190248770007989584669274214827471371520426690855511373122838069230471117344304173401283694247842383565357649732642533220125
8,5,3,1,125,6,7,309987346232647900106366215772455786989936607678170675372093891996157832534920486190195149966392172403194210209517021300526593867893982170594606027084588413221089334957111140325186087488331056540844354623738178055496339003709558555146053297590888944239038860
8,7,1,1,7,2,2,193270009022
8,7,1,2,14,2,2,84716973688119875997081478
8,7,1,3,21,2,2,42781034439800877491108384480743083626078
8,7,1,4,28,2,2,22902423578062629876031342467145129355795679071939317190
8,7,2,1,49,4,4,83387113768871212723844209382414413610951029592836151181633346193242250206548362048189201587807222
8,7,2,2,98,4,4,2027654944949866452443945292208763888140900247618131069994593104866837728896272108693281593658809399781168662765778628410445457763238218653891172653853036003220252033033043610160881657727496521059409150
8,7,2,3,147,4,4,56917908212146433751427051609331959960474380980955380810273378325335342695117190690333207867320404869467692202607329362293389512802010205088103270853748034193711874379724196396010223340514062798663359638395972383500415315584569130938083757008592841531736831929849946351335178401080507248651107823051087703
8,11,1,1,11,2,3,17718316173584330887
8,11,1,2,22,2,3,2195751098023632949061097519583906288271011
8,11,1,3,33,2,3,313782765987829444389646331150085719333565534736477499708011402870
8,11,1,4,44,2,3,47546266264519997142712216239630225291128103772131626968735146045290968450148520907572355
8,11,2,1,121,4,5,1187716759246518881482070199318280390554428063782200030652936406422793419538804074195178116984024847738590224228450651295534438937776500784872457079581384917570004477006961581245213907187625564960742035741762804584980029620320722724391978152445589284
8,13,1,1,13,2,2,196464433543830229710705
8,13,1,2,26,2,2,409512098299284299833364019508260653103496958724789
8,13,1,3,39,2,2,984550438711574354198161357335594799074148527522960283718928300751813761159255
8,13,1,4,52,2,2,2510000254357041548094999453321412652288532084820436077578373171614508436847913975219723963196592262374357
9,3,1,1,3,2,2,6865
9,3,1,2,6,2,2,14392735475
9,3,1,3,9,4,5,3844500814182738
9,3,1,4,12,2,2,88082130911878458191411
9,3,2,1,9,4,5,3844500814182738
9,3,2,2,18,4,5,68939083605828816050080618833608058
9,3,2,3,27,6,8,158279572490278985196871743692175968690284135449613368
9,3,2,4,36,4,5,31205526065810587107421416248355634982490053256778946748515899111565712138
9,3,3,1,27,6,8,158279572490278985196871743692175968690284135449613368
9,3,3,2,54,6,8,1810511694966979549799874892689399791643268402231913799355061140326026725209158017095401792471770965485853264864
9,3,3,3,81,8,11,2655394205792037724971998044712292199041099257773376266679403542248880348294933978250816718718581743380211028665161994872588055038803729988544655972650415505643777711996
9,3,3,4,108,6,8,334541868366217984532249037368081967374419692569144495799165997549444544863770972550964561794292006986062311863350953593854525032380810188701192975984121350592629159915857475817072165307653015074305982860579175336923856602716096
9,3,4,1,81,8,11,2655394205792037724971998044712292199041099257773376266679403542248880348294933978250816718718581743380211028665161994872588055038803729988544655972650415505643777711996
9,5,1,1,5,2,3,39565605
9,5,1,2,10,2,4,1692950079123115675
9,5,1,3,15,2,3,83317327648113318776442342030
9,5,1,4,20,2,4,4345084939751401589090296558923125091275
9,5,2,1,25,4,5,9357897953639479766934264989651158126681112662330
9,5,2,2,50,4,7,5222152895683200414977575269533878093590107569919320872747003670566924237469199251142967949438874959750
9,5,2,3,75,4,5,3362725125340732192160776653116985856908067810704021969292899479547364048398763963381542423208110981512287025867457391790939628534214243941989623665203379580
9,5,2,4,100,4,7,2296340865938108921727077201568904922688925868357098538648731746348680563770473652226720997023155085573136901442861076224633389753077222634276976597652766570489704240174447023968348850522519780260495132781587750
9,5,3,1,125,6,7,64777883790087719481318076112818528949901144727502904902903836468620861300528938289575844359861755291519148893897762643801183547998231238741113047764741852358091709330651885397289569622365457297285658066106597348923284190500821524752374145038732893949203858276480
9,7,1,1,7,2,2,350899056891
9,7,1,2,14,2,2,307241710865397996524307665
9,7,1,3,21,2,2,309792896082034142187547207367618402644182
9,7,1,4,28,2,2,331099486138732847682702936864790508244476730013612099537
9,7,2,1,49,4,4,9590600020758145603860306481212842051546668435175517927111254670436833477171385132569346089303968278
9,7,2,2,98,4,4,29455566969249363969370960676785045185547528066746501668239980042399406168520882496881655321975820820223224620270738203741534318293174518290274138040653425842826465762482073280438324036925639278497972537870
9,7,2,3,147,4,4,104426322305688838558827732192976460875405271391459990940631003144186537813891736588350847746984585268617520742043947515080965030206908810905991227499936782121634051775761480810486069604800753223058856315309274279616807371787423591853953152571215597611135663962994839851049872652411705184504393321568671959751964
9,11,1,1,11,2,3,47773786890266999287
9,11,1,2,22,2,3,17550896564781588957260634818268745032970217
9,11,1,3,33,2,3,7432935677041683026617216109012154374418920370338943241051172026219
9,11,1,4,44,2,3,3337528315072440840006742954251344682011661247961967627406396844101308888290757976465042361
9,11,2,1,121,4,5,167206784915249373731216750227779431262953428970741279102942352508016365144158656662164397187484778662071725232654597882233204008872254855587448944440632902738742391220737709085725468179170516511378261396375827586789987738421400819846863175078451649019542
9,13,1,1,13,2,2,645480933113220830748899
9,13,1,2,26,2,2,4859138049179078538126447602074383561723097692322781
9,13,1,3,39,2,2,42179852651810419735011627257315976202640724597845991137586537136213952789102894
9,13,1,4,52,2,2,388224042732409227233081117795799446880327808997864590393441487443862076761167657409201761830213553137056045
10,3,1,1,3,2,5,8235
10,3,1,2,6,2,2,22636283443
10,3,1,3,9,4,4,7924033045709650
10,3,1,4,12,2,3,237889607533050341528979
10,3,2,1,9,4,4,7924033045709650
10,3,2,2,18,4,4,319627222074196739356098333402948290
10,3,2,3,27,6,7,1650336914241112827761025660048785097067910405765250558
10,3,2,4,36,4,6,731677812845377415822221297688980309332160458805972646643534876618009940098
10,3,3,1,27,6,7,1650336914241112827761025660048785097067910405765250558
10,3,3,2,54,6,10,214654655001915726455576264253958938166967200977131511615327337811135497545262524347197245631913519487588969814926
10,3,3,3,81,8,10,3579457330310409098040271471076558418340600684941118335077240511996259166951084827117764328588447054711206167139598841164299144252150884342934150999736266841358864395604853
10,3,3,4,108,6,8,5127159499434624408105473296580562428067615716923102038982967989726999686868936035955794811641568722069621985436044819381688922025601764471140762436567012546072749446472726733475379475965107258516107423735258135906985842634381327310
10,3,4,1,81,8,10,3579457330310409098040271471076558418340600684941118335077240511996259166951084827117764328588447054711206167139598841164299144252150884342934150999736266841358864395604853
10,5,1,1,5,2,3,56859310
10,5,1,2,10,2,3,3818406178423803870
10,5,1,3,15,2,3,294832884790824232564736551360
10,5,1,4,20,2,3,24121055159969931506364773130790441626270
10,5,2,1,25,4,7,81491841037126732909015144558272137662033276197625
10,5,2,2,50,4,6,431896098110811340130865585059046709106565273190034691458605830231775597199204569869073969030130897382225
10,5,2,3,75,4,6,2641009623570269993557091754088753052967004924767667786281549821474923876052041949663772609550182130960311746051315546493713580830752310787878489912476393951600
10,5,2,4,100,4,6,17125845783082577487213132237908395683878460684394890054207418943813438088655108115904314574626023244307655790875731940440192288861849312749734245452967963282714297918611560653719013132488814620968346565681244874225
10,5,3,1,125,6,8,4587484785714237372299862651619672530372266601926592582951841765513197987308403803276499412926921261820827536032618700164456071260780792149994107933288824477836626007074943447342467060673257094596621563451858244486057865941240272240092234709309541412743315497018801700
10,7,1,1,7,2,2,603953396855
10,7,1,2,14,2,2,993585522016945143807275583
10,7,1,3,21,2,2,1881820517626223190566868237703020891775025
10,7,1,4,28,2,2,3777562967161712334167659599095561118006656077793066051871
10,7,2,1,49,4,4,724891531259770429970080936224805490755722654644891727474893621277433788526302001351979014918927155438
10,7,2,2,98,4,4,183476447606819316245181580486275751231990107410014605791838822892780602774548558141447139371533561192155315985573932547318183435433535903086283652805303892031803563637376119013526017871427668997543131989289310
10,7,2,3,147,4,4,53602387196936846579100734564721218671443294269603320574712574974784679031693142109973312759176690487906009854059448989090525632108504764495832942108503600477735743323298488326392208503512431740238717944585759776797491671902126260122409551816671842743169303007332423700445022824272631033262744751895806468630916452823
10,11,1,1,11,2,3,117911017051334003035
10,11,1,2,22,2,3,116657889268807133293487384626147414386890211
10,11,1,3,33,2,3,133026152179210713606360918140824139175133729671990684398805709447345
10,11,1,4,44,2,3,160819608116650260627345432339101846930018575788177204861898280496003285279909856357947859779
10,11,2,1,121,4,5,8260319167832141701836698059792457173764531355243155186043429199087380588191302163963066325090320738871583904305888605507416855280351159154016612333269902676003600444645377492335072420727176944411852596251194450653393764045492632425995821463347141031288603990
10,13,1,1,13,2,2,1907616195872298366976600
10,13,1,2,26,2,2,46302154667476500004003496610666623664818882460451608
10,13,1,3,39,2,2,1295698253312105458269464720691217415391838762598795344898673371730823529378694640
10,13,1,4,52,2,2,38442963866959620471810187927075587881012081082636553789648117259138563363727508684153461578157513126098514968
