t,p,r,n,N,proved_exponent,actual_valuation,scaled_difference
-7,13,1,3,39,2,2,1938370446715129110685518298820143192557040581425109185733448298871970
-7,13,1,4,52,2,2,-5195610440393575763368835093685618778326526572356258817152863442491425416636661227421424090759
-6,3,1,1,3,2,2,1315
-6,3,1,2,6,2,2,-236798005
-6,3,1,3,9,4,5,5429935339188
-6,3,1,4,12,2,2,-10677558095099504597
-6,3,2,1,9,4,5,5429935339188
-6,3,2,2,18,4,6,-61543739132922538850018165100
-6,3,2,3,27,6,8,89272644133945003986017025039499271504556732
-6,3,2,4,36,4,5,-11118395122310093028258169658624864385531626668119314548494444
-6,3,3,1,27,6,8,89272644133945003986017025039499271504556732
-6,3,3,2,54,6,9,-257384443751159189431139108362642504324575906901927319586847408446307749037376784024615510948
-6,3,3,3,81,8,11,95128125712612537274499798743212423565423440455441748163065368424748089637739386450518646187215782511444066822282014804420314245605008713058
-6,3,3,4,108,6,8,-3019991151713914382367437840383388747870558612698202819389191713627950109605803149289325306713415137195087929379247866241238287918215886831288182092591135631954510198859339081429818662909220
-6,3,4,1,81,8,11,95128125712612537274499798743212423565423440455441748163065368424748089637739386450518646187215782511444066822282014804420314245605008713058
-6,5,1,1,5,2,3,1475530
-6,5,1,2,10,2,4,-1054749482120550
-6,5,1,3,15,2,3,866763442201621937267680
-6,5,1,4,20,2,4,-754643579538051139323065487942950
-6,5,2,1,25,4,5,27130771166525332200793093728607727779905
-6,5,2,2,50,4,8,-19617392009087221719714692804618660550581437494893915920896501675953635004311239394375
-6,5,2,3,75,4,5,16364271499993575542875611774769656135132721287060619002936936831820864312716994957066793313156080957182050871355047390213870288680
-6,5,2,4,100,4,7,-14475376660412800924239350155499497170555801201860280555235691259743203661494416099745303551488691928393139303377694076205728719553645959996399134826590444975809353551625438375
-6,5,3,1,125,6,7,528929762022263835356580633521127803937888482775136869192832412088240778372584140795473653433164994241112942747445416500257146469455325787925710171478842318541696933021596119370988227687425709934263962381791429109592055
-6,7,1,1,7,2,2,2546856031
-6,7,1,2,14,2,2,-7246398648789145266361
-6,7,1,3,21,2,2,23731511275322949890174920119760666
-6,7,1,4,28,2,2,-82367497255519110487358284910522354665295160537
-6,7,2,1,49,4,4,81684540712317554411264732904688214553503447129525401972519499559456300425279621718
-6,7,2,2,98,4,4,-954487702653992114014615459336355101236312298285664857320128643822336751240265204039373950134521262156190757934615742085873513873087560894434516865509949855351684323110234
-6,7,2,3,147,4,4,12872684815192858428451120264081770277147954096413650012303975927386493702820004904684393833895101323371128729167994795417870339517692870364024591026974401968271207344850384949189235208363238770876251162662145777273324732787800607098707742413565983701713656702
-6,11,1,1,11,2,3,13129176556175427
-6,11,1,2,22,2,3,-593010383268973482450417485096838293
-6,11,1,3,33,2,3,30865195439412304641680585766226687050587392935107203419
-6,11,1,4,44,2,4,-1703056515043555124767794004399987027213772098428370046332422002541469582133
-6,11,2,1,121,4,5,36078223981989965572638815944968292363620816929940592313663336115659382133120034243317807279601054187279295499376677958303031735214894016492067189802427054805962417277680835333313286818450129994118560628254030642
-6,13,1,1,13,2,2,34514267407407492954
-6,13,1,2,26,2,2,-6213671373691303720115758183095980302939510
-6,13,1,3,39,2,2,1289480920586359389207839224340468023405697307498957970229083128804
-6,13,1,4,52,2,2,-283706287610115052043694468407393003624339822335339056289613368370566586328422025367328054
-5,3,1,1,3,2,6,810
-5,3,1,2,6,2,2,-71640542
-5,3,1,3,9,4,4,807275426215
-5,3,1,4,12,2,3,-780173171340013614
-5,3,2,1,9,4,4,807275426215
-5,3,2,2,18,4,4,-1086257482987190805805603135
-5,3,2,3,27,6,7,187089557823116475361899012880779861889971
-5,3,2,4,36,4,4,-2766752360808714446219110421074472733534126316326884123455
-5,3,3,1,27,6,7,187089557823116475361899012880779861889971
-5,3,3,2,54,6,8,-903065382319889113949114622271227942209444865774468685172947681783855336712820721228587
-5,3,3,3,81,8,10,558818834751511528421594413240930146352880368877335488506752474886015353198542430530836022211489716084669116196097004011108671233481
-5,3,3,4,108,6,7,-29702827079531606119635455556692011701339813948258357704491234169167329667714436287760844648653309151039591279738627760768154333967240351252115443738142545578609868327057556357035
-5,3,4,1,81,8,10,558818834751511528421594413240930146352880368877335488506752474886015353198542430530836022211489716084669116196097004011108671233481
-5,5,1,1,5,2,3,565735
-5,5,1,2,10,2,3,-123747745794255
-5,5,1,3,15,2,3,31126481990462935551685
-5,5,1,4,20,2,3,-8295452506113192232045580765455
-5,5,2,1,25,4,6,91293494693071416255382484962226716200
-5,5,2,2,50,4,6,-177445183546463818801162597461711228879441674377063366481336332864234960818597900
-5,5,2,3,75,4,6,397910963074688316110080361002260480586783530505120579878065406168735142280831067787607751890372201025366061040727865797150
-5,5,2,4,100,4,6,-946216683657631749090006326000112264808959478875688548615729678622185392648566806743593628890937748910120385912567611206747296789477373260726996395764472234452087900
-5,5,3,1,125,6,8,92946344055561164624252613026519479049136002914260255534039976442579740695980895463061089409184827794658118177087537240697193120301461729539456482622813890746581274348445541146805026112712253926923581457650
-5,7,1,1,7,2,2,608031345
-5,7,1,2,14,2,2,-329746539584653819749
-5,7,1,3,21,2,2,205872758347067220150878207710755
-5,7,1,4,28,2,2,-136227253806560810307385024333062989434096789
-5,7,2,1,49,4,4,936233953597801149625074541391338639268190966497235533321808104695154167572045
-5,7,2,2,98,4,4,-100178205489683745311823334340475040730383203525220723862292836137289577803067428925809051171161357056164767593112221015233364725282681583363050539933111147882257
-5,7,2,3,147,4,4,12372032972966538833485291870029348265375699310737399992200410333752986943677765987436109176994316936996881669182141973029111927822463531773033956062851249355232445453081682686097433979367428881612016932324063700705724662952758831576296552618598
-5,11,1,1,11,2,3,1215597380186200
-5,11,1,2,22,2,3,-4059863392072158678782364133003900
-5,11,1,3,33,2,3,15626581500426032000106084700951246382396333850798070
-5,11,1,4,44,2,3,-63764927039931821070133373297146222860432527636362121817358579697146060
-5,11,2,1,121,4,5,16344197382084474155365956905714644733053689954181842019165264331147492508820249468966080812092402824997485077611915078821089699283711496379299435419559972341632169158550638802697347200155338938542890
-5,13,1,1,13,2,2,1990152947265083295
-5,13,1,2,26,2,2,-16500709250143533793247306138259445274307
-5,13,1,3,39,2,2,157716436468694468622420376410637200880610324163407364535679943
-5,13,1,4,52,2,2,-1598265182390567982104207095237843240195806099650519423274895283358254541738592525747
-4,3,1,1,3,2,2,430
-4,3,1,2,6,2,3,-15102762
-4,3,1,3,9,4,4,67710668501
-4,3,1,4,12,2,2,-26037088005897706
-4,3,2,1,9,4,4,67710668501
-4,3,2,2,18,4,5,-5740223769264376316475375
-4,3,2,3,27,6,8,62299798579829297893363345520093313396
-4,3,2,4,36,4,4,-58058778928568807535371192189235585526843507072996175
-4,3,3,1,27,6,8,62299798579829297893363345520093313396
-4,3,3,2,54,6,9,-75258775444677737079125081151749980314096375653425756404674006410809395116009308
-4,3,3,3,81,8,11,11655623699625087423781056464042890276054814688332751187976145201786728606573828721883073343047513775142806270587901741120
-4,3,3,4,108,6,10,-155058357224093907578692606837505698185152271832328802246102080092258798134208614712622557243934062584133808492950447955710069130923043020792875336616860389054505180
