degree,n,e2,e3,h1,h2,newton_margin
69,6570180,101271452365583731,14860044215626090631898006,450047669,99789360230454746,978398395496869
70,3430000,28412805060910165,2209023102946898098901425,238381229,28002985931942308,270555518608516
70,3430001,28412821627979215,2209025035018205521112975,238381298,28003002259560191,270571760099686
70,6860000,113650077118960165,17671918199173375983501425,476760059,112010817131131752,1082301773705068
71,3579110,31833543143582215,2620547935814186246452325,252323376,31380913079698011,298891911142596
71,3579111,31833560931935350,2620550132329276851779740,252323447,31380930615210709,298874618134439
71,7158220,127332927392872215,20964075976012373879076675,504644285,125522424901519213,1195533774565295
72,3732480,35609353523968530,3101290826038442005971240,266868333,35110135018467929,329671548523688
72,3732481,35609372604590322,3101293318693856505501240,266868404,35110153832137663,329690418043026
72,7464960,142436059375176210,24809972653041125034963240,533734127,140439204640083815,1318776180252700
73,3890170,39771370754545602,3661678861585884485338980,282033228,39221512632698520,363158685488016
73,3890171,39771391201470966,3661681685353933923896046,282033300,39221532797412974,363178896278256
73,7780340,159084010843199922,29293024272100779457882320,564063845,156884598932705341,1452738540503329
74,4052240,44352971992436646,4313532146639337200142906,297835431,43748133567016710,399535739624868
74,4052241,44352993882837000,4313535340054108709961750,297835505,43748155159492220,399514506302320
74,8104480,177410289974366966,34507790936802432582326586,595668179,174990958394673551,1598203553663494
75,4218750,49389904410031400,5070226841965948005686250,314292553,48725439370682200,438979259145543
75,4218751,49389927824302025,5070230447429824558822500,314292627,48725462470063129,439002350380675
75,8437500,197557884988156400,40561281129572761779123750,628582349,194900048212654478,1755963844743271
76,4389760,54920417959349525,5946874665266428210814750,331422443,54191357161490821,481730641092724
76,4389761,54920442981198125,5946878729378283011042650,331422519,54191381850614137,481706169523836
76,8779520,219679795203029525,47574387708131552489950750,662842055,216763576970096297,1926894644340700
77,4565330,60985403638071605,6960520255904050742691400,349243192,60186437592637163,527977204683976
77,4565331,60985430354608067,6960524829810325468142525,349243269,60186463959290255,527951176641685
77,9130660,243939584100019885,55683466816563401260980150,698483477,240743746597690858,2111909698295741
78,4745520,67628537407177747,8130357906886987925668515,367773130,66753997741667362,577940817009348
78,4745521,67628565909005101,8130363046656913940578701,367773207,66754025875620060,577969028560716
78,9491040,270511954992746467,65042071733947625535373155,735543275,267013825121507895,2311954485068330
79,4930390,74896429912149781,9477969270901623557776711,387030825,73940270441754514,632007399796059
79,4930391,74896460293456360,9477975037927896473573600,387030904,73940300435811849,631977855242812
79,9860780,299583349911674101,75822854514901833172274441,774058589,295758742591328125,2528005487526583
80,5120000,82838782161709060,11027583756790311199392800,407035090,81794558718424798,690247189086284
80,5120001,82838814520361860,11027590218216581800117600,407035169,81794590669934547,690279226690668
80,10240000,331352572318509060,88219649153160265400992800,814067039,327175711225347299,2761142679126604
81,5314410,91508547320077860,12806363448363748093083000,427804973,90369397355732481,753077958269369
81,5314411,91508581757717100,12806370677540346665941260,427805053,90369431364834268,753111959190969
81,10628820,366031434274681860,102449750923280542232048400,855606725,361474868806870606,3012447746472585
82,5513680,100962098770768380,14844714499070856386164260,449359764,99720719582921433,820772262416466
82,5513681,100962135392903262,14844722576040222932985660,449359846,99720755754125358,820736396810716
82,11027360,403845428695933260,118756407528633124666612260,898716227,398879948470701411,3283118404386262
83,5717870,111259404611919342,17176627084059141948504900,471718994,109908031300074583,893579882096696
83,5717871,111259443528025011,17176636096072491616205256,471719076,109908069743679415,893618317628204
83,11435740,445034427333083462,137411538707907315972236340,943434605,439628972947493425,3574396556933675
84,5927040,122464208745216191,19840046125793514667016166,494902432,120994590915307121,971881580782918
84,5927041,122464250068831895,19840056167860326042940050,494902516,120994631743898780,971841350516488
84,11854080,489853405127128511,158718702029446583258953446,989801399,483974975525091435,3887561251887728
85,6141250,134644218722446895,22877275150915408067488700,518930089,133047596795133686,1055968209981805
85,6141251,134644262571275345,22877286326387381756912275,518930174,133047640124767108,1055925484241236
85,12282500,538573191594871895,183016323734835633531494950,1037856629,532186747977398603,4223924385743101
86,6360560,147871300515761345,26335415784677042522622325,543822215,146138380501368463,1146156922115810
86,6360561,147871347011769275,26335428205868238678857195,543822300,146138426453425340,1146202989947800
86,12721120,591481249909363345,210681214682384521417411125,1087640795,584549616782372952,4584941351911740
87,6585030,162221680379718355,30266845545344633691003945,569599298,160342608499175160,1243037880239180
87,6585031,162221729649238282,30266859334189559921608020,569599385,160342657198208561,1242989739723367
87,13170060,648882484347480835,242132392689625486824163695,1139194877,641366246026309517,4972054966400959
88,6814720,177776153975220262,34729736764702621047726760,596282071,175740489575900583,1346681346483916
88,6814721,177776206149053446,34729752053454106391441336,596282158,175740541151574514,1346732748186532
88,13629440,711100076785055782,277835233883843138316473000,1192560335,702957471223075647,5386867898311228
89,7049690,194620302927451126,39788619632488591412834396,623891502,192416991187076439,1457703625460916
89,7049691,194620358140971730,39788636564457347889171850,623891590,192417045775762194,1457758206801444
89,14099380,778476352928005446,318305977043238099661622976,1247779109,769663161103491310,5831031669922913
90,7290000,212844718991950530,45514992542532236239135950,652448801,210462062113776162,1576518734447948
90,7290001,212844777385210980,45515011272870076834183650,652448891,210462119854443698,1576461783548716
90,14580000,851373678976000530,364116606350872218244735950,1304893619,841843110381549156,6306240107039600
91,7535710,232545236004970980,51987983106854951880892350,681975419,229970864027871889,1703506316865091
91,7535711,232545297722808525,51988003803383702767019580,681975509,229970925063416388,1703567467941631
91,15071420,930175389423259980,415900139491408236903106050,1363946765,919877963553827854,6814219586108695
92,7786880,253823169796282905,59295063401309997572140830,712493045,251044009529954266,1839208848194162
92,7786881,253823234988427377,59295086245398212884040730,712493137,251044074009453521,1839145231471612
92,15573760,1015286746709128985,474356349599241882347404830,1424981927,1004170171411063442,7356891916546834
93,8043570,276785566244607257,67532823212813860322322720,744023610,273787810161568306,1984036122247204
93,8043571,276785635065790031,67532848400303519945334441,744023703,273787878237664787,1983968779589789
93,16087140,1107135933439160177,540257951218388774759625510,1488042965,1095144977833618028,7936143960515677
94,8305840,301545457657871711,76807805274152078626930151,776589284,298314530694296843,2138434965008446
94,8305841,301545530267935865,76807833016337523214011625,776589377,298314602525548632,2138506581217684
94,16611680,1206175077905482031,614457282161947927936293031,1553174219,1193251442468482688,8554079041863556
95,8573750,328222127662502465,87237406698058812180409675,810212475,324742653899005952,2303250969935851
95,8573751,328222204226514140,87237437222720245019612600,810212570,324742729651679158,2303176017226004
95,17147500,1312881313643302465,697893514964690402224415925,1620420509,1298963495048674942,9212852283714563
96,8847360,356941384787979640,98950851058097682038275200,844915836,353197152327045062,2478569322145556
96,8847361,356941465476340600,98950884610591644461255040,844915931,353197232170321028,2478649346899786
96,17694720,1427757873768459640,791600433508946048079772800,1689827135,1412781025299016108,9914665676087370
97,9126730,387835844934900280,112090235810147899092009040,880722255,383809770425463916,2665328721994497
97,9126731,387835929923461672,112090272654557204864128040,880722351,383809854532926189,2665412979944193
97,18253460,1551335220848995960,896714812374171669493291040,1761439877,1535231008216512435,10661750421750265
98,9411920,421045222916808952,126811660005367867130188280,917654862,416719313806100791,2864086168605230
98,9411921,421045312386986266,126811700425713561712282696,917654960,416719402358445148,2863998728605112
98,18823840,1684172213071795272,1014485438517127694109168120,1835304995,1666868666846100914,11456599636374916
99,9702990,456716633268071946,143286437513719153481884056,955737028,452071950166979836,3075363771587808
99,9702991,456716727406961175,143286481815237146220912000,955737126,452072043348871894,3075456949123252
99,19405980,1826857307473387266,1146282817035274466791286736,1911469229,1808278669080774590,12301638687938863
100,10000000,495004900512087075,161702401256845352910063750,994992362,490021517017880207,3299926583054674
100,10000001,495004999512582075,161702449767330454118771250,994992462,490021615020771630,3299829304281228
100,20000000,1980009801012087075,1293609605003690686410063750,1989979799,1960076365775199753,13199581537671796
